LST_Day_1km,date
15099.272831539954,2002-02-24
15254.916127874,2002-02-25
15144.361421875297,2002-02-26
15178.441611357423,2002-02-27
15129.134768619553,2002-02-28
,2002-03-01
15278.267010281748,2002-03-02
15087.451449162936,2002-03-03
15114.010909835904,2002-03-04
15115.362997535181,2002-03-05
15223.2204945522,2002-03-06
15073.366217038089,2002-03-07
15089.943527635549,2002-03-08
15139.50156841238,2002-03-09
,2002-03-10
15294.169373823594,2002-03-11
15189.107587721379,2002-03-12
15356.38378951014,2002-03-13
15252.432960290153,2002-03-14
15262.388431809222,2002-03-15
15265.246489362447,2002-03-16
,2002-03-17
15425.20711348425,2002-03-18
15238.385290455299,2002-03-19
,2002-03-28
15362.126738733608,2002-03-29
15237.372805470693,2002-03-30
15260.004234288588,2002-03-31
15317.59250672556,2002-04-01
,2002-04-02
15437.514146297073,2002-04-03
15232.272486350917,2002-04-04
15380.504839093861,2002-04-05
15216.554347067247,2002-04-06
15311.839687108182,2002-04-07
15332.918364802425,2002-04-08
15271.680881684992,2002-04-09
15377.709556748514,2002-04-10
,2002-04-11
15435.592391374461,2002-04-12
15228.893707353573,2002-04-13
15423.206705932245,2002-04-14
15217.251747305765,2002-04-16
15429.280275023903,2002-04-17
,2002-04-18
15361.327070235307,2002-04-19
15034.74846419088,2002-04-20
15360.506448131366,2002-04-21
15319.359867130499,2002-04-22
15395.80194392907,2002-04-23
15384.920706788553,2002-04-24
15340.962205151232,2002-04-25
15253.2362720645,2002-04-26
,2002-04-27
15492.794131421277,2002-04-28
15099.473613439977,2002-04-29
15259.416039842954,2002-04-30
15263.387321395165,2002-05-01
15259.392367233517,2002-05-02
15309.76685226289,2002-05-03
,2002-05-04
15464.591643782609,2002-05-05
15145.72832382288,2002-05-06
15326.577188304327,2002-05-07
15026.303960377812,2002-05-08
15241.68668778514,2002-05-09
15229.783931057338,2002-05-10
14864.509063715226,2002-05-11
15301.021029014288,2002-05-12
,2002-05-13
15312.130343255498,2002-05-14
15183.956632653062,2002-05-15
15354.43980254011,2002-05-16
,2002-05-17
14992.1338640449,2002-05-18
15137.157685075217,2002-05-19
,2002-05-20
,2002-05-21
,2002-05-22
14991.94620625985,2002-05-23
,2002-05-24
14771.076923076924,2002-05-25
,2002-05-26
15157.106607597329,2002-05-27
,2002-05-28
,2002-05-29
15070.170840360373,2002-05-30
,2002-05-31
,2002-06-01
,2002-06-02
14737.0,2002-06-03
14734.370431893689,2002-06-04
,2002-06-05
,2002-06-06
,2002-06-07
,2002-06-08
14852.015610341852,2002-06-09
15209.923982288607,2002-06-10
15094.726532645782,2002-06-11
15054.295227474584,2002-06-12
15141.599113800656,2002-06-13
,2002-06-14
15099.699004427299,2002-06-15
14934.503452300454,2002-06-16
15065.972257469906,2002-06-17
15068.243157120674,2002-06-18
15000.738342023933,2002-06-19
15045.635995894345,2002-06-20
,2002-06-21
15179.443659159826,2002-06-22
14883.201816093233,2002-06-23
15113.062650802762,2002-06-24
14899.955883738114,2002-06-25
15115.457202633746,2002-06-26
15041.702039507592,2002-06-27
15011.609191171267,2002-06-28
15067.064025872662,2002-06-29
,2002-06-30
15163.423010898206,2002-07-01
14963.818686228005,2002-07-02
,2002-07-03
14763.050769855621,2002-07-04
14893.067911801098,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
14891.393884808538,2002-07-17
14903.759265083445,2002-07-18
,2002-07-19
14900.411172895932,2002-07-20
15163.433348553615,2002-07-21
14939.966532449613,2002-07-22
,2002-07-23
,2002-07-24
,2002-07-25
14930.664343564764,2002-07-26
,2002-07-27
14984.090115240018,2002-07-28
14941.790881082796,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
,2002-08-06
,2002-08-07
,2002-08-08
14244.0,2002-08-09
14869.16926908908,2002-08-10
15087.235079399146,2002-08-11
