date,LST_Day_1km
2002-02-24,
2002-02-25,14925.215779131548
2002-02-26,
2002-02-27,15096.034982156003
2002-02-28,14924.844456843388
2002-03-01,15046.256803201406
2002-03-02,14735.574826864353
2002-03-03,
2002-03-04,14678.122132253715
2002-03-05,
2002-03-06,
2002-03-07,14735.713161518792
2002-03-08,14679.839482484515
2002-03-09,
2002-03-10,
2002-03-11,14935.425419340314
2002-03-12,14928.570134593396
2002-03-13,14918.884681255948
2002-03-14,
2002-03-15,15126.03019243158
2002-03-16,14912.868165224978
2002-03-17,
2002-03-18,14952.67069113418
2002-03-19,
2002-03-28,
2002-03-29,15094.45537745879
2002-03-30,
2002-03-31,15151.333066350106
2002-04-01,14787.313001605135
2002-04-02,15057.46379649777
2002-04-03,15084.270836016205
2002-04-04,15068.399868784572
2002-04-05,15138.275696524319
2002-04-06,
2002-04-07,15165.001416345061
2002-04-08,14992.128186453025
2002-04-09,15184.043093990016
2002-04-10,15081.401311724263
2002-04-11,15149.245170035445
2002-04-12,14900.989745938896
2002-04-13,15077.701994712805
2002-04-14,15104.486767952898
2002-04-16,
2002-04-17,14911.124075790893
2002-04-18,15120.93982997922
2002-04-19,14562.423009294147
2002-04-20,
2002-04-21,
2002-04-22,
2002-04-23,
2002-04-24,14788.758577731624
2002-04-25,15130.55781637634
2002-04-26,14917.477006834237
2002-04-27,14850.47983045893
2002-04-28,14785.810107893241
2002-04-29,14958.302175398016
2002-04-30,15115.424880204544
2002-05-01,
2002-05-02,
2002-05-03,14839.57073971183
2002-05-04,15067.69558099839
2002-05-05,14887.885680775988
2002-05-06,
2002-05-07,15048.621835382439
2002-05-08,
2002-05-09,
2002-05-10,
2002-05-11,15118.331342346175
2002-05-12,
2002-05-13,15090.961898026837
2002-05-14,14983.06843533313
2002-05-15,14987.293485354185
2002-05-16,15169.376571772085
2002-05-17,
2002-05-18,15190.009218836572
2002-05-19,14993.226489455501
2002-05-20,15131.218357887175
2002-05-21,15011.73805570928
2002-05-22,15056.913807856003
2002-05-23,
2002-05-24,
2002-05-25,15166.354245016857
2002-05-26,15023.614403668962
2002-05-27,15172.307616375956
2002-05-28,14961.835251939254
2002-05-29,
2002-05-30,14756.03814326351
2002-05-31,15004.815500785237
2002-06-01,15140.277089773694
2002-06-02,
2002-06-03,14955.514285714286
2002-06-04,14770.597579018156
2002-06-05,14716.987504830606
2002-06-06,
2002-06-07,15070.18444462732
2002-06-08,15083.72648833073
2002-06-09,
2002-06-10,15147.378848985512
2002-06-11,14900.309248398868
2002-06-12,
2002-06-13,15132.821594233234
2002-06-14,
2002-06-15,
2002-06-16,
2002-06-17,15003.851271744219
2002-06-18,
2002-06-19,15036.042281402357
2002-06-20,15264.804641416526
2002-06-21,15067.668025906447
2002-06-22,15001.211021427489
2002-06-23,14913.005724707433
2002-06-24,
2002-06-25,
2002-06-26,
2002-06-27,
2002-06-28,14974.873329137446
2002-06-29,
2002-06-30,
2002-07-01,
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,14892.061663652805
2002-07-06,15433.391410742686
2002-07-07,14917.86047904192
2002-07-08,15107.860847488428
2002-07-09,15091.919716081184
2002-07-10,15120.63637512344
2002-07-11,
2002-07-12,
2002-07-13,
2002-07-14,15114.13452128592
2002-07-15,14924.112663257703
2002-07-16,14997.350315913582
2002-07-17,
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,15148.973885971758
2002-07-22,14968.810437754071
2002-07-23,15063.333628702332
2002-07-24,14924.20775981053
2002-07-25,15318.047619047618
2002-07-26,
2002-07-27,
2002-07-28,14692.934744967893
2002-07-29,
2002-07-30,15093.345314189253
2002-07-31,
2002-08-01,15087.71928189928
2002-08-02,15118.313064252208
2002-08-03,15271.411002307268
2002-08-04,
2002-08-05,
2002-08-06,
2002-08-07,15032.991992877287
2002-08-08,
2002-08-09,
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,14864.707480961626
2002-08-14,
2002-08-15,
2002-08-16,
2002-08-17,15077.627800596867
2002-08-18,15172.351095929764
2002-08-19,15228.867893383704
2002-08-20,
2002-08-21,
2002-08-22,15181.885808249139
2002-08-23,14998.483737257346
2002-08-24,15131.129511513425
2002-08-25,14809.705220721626
2002-08-26,15184.033920200789
2002-08-27,15167.953703356929
2002-08-28,
2002-08-29,15058.556741308535
2002-08-30,
2002-08-31,15065.978337800581
2002-09-01,15049.493236542809
2002-09-02,
2002-09-03,15025.309121847775
2002-09-04,15116.438567841751
2002-09-05,14976.114244113787
2002-09-06,
2002-09-07,14985.16
2002-09-08,15046.41881456747
2002-09-09,15128.404409995379
2002-09-10,15018.993944420954
2002-09-11,
2002-09-12,
2002-09-13,
2002-09-14,
2002-09-15,
2002-09-16,15128.697358864803
2002-09-17,14790.79988944168
2002-09-18,
2002-09-19,
2002-09-20,
2002-09-21,
2002-09-22,
2002-09-23,15003.551256046181
2002-09-24,15166.383150406338
2002-09-25,15182.319090710385
2002-09-26,
2002-09-27,15087.226061654876
2002-09-28,15129.607158925548
2002-09-29,
2002-09-30,15068.651108100514
2002-10-01,
2002-10-02,15029.749240142864
2002-10-03,15051.263209470655
2002-10-04,15088.384361288741
2002-10-05,15113.82327401801
2002-10-06,15082.821331810226
2002-10-07,15120.185559759815
2002-10-08,
2002-10-09,15201.538365371513
2002-10-10,14987.211174484266
2002-10-11,15100.788066941232
2002-10-12,15126.520126532807
2002-10-13,
2002-10-14,15084.628333744722
2002-10-15,
2002-10-16,14997.865413243648
2002-10-17,15152.437390758852
2002-10-18,15120.873593047909
2002-10-19,15082.591914173527
2002-10-20,
2002-10-21,15019.029494300923
2002-10-22,
2002-10-23,14829.905787348585
2002-10-24,
2002-10-25,15156.984948871203
2002-10-26,15003.98404605267
2002-10-27,
2002-10-28,14983.565405623096
2002-10-29,15071.451220209172
2002-10-30,15080.800293900196
2002-10-31,
2002-11-01,15019.80658545198
2002-11-02,15017.407643490567
2002-11-03,15156.575424418943
2002-11-04,14997.932229328466
2002-11-05,
2002-11-06,15030.67151908282
2002-11-07,
2002-11-08,15079.497234140475
2002-11-09,
2002-11-10,
2002-11-11,14981.345325416227
2002-11-12,
2002-11-13,14958.939704506238
2002-11-14,15007.655953988677
2002-11-15,15032.506950831012
2002-11-16,
2002-11-17,15031.268411327463
2002-11-18,
2002-11-19,
2002-11-20,
2002-11-21,
2002-11-22,14881.36507936508
2002-11-23,
2002-11-24,15033.899799735169
2002-11-25,
2002-11-26,15145.09702831885
2002-11-27,15051.953364900019
2002-11-28,
2002-11-29,
2002-11-30,14889.63498322148
2002-12-01,14888.454785334607
2002-12-02,
2002-12-03,15066.685385837323
2002-12-04,14783.961148124428
2002-12-05,15052.930062676001
2002-12-06,14754.618308013394
2002-12-07,14965.534049763926
2002-12-08,15021.255209239354
2002-12-09,14927.341313880472
2002-12-10,15046.538261081263
2002-12-11,
2002-12-12,14892.028842175849
2002-12-13,
2002-12-14,
2002-12-15,14957.272907976503
2002-12-16,14953.473608185372
2002-12-17,14879.218368511125
2002-12-18,
2002-12-19,14969.047077183626
2002-12-20,14802.7324411539
2002-12-21,14882.942761175143
2002-12-22,14811.673859166733
2002-12-23,
2002-12-24,
2002-12-25,15077.972493015805
2002-12-26,14990.710035221105
2002-12-27,
2002-12-28,14959.528205634939
2002-12-29,
2002-12-30,14884.276702756657
2002-12-31,14812.264102891477
2003-01-01,14942.0
2003-01-02,14951.01815533245
2003-01-03,
2003-01-04,14714.338036809815
2003-01-05,14830.780125996807
2003-01-06,
2003-01-07,14680.451399785285
2003-01-08,
2003-01-09,14867.642666464231
2003-01-10,
2003-01-11,14892.108971794967
2003-01-12,
2003-01-13,15045.37011332221
2003-01-14,14840.90114266654
2003-01-15,14957.993247538023
2003-01-16,
2003-01-17,
2003-01-18,14765.135603396518
2003-01-19,
2003-01-20,
2003-01-21,
2003-01-22,15017.758586169517
2003-01-23,
2003-01-24,
2003-01-25,
2003-01-26,
2003-01-27,14859.136247466291
2003-01-28,
2003-01-29,14976.215071965558
2003-01-30,14801.163467815648
2003-01-31,
2003-02-01,
2003-02-02,
2003-02-03,14880.515093480197
2003-02-04,
