LST_Day_1km,date
14734.464255852841,2002-02-24
14906.184745916516,2002-02-25
,2002-02-26
15016.673036800974,2002-02-27
14836.31861939886,2002-02-28
15032.644012639772,2002-03-01
14789.149337693449,2002-03-02
15088.702290076337,2002-03-03
14856.523502508944,2002-03-04
15055.122037094268,2002-03-05
14847.21023389894,2002-03-06
14963.629638724333,2002-03-07
,2002-03-08
,2002-03-09
,2002-03-10
14848.683941231457,2002-03-11
14883.078464106837,2002-03-12
14781.757575757576,2002-03-13
,2002-03-14
15089.572182092943,2002-03-15
14843.169729367843,2002-03-16
,2002-03-17
14884.38891457767,2002-03-18
,2002-03-19
,2002-03-28
15020.520738992393,2002-03-29
,2002-03-30
15046.433380836579,2002-03-31
14847.301273447989,2002-04-01
15028.569011462667,2002-04-02
15048.847045980816,2002-04-03
15026.180576930123,2002-04-04
15092.673874012833,2002-04-05
14895.983135211101,2002-04-06
15092.88835634884,2002-04-07
14955.997471348323,2002-04-08
15166.074882693923,2002-04-09
14959.808187264454,2002-04-10
15078.312082526543,2002-04-11
14896.214875534926,2002-04-12
15041.36064758929,2002-04-13
14979.448483436365,2002-04-14
14831.450421723923,2002-04-16
14863.779883901672,2002-04-17
15077.834000921348,2002-04-18
14877.570975268312,2002-04-19
15048.850339654684,2002-04-20
,2002-04-21
,2002-04-22
,2002-04-23
14769.604097890679,2002-04-24
15067.225106209322,2002-04-25
14847.153717368861,2002-04-26
,2002-04-27
14811.02939576804,2002-04-28
14967.990396416919,2002-04-29
14951.614638794992,2002-04-30
,2002-05-01
,2002-05-02
14864.371827912491,2002-05-03
15034.705877413651,2002-05-04
14785.495219670844,2002-05-05
,2002-05-06
14983.211171163084,2002-05-07
14812.21771359807,2002-05-08
14784.380323935213,2002-05-09
,2002-05-10
15057.445709800046,2002-05-11
,2002-05-12
15046.329897088151,2002-05-13
14994.802786318825,2002-05-14
15008.175421429787,2002-05-15
15053.988139749106,2002-05-16
,2002-05-17
15128.750999710504,2002-05-18
15004.31305362335,2002-05-19
15087.889533576405,2002-05-20
14814.160038304892,2002-05-21
15055.963800878924,2002-05-22
14637.294217244076,2002-05-23
,2002-05-24
15024.780520693423,2002-05-25
14953.664356937641,2002-05-26
15084.001611300351,2002-05-27
15042.618526551201,2002-05-28
,2002-05-29
14885.409192576399,2002-05-30
14935.894733267225,2002-05-31
15076.513569614524,2002-06-01
,2002-06-02
,2002-06-03
15204.677165354331,2002-06-04
14990.663228792762,2002-06-05
15012.72327551207,2002-06-06
14998.287493034857,2002-06-07
14994.968488761822,2002-06-08
14854.490962228787,2002-06-09
15050.92776497294,2002-06-10
14664.778094350511,2002-06-11
,2002-06-12
15094.896557582448,2002-06-13
,2002-06-14
,2002-06-15
,2002-06-16
14993.608519294217,2002-06-17
,2002-06-18
14961.88525940727,2002-06-19
15178.442823029982,2002-06-20
14955.811865791766,2002-06-21
14842.223069176078,2002-06-22
15114.951768488745,2002-06-23
,2002-06-24
,2002-06-25
,2002-06-26
,2002-06-27
15010.04181977403,2002-06-28
,2002-06-29
14841.655707425194,2002-06-30
14882.020740932589,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
14871.102506909758,2002-07-05
15216.163840530135,2002-07-06
14976.221411744204,2002-07-07
15013.148317388815,2002-07-08
15065.08159301314,2002-07-09
15057.334676360899,2002-07-10
15341.19584627708,2002-07-11
14646.564594606878,2002-07-12
,2002-07-13
15155.201038339914,2002-07-14
14947.221213473218,2002-07-15
14961.338605933026,2002-07-16
,2002-07-17
,2002-07-18
,2002-07-19
,2002-07-20
15160.30927667665,2002-07-21
14992.578020306337,2002-07-22
14852.625724772959,2002-07-23
14865.81927891445,2002-07-24
15098.445945945947,2002-07-25
,2002-07-26
14992.018027728285,2002-07-27
14883.861443739614,2002-07-28
14716.423061164765,2002-07-29
14882.501866055678,2002-07-30
,2002-07-31
