LST_Day_1km,date
14692.657906660628,2002-02-24
15054.107591401982,2002-02-25
14909.300303590282,2002-02-26
14979.611842700018,2002-02-27
14967.366981790485,2002-02-28
14991.417307619151,2002-03-01
14862.196922727244,2002-03-02
,2002-03-03
14980.15884044082,2002-03-04
14749.628133063945,2002-03-05
14813.777065804872,2002-03-06
14616.519810464764,2002-03-07
,2002-03-08
14820.252731773364,2002-03-09
14888.182644756824,2002-03-10
,2002-03-11
,2002-03-12
15067.24412373149,2002-03-13
15001.388683980265,2002-03-14
15019.310427940709,2002-03-15
14985.208078149879,2002-03-16
15094.958615131232,2002-03-17
15138.710170208271,2002-03-18
,2002-03-19
,2002-03-28
15159.328647591903,2002-03-29
14998.420672580965,2002-03-30
15131.744762715232,2002-03-31
15074.306614698433,2002-04-01
15016.164163515221,2002-04-02
15173.247653298891,2002-04-03
,2002-04-04
15191.033425147414,2002-04-05
14942.96116561894,2002-04-06
15204.294055264738,2002-04-07
15074.577555662625,2002-04-08
15044.601915396845,2002-04-09
15013.415100106993,2002-04-10
14759.168150546337,2002-04-11
15185.89092307363,2002-04-12
14716.514015680375,2002-04-13
15101.231086657495,2002-04-14
15125.254404064033,2002-04-16
15044.245159690354,2002-04-17
14949.426366217176,2002-04-18
14863.553948013716,2002-04-19
,2002-04-20
,2002-04-21
14965.686645809319,2002-04-22
,2002-04-23
14912.268081257487,2002-04-24
14989.156667614441,2002-04-25
15093.062835756573,2002-04-26
14827.415129634479,2002-04-27
15222.193669213244,2002-04-28
14761.213872832364,2002-04-29
15195.837706688826,2002-04-30
14936.874138082221,2002-05-01
,2002-05-02
15022.918479136457,2002-05-03
14975.859579833203,2002-05-04
15145.534592445323,2002-05-05
,2002-05-06
15233.61784832879,2002-05-07
15035.44657954871,2002-05-08
15098.85200806895,2002-05-09
14950.093683901294,2002-05-10
14938.57543586693,2002-05-11
15094.141682427122,2002-05-12
14839.404935129602,2002-05-13
15158.405209109937,2002-05-14
14890.78516280631,2002-05-15
15197.80657714742,2002-05-16
14988.441937596917,2002-05-17
15163.816034731793,2002-05-18
15096.563224845697,2002-05-19
15051.775240959738,2002-05-20
15093.767386996318,2002-05-21
,2002-05-22
15124.05658722402,2002-05-23
15127.526753246753,2002-05-24
14592.949667616334,2002-05-25
,2002-05-26
15115.76356948598,2002-05-27
15113.916955879726,2002-05-28
,2002-05-29
,2002-05-30
,2002-05-31
15257.027082425006,2002-06-01
,2002-06-02
,2002-06-03
15051.0,2002-06-04
,2002-06-05
15215.75788139115,2002-06-06
,2002-06-07
,2002-06-08
15255.104932332757,2002-06-09
15075.304079389463,2002-06-10
15104.637329276618,2002-06-11
,2002-06-12
15066.510792126232,2002-06-13
15035.109784237693,2002-06-14
15062.48179314565,2002-06-15
,2002-06-16
15172.570688175732,2002-06-17
,2002-06-18
,2002-06-19
,2002-06-20
,2002-06-21
14985.738490607788,2002-06-22
,2002-06-23
15136.89122958111,2002-06-24
14927.917201857523,2002-06-25
14830.276084329264,2002-06-26
,2002-06-27
,2002-06-28
15024.086441805455,2002-06-29
15060.638039428753,2002-06-30
,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
14989.045531770304,2002-07-05
,2002-07-06
,2002-07-07
15038.709367494,2002-07-08
,2002-07-09
15120.20924864124,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
14981.285641475088,2002-07-16
15191.257759210812,2002-07-17
,2002-07-18
,2002-07-19
,2002-07-20
,2002-07-21
15017.945953654187,2002-07-22
15044.79890485525,2002-07-23
,2002-07-24
,2002-07-25
15022.509032655578,2002-07-26
,2002-07-27
15009.71931273043,2002-07-28
14844.787792460387,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
15120.090474721314,2002-08-02
,2002-08-03
,2002-08-04
14960.461132350263,2002-08-05
,2002-08-06
14962.203005806674,2002-08-07
,2002-08-08
14813.306563220802,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
14131.0,2002-08-17
,2002-08-18
,2002-08-19
15195.904259827194,2002-08-20
,2002-08-21
15102.356205416201,2002-08-22
15024.199819672322,2002-08-23
15067.811176211335,2002-08-24
15126.170926584102,2002-08-25
,2002-08-26
15161.976536560169,2002-08-27
,2002-08-28
,2002-08-29
14723.123320342038,2002-08-30
,2002-08-31
15053.638010827259,2002-09-01
14859.78743046313,2002-09-02
15071.924246158298,2002-09-03
,2002-09-04
,2002-09-05
,2002-09-06
,2002-09-07
,2002-09-08
15170.416300968285,2002-09-09
,2002-09-10
,2002-09-11
,2002-09-12
,2002-09-13
,2002-09-14
,2002-09-15
,2002-09-16
,2002-09-17
,2002-09-18
14972.696653459738,2002-09-19
,2002-09-20
15109.168089236742,2002-09-21
14937.469865240288,2002-09-22
15040.20505461951,2002-09-23
15019.928442623925,2002-09-24
14917.534390442153,2002-09-25
15013.081534582221,2002-09-26
,2002-09-27
15176.336525656025,2002-09-28
,2002-09-29
,2002-09-30
14833.894646680941,2002-10-01
14933.03804106958,2002-10-02
15035.148581174832,2002-10-03
14789.277823791283,2002-10-04
15106.661231724294,2002-10-05
,2002-10-06
15173.24893750249,2002-10-07
14988.351063829787,2002-10-08
15095.219178082192,2002-10-09
15015.822636963858,2002-10-10
14890.118873445495,2002-10-11
15122.998774966707,2002-10-12
,2002-10-13
15065.630909180945,2002-10-14
14936.562631171983,2002-10-15
15128.273426092936,2002-10-16
15030.211711394299,2002-10-17
14967.509244904002,2002-10-18
,2002-10-19
14735.39162166107,2002-10-20
,2002-10-21
,2002-10-22
,2002-10-23
14840.755023640673,2002-10-24
15070.798839660607,2002-10-25
14854.281984065794,2002-10-26
14812.196699857755,2002-10-27
14803.384698860553,2002-10-28
,2002-10-29
15021.34858195802,2002-10-30
14843.897499933935,2002-10-31
15013.018154348661,2002-11-01
14833.990869774148,2002-11-02
14905.22227594761,2002-11-03
,2002-11-04
,2002-11-05
14948.077371489137,2002-11-06
14930.890074260013,2002-11-07
15049.907562642367,2002-11-08
,2002-11-09
,2002-11-10
14985.86332003341,2002-11-11
14919.340437948098,2002-11-12
14886.551251950588,2002-11-13
,2002-11-14
15038.843707470822,2002-11-15
14857.203155389918,2002-11-16
15022.30547503145,2002-11-17
14903.54422476587,2002-11-18
,2002-11-19
14966.250036232468,2002-11-20
14481.525152439024,2002-11-21
14980.174792826421,2002-11-22
,2002-11-23
,2002-11-24
14712.666590381532,2002-11-25
14962.84738177177,2002-11-26
14647.158807212205,2002-11-27
14910.865920828013,2002-11-28
14867.575647129535,2002-11-29
,2002-11-30
14980.763484474055,2002-12-01
14737.989728827974,2002-12-02
14835.0,2002-12-03
,2002-12-04
14701.054651647895,2002-12-05
14980.514800928402,2002-12-06
14850.784349723299,2002-12-07
14956.971291866026,2002-12-08
,2002-12-09
14942.72392541314,2002-12-10
,2002-12-11
14890.33796195756,2002-12-12
14783.511020408161,2002-12-13
14885.547779566648,2002-12-14
14861.290733034575,2002-12-15
,2002-12-16
14917.865888869252,2002-12-17
14778.156138285492,2002-12-18
14939.548351745998,2002-12-19
14897.172990373161,2002-12-20
14915.24803711635,2002-12-21
15006.274987281553,2002-12-22
,2002-12-23
14977.078477018182,2002-12-24
,2002-12-25
14944.345072911732,2002-12-26
14777.566578277989,2002-12-27
14877.153816491787,2002-12-28
14813.301532724352,2002-12-29
14728.310226296191,2002-12-30
14943.012874765975,2002-12-31
,2003-01-01
,2003-01-02
,2003-01-03
,2003-01-04
14564.754883186522,2003-01-05
,2003-01-06
,2003-01-07
,2003-01-08
14868.55850055301,2003-01-09
,2003-01-10
14514.8,2003-01-11
14667.214987405543,2003-01-12
14832.805031282585,2003-01-13
14696.819476182103,2003-01-14
14834.417398345176,2003-01-15
14819.188059061165,2003-01-16
,2003-01-17
14820.277001171413,2003-01-18
14790.806949508991,2003-01-19
14923.952175547241,2003-01-20
14807.683685598595,2003-01-21
,2003-01-22
,2003-01-23
14757.02820617637,2003-01-24
15023.949483169892,2003-01-25
,2003-01-26
14903.344959006356,2003-01-27
,2003-01-28
,2003-01-29
14661.415750915747,2003-01-30
,2003-01-31
,2003-02-01
,2003-02-02
14860.22951810872,2003-02-03
14712.024888709026,2003-02-04
14933.913895070753,2003-02-05
14788.6868462139,2003-02-06
,2003-02-07
,2003-02-08
,2003-02-09
14997.601921470341,2003-02-10
,2003-02-11
15005.74939178131,2003-02-12
14810.707266097477,2003-02-13
,2003-02-14
14976.605563166007,2003-02-15
14919.249552708801,2003-02-16
14966.178348685471,2003-02-17
,2003-02-18
14971.903035988398,2003-02-19
14809.501619461096,2003-02-20
14771.07792207792,2003-02-21
14901.951570334286,2003-02-22
14888.297394429474,2003-02-23
14776.55564721249,2003-02-24
14861.310650014755,2003-02-25
14980.521562314665,2003-02-26
14653.081264511518,2003-02-27
14911.66435411374,2003-02-28
14869.644077117164,2003-03-01
14979.345798210108,2003-03-02
15048.096527178177,2003-03-03
14978.646170763988,2003-03-04
15091.400892376949,2003-03-05
,2003-03-06
15112.952804574054,2003-03-07
14855.421937169667,2003-03-08
14899.08102955195,2003-03-09
14985.269386665574,2003-03-10
14846.131192896666,2003-03-11
14947.385039470191,2003-03-12
14834.324161164877,2003-03-13
15028.054076808505,2003-03-14
14795.349542232192,2003-03-15
15017.787868358788,2003-03-16
14900.853646511072,2003-03-17
15065.143988215801,2003-03-18
14972.748534096212,2003-03-19
15057.695235192532,2003-03-20
15118.949216534309,2003-03-21
,2003-03-22
15144.54662345252,2003-03-23
14945.814055530278,2003-03-24
15017.877230159273,2003-03-25
15030.903774544724,2003-03-26
15043.055842293916,2003-03-27
14879.817923119097,2003-03-28
14885.934138752686,2003-03-29
15208.285064905787,2003-03-30
,2003-03-31
15242.566416299696,2003-04-01
14842.745244197371,2003-04-02
14999.570681233205,2003-04-03
15132.417538964364,2003-04-04
15145.945452794398,2003-04-05
15225.774610005361,2003-04-06
,2003-04-07
15230.394859078888,2003-04-08
14911.615420023014,2003-04-09
15252.603860342942,2003-04-10
15128.063552501242,2003-04-11
15127.10598059528,2003-04-12
15275.278739468422,2003-04-13
14934.967978891824,2003-04-14
15274.699227913616,2003-04-15
14756.890149322839,2003-04-16
15308.351615018853,2003-04-17
15075.48642575504,2003-04-18
14768.721826706027,2003-04-19
15167.958022074,2003-04-20
15121.265036390592,2003-04-21
15255.225185083043,2003-04-22
,2003-04-23
15155.420843803722,2003-04-24
15039.754866070542,2003-04-25
15128.104007820137,2003-04-26
15042.451711714857,2003-04-27
15078.398884578086,2003-04-28
15002.89923743727,2003-04-29
15055.417730346913,2003-04-30
15218.742208330139,2003-05-01
14755.089589098161,2003-05-02
15200.898068598439,2003-05-03
,2003-05-04
15186.580045802184,2003-05-05
15151.605817354159,2003-05-06
14980.182332335986,2003-05-07
15193.769150642689,2003-05-08
,2003-05-09
15073.430864085592,2003-05-10
,2003-05-11
15081.215624741923,2003-05-12
15039.883573380259,2003-05-13
14928.88397718434,2003-05-14
14941.930190930785,2003-05-15
,2003-05-16
,2003-05-17
,2003-05-18
15187.27288395251,2003-05-19
,2003-05-20
,2003-05-21
,2003-05-22
,2003-05-23
,2003-05-24
,2003-05-25
,2003-05-26
,2003-05-27
,2003-05-28
,2003-05-29
,2003-05-30
,2003-05-31
,2003-06-01
15114.313728405326,2003-06-02
,2003-06-03
14952.75339208112,2003-06-04
14998.34329064235,2003-06-05
15105.984250346668,2003-06-06
15105.479785949414,2003-06-07
15086.718724171804,2003-06-08
15186.288462319279,2003-06-09
,2003-06-10
15230.935150220637,2003-06-11
15143.680305131775,2003-06-12
,2003-06-13
,2003-06-14
,2003-06-15
,2003-06-16
,2003-06-17
14946.217620015916,2003-06-18
,2003-06-19
14918.944078947368,2003-06-20
14959.063515745724,2003-06-21
,2003-06-22
,2003-06-23
,2003-06-24
15089.540286451438,2003-06-25
,2003-06-26
,2003-06-27
,2003-06-28
,2003-06-29
,2003-06-30
14968.225810106505,2003-07-01
14920.195863830175,2003-07-02
,2003-07-03
14810.923076923076,2003-07-04
14869.613942034472,2003-07-05
14872.068667903925,2003-07-06
,2003-07-07
,2003-07-08
,2003-07-09
14960.900744224502,2003-07-10
15085.073795941278,2003-07-11
,2003-07-12
15059.42057454062,2003-07-13
14742.475106859352,2003-07-14
15112.785009265373,2003-07-15
14924.825436408977,2003-07-16
,2003-07-17
,2003-07-18
,2003-07-19
,2003-07-20
,2003-07-21
,2003-07-22
,2003-07-23
15109.840789148087,2003-07-24
15040.838973125763,2003-07-25
,2003-07-26
14955.248259355962,2003-07-27
,2003-07-28
15049.438973179682,2003-07-29
,2003-07-30
14783.520564141545,2003-07-31
,2003-08-01
,2003-08-02
14926.813479383422,2003-08-03
14948.50899380067,2003-08-04
,2003-08-05
,2003-08-06
14980.886131971909,2003-08-07
,2003-08-08
,2003-08-09
15033.306426806112,2003-08-10
15102.476972431892,2003-08-11
15137.682104844676,2003-08-12
,2003-08-13
15185.559213451124,2003-08-14
,2003-08-15
,2003-08-16
14827.998108990887,2003-08-17
,2003-08-18
,2003-08-19
,2003-08-20
15094.84714326955,2003-08-21
,2003-08-22
,2003-08-23
,2003-08-24
15065.609004855254,2003-08-25
,2003-08-26
,2003-08-27
15079.720981965516,2003-08-28
,2003-08-29
15158.752655420794,2003-08-30
14846.29563689883,2003-08-31
,2003-09-01
,2003-09-02
,2003-09-03
14907.830885122412,2003-09-04
,2003-09-05
15065.017415885493,2003-09-06
,2003-09-07
,2003-09-08
14873.58837540111,2003-09-09
15030.03333863448,2003-09-10
,2003-09-11
,2003-09-12
14825.869933454323,2003-09-13
,2003-09-14
15090.591817186034,2003-09-15
,2003-09-16
,2003-09-17
,2003-09-18
15067.351142510212,2003-09-19
,2003-09-20
,2003-09-21
,2003-09-22
,2003-09-23
15182.994211034891,2003-09-24
14909.081551377723,2003-09-25
14997.603496081982,2003-09-26
,2003-09-27
,2003-09-28
15080.551079807685,2003-09-29
,2003-09-30
15106.180506153152,2003-10-01
14696.852841072976,2003-10-02
15074.334149821007,2003-10-03
14786.126813508105,2003-10-04
14927.959887922132,2003-10-05
14986.766087011116,2003-10-06
14814.912449150514,2003-10-07
15073.031319084304,2003-10-08
,2003-10-09
15096.656533923971,2003-10-10
,2003-10-11
,2003-10-12
14923.636793596901,2003-10-13
14774.917140995009,2003-10-14
14920.220522190912,2003-10-15
,2003-10-16
,2003-10-17
,2003-10-18
14871.39748953975,2003-10-19
,2003-10-20
,2003-10-21
,2003-10-22
,2003-10-23
,2003-10-24
14492.779174705918,2003-10-25
15008.987658253774,2003-10-26
14931.576609006155,2003-10-27
14974.986726990948,2003-10-28
14848.03057099545,2003-10-29
,2003-10-30
15047.916983555866,2003-10-31
,2003-11-01
15123.731506839671,2003-11-02
14842.96711970482,2003-11-03
15032.805961620526,2003-11-04
14917.708122004722,2003-11-05
14917.151931584624,2003-11-06
14956.132216519805,2003-11-07
,2003-11-08
15025.700666234308,2003-11-09
,2003-11-10
15013.69196875843,2003-11-11
,2003-11-12
15008.368951006913,2003-11-13
,2003-11-14
15313.337882058064,2003-11-15
15073.995207500288,2003-11-16
,2003-11-17
14973.408746286224,2003-11-18
,2003-11-19
14908.832939508502,2003-11-20
14919.927738927743,2003-11-21
14964.500644283791,2003-11-22
14998.26396445966,2003-11-23
,2003-11-24
14927.266568241459,2003-11-25
,2003-11-26
14789.624173923785,2003-11-27
,2003-11-28
14824.712073037079,2003-11-29
14772.9915376153,2003-11-30
14776.865830908147,2003-12-01
14921.558430255052,2003-12-02
,2003-12-03
15033.026532624574,2003-12-04
14821.668681817142,2003-12-05
,2003-12-06
14925.276729559748,2003-12-07
,2003-12-08
14887.343046706026,2003-12-09
,2003-12-10
14899.367954401525,2003-12-11
,2003-12-12
14826.821917808216,2003-12-13
15140.734693877552,2003-12-14
,2003-12-15
,2003-12-16
,2003-12-24
14798.32164966132,2003-12-25
,2003-12-26
,2003-12-27
,2003-12-28
,2003-12-29
,2003-12-30
,2003-12-31
,2004-01-01
14736.295283935353,2004-01-02
14835.295413127418,2004-01-03
,2004-01-04
14886.158962506419,2004-01-05
14703.309152232327,2004-01-06
14984.580543605656,2004-01-07
14868.09009070039,2004-01-08
14884.66279921517,2004-01-09
14917.883251338533,2004-01-10
14809.604723678096,2004-01-11
14822.687288691526,2004-01-12
,2004-01-13
14942.557630418663,2004-01-14
14780.362916815948,2004-01-15
,2004-01-16
14866.088230777108,2004-01-17
,2004-01-18
14898.465187460795,2004-01-19
,2004-01-20
14985.64432294787,2004-01-21
14748.799391185046,2004-01-22
,2004-01-23
,2004-01-24
,2004-01-25
,2004-01-26
,2004-01-27
14812.718626873782,2004-01-28
,2004-01-29
14892.633813905424,2004-01-30
,2004-01-31
,2004-02-01
14928.041465137765,2004-02-02
14903.469663054884,2004-02-03
14734.403965790652,2004-02-04
,2004-02-05
,2004-02-06
,2004-02-07
15001.798344229243,2004-02-08
,2004-02-09
,2004-02-10
15012.299083817223,2004-02-11
,2004-02-12
14969.76976931022,2004-02-13
,2004-02-14
15056.38489643578,2004-02-15
14751.20316501223,2004-02-16
14755.527131782945,2004-02-17
14865.948875925818,2004-02-18
,2004-02-19
14947.173250274824,2004-02-20
,2004-02-21
14958.464779005528,2004-02-22
14781.43193871538,2004-02-23
14870.309594012248,2004-02-24
14956.237641481292,2004-02-25
14954.972249714503,2004-02-26
14923.114461960242,2004-02-27
,2004-02-28
15003.574737398563,2004-02-29
,2004-03-01
15109.124222827842,2004-03-02
14964.736989278665,2004-03-03
15085.089755523984,2004-03-04
14972.725873564938,2004-03-05
,2004-03-06
,2004-03-07
,2004-03-08
14859.875469924811,2004-03-09
14805.158806343914,2004-03-10
14933.984090576352,2004-03-11
,2004-03-12
14729.933462811108,2004-03-13
14776.0,2004-03-14
14883.013884979826,2004-03-15
,2004-03-16
,2004-03-17
,2004-03-18
,2004-03-19
,2004-03-20
14940.811992735118,2004-03-21
14944.092363884289,2004-03-22
15155.596380934241,2004-03-23
,2004-03-24
15210.484017084771,2004-03-25
14976.074266281,2004-03-26
15119.302721014416,2004-03-27
15024.87599686535,2004-03-28
15036.699022053472,2004-03-29
15090.92860209146,2004-03-30
14828.81111354249,2004-03-31
15147.309756742463,2004-04-01
,2004-04-02
15176.400079302148,2004-04-03
