date,LST_Day_1km
2002-02-24,
2002-02-25,15072.762106736953
2002-02-26,14873.259020887152
2002-02-27,15100.826045488202
2002-02-28,15045.511428571433
2002-03-01,15067.813510999324
2002-03-02,
2002-03-03,
2002-03-04,15080.939209971655
2002-03-05,
2002-03-06,
2002-03-07,14755.650390476914
2002-03-08,
2002-03-09,
2002-03-10,15019.805452860095
2002-03-11,
2002-03-12,
2002-03-13,15122.484684977682
2002-03-14,14831.59127346194
2002-03-15,15146.359189670526
2002-03-16,14894.000113096585
2002-03-17,15095.236312173913
2002-03-18,14980.9697324644
2002-03-19,
2002-03-28,
2002-03-29,15141.642515585154
2002-03-30,15034.25601806933
2002-03-31,15225.240833825588
2002-04-01,15137.689068013397
2002-04-02,15137.001397697391
2002-04-03,15221.144645014758
2002-04-04,14941.170887066139
2002-04-05,15266.850760475274
2002-04-06,14842.072634006421
2002-04-07,15235.2034984598
2002-04-08,15043.708721122113
2002-04-09,15154.787921670622
2002-04-10,15030.441463744744
2002-04-11,14889.235950296528
2002-04-12,15231.16766042348
2002-04-13,
2002-04-14,15138.29772581679
2002-04-16,15183.441103940877
2002-04-17,14842.576422158341
2002-04-18,14866.340195166367
2002-04-19,14938.443278308112
2002-04-20,14597.394648829431
2002-04-21,15158.711921107448
2002-04-22,
2002-04-23,15070.132293294728
2002-04-24,14915.969366430505
2002-04-25,14952.540026296496
2002-04-26,15184.23233237537
2002-04-27,
2002-04-28,15111.953875796333
2002-04-29,
2002-04-30,15173.736914457531
2002-05-01,14859.678622561598
2002-05-02,15149.446471921201
2002-05-03,15093.50495986773
2002-05-04,15066.592034218305
2002-05-05,15166.713870771677
2002-05-06,14998.109503758975
2002-05-07,15282.514478046007
2002-05-08,
2002-05-09,
2002-05-10,
2002-05-11,14802.801944163983
2002-05-12,15151.091044218574
2002-05-13,14844.559975908192
2002-05-14,15146.351113445573
2002-05-15,
2002-05-16,15236.73468480162
2002-05-17,14979.264465705617
2002-05-18,15138.029426057938
2002-05-19,15099.374958811763
2002-05-20,15008.214636996638
2002-05-21,15066.414280434625
2002-05-22,
2002-05-23,15155.080044397797
2002-05-24,14910.442872625632
2002-05-25,
2002-05-26,
2002-05-27,15005.611224406555
2002-05-28,15074.046058000988
2002-05-29,14908.899768765568
2002-05-30,15018.259932390683
2002-05-31,
2002-06-01,14920.527258863893
2002-06-02,
