LST_Day_1km,date
14892.415328151981,2002-02-24
15364.456031998203,2002-02-25
15112.925475131284,2002-02-26
15305.375042474083,2002-02-27
15215.77967148711,2002-02-28
15295.441981901686,2002-03-01
15184.947421179757,2002-03-02
,2002-03-03
15168.278135766514,2002-03-04
15045.477065822897,2002-03-05
15001.76330777919,2002-03-06
14788.419853668182,2002-03-07
15187.335459058535,2002-03-08
14892.090451636093,2002-03-09
15198.453568712077,2002-03-10
15331.31205425947,2002-03-11
14888.35354291417,2002-03-12
15324.125810697828,2002-03-13
15171.305055003764,2002-03-14
15315.31537981114,2002-03-15
15213.620661597382,2002-03-16
15347.093526087958,2002-03-17
15351.841151861721,2002-03-18
,2002-03-19
,2002-03-28
15394.06925696922,2002-03-29
15140.26409925078,2002-03-30
15440.795921775634,2002-03-31
15336.778844199993,2002-04-01
15395.180379820746,2002-04-02
15371.814183186272,2002-04-03
,2002-04-04
15395.047462537083,2002-04-05
15052.944585542211,2002-04-06
15379.457518803685,2002-04-07
15189.289547517215,2002-04-08
15249.76741335835,2002-04-09
15117.879853015147,2002-04-10
15204.77750356235,2002-04-11
15322.365254513345,2002-04-12
14941.267551903744,2002-04-13
15533.620228237332,2002-04-14
15284.11655997949,2002-04-16
15229.316468818042,2002-04-17
15226.207282339466,2002-04-18
15176.733178477587,2002-04-19
,2002-04-20
15476.293527953736,2002-04-21
14986.0,2002-04-22
,2002-04-23
15098.56036249819,2002-04-24
15246.361320913773,2002-04-25
15211.800114911934,2002-04-26
15088.802720195932,2002-04-27
15427.862950247612,2002-04-28
14971.165418460956,2002-04-29
15356.341417748306,2002-04-30
15100.471550279228,2002-05-01
15400.601504901177,2002-05-02
15288.453581043386,2002-05-03
15179.777718852809,2002-05-04
15370.837178618181,2002-05-05
,2002-05-06
15515.483084579328,2002-05-07
15145.890039366288,2002-05-08
15347.488140183117,2002-05-09
15076.368828324177,2002-05-10
14956.0,2002-05-11
15146.34620837155,2002-05-12
14982.190062992782,2002-05-13
15223.38193121455,2002-05-14
15109.857150318603,2002-05-15
15251.5812911883,2002-05-16
15057.019525529915,2002-05-17
15198.10953774137,2002-05-18
15170.547622652943,2002-05-19
,2002-05-20
15078.57427388117,2002-05-21
,2002-05-22
15119.806973187255,2002-05-23
15291.54626804963,2002-05-24
14925.534886325457,2002-05-25
,2002-05-26
15069.425426411502,2002-05-27
15104.845356013057,2002-05-28
,2002-05-29
,2002-05-30
,2002-05-31
15165.660532938058,2002-06-01
,2002-06-02
15020.030670678445,2002-06-03
,2002-06-04
,2002-06-05
15142.556383817395,2002-06-06
,2002-06-07
,2002-06-08
15109.805078842379,2002-06-09
15115.874480634351,2002-06-10
