LST_Day_1km,date
14822.991494149841,2002-02-24
14866.0,2002-02-25
14860.476898591964,2002-02-26
14874.636380189368,2002-02-27
14917.905365348906,2002-02-28
14951.183036667095,2002-03-01
14948.87185301207,2002-03-02
14632.599260189652,2002-03-03
14770.321469189894,2002-03-04
14861.572304446383,2002-03-05
14742.512195121952,2002-03-06
14453.956043956043,2002-03-07
,2002-03-08
14912.912295386914,2002-03-09
,2002-03-10
14931.980842369094,2002-03-11
14799.287816481517,2002-03-12
14970.604103485288,2002-03-13
15027.742788858817,2002-03-14
14988.231976637102,2002-03-15
15052.488642933464,2002-03-16
14999.900313479622,2002-03-17
14985.172712838656,2002-03-18
14835.040867316073,2002-03-19
,2002-03-28
15137.001327189942,2002-03-29
15027.525943299452,2002-03-30
14951.134960467514,2002-03-31
15091.302049143975,2002-04-01
15040.70750796116,2002-04-02
15136.928319379982,2002-04-03
14949.924885536138,2002-04-04
15103.362538403084,2002-04-05
15015.491169931804,2002-04-06
15098.559872252978,2002-04-07
15105.4835118969,2002-04-08
15058.97995128373,2002-04-09
15103.315689621104,2002-04-10
,2002-04-11
15210.97139958865,2002-04-12
14927.58098721715,2002-04-13
15161.016329995853,2002-04-14
15098.163614172625,2002-04-16
15214.279913746373,2002-04-17
14894.0,2002-04-18
15152.5744360883,2002-04-19
14911.271377481098,2002-04-20
15304.044325355426,2002-04-21
15185.18159298173,2002-04-22
15180.39371249227,2002-04-23
15231.046934289405,2002-04-24
14945.571522309709,2002-04-25
14968.908983380747,2002-04-26
,2002-04-27
15165.578780431653,2002-04-28
14860.059968174583,2002-04-29
15239.039842479531,2002-04-30
15201.743492326026,2002-05-01
15107.63462216029,2002-05-02
15095.746640226147,2002-05-03
,2002-05-04
15126.127112582728,2002-05-05
14989.936542457268,2002-05-06
15226.02866215811,2002-05-07
15022.387408121678,2002-05-08
15181.148492762963,2002-05-09
15238.670300437816,2002-05-10
14985.364912086501,2002-05-11
15271.298837647284,2002-05-12
,2002-05-13
15304.622861658045,2002-05-14
15035.913087862273,2002-05-15
15191.005324169224,2002-05-16
,2002-05-17
15099.779814337175,2002-05-18
15081.265573663835,2002-05-19
,2002-05-20
,2002-05-21
,2002-05-22
15131.430789735645,2002-05-23
,2002-05-24
,2002-05-25
,2002-05-26
,2002-05-27
,2002-05-28
,2002-05-29
15085.74198274506,2002-05-30
