LST_Day_1km,date
14783.301079766796,2002-02-24
,2002-02-25
14842.111571769576,2002-02-26
,2002-02-27
14742.063074911985,2002-02-28
14849.22724127705,2002-03-01
14881.215177371621,2002-03-02
,2002-03-03
14936.38005296637,2002-03-04
14840.306627371936,2002-03-05
14716.226034159368,2002-03-06
14738.049810704475,2002-03-07
,2002-03-08
14782.034651998107,2002-03-09
,2002-03-10
14926.846753203188,2002-03-11
,2002-03-12
,2002-03-13
14846.20323298013,2002-03-14
14931.933905556718,2002-03-15
14897.071230642301,2002-03-16
14937.848486200928,2002-03-17
14986.906867720518,2002-03-18
14921.881208120529,2002-03-19
,2002-03-28
15036.345104949663,2002-03-29
14965.277154501673,2002-03-30
15019.254611317534,2002-03-31
15017.880879872064,2002-04-01
15002.024564841788,2002-04-02
15109.9684364581,2002-04-03
15029.350679094541,2002-04-04
15123.00719202594,2002-04-05
14901.23916189884,2002-04-06
15092.497040941344,2002-04-07
15022.340442217042,2002-04-08
14955.875838953409,2002-04-09
15048.172870420542,2002-04-10
,2002-04-11
15091.90063462275,2002-04-12
14824.628548657207,2002-04-13
15051.361252723318,2002-04-14
14961.520319871755,2002-04-16
14956.047848520415,2002-04-17
14902.829762029196,2002-04-18
15025.008201915156,2002-04-19
15012.0,2002-04-20
15127.75823025146,2002-04-21
14957.931149156742,2002-04-22
14929.138547258272,2002-04-23
14816.473747763865,2002-04-24
,2002-04-25
14983.6663050349,2002-04-26
,2002-04-27
15030.547393192463,2002-04-28
14822.083105441703,2002-04-29
15087.520257450195,2002-04-30
14862.719267014403,2002-05-01
14932.834782741467,2002-05-02
14958.329878193588,2002-05-03
,2002-05-04
15049.424418882527,2002-05-05
15054.16727856286,2002-05-06
15111.153292941099,2002-05-07
14881.957853863436,2002-05-08
15009.792505455616,2002-05-09
15013.50137168677,2002-05-10
14989.840093264036,2002-05-11
15055.350392869084,2002-05-12
,2002-05-13
15127.334131833219,2002-05-14
14927.287918308453,2002-05-15
15062.7746108083,2002-05-16
14893.167510617448,2002-05-17
14995.226131258387,2002-05-18
14968.157065888001,2002-05-19
,2002-05-20
15131.03819698522,2002-05-21
,2002-05-22
15208.213733773624,2002-05-23
14989.62572338282,2002-05-24
,2002-05-25
14750.973410990126,2002-05-26
15045.511078434316,2002-05-27
15019.31769180815,2002-05-28
,2002-05-29
15030.533588345792,2002-05-30
,2002-05-31
,2002-06-01
,2002-06-02
15046.537047514643,2002-06-03
14948.943605267606,2002-06-04
15177.27734876751,2002-06-05
15009.156033676334,2002-06-06
,2002-06-07
,2002-06-08
14804.253738428672,2002-06-09
15077.330416606213,2002-06-10
14970.317510041838,2002-06-11
14926.389950454608,2002-06-12
14977.343174311174,2002-06-13
,2002-06-14
15054.799185850303,2002-06-15
14695.686695376253,2002-06-16
14998.029093260826,2002-06-17
14906.811985056891,2002-06-18
14984.24665329585,2002-06-19
14647.0,2002-06-20
,2002-06-21
15053.202364588906,2002-06-22
14936.088617154146,2002-06-23
15135.943231352492,2002-06-24
14942.629972887087,2002-06-25
15042.473255795914,2002-06-26
14940.341913459077,2002-06-27
15003.852336285987,2002-06-28
15087.601028368215,2002-06-29
,2002-06-30
15106.846418930294,2002-07-01
,2002-07-02
14928.556000866552,2002-07-03
14702.00837855257,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
15061.182024710235,2002-07-17
14866.182137665211,2002-07-18
14981.813599397952,2002-07-19
,2002-07-20
,2002-07-21
14965.895559552448,2002-07-22
14806.872856957003,2002-07-23
15032.067816619663,2002-07-24
,2002-07-25
15048.257919378977,2002-07-26
14854.491770764465,2002-07-27
15033.154906742555,2002-07-28
14836.081408140817,2002-07-29
15096.63132292749,2002-07-30
15050.052080171236,2002-07-31
,2002-08-01
14870.32359529143,2002-08-02
,2002-08-03
,2002-08-04
15238.024915361828,2002-08-05
,2002-08-06
14975.404489801473,2002-08-07
,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
14791.714676150015,2002-08-14
,2002-08-15
14793.0,2002-08-16
,2002-08-17
15094.9977182975,2002-08-18
14985.205990465694,2002-08-19
,2002-08-20
,2002-08-21
14945.872050356487,2002-08-22
15020.012831069711,2002-08-23
14909.036635079734,2002-08-24
15092.193162794032,2002-08-25
14756.0,2002-08-26
15149.991341281248,2002-08-27
14818.455827884032,2002-08-28
15048.971138776276,2002-08-29
14966.95544544649,2002-08-30
,2002-08-31
15094.31614252229,2002-09-01
,2002-09-02
15113.518281213732,2002-09-03
14935.118078619933,2002-09-04
15059.99691904082,2002-09-05
,2002-09-06
,2002-09-07
,2002-09-08
,2002-09-09
,2002-09-10
,2002-09-11
15008.896613510131,2002-09-12
,2002-09-13
,2002-09-14
14917.43408802794,2002-09-15
14983.292126414008,2002-09-16
