date,LST_Day_1km
2002-02-24,
2002-02-25,15107.016264786173
2002-02-26,14988.311041383136
2002-02-27,15106.919297212888
2002-02-28,15031.350482180653
2002-03-01,15026.859036400949
2002-03-02,15080.71730479034
2002-03-03,15057.13145258103
2002-03-04,15064.594419768948
2002-03-05,14934.660717791747
2002-03-06,14985.764531804873
2002-03-07,
2002-03-08,
2002-03-09,
2002-03-10,15132.13354360276
2002-03-11,14816.21998535871
2002-03-12,
2002-03-13,15017.835638297875
2002-03-14,
2002-03-15,15064.052386419553
2002-03-16,15036.375099811554
2002-03-17,15118.653772021362
2002-03-18,15231.307690711155
2002-03-19,
2002-03-28,
2002-03-29,15218.775055336737
2002-03-30,15023.883557511113
2002-03-31,15109.627988056556
2002-04-01,14772.391919408425
2002-04-02,15054.302966757454
2002-04-03,15025.389123534367
2002-04-04,
2002-04-05,15264.065489858176
2002-04-06,
2002-04-07,15236.691326252856
2002-04-08,14991.983406631563
2002-04-09,15158.855529585115
2002-04-10,
2002-04-11,14881.0
2002-04-12,15190.821760736224
2002-04-13,
2002-04-14,15297.67070310718
2002-04-16,
2002-04-17,15057.1620430623
2002-04-18,
2002-04-19,15155.362770630072
2002-04-20,
2002-04-21,15225.01305553256
2002-04-22,14813.94306545302
2002-04-23,15130.215631479312
2002-04-24,14739.066065662002
2002-04-25,
2002-04-26,14926.567075369632
2002-04-27,
2002-04-28,15206.88194416388
2002-04-29,
2002-04-30,15231.317626795279
2002-05-01,
2002-05-02,
2002-05-03,14805.596613135685
2002-05-04,
2002-05-05,15083.922133218643
2002-05-06,
2002-05-07,14964.555097230403
2002-05-08,
2002-05-09,
2002-05-10,
2002-05-11,15018.662127659574
2002-05-12,
2002-05-13,
2002-05-14,15153.393220549136
2002-05-15,
2002-05-16,15187.961283003979
2002-05-17,15028.457177226492
2002-05-18,15153.418387828226
2002-05-19,15016.623927300205
2002-05-20,15144.856822429907
2002-05-21,14956.0
2002-05-22,15135.192444300932
2002-05-23,
2002-05-24,
2002-05-25,15131.22113070484
2002-05-26,15014.237236209357
2002-05-27,15112.743008413374
2002-05-28,14971.011294491944
2002-05-29,
2002-05-30,15114.898298761374
2002-05-31,
2002-06-01,15177.343084367862
2002-06-02,15050.850565640621
2002-06-03,14981.928667549995
2002-06-04,
2002-06-05,
2002-06-06,15082.892967747253
2002-06-07,
2002-06-08,
2002-06-09,
2002-06-10,15114.26773915202
2002-06-11,14906.616312992044
2002-06-12,
2002-06-13,14826.165599268068
2002-06-14,
2002-06-15,
2002-06-16,
2002-06-17,14947.539360200719
2002-06-18,
2002-06-19,
2002-06-20,
2002-06-21,
2002-06-22,
2002-06-23,
2002-06-24,14941.342697501166
2002-06-25,
2002-06-26,
2002-06-27,14904.13689813197
2002-06-28,
2002-06-29,
2002-06-30,
2002-07-01,14913.83885789301
2002-07-02,
2002-07-03,14846.34646017699
2002-07-04,
2002-07-05,
2002-07-06,14962.669055923954
2002-07-07,
2002-07-08,14847.288938190071
2002-07-09,14809.30102383349
2002-07-10,15093.52596755755
2002-07-11,14931.773910850521
2002-07-12,
2002-07-13,
2002-07-14,14694.0
2002-07-15,14887.346789943054
2002-07-16,14889.575025329897
2002-07-17,15021.002627789787
2002-07-18,
2002-07-19,14929.890965313254
2002-07-20,
2002-07-21,15052.128664841059
2002-07-22,15009.821416581108
2002-07-23,14926.49273220005
2002-07-24,14956.105614657208
2002-07-25,
2002-07-26,15005.17134937634
2002-07-27,
2002-07-28,15079.857994853164
2002-07-29,14836.579798076687
2002-07-30,14953.06417729205
2002-07-31,14885.835982670342
2002-08-01,
2002-08-02,15116.580093071654
2002-08-03,
2002-08-04,
2002-08-05,
2002-08-06,15120.419903169317
2002-08-07,15008.707183444438
2002-08-08,15064.738538838168
2002-08-09,
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,
2002-08-14,
2002-08-15,
2002-08-16,
2002-08-17,
2002-08-18,15072.78610152785
2002-08-19,
2002-08-20,15068.951280195997
2002-08-21,
2002-08-22,15092.296450056992
2002-08-23,14895.383807185657
2002-08-24,14929.846669845463
2002-08-25,15083.672137163272
2002-08-26,
2002-08-27,
2002-08-28,
2002-08-29,
2002-08-30,
2002-08-31,15029.287944533537
2002-09-01,
2002-09-02,
2002-09-03,15050.658119658121
2002-09-04,
2002-09-05,14999.2723210876
2002-09-06,
2002-09-07,14975.0
2002-09-08,
2002-09-09,14780.85300988695
2002-09-10,
2002-09-11,
2002-09-12,15150.128223656746
2002-09-13,
2002-09-14,
2002-09-15,
2002-09-16,15090.303168797765
2002-09-17,15055.864345348651
2002-09-18,
2002-09-19,14930.709136006615
2002-09-20,
2002-09-21,14956.411764705883
2002-09-22,
2002-09-23,15086.936796252154
2002-09-24,14970.442423692677
2002-09-25,14916.679101321011
2002-09-26,15098.26130679115
2002-09-27,
2002-09-28,15135.771067136759
2002-09-29,15144.963872271912
2002-09-30,
2002-10-01,
2002-10-02,15025.387227741683
2002-10-03,15058.234848068876
2002-10-04,14989.881747627387
2002-10-05,14894.054365206264
2002-10-06,
2002-10-07,15185.265610723176
2002-10-08,14704.0
2002-10-09,15063.64160883281
2002-10-10,15072.460588450413
2002-10-11,15156.877872899066
2002-10-12,
2002-10-13,
2002-10-14,15156.353119657808
2002-10-15,15031.503797862137
2002-10-16,15079.63933413584
2002-10-17,15039.302711226828
2002-10-18,15087.098186887913
2002-10-19,15139.143810477142
2002-10-20,
2002-10-21,15090.484955752212
2002-10-22,
2002-10-23,
2002-10-24,14918.86412516527
2002-10-25,15103.04001966707
2002-10-26,14919.584161863124
2002-10-27,
2002-10-28,15076.204080062322
2002-10-29,14967.294721407621
2002-10-30,15044.435086965303
2002-10-31,14932.693995872265
2002-11-01,14963.154681139757
2002-11-02,14923.935768743222
2002-11-03,15008.786902668542
2002-11-04,
2002-11-05,
2002-11-06,14954.371759392374
2002-11-07,
2002-11-08,15065.573933786789
2002-11-09,14563.940720000004
2002-11-10,
2002-11-11,14904.460756977867
2002-11-12,14999.626252734173
2002-11-13,14891.697571578481
2002-11-14,
2002-11-15,15114.49496422426
2002-11-16,
2002-11-17,15018.0
2002-11-18,15009.604817937556
2002-11-19,14878.554191137211
2002-11-20,
2002-11-21,
2002-11-22,
2002-11-23,
2002-11-24,
2002-11-25,
2002-11-26,14774.495633253757
2002-11-27,
2002-11-28,
2002-11-29,15033.559981042648
2002-11-30,
2002-12-01,15133.07090792597
2002-12-02,14740.661704390093
2002-12-03,15070.430115535533
2002-12-04,14949.186796068841
2002-12-05,15004.472234567742
2002-12-06,14948.840418403486
2002-12-07,14755.099849131979
2002-12-08,15073.14368027521
2002-12-09,
2002-12-10,15123.51440692885
2002-12-11,14751.030094033342
2002-12-12,14937.547198879553
2002-12-13,14893.759269248922
2002-12-14,15022.05060517823
2002-12-15,15045.231892806312
2002-12-16,14762.138339920946
2002-12-17,15014.812214485295
2002-12-18,14706.374217442799
2002-12-19,15129.141317888396
2002-12-20,14948.78080827791
2002-12-21,15063.411855118946
2002-12-22,15048.437443176654
2002-12-23,15063.054944213727
2002-12-24,
2002-12-25,
2002-12-26,
2002-12-27,
2002-12-28,
2002-12-29,
2002-12-30,
2002-12-31,15103.898057432096
2003-01-01,
2003-01-02,15074.559101603345
2003-01-03,
2003-01-04,14940.27375771683
2003-01-05,
2003-01-06,
2003-01-07,
2003-01-08,15017.563283369933
2003-01-09,14964.760010400416
2003-01-10,
2003-01-11,14998.762101853521
2003-01-12,14927.710582438842
2003-01-13,15070.407790152682
2003-01-14,14954.350502512563
2003-01-15,14981.351174215184
2003-01-16,15006.71193729368
2003-01-17,
2003-01-18,15113.223779749906
2003-01-19,14923.08913974788
2003-01-20,14788.817713304064
2003-01-21,15061.704028450346
2003-01-22,
2003-01-23,14851.941851712456
2003-01-24,14962.118426178418
2003-01-25,
2003-01-26,
2003-01-27,15055.892334698652
2003-01-28,
2003-01-29,15075.7091314169
2003-01-30,
2003-01-31,14972.908996170809
2003-02-01,
2003-02-02,
2003-02-03,
2003-02-04,
2003-02-05,
2003-02-06,
2003-02-07,14870.555236270751
2003-02-08,15078.644030668125
2003-02-09,
2003-02-10,15086.049835223626
2003-02-11,
2003-02-12,15312.299015366349
2003-02-13,15066.392499920112
2003-02-14,
2003-02-15,14877.675484584672
2003-02-16,15067.65424477825
2003-02-17,15195.766172131107
2003-02-18,
2003-02-19,15112.838952536827
2003-02-20,
2003-02-21,14982.549470609705
2003-02-22,14910.683247776731
2003-02-23,
2003-02-24,
2003-02-25,15022.900008146282
2003-02-26,14939.0
2003-02-27,
2003-02-28,15218.703545721148
2003-03-01,14950.478920134983
2003-03-02,15141.11001410437
2003-03-03,15115.397568981665
2003-03-04,
2003-03-05,15227.793167369655
2003-03-06,
2003-03-07,15060.210018774535
2003-03-08,15091.449687686232
2003-03-09,15290.620596633978
2003-03-10,15151.575435098874
2003-03-11,14820.341686045247
2003-03-12,15167.883171259298
2003-03-13,15008.862631942951
2003-03-14,15277.850454367132
2003-03-15,
2003-03-16,15216.51639744277
2003-03-17,15091.062737855382
2003-03-18,15147.804892633867
2003-03-19,
2003-03-20,
2003-03-21,15164.566210631694
2003-03-22,
2003-03-23,15263.324985303221
2003-03-24,14826.118257747252
2003-03-25,15339.967276930289
2003-03-26,15123.331128217465
2003-03-27,
2003-03-28,
2003-03-29,
2003-03-30,15104.545977372723
2003-03-31,
2003-04-01,15282.061151008507
2003-04-02,
2003-04-03,14983.496283879942
2003-04-04,15075.220015061983
2003-04-05,14935.176388501259
2003-04-06,15130.743859809456
2003-04-07,
2003-04-08,15290.566485722771
2003-04-09,14818.012501544166
2003-04-10,15280.794145997263
2003-04-11,15049.984365180273
2003-04-12,15210.110620007557
2003-04-13,15182.210213464185
2003-04-14,14989.146700507614
2003-04-15,15267.709781175843
2003-04-16,
2003-04-17,15283.533180686103
2003-04-18,15001.337704332853
2003-04-19,15204.887149604188
2003-04-20,15122.909255928236
2003-04-21,15028.506121021332
2003-04-22,
2003-04-23,
2003-04-24,15211.406616828115
2003-04-25,
2003-04-26,14970.554123148868
2003-04-27,
2003-04-28,15058.026243224509
2003-04-29,15176.728918209325
2003-04-30,15001.150882549256
2003-05-01,15183.641674769073
2003-05-02,
2003-05-03,15163.365673919687
2003-05-04,
2003-05-05,15147.954942020984
2003-05-06,
2003-05-07,
2003-05-08,14986.012737074983
2003-05-09,
2003-05-10,
2003-05-11,
2003-05-12,
2003-05-13,
2003-05-14,15036.319486993098
2003-05-15,15098.560077519382
2003-05-16,
2003-05-17,
2003-05-18,
2003-05-19,15113.260630875859
2003-05-20,
2003-05-21,15048.800025028155
2003-05-22,
2003-05-23,15006.808443525748
2003-05-24,15153.216227979625
2003-05-25,14949.089074074078
2003-05-26,
2003-05-27,
2003-05-28,
2003-05-29,
2003-05-30,14829.308556687505
2003-05-31,14921.492762867381
2003-06-01,15166.537723671889
2003-06-02,15131.44528582105
2003-06-03,
2003-06-04,15173.09931186081
2003-06-05,14952.837061668684
2003-06-06,
2003-06-07,15086.007209194591
2003-06-08,15118.417723753555
2003-06-09,14929.0
2003-06-10,
2003-06-11,15196.07241577399
2003-06-12,15253.174032774567
2003-06-13,15092.649084568437
2003-06-14,14987.547458486006
2003-06-15,
2003-06-16,14950.761201259385
2003-06-17,14950.59185703167
2003-06-18,
2003-06-19,
2003-06-20,
2003-06-21,14774.121339473335
2003-06-22,14976.003939943474
2003-06-23,14907.36012847589
2003-06-24,15005.92719533499
2003-06-25,15080.751327517848
2003-06-26,
2003-06-27,14995.709001181025
2003-06-28,
2003-06-29,15021.529383429672
2003-06-30,14964.018232884511
2003-07-01,14880.67387610073
2003-07-02,
2003-07-03,14859.41083095141
2003-07-04,14974.199353983768
2003-07-05,
2003-07-06,
2003-07-07,
2003-07-08,14888.796719831478
2003-07-09,
2003-07-10,14951.244140235867
2003-07-11,15053.372730469064
2003-07-12,
2003-07-13,14993.340125900457
2003-07-14,14829.999399038463
2003-07-15,
2003-07-16,14942.735518634934
2003-07-17,
2003-07-18,
2003-07-19,
2003-07-20,
2003-07-21,
2003-07-22,
2003-07-23,
2003-07-24,
2003-07-25,
2003-07-26,15016.698934912942
2003-07-27,15026.309521631376
2003-07-28,
2003-07-29,15032.241725810853
2003-07-30,
2003-07-31,
2003-08-01,
2003-08-02,
2003-08-03,14906.240169423616
2003-08-04,14637.743690036898
2003-08-05,14824.243370732614
2003-08-06,
2003-08-07,15146.004937724138
2003-08-08,14798.485892344352
2003-08-09,15115.170723782305
2003-08-10,
2003-08-11,
2003-08-12,15066.217653787493
2003-08-13,
2003-08-14,14930.497023809527
2003-08-15,
2003-08-16,14969.624629425556
2003-08-17,
2003-08-18,
2003-08-19,
2003-08-20,15072.222442680777
2003-08-21,15142.563440338792
2003-08-22,
2003-08-23,
2003-08-24,15020.801767366838
2003-08-25,14960.392466679108
2003-08-26,
2003-08-27,14834.798621601209
2003-08-28,15036.024817518246
2003-08-29,
2003-08-30,15144.733221829094
2003-08-31,14951.445019585899
2003-09-01,
2003-09-02,
2003-09-03,14987.232515767342
2003-09-04,14918.520773562848
2003-09-05,15080.348457812897
2003-09-06,
2003-09-07,
2003-09-08,15060.643326039384
2003-09-09,
2003-09-10,14847.16113744076
2003-09-11,
2003-09-12,15015.939719452621
2003-09-13,15075.609508106621
2003-09-14,
2003-09-15,15119.22487182211
2003-09-16,
2003-09-17,
2003-09-18,14577.218299203065
2003-09-19,14762.870702589858
2003-09-20,14844.342581489149
2003-09-21,
2003-09-22,
2003-09-23,
2003-09-24,15119.790324596855
2003-09-25,14905.311937164206
2003-09-26,15007.660672285016
2003-09-27,14707.728979940246
2003-09-28,
2003-09-29,
2003-09-30,
2003-10-01,15036.210166771893
2003-10-02,14632.0
2003-10-03,
2003-10-04,
2003-10-05,14734.614663010538
2003-10-06,14937.734700717196
2003-10-07,15092.030234705342
2003-10-08,
2003-10-09,
2003-10-10,15015.917409101858
2003-10-11,
2003-10-12,15025.71825749251
2003-10-13,14996.760224813304
2003-10-14,
2003-10-15,
2003-10-16,
2003-10-17,
2003-10-18,
2003-10-19,
2003-10-20,
2003-10-21,
2003-10-22,
2003-10-23,
2003-10-24,
2003-10-25,
2003-10-26,15130.11282847751
2003-10-27,14952.2615084154
2003-10-28,15104.583687932403
2003-10-29,14900.959115087038
2003-10-30,14918.869325095944
2003-10-31,15045.593216787403
2003-11-01,
2003-11-02,15102.25782852868
2003-11-03,
2003-11-04,
2003-11-05,14951.161210816328
2003-11-06,15025.758943168821
2003-11-07,15065.022605008893
2003-11-08,
2003-11-09,15100.483651071172
2003-11-10,
2003-11-11,15055.50745656301
2003-11-12,15098.603166248276
2003-11-13,15113.268484846507
2003-11-14,14776.1
2003-11-15,14974.929510237971
2003-11-16,15093.3296558407
2003-11-17,15070.888374463748
2003-11-18,15062.176278381874
2003-11-19,
2003-11-20,14850.330663615558
2003-11-21,15033.884093609911
2003-11-22,15010.136215310857
2003-11-23,15001.076758824413
2003-11-24,14911.927502079292
2003-11-25,15113.053688364022
2003-11-26,
2003-11-27,14992.66238856748
2003-11-28,
2003-11-29,14842.829295131323
2003-11-30,14937.620251505034
2003-12-01,14987.119990016652
2003-12-02,14908.85583021418
2003-12-03,
2003-12-04,14867.058978425628
2003-12-05,
2003-12-06,15110.42797150454
2003-12-07,
2003-12-08,14948.542309223865
2003-12-09,14966.31498651694
2003-12-10,
2003-12-11,14902.916310541308
2003-12-12,
2003-12-13,
2003-12-14,
