LST_Day_1km,date
15023.8819272755,2002-02-24
15162.847054606296,2002-02-25
15133.294209208803,2002-02-26
15079.919155430693,2002-02-27
15048.591296135985,2002-02-28
,2002-03-01
15269.922432376276,2002-03-02
,2002-03-03
15206.049865153042,2002-03-04
15097.367656645765,2002-03-05
15027.38742194719,2002-03-06
14894.826291079811,2002-03-07
14980.802244039269,2002-03-08
15154.565280427314,2002-03-09
,2002-03-10
15309.966625297577,2002-03-11
,2002-03-12
15100.42618528893,2002-03-13
15242.156531469074,2002-03-14
15070.454600237166,2002-03-15
15358.914163705482,2002-03-16
,2002-03-17
15361.296442560842,2002-03-18
14975.823397154396,2002-03-19
,2002-03-28
15400.54886669529,2002-03-29
15366.572936126367,2002-03-30
15340.12910569721,2002-03-31
15481.820955263833,2002-04-01
,2002-04-02
15491.849052474267,2002-04-03
15066.849887956298,2002-04-04
15383.980477214653,2002-04-05
15301.445878094351,2002-04-06
15351.012366463116,2002-04-07
15455.397541141185,2002-04-08
15159.724394991004,2002-04-09
15460.159497164734,2002-04-10
,2002-04-11
15335.730091466228,2002-04-12
15250.881880184996,2002-04-13
15361.7603110828,2002-04-14
15015.530057453885,2002-04-16
15395.105225821708,2002-04-17
,2002-04-18
15421.235010467577,2002-04-19
15071.304951799664,2002-04-20
15469.474939473796,2002-04-21
15284.738208357563,2002-04-22
15077.36038372654,2002-04-23
15336.127540276044,2002-04-24
15060.06983521688,2002-04-25
15379.094126742528,2002-04-26
,2002-04-27
15491.640527140986,2002-04-28
15244.132456843685,2002-04-29
15414.887532366765,2002-04-30
15346.673739772845,2002-05-01
15189.050598980071,2002-05-02
15387.236194919702,2002-05-03
,2002-05-04
15522.606151690854,2002-05-05
15052.517879261683,2002-05-06
15523.107317505206,2002-05-07
15326.946884279698,2002-05-08
15259.65831266345,2002-05-09
15477.332237778919,2002-05-10
15167.8480192705,2002-05-11
15511.554225141012,2002-05-12
,2002-05-13
15554.015274688609,2002-05-14
15175.853463028012,2002-05-15
15465.230802154825,2002-05-16
15258.753154584394,2002-05-17
15176.16392515436,2002-05-18
15423.076165543795,2002-05-19
,2002-05-20
,2002-05-21
,2002-05-22
15171.343001261033,2002-05-23
,2002-05-24
15000.0,2002-05-25
,2002-05-26
14894.681818181818,2002-05-27
15173.297891963104,2002-05-28
,2002-05-29
15158.898413473284,2002-05-30
,2002-05-31
,2002-06-01
,2002-06-02
,2002-06-03
15089.210227272728,2002-06-04
,2002-06-05
15036.851900393185,2002-06-06
,2002-06-07
,2002-06-08
15069.66503548825,2002-06-09
15143.955133689009,2002-06-10
15187.782229185319,2002-06-11
,2002-06-12
,2002-06-13
,2002-06-14
15193.027677326922,2002-06-15
,2002-06-16
15097.722339114178,2002-06-17
15172.310505002375,2002-06-18
15063.64,2002-06-19
,2002-06-20
,2002-06-21
15026.029016926537,2002-06-22
14896.731989473206,2002-06-23
15211.641390442966,2002-06-24
15009.38701952878,2002-06-25
15173.432753842279,2002-06-26
,2002-06-27
15507.791389921395,2002-06-28
15184.511899806213,2002-06-29
,2002-06-30
15056.04411460131,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
15061.732986897303,2002-07-17
15047.88392932982,2002-07-18
15073.660962566844,2002-07-19
,2002-07-20
,2002-07-21
14840.888250194863,2002-07-22
,2002-07-23
,2002-07-24
,2002-07-25
,2002-07-26
,2002-07-27
,2002-07-28
14985.063508410572,2002-07-29
15111.767479074346,2002-07-30
15024.52576427313,2002-07-31
,2002-08-01
,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
,2002-08-06
14988.442965188566,2002-08-07
,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
,2002-08-17
,2002-08-18
15063.472473551525,2002-08-19
15078.914985368861,2002-08-20
,2002-08-21
15018.5107391136,2002-08-22
15174.830010383004,2002-08-23
,2002-08-24
15200.787138867241,2002-08-25
14903.094333593697,2002-08-26
15131.462278971214,2002-08-27
15023.655142516529,2002-08-28
15066.487380738075,2002-08-29
14937.38915374206,2002-08-30
,2002-08-31
15067.446355604845,2002-09-01
,2002-09-02
15244.441125043506,2002-09-03
15018.035841183,2002-09-04
14943.83651269116,2002-09-05
,2002-09-06
,2002-09-07
,2002-09-08
,2002-09-09
,2002-09-10
,2002-09-11
,2002-09-12
,2002-09-13
,2002-09-14
,2002-09-15
,2002-09-16
,2002-09-17
,2002-09-18
15098.442110070791,2002-09-19
,2002-09-20
14966.423993426459,2002-09-21
14817.74410711558,2002-09-22
,2002-09-23
15110.518514659612,2002-09-24
,2002-09-25
15165.91962287857,2002-09-26
14988.455607598116,2002-09-27
,2002-09-28
15063.288543167413,2002-09-29
,2002-09-30
15035.259873134855,2002-10-01
,2002-10-02
15016.589293750132,2002-10-03
,2002-10-04
,2002-10-05
,2002-10-06
14979.423935690755,2002-10-07
15057.862623564357,2002-10-08
,2002-10-09
15030.304802696255,2002-10-10
,2002-10-11
15066.791540369251,2002-10-12
,2002-10-13
15107.949729777552,2002-10-14
,2002-10-15
14980.090252002345,2002-10-16
15033.968763362578,2002-10-17
15007.736523290763,2002-10-18
15044.536087697483,2002-10-19
,2002-10-20
,2002-10-21
,2002-10-22
15043.423299252481,2002-10-23
15092.920950388523,2002-10-24
15107.657121984765,2002-10-25
15111.04729229026,2002-10-26
,2002-10-27
15088.84915317432,2002-10-28
,2002-10-29
,2002-10-30
,2002-10-31
15043.871674027201,2002-11-01
15088.710450136512,2002-11-02
,2002-11-03
,2002-11-04
,2002-11-05
,2002-11-06
14898.569249835838,2002-11-07
15089.79927430835,2002-11-08
14928.551425279293,2002-11-09
,2002-11-10
15048.758313788969,2002-11-11
,2002-11-12
15124.19257145695,2002-11-13
14916.960590602666,2002-11-14
14987.81246577843,2002-11-15
14981.525153884335,2002-11-16
14955.89940839394,2002-11-17
15037.485711371477,2002-11-18
15212.590566238181,2002-11-19
15078.026209798925,2002-11-20
,2002-11-21
,2002-11-22
,2002-11-23
14983.791203761495,2002-11-24
,2002-11-25
,2002-11-26
14894.88283385774,2002-11-27
,2002-11-28
15065.244534073878,2002-11-29
14906.381340155189,2002-11-30
15045.716179605159,2002-12-01
14715.707803992742,2002-12-02
15057.217638691322,2002-12-03
15068.486149849714,2002-12-04
14936.402862717687,2002-12-05
15126.889978123678,2002-12-06
,2002-12-07
15151.962874745137,2002-12-08
15010.594497528728,2002-12-09
14991.093690516187,2002-12-10
14850.394770562358,2002-12-11
14859.255748532289,2002-12-12
14971.915336207901,2002-12-13
,2002-12-14
15049.193851287657,2002-12-15
14951.625517339286,2002-12-16
15103.029019885704,2002-12-17
14927.17309997373,2002-12-18
15064.05355806036,2002-12-19
15113.805058975138,2002-12-20
15046.857164321127,2002-12-21
15146.366495396856,2002-12-22
,2002-12-23
,2002-12-24
,2002-12-25
15040.930569308057,2002-12-26
14962.637207356347,2002-12-27
14869.840174760211,2002-12-28
14859.474117895625,2002-12-29
,2002-12-30
15159.26125289036,2002-12-31
14956.145955225682,2003-01-01
15039.501509036925,2003-01-02
14871.83026999176,2003-01-03
14958.316813652596,2003-01-04
14896.945871071946,2003-01-05
,2003-01-06
14976.924812592304,2003-01-07
,2003-01-08
15012.447125695868,2003-01-09
15007.647530735927,2003-01-10
15058.401724480518,2003-01-11
14975.252626138792,2003-01-12
14983.245196813492,2003-01-13
14949.101160724862,2003-01-14
,2003-01-15
15003.278126285482,2003-01-16
14761.959288575374,2003-01-17
15123.16561801866,2003-01-18
14953.695148669802,2003-01-19
14930.251661384582,2003-01-20
14855.715711552863,2003-01-21
14944.982972314794,2003-01-22
14939.508966145933,2003-01-23
,2003-01-24
15143.465262369451,2003-01-25
15016.400787935414,2003-01-26
15200.61254360852,2003-01-27
15104.259200250897,2003-01-28
15023.592139010005,2003-01-29
15004.321993388918,2003-01-30
,2003-01-31
,2003-02-01
14856.5527949206,2003-02-02
15159.326778400484,2003-02-03
15033.765236013507,2003-02-04
15064.554179522844,2003-02-05
15058.153261040394,2003-02-06
14927.592930274272,2003-02-07
14961.624340949033,2003-02-08
,2003-02-09
15281.529695451341,2003-02-10
,2003-02-11
,2003-02-12
15054.560889004717,2003-02-13
15032.24079866777,2003-02-14
15190.055449048823,2003-02-15
,2003-02-16
15289.870211961943,2003-02-17
15096.571299342357,2003-02-18
15286.03547567164,2003-02-19
15161.438295331336,2003-02-20
14976.108311950853,2003-02-21
15154.511508923975,2003-02-22
15131.508577204566,2003-02-23
15264.421939362055,2003-02-24
,2003-02-25
15248.094558441475,2003-02-26
15126.829147254432,2003-02-27
15195.594121968456,2003-02-28
15232.284752015385,2003-03-01
15175.569003963165,2003-03-02
15333.815893313733,2003-03-03
,2003-03-04
15335.808357663644,2003-03-05
15132.660852161798,2003-03-06
15309.169048367334,2003-03-07
15156.403844785053,2003-03-08
14959.274650150459,2003-03-09
15188.416541036922,2003-03-10
,2003-03-11
15125.749888749147,2003-03-12
,2003-03-13
15224.845211387626,2003-03-14
15115.877301671577,2003-03-15
15208.170565939094,2003-03-16
15318.085823776448,2003-03-17
15235.85749516786,2003-03-18
15377.263511483156,2003-03-19
,2003-03-20
15380.389906338853,2003-03-21
14831.52380952381,2003-03-22
15327.281661362782,2003-03-23
15258.58281218675,2003-03-24
15330.750469885003,2003-03-25
15245.971364647234,2003-03-26
15155.559408911433,2003-03-27
15460.839489731545,2003-03-28
,2003-03-29
15281.843367246836,2003-03-30
15208.642483858657,2003-03-31
15265.538634611125,2003-04-01
15354.327758160596,2003-04-02
15233.86608164539,2003-04-03
15407.0216196231,2003-04-04
,2003-04-05
15495.815360532153,2003-04-06
15038.045884755587,2003-04-07
15482.608147924742,2003-04-08
15384.908061781884,2003-04-09
15312.04675178563,2003-04-10
15399.129556851845,2003-04-11
15288.801151854528,2003-04-12
15597.481037798108,2003-04-13
,2003-04-14
15594.508484427315,2003-04-15
15217.12571197193,2003-04-16
15411.748414354624,2003-04-17
