LST_Day_1km,date
14856.733973596572,2002-02-24
14901.840494390328,2002-02-25
,2002-02-26
14903.667601420826,2002-02-27
14966.08981886667,2002-02-28
,2002-03-01
14739.409090909092,2002-03-02
14818.58313614135,2002-03-03
14934.505414796216,2002-03-04
14811.720819490585,2002-03-05
,2002-03-06
,2002-03-07
,2002-03-08
14938.89817742235,2002-03-09
,2002-03-10
15018.608233952582,2002-03-11
14714.417620706818,2002-03-12
,2002-03-13
14989.897403419885,2002-03-14
15106.723905377228,2002-03-15
15065.667621776503,2002-03-16
,2002-03-17
,2002-03-18
,2002-03-19
,2002-03-28
15196.040656153264,2002-03-29
15006.545948836792,2002-03-30
,2002-03-31
15000.634766088813,2002-04-01
,2002-04-02
15163.136396401205,2002-04-03
14783.872119815665,2002-04-04
15039.427924747706,2002-04-05
14930.271711249541,2002-04-06
15138.06251661391,2002-04-07
15004.002642735233,2002-04-08
15018.278133116253,2002-04-09
15214.840570425207,2002-04-10
,2002-04-11
15157.961094787246,2002-04-12
,2002-04-13
15057.212850590571,2002-04-14
14871.4390634262,2002-04-16
15160.59514077534,2002-04-17
,2002-04-18
15136.488677742365,2002-04-19
14758.936889656552,2002-04-20
15046.897530191589,2002-04-21
15159.24697877776,2002-04-22
15003.76201631795,2002-04-23
15120.714802367213,2002-04-24
14751.801822730522,2002-04-25
14817.455971821964,2002-04-26
,2002-04-27
15367.057189542482,2002-04-28
15000.45648245543,2002-04-29
15168.461049507165,2002-04-30
15114.62197756971,2002-05-01
14913.95268975681,2002-05-02
15161.791051363001,2002-05-03
,2002-05-04
15325.054114794328,2002-05-05
15036.720875935913,2002-05-06
15197.767073309771,2002-05-07
14888.920550713658,2002-05-08
15127.285181582358,2002-05-09
14981.991160172398,2002-05-10
14947.44530254469,2002-05-11
15248.113443104512,2002-05-12
,2002-05-13
15276.959804400973,2002-05-14
14935.969131772825,2002-05-15
15166.608737864077,2002-05-16
15230.19731543624,2002-05-17
15129.802601539684,2002-05-18
,2002-05-19
,2002-05-20
15154.90323425429,2002-05-21
,2002-05-22
15171.044114516815,2002-05-23
,2002-05-24
,2002-05-25
,2002-05-26
,2002-05-27
,2002-05-28
,2002-05-29
,2002-05-30
,2002-05-31
,2002-06-01
,2002-06-02
,2002-06-03
,2002-06-04
,2002-06-05
,2002-06-06
,2002-06-07
,2002-06-08
14869.935345512311,2002-06-09
14938.535007448392,2002-06-10
15107.643747185108,2002-06-11
15122.200228832953,2002-06-12
15036.382065607546,2002-06-13
,2002-06-14
15140.068781398773,2002-06-15
14961.682399689862,2002-06-16
14964.240435578682,2002-06-17
15074.646571756733,2002-06-18
15046.527938100153,2002-06-19
15072.19574078695,2002-06-20
,2002-06-21
15205.1043763883,2002-06-22
14881.315744978569,2002-06-23
15114.516556817285,2002-06-24
15013.425213675213,2002-06-25
15006.737004235656,2002-06-26
15014.687959705787,2002-06-27
14968.281314025764,2002-06-28
15139.12018244014,2002-06-29
,2002-06-30
15177.511246889548,2002-07-01
15014.446079202728,2002-07-02
,2002-07-03
14951.312623341275,2002-07-04
14951.38791423002,2002-07-05
14966.117792276498,2002-07-06
,2002-07-07
14607.006866952792,2002-07-08
,2002-07-09
,2002-07-10
14979.0,2002-07-11
14942.707291225099,2002-07-12
,2002-07-13
,2002-07-14
15036.534222838334,2002-07-15
,2002-07-16
,2002-07-17
14922.472288202694,2002-07-18
14789.891598915985,2002-07-19
15107.412910241203,2002-07-20
14982.185698324018,2002-07-21
15082.19556504599,2002-07-22
,2002-07-23
15080.586378445014,2002-07-24
14792.221351504826,2002-07-25
14940.983195567262,2002-07-26
14875.312960286326,2002-07-27
14996.387977156595,2002-07-28
14962.643260034334,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
,2002-08-06
,2002-08-07
,2002-08-08
,2002-08-09
