LST_Day_1km,date
14832.630904502523,2002-02-24
15156.086520099201,2002-02-25
14994.490773680276,2002-02-26
15141.599591094948,2002-02-27
15100.18456550576,2002-02-28
15056.827429206,2002-03-01
14921.80562153603,2002-03-02
,2002-03-03
15113.162507608036,2002-03-04
15222.314494340711,2002-03-05
,2002-03-06
14820.02176244244,2002-03-07
,2002-03-08
15189.676865253816,2002-03-09
,2002-03-10
15291.503904237938,2002-03-11
,2002-03-12
15064.661349527212,2002-03-13
15121.679694824383,2002-03-14
15147.966247420292,2002-03-15
15214.682101312093,2002-03-16
14999.337324544078,2002-03-17
15375.657081467778,2002-03-18
14912.816539981755,2002-03-19
,2002-03-28
15513.585971973494,2002-03-29
15335.729687221548,2002-03-30
15308.459744433185,2002-03-31
15446.856015942025,2002-04-01
15224.80543113512,2002-04-02
15564.457689335877,2002-04-03
,2002-04-04
15486.244352551905,2002-04-05
15188.313674904195,2002-04-06
15290.642165627372,2002-04-07
15440.86709902174,2002-04-08
15145.471219244182,2002-04-09
15384.087348376235,2002-04-10
,2002-04-11
15198.12524607608,2002-04-12
15257.7701078137,2002-04-13
15244.155580849412,2002-04-14
15264.562503265774,2002-04-16
15308.806845262048,2002-04-17
15013.09036829552,2002-04-18
15473.337400981793,2002-04-19
15123.441366775718,2002-04-20
15460.161791642007,2002-04-21
15151.957373209858,2002-04-22
15191.791895738925,2002-04-23
15107.391183485772,2002-04-24
15070.105834205768,2002-04-25
15407.33675170498,2002-04-26
,2002-04-27
15494.906786646514,2002-04-28
15289.668400113043,2002-04-29
15376.65676150152,2002-04-30
15217.170119143519,2002-05-01
15159.169625671168,2002-05-02
15368.845612548044,2002-05-03
14999.028822283157,2002-05-04
15498.531760113552,2002-05-05
15086.786137995632,2002-05-06
15537.657359279128,2002-05-07
15281.459029973144,2002-05-08
15099.763343799059,2002-05-09
15382.284168725539,2002-05-10
15165.442687849703,2002-05-11
15481.125448998397,2002-05-12
,2002-05-13
15505.210403212033,2002-05-14
15091.221593733826,2002-05-15
15335.336246942084,2002-05-16
15134.847709128384,2002-05-17
15170.84772408471,2002-05-18
15376.217532009883,2002-05-19
,2002-05-20
15466.701492537313,2002-05-21
,2002-05-22
15368.216564347662,2002-05-23
14963.809738472128,2002-05-24
15198.709245877342,2002-05-25
,2002-05-26
15093.133639860904,2002-05-27
15347.320439524312,2002-05-28
,2002-05-29
15275.672207051757,2002-05-30
15149.287836565793,2002-05-31
,2002-06-01
,2002-06-02
15077.135294277745,2002-06-03
15100.731605817495,2002-06-04
,2002-06-05
,2002-06-06
,2002-06-07
15345.912650175636,2002-06-08
15067.235215133045,2002-06-09
15268.004592727972,2002-06-10
15159.065791234854,2002-06-11
14927.153267497346,2002-06-12
15223.168351513285,2002-06-13
,2002-06-14
15350.039237510866,2002-06-15
,2002-06-16
15045.596252049658,2002-06-17
15172.004990844618,2002-06-18
,2002-06-19
,2002-06-20
,2002-06-21
15073.39614647433,2002-06-22
14919.477588952741,2002-06-23
15224.861694591891,2002-06-24
15061.69539400041,2002-06-25
15070.49741242038,2002-06-26
15125.83676080797,2002-06-27
15276.012412437014,2002-06-28
15070.442345624902,2002-06-29
,2002-06-30
15242.104847586968,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
14917.989141599412,2002-07-15
,2002-07-16
15097.261472082888,2002-07-17
15009.888782571314,2002-07-18
,2002-07-19
,2002-07-20
,2002-07-21
14834.92488222699,2002-07-22
14779.395901192902,2002-07-23
15046.873257796055,2002-07-24
,2002-07-25
,2002-07-26
,2002-07-27
15057.679156259448,2002-07-28
14814.544573643409,2002-07-29
,2002-07-30
14974.279276651596,2002-07-31
,2002-08-01
14988.700919387766,2002-08-02
,2002-08-03
,2002-08-04
