LST_Day_1km,date
14850.921051255904,2002-02-24
15146.789628912069,2002-02-25
14859.405019916905,2002-02-26
15052.778746088683,2002-02-27
14962.200467045728,2002-02-28
,2002-03-01
15131.876513589079,2002-03-02
14712.034719458812,2002-03-03
15127.49832122032,2002-03-04
14888.72659974554,2002-03-05
15038.370354941706,2002-03-06
14822.344658046111,2002-03-07
15017.233156094126,2002-03-08
14946.851699900224,2002-03-09
,2002-03-10
15157.937867825693,2002-03-11
14865.564256256997,2002-03-12
15143.03038361811,2002-03-13
15013.62827325359,2002-03-14
15171.964582938004,2002-03-15
15115.108806218328,2002-03-16
,2002-03-17
15289.673700250218,2002-03-18
15019.74849546831,2002-03-19
,2002-03-28
15165.629204814011,2002-03-29
14958.46428643679,2002-03-30
15230.598873924007,2002-03-31
15232.717729649301,2002-04-01
,2002-04-02
15289.523523860591,2002-04-03
14950.627905362639,2002-04-04
15261.69252441944,2002-04-05
14957.42995854792,2002-04-06
15100.109247017706,2002-04-07
14993.440508275602,2002-04-08
15116.926195178195,2002-04-09
15177.824050694615,2002-04-10
,2002-04-11
15285.216165205324,2002-04-12
15006.829735395,2002-04-13
15306.767478781478,2002-04-14
15119.556380039678,2002-04-16
15221.707860203278,2002-04-17
,2002-04-18
15147.153725040273,2002-04-19
14875.239408085972,2002-04-20
15282.839124670703,2002-04-21
15160.42565445725,2002-04-22
15313.649312336522,2002-04-23
15192.640878039923,2002-04-24
,2002-04-25
15189.758520751424,2002-04-26
,2002-04-27
15306.945960637673,2002-04-28
14922.825300717484,2002-04-29
15181.359949098422,2002-04-30
15044.722801150025,2002-05-01
15078.240540761677,2002-05-02
15136.084661882285,2002-05-03
,2002-05-04
15276.823453517487,2002-05-05
15003.604006951728,2002-05-06
15207.446107727714,2002-05-07
14937.281468478403,2002-05-08
15226.002338777962,2002-05-09
15028.527185700097,2002-05-10
,2002-05-11
15013.275516980571,2002-05-12
,2002-05-13
15161.970018613021,2002-05-14
14758.973234165524,2002-05-15
15157.193821535047,2002-05-16
14804.427266203857,2002-05-17
15103.870475509408,2002-05-18
15043.684869480898,2002-05-19
,2002-05-20
15054.593624868281,2002-05-21
14605.09061194843,2002-05-22
15072.13785535702,2002-05-23
,2002-05-24
,2002-05-25
14811.0,2002-05-26
14790.831899082174,2002-05-27
,2002-05-28
,2002-05-29
15067.466364271717,2002-05-30
,2002-05-31
,2002-06-01
,2002-06-02
,2002-06-03
,2002-06-04
,2002-06-05
,2002-06-06
,2002-06-07
,2002-06-08
,2002-06-09
14966.656769547737,2002-06-10
14926.984927123085,2002-06-11
14830.457184690102,2002-06-12
15015.781979633886,2002-06-13
,2002-06-14
14949.966377618923,2002-06-15
14735.883383393151,2002-06-16
14994.206926726009,2002-06-17
14712.864898618862,2002-06-18
14885.607647646104,2002-06-19
14822.23477414384,2002-06-20
,2002-06-21
15115.070421085305,2002-06-22
14770.15019547142,2002-06-23
14964.771216146906,2002-06-24
14770.594469059344,2002-06-25
14928.312550441982,2002-06-26
14789.125,2002-06-27
14812.312409497315,2002-06-28
14962.063955771608,2002-06-29
,2002-06-30
15053.689862477615,2002-07-01
14731.827949082472,2002-07-02
,2002-07-03
14572.879816863795,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
14804.539111627346,2002-07-17
14796.073029845064,2002-07-18
14672.296296296296,2002-07-19
,2002-07-20
,2002-07-21
,2002-07-22
,2002-07-23
,2002-07-24
,2002-07-25
,2002-07-26
,2002-07-27
,2002-07-28
14586.097839448295,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
,2002-08-06
14482.71022400919,2002-08-07
,2002-08-08
14841.991078793808,2002-08-09
,2002-08-10
15127.114583333334,2002-08-11
,2002-08-12
,2002-08-13
14844.322509663547,2002-08-14
,2002-08-15
14846.857907143049,2002-08-16
,2002-08-17
,2002-08-18
,2002-08-19
,2002-08-20
14729.260105168112,2002-08-21
14872.888728945467,2002-08-22
14845.647079435292,2002-08-23
,2002-08-24
14946.17618798458,2002-08-25
14629.72790279798,2002-08-26
14988.893904355427,2002-08-27
14731.211117821695,2002-08-28
14941.107281136774,2002-08-29
14736.197628471686,2002-08-30
,2002-08-31
14934.360642174654,2002-09-01
,2002-09-02
14931.562811062711,2002-09-03
14690.876365274182,2002-09-04
14864.850359031783,2002-09-05
,2002-09-06
,2002-09-07
,2002-09-08
,2002-09-09
,2002-09-10
,2002-09-11
,2002-09-12
,2002-09-13
15040.180560836503,2002-09-14
14828.611768006253,2002-09-15
,2002-09-16
14868.223214285714,2002-09-17
,2002-09-18
14953.340829274757,2002-09-19
,2002-09-20
14855.337612474423,2002-09-21
14803.78780090753,2002-09-22
,2002-09-23
14919.643418201516,2002-09-24
,2002-09-25
14901.520747003213,2002-09-26
14859.686992481207,2002-09-27
15018.188573826812,2002-09-28
14786.37535103285,2002-09-29
14867.61810613688,2002-09-30
14846.710749587866,2002-10-01
14955.654369627508,2002-10-02
14876.16752297773,2002-10-03
,2002-10-04
14987.820156896685,2002-10-05
14827.772660656392,2002-10-06
14856.570821437133,2002-10-07
14824.269765593961,2002-10-08
14788.458333333334,2002-10-09
14849.05295614468,2002-10-10
,2002-10-11
14921.79063282287,2002-10-12
14526.120202069034,2002-10-13
14905.5977730725,2002-10-14
,2002-10-15
14922.089757952872,2002-10-16
14866.046283857457,2002-10-17
14890.981684451815,2002-10-18
14907.063809711237,2002-10-19
,2002-10-20
14949.698891802554,2002-10-21
14797.356281711023,2002-10-22
14948.530334726112,2002-10-23
14835.270364056769,2002-10-24
15023.084456101662,2002-10-25
14904.399590403938,2002-10-26
,2002-10-27
14871.747067953085,2002-10-28
,2002-10-29
14969.595119300497,2002-10-30
,2002-10-31
15007.327140356463,2002-11-01
,2002-11-02
,2002-11-03
14726.360771704181,2002-11-04
,2002-11-05
,2002-11-06
15011.0,2002-11-07
14905.714991719677,2002-11-08
,2002-11-09
,2002-11-10
,2002-11-11
,2002-11-12
14922.943637856144,2002-11-13
14820.865840732447,2002-11-14
14958.584748461579,2002-11-15
14818.51922098455,2002-11-16
14973.449248366525,2002-11-17
14872.425672961961,2002-11-18
14988.93479813844,2002-11-19
14887.470797697197,2002-11-20
,2002-11-21
14877.543074259833,2002-11-22
,2002-11-23
14694.041720090527,2002-11-24
14391.129786376461,2002-11-25
14805.363824636119,2002-11-26
14794.763489050638,2002-11-27
,2002-11-28
14853.164888144524,2002-11-29
14704.0045121015,2002-11-30
14919.362685844662,2002-12-01
14769.907958554548,2002-12-02
14830.679394974213,2002-12-03
14883.341566391286,2002-12-04
15008.107265909643,2002-12-05
14946.59229428952,2002-12-06
,2002-12-07
14969.207193680486,2002-12-08
14764.068585653014,2002-12-09
14906.548609084346,2002-12-10
14726.996612173525,2002-12-11
14927.345090580988,2002-12-12
14840.75481000125,2002-12-13
,2002-12-14
,2002-12-15
14668.53248544687,2002-12-16
14920.705265025386,2002-12-17
14664.14102758002,2002-12-18
14961.871185056045,2002-12-19
14934.056812593315,2002-12-20
14873.682927593842,2002-12-21
14913.936168439333,2002-12-22
,2002-12-23
14812.33229371546,2002-12-24
,2002-12-25
14938.087417075772,2002-12-26
14699.206945909918,2002-12-27
14937.933989915986,2002-12-28
14731.725518063451,2002-12-29
,2002-12-30
14868.749160287834,2002-12-31
14676.21563756703,2003-01-01
14862.655725105677,2003-01-02
14693.498441436304,2003-01-03
14830.744559551506,2003-01-04
14782.4149716346,2003-01-05
14859.034313848335,2003-01-06
,2003-01-07
,2003-01-08
14921.524300929046,2003-01-09
14738.057431962001,2003-01-10
14862.27463345352,2003-01-11
14795.917598999557,2003-01-12
14763.050961307154,2003-01-13
14693.592239567219,2003-01-14
,2003-01-15
14856.39877530597,2003-01-16
14573.27928165347,2003-01-17
14792.940083797439,2003-01-18
14601.289656387029,2003-01-19
14593.147871776759,2003-01-20
14589.43740507324,2003-01-21
,2003-01-22
14703.91216830447,2003-01-23
,2003-01-24
14765.150153615135,2003-01-25
14799.212638187113,2003-01-26
14994.881500596362,2003-01-27
14804.208333715711,2003-01-28
14981.736759111316,2003-01-29
14822.033243538346,2003-01-30
,2003-01-31
,2003-02-01
14730.708486401538,2003-02-02
14913.349988394564,2003-02-03
14836.424476519618,2003-02-04
14928.649357782131,2003-02-05
14778.102425762843,2003-02-06
14965.610197206672,2003-02-07
14961.604276961236,2003-02-08
,2003-02-09
15128.849880597405,2003-02-10
