date,LST_Day_1km
2002-02-24,
2002-02-25,15037.115101031522
2002-02-26,14782.884013960022
2002-02-27,15043.471945202597
2002-02-28,14866.397359498611
2002-03-01,14902.637680642283
2002-03-02,14863.767711676133
2002-03-03,
2002-03-04,14871.759430664222
2002-03-05,
2002-03-06,
2002-03-07,
2002-03-08,14817.75166465851
2002-03-09,
2002-03-10,14892.16914550302
2002-03-11,
2002-03-12,
2002-03-13,14877.182102746181
2002-03-14,
2002-03-15,15140.46024364001
2002-03-16,14888.965209133232
2002-03-17,14938.090082372322
2002-03-18,
2002-03-19,14852.433360559253
2002-03-28,
2002-03-29,15170.63002282288
2002-03-30,14837.34030411017
2002-03-31,15093.569108910884
2002-04-01,
2002-04-02,15011.3493997232
2002-04-03,15066.686551419041
2002-04-04,14892.4782644492
2002-04-05,15162.393779023305
2002-04-06,
2002-04-07,15170.68913463699
2002-04-08,14898.49743842738
2002-04-09,15066.720531933048
2002-04-10,14818.846249777303
2002-04-11,14890.284565533657
2002-04-12,15058.607216186956
2002-04-13,
2002-04-14,15016.943619877411
2002-04-16,15036.079322709165
2002-04-17,14855.86767377652
2002-04-18,
2002-04-19,14937.23774921325
2002-04-20,
2002-04-21,
2002-04-22,
2002-04-23,14884.820119952405
2002-04-24,14787.102192187243
2002-04-25,15009.967192867342
2002-04-26,14967.273308957952
2002-04-27,14858.183309202795
2002-04-28,15051.468140303865
2002-04-29,
2002-04-30,15116.379732503
2002-05-01,14678.15033320832
2002-05-02,14864.743088116411
2002-05-03,14886.97659730072
2002-05-04,14943.476596085013
2002-05-05,
2002-05-06,14844.177244937306
2002-05-07,15108.385717454801
2002-05-08,
2002-05-09,14959.461266951512
2002-05-10,
2002-05-11,15040.747374072173
2002-05-12,14950.033247641417
2002-05-13,14862.330558001766
2002-05-14,15064.664061253792
2002-05-15,
2002-05-16,15164.678723618083
2002-05-17,14823.173891757158
2002-05-18,15149.885504972546
2002-05-19,
2002-05-20,15036.549820637265
2002-05-21,14912.600473855307
2002-05-22,
2002-05-23,14906.708346456691
2002-05-24,
2002-05-25,14914.387049300958
2002-05-26,
2002-05-27,15015.19846818959
2002-05-28,
2002-05-29,
2002-05-30,
2002-05-31,
2002-06-01,15137.985346426296
2002-06-02,
2002-06-03,15002.208863234622
2002-06-04,14902.642539728984
2002-06-05,14849.120091498286
2002-06-06,15106.043272990586
2002-06-07,14857.445091968677
2002-06-08,15032.258104738152
2002-06-09,
2002-06-10,15060.095629861937
2002-06-11,14681.645520266431
2002-06-12,15064.923105123275
2002-06-13,14967.631302131376
2002-06-14,14985.74657954894
2002-06-15,
2002-06-16,
2002-06-17,
2002-06-18,
2002-06-19,14909.763225678616
2002-06-20,
2002-06-21,
2002-06-22,15035.072581690874
2002-06-23,14808.818602041965
2002-06-24,15054.156281057443
2002-06-25,
2002-06-26,
2002-06-27,
2002-06-28,14762.30396475771
2002-06-29,14991.499534482997
2002-06-30,
2002-07-01,
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,
2002-07-06,
2002-07-07,
2002-07-08,15067.703831178946
2002-07-09,14639.762950876984
2002-07-10,15097.149247008598
2002-07-11,
2002-07-12,14662.59430441899
2002-07-13,
2002-07-14,15029.279679717554
2002-07-15,15031.374838387403
2002-07-16,14925.7012503659
2002-07-17,15101.470549902251
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,14948.399645257656
2002-07-22,14943.90686072675
2002-07-23,14943.735792487138
2002-07-24,14779.039380833145
2002-07-25,
2002-07-26,14978.266521953627
2002-07-27,
2002-07-28,15103.071655240907
2002-07-29,14997.020585860917
2002-07-30,14159.0
2002-07-31,
2002-08-01,
2002-08-02,14900.919385092153
2002-08-03,
2002-08-04,
2002-08-05,
2002-08-06,
2002-08-07,14870.405779553617
2002-08-08,
2002-08-09,
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,
2002-08-14,
2002-08-15,
2002-08-16,
2002-08-17,
2002-08-18,14971.08047763725
2002-08-19,
2002-08-20,15109.292553653662
2002-08-21,
2002-08-22,15045.792828341011
2002-08-23,14880.901319170804
2002-08-24,14771.908715596326
2002-08-25,14905.147438994929
2002-08-26,14707.706849687413
2002-08-27,14993.582493908872
2002-08-28,
2002-08-29,
2002-08-30,14648.272273936174
2002-08-31,
2002-09-01,14923.866612466125
2002-09-02,
2002-09-03,14974.471146154727
2002-09-04,
2002-09-05,14986.146799452641
2002-09-06,
2002-09-07,
2002-09-08,14930.071160923388
2002-09-09,
2002-09-10,
2002-09-11,
2002-09-12,
2002-09-13,
2002-09-14,
2002-09-15,
2002-09-16,
2002-09-17,
2002-09-18,
2002-09-19,
2002-09-20,
2002-09-21,
2002-09-22,
2002-09-23,15027.156087967105
2002-09-24,14904.266312724782
2002-09-25,14993.116073492036
2002-09-26,14989.03605847762
2002-09-27,14757.394864745447
2002-09-28,15007.689849355404
2002-09-29,
2002-09-30,
