date,LST_Day_1km
2002-02-24,
2002-02-25,15073.842895926868
2002-02-26,14992.561123794161
2002-02-27,15024.801888665523
2002-02-28,15013.268607686821
2002-03-01,15037.887712469847
2002-03-02,14981.413026903134
2002-03-03,
2002-03-04,14789.938730084348
2002-03-05,
2002-03-06,14864.42857142857
2002-03-07,
2002-03-08,14816.059937544074
2002-03-09,14583.285714285714
2002-03-10,14681.655584172326
2002-03-11,
2002-03-12,
2002-03-13,15119.245611423765
2002-03-14,
2002-03-15,15188.748522205713
2002-03-16,15058.708654577384
2002-03-17,14746.944320712695
2002-03-18,15083.956489033237
2002-03-19,15006.90938595962
2002-03-28,
2002-03-29,15229.243261397964
2002-03-30,14960.5553359053
2002-03-31,15224.57586228727
2002-04-01,14756.127659574468
2002-04-02,15122.365852501529
2002-04-03,15229.272473333642
2002-04-04,15099.016156604224
2002-04-05,15326.536451576301
2002-04-06,
2002-04-07,15314.10421488065
2002-04-08,15061.673594106356
2002-04-09,14985.310287930039
2002-04-10,15110.246794978328
2002-04-11,
2002-04-12,15303.73335511042
2002-04-13,
2002-04-14,15283.715441423443
2002-04-16,
2002-04-17,15035.2261579522
2002-04-18,15215.717316010883
2002-04-19,15149.212481066888
2002-04-20,15297.750978096356
2002-04-21,15112.29331781141
2002-04-22,
2002-04-23,
2002-04-24,14912.421139646869
2002-04-25,15169.899961403846
2002-04-26,14936.027395558753
2002-04-27,15014.809471078235
2002-04-28,15073.214051632916
2002-04-29,15000.107559700811
2002-04-30,15302.193424613553
2002-05-01,14840.353213101163
2002-05-02,
2002-05-03,14825.084531976101
2002-05-04,15154.124681495112
2002-05-05,15180.90825784811
2002-05-06,15238.108580548052
2002-05-07,15321.337170579282
2002-05-08,
2002-05-09,15095.084739387425
2002-05-10,
2002-05-11,15173.335209709052
2002-05-12,
2002-05-13,15191.275731322728
2002-05-14,15195.261554883
2002-05-15,15032.473822099264
2002-05-16,15299.242814047826
2002-05-17,14940.74099759358
2002-05-18,15314.16017274961
2002-05-19,15025.51744717926
2002-05-20,15115.569959794486
2002-05-21,
2002-05-22,
2002-05-23,
2002-05-24,
2002-05-25,15167.929966706666
2002-05-26,15185.62795857615
2002-05-27,15082.5918598078
2002-05-28,
2002-05-29,
2002-05-30,14981.347276264589
2002-05-31,
2002-06-01,15214.659445687003
2002-06-02,15010.149520615087
2002-06-03,15181.260187409298
2002-06-04,
2002-06-05,15459.0
2002-06-06,15191.810553680829
2002-06-07,14986.198360437142
2002-06-08,15142.592978077308
2002-06-09,
2002-06-10,15225.241673289358
2002-06-11,14905.001923937585
2002-06-12,
