date,LST_Day_1km
2002-02-24,
2002-02-25,14927.51337677642
2002-02-26,
2002-02-27,15196.426520714565
2002-02-28,15070.041641551326
2002-03-01,15143.587326610032
2002-03-02,14918.610948205383
2002-03-03,15458.0
2002-03-04,15195.895455135924
2002-03-05,
2002-03-06,14919.75998221958
2002-03-07,15030.38353973211
2002-03-08,
2002-03-09,
2002-03-10,15432.507352941177
2002-03-11,15383.981929691628
2002-03-12,15049.73230156002
2002-03-13,15025.914697745315
2002-03-14,
2002-03-15,15191.786760983008
2002-03-16,15055.385703133721
2002-03-17,
2002-03-18,15039.543352075434
2002-03-19,15521.038461538461
2002-03-28,
2002-03-29,15250.190355642146
2002-03-30,
2002-03-31,15306.734776811572
2002-04-01,14990.547556698619
2002-04-02,15298.338801943797
2002-04-03,15225.889819208562
2002-04-04,15205.051723466057
2002-04-05,15279.30612019564
2002-04-06,
2002-04-07,15272.709703890185
2002-04-08,15136.741572404466
2002-04-09,15336.07104275337
2002-04-10,15131.059548213652
2002-04-11,15254.932182666818
2002-04-12,15349.989220938349
2002-04-13,15180.39665028053
2002-04-14,15351.9280563947
2002-04-16,15479.569489820798
2002-04-17,15085.565034952899
2002-04-18,15402.420665109252
2002-04-19,15187.608015141932
2002-04-20,15492.885714285714
2002-04-21,
2002-04-22,
2002-04-23,
2002-04-24,14978.405577553815
2002-04-25,14907.140483748879
2002-04-26,14904.269860692351
2002-04-27,14907.96627140975
2002-04-28,15386.594595471954
2002-04-29,15205.242828467191
2002-04-30,15374.78285713361
2002-05-01,
2002-05-02,15349.505494505494
2002-05-03,14933.691099476438
2002-05-04,15215.672960068621
2002-05-05,14868.275719430296
2002-05-06,
2002-05-07,15331.72420646004
2002-05-08,
2002-05-09,15044.227121496786
2002-05-10,
2002-05-11,15174.289339728708
2002-05-12,
2002-05-13,15170.27256736211
2002-05-14,15044.48903265687
2002-05-15,15066.05482289328
2002-05-16,15196.960737600815
2002-05-17,
2002-05-18,15229.74880307795
2002-05-19,14986.297526539642
2002-05-20,15134.670819924888
2002-05-21,14979.040160307255
2002-05-22,15034.649220325005
2002-05-23,15069.900057914925
2002-05-24,
2002-05-25,15136.735356467922
2002-05-26,14973.661750103913
2002-05-27,15190.097178653401
2002-05-28,15122.691897213746
2002-05-29,
2002-05-30,14901.568879794091
2002-05-31,15124.11149304561
2002-06-01,15166.65843284042
2002-06-02,
2002-06-03,15024.445230378024
2002-06-04,15010.016366836135
2002-06-05,15015.58459093689
2002-06-06,15112.922056794732
2002-06-07,15028.550241721354
2002-06-08,15098.109175046826
2002-06-09,
2002-06-10,15120.141145036621
2002-06-11,14865.816569441835
2002-06-12,
2002-06-13,
2002-06-14,
2002-06-15,
2002-06-16,15390.52688172043
2002-06-17,15014.388578606804
2002-06-18,
2002-06-19,15014.962895491019
2002-06-20,
2002-06-21,15016.370203160272
2002-06-22,15008.74452342646
2002-06-23,
2002-06-24,15101.45309956472
2002-06-25,
2002-06-26,
2002-06-27,
2002-06-28,15148.33826691967
2002-06-29,
2002-06-30,
2002-07-01,14743.72140857905
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,14821.284695955774
2002-07-06,14942.965601965601
2002-07-07,14827.836782405171
2002-07-08,14917.995404214884
2002-07-09,14988.341388888375
2002-07-10,15057.584502663467
2002-07-11,
2002-07-12,14802.655631683421
2002-07-13,
2002-07-14,15124.113092612934
2002-07-15,15006.137342058442
2002-07-16,14975.325323041241
2002-07-17,
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,15040.283819626726
2002-07-22,14900.853350518924
2002-07-23,
2002-07-24,14986.930583346759
2002-07-25,15070.39423076923
2002-07-26,
2002-07-27,
2002-07-28,15065.466240157077
2002-07-29,14835.382171930418
2002-07-30,15016.982402301612
2002-07-31,
2002-08-01,15000.001116509875
2002-08-02,15107.44425811596
2002-08-03,
2002-08-04,
2002-08-05,
