LST_Day_1km,date
14966.120248825695,2002-02-24
15079.817680074833,2002-02-25
15118.050220492572,2002-02-26
14995.501884811756,2002-02-27
14942.454107321062,2002-02-28
14872.951219512195,2002-03-01
15278.792276686905,2002-03-02
,2002-03-03
15167.1546000143,2002-03-04
15119.51091132309,2002-03-05
14748.057449220243,2002-03-06
14849.992246726397,2002-03-07
,2002-03-08
15222.051874655177,2002-03-09
,2002-03-10
15217.661036926937,2002-03-11
14657.0,2002-03-12
,2002-03-13
15219.178264161075,2002-03-14
15062.617551959125,2002-03-15
15300.061884073326,2002-03-16
,2002-03-17
15320.164203325321,2002-03-18
15055.022123214021,2002-03-19
,2002-03-28
14855.024019856412,2002-03-29
15328.990402756945,2002-03-30
15386.974325260959,2002-03-31
15404.581194065207,2002-04-01
15325.207885136364,2002-04-02
15448.78385910413,2002-04-03
15270.47457668413,2002-04-04
15245.75689244645,2002-04-05
14904.735798574928,2002-04-06
15339.590801815799,2002-04-07
15329.734722575504,2002-04-08
15169.834352050002,2002-04-09
15350.285201791898,2002-04-10
,2002-04-11
15427.94301763089,2002-04-12
15263.16131724367,2002-04-13
15378.451500586982,2002-04-14
15021.995698561099,2002-04-16
15354.328503024193,2002-04-17
,2002-04-18
15446.848264655308,2002-04-19
15106.425213895474,2002-04-20
15519.051346515042,2002-04-21
15347.302548103635,2002-04-22
,2002-04-23
15386.05188309902,2002-04-24
15091.035714285714,2002-04-25
15346.639935319936,2002-04-26
,2002-04-27
15218.200722697089,2002-04-28
15053.802228783004,2002-04-29
15450.39456393395,2002-04-30
15001.679102517808,2002-05-01
14921.948406775262,2002-05-02
15281.501461525708,2002-05-03
14880.442012507106,2002-05-04
15472.183942586795,2002-05-05
15088.102716659183,2002-05-06
15426.934960387507,2002-05-07
15002.185985716122,2002-05-08
,2002-05-09
15284.025656644862,2002-05-10
15029.04474891554,2002-05-11
15463.464669209032,2002-05-12
,2002-05-13
15365.708709627603,2002-05-14
,2002-05-15
15206.67048250378,2002-05-16
,2002-05-17
14926.467572467724,2002-05-18
15107.436051182867,2002-05-19
,2002-05-20
,2002-05-21
,2002-05-22
15080.43604867174,2002-05-23
,2002-05-24
,2002-05-25
,2002-05-26
,2002-05-27
15671.616894409937,2002-05-28
,2002-05-29
14941.022035096346,2002-05-30
,2002-05-31
,2002-06-01
,2002-06-02
15140.0,2002-06-03
,2002-06-04
,2002-06-05
,2002-06-06
,2002-06-07
,2002-06-08
15109.930584528925,2002-06-09
15128.177713221523,2002-06-10
15176.406998883856,2002-06-11
14793.526315789473,2002-06-12
14900.235294117647,2002-06-13
,2002-06-14
15341.234080703864,2002-06-15
,2002-06-16
15022.791749086262,2002-06-17
15008.321567326826,2002-06-18
14977.876623376624,2002-06-19
,2002-06-20
,2002-06-21
,2002-06-22
15032.91736981708,2002-06-23
15259.737872018493,2002-06-24
15053.487982839646,2002-06-25
15067.814810008307,2002-06-26
,2002-06-27
15102.920634920634,2002-06-28
15223.721069220563,2002-06-29
,2002-06-30
14900.8257602012,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
14996.29818080246,2002-07-17
15029.150887811678,2002-07-18
14991.04,2002-07-19
,2002-07-20
,2002-07-21
,2002-07-22
,2002-07-23
,2002-07-24
,2002-07-25
,2002-07-26
,2002-07-27
,2002-07-28
14994.255129987781,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
,2002-08-06
,2002-08-07
,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
,2002-08-17
,2002-08-18
15112.793386369302,2002-08-19
14983.048780487805,2002-08-20
,2002-08-21
14994.781522176798,2002-08-22
15155.51090609976,2002-08-23
14880.223805147058,2002-08-24
14995.171630411865,2002-08-25
15016.101739588827,2002-08-26
15084.79294396241,2002-08-27
15122.072013197134,2002-08-28
14988.144155393687,2002-08-29
15059.600798953497,2002-08-30
,2002-08-31
15156.817387600266,2002-09-01
,2002-09-02
15199.88558962886,2002-09-03
15119.077049075026,2002-09-04
15056.596182669073,2002-09-05
,2002-09-06
,2002-09-07
,2002-09-08
,2002-09-09
,2002-09-10
,2002-09-11
,2002-09-12
,2002-09-13
,2002-09-14
14936.524968789015,2002-09-15
,2002-09-16
,2002-09-17
,2002-09-18
15126.717505101591,2002-09-19
15033.249139499492,2002-09-20
14883.150684931508,2002-09-21
15026.306193971794,2002-09-22
,2002-09-23
15088.877987456228,2002-09-24
,2002-09-25
15174.936297753828,2002-09-26
15040.188046357112,2002-09-27
,2002-09-28
15088.911536796535,2002-09-29
,2002-09-30
15010.79285932931,2002-10-01
,2002-10-02
14934.631067961165,2002-10-03
,2002-10-04
,2002-10-05
,2002-10-06
15001.208902327195,2002-10-07
14926.963798839617,2002-10-08
14716.285714285714,2002-10-09
15012.270776675026,2002-10-10
14927.516704590602,2002-10-11
14913.227862297643,2002-10-12
,2002-10-13
15129.09954802743,2002-10-14
,2002-10-15
14920.946436971792,2002-10-16
14956.634924417593,2002-10-17
14865.992435346312,2002-10-18
15122.462393499627,2002-10-19
,2002-10-20
,2002-10-21
14862.255652590027,2002-10-22
15134.93376767409,2002-10-23
15028.34122311641,2002-10-24
15033.491220550048,2002-10-25
15064.301466277931,2002-10-26
,2002-10-27
15098.200903210058,2002-10-28
,2002-10-29
,2002-10-30
,2002-10-31
15116.768965448397,2002-11-01
15022.52966126657,2002-11-02
,2002-11-03
,2002-11-04
,2002-11-05
,2002-11-06
,2002-11-07
15011.359528257824,2002-11-08
15000.045454545454,2002-11-09
,2002-11-10
15072.58814270079,2002-11-11
,2002-11-12
15115.080153307783,2002-11-13
14965.972445728867,2002-11-14
