LST_Day_1km,date
14939.509434091367,2002-02-24
14841.938765913135,2002-02-25
15002.158203743156,2002-02-26
14916.249115575105,2002-02-27
15085.556568915137,2002-02-28
14975.802713134304,2002-03-01
15096.802990133072,2002-03-02
14823.66222348247,2002-03-03
14972.648094138975,2002-03-04
14992.862708203373,2002-03-05
14688.557202475176,2002-03-06
14775.02102065614,2002-03-07
,2002-03-08
14917.870237216555,2002-03-09
,2002-03-10
15095.125360559421,2002-03-11
14813.500512683418,2002-03-12
14943.270665330545,2002-03-13
15097.54166437106,2002-03-14
14949.811431852471,2002-03-15
15191.608894649618,2002-03-16
14934.102326268701,2002-03-17
15159.64709422311,2002-03-18
14905.392477407959,2002-03-19
,2002-03-28
15271.955188719301,2002-03-29
15173.354521628069,2002-03-30
15051.359221037212,2002-03-31
15258.495744423008,2002-04-01
15167.80956677145,2002-04-02
15285.047605910231,2002-04-03
14970.55323791653,2002-04-04
15297.054296237766,2002-04-05
15123.806017984585,2002-04-06
15262.999792778824,2002-04-07
15291.13038548384,2002-04-08
15198.510305896481,2002-04-09
15304.90477736829,2002-04-10
,2002-04-11
15393.8180886958,2002-04-12
15128.346869032172,2002-04-13
15366.961248459793,2002-04-14
15156.0937629429,2002-04-16
15396.297952663901,2002-04-17
14903.619950023427,2002-04-18
15386.844324122194,2002-04-19
14951.116825999201,2002-04-20
15490.80568303693,2002-04-21
15345.257660056655,2002-04-22
15341.235597420433,2002-04-23
15434.025615656217,2002-04-24
14922.189706172354,2002-04-25
15213.302943555042,2002-04-26
,2002-04-27
15417.335169916527,2002-04-28
14922.262682049713,2002-04-29
15383.216230956117,2002-04-30
15332.075951598017,2002-05-01
15313.167761377901,2002-05-02
15230.62063662193,2002-05-03
15019.009461856891,2002-05-04
15361.066697435183,2002-05-05
14964.505801314659,2002-05-06
15416.942158658874,2002-05-07
15123.00000403876,2002-05-08
15280.45076257151,2002-05-09
15355.77697649729,2002-05-10
15027.330972333779,2002-05-11
15467.72699848177,2002-05-12
,2002-05-13
15515.784693750573,2002-05-14
15082.241468860762,2002-05-15
15406.937995596438,2002-05-16
15117.190915385157,2002-05-17
15169.037832374861,2002-05-18
15170.048721175595,2002-05-19
,2002-05-20
,2002-05-21
15277.54801213214,2002-05-22
15406.0009215421,2002-05-23
15179.101975333402,2002-05-24
14998.705227545563,2002-05-25
,2002-05-26
,2002-05-27
,2002-05-28
,2002-05-29
15291.323643088841,2002-05-30
14934.290319622594,2002-05-31
15136.668177635807,2002-06-01
,2002-06-02
15059.94674501026,2002-06-03
15060.804544001001,2002-06-04
15021.0,2002-06-05
14957.77016421597,2002-06-06
,2002-06-07
,2002-06-08
15180.75422844591,2002-06-09
15193.340972494838,2002-06-10
15127.098680215378,2002-06-11
14878.558568221271,2002-06-12
15237.945917157984,2002-06-13
,2002-06-14
15255.804429344436,2002-06-15
15076.019860086637,2002-06-16
15240.525087387869,2002-06-17
15150.255349592033,2002-06-18
15140.943923666458,2002-06-19
15234.521091325534,2002-06-20
15350.983928146694,2002-06-21
15288.024081115318,2002-06-22
14928.427316774681,2002-06-23
15242.448930109687,2002-06-24
15080.029057404081,2002-06-25
15175.593890866265,2002-06-26
15157.210929389861,2002-06-27
15097.412773073022,2002-06-28
15344.497026428016,2002-06-29
,2002-06-30
15368.094455051492,2002-07-01
14890.224031242045,2002-07-02
15116.86040883196,2002-07-03
15174.57737071963,2002-07-04
15230.522153351856,2002-07-05
14980.437158311453,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
14700.845307068366,2002-07-10
14889.135461029304,2002-07-11
15053.466648079735,2002-07-12
15003.471382039446,2002-07-13
14977.511864610939,2002-07-14
15152.981069738371,2002-07-15
,2002-07-16
15049.70441277897,2002-07-17
15017.364122374938,2002-07-18
14745.626627004911,2002-07-19
15080.959531516683,2002-07-20
14921.89289058111,2002-07-21
14901.141131019787,2002-07-22
14810.507454739085,2002-07-23
14975.346474054872,2002-07-24
14804.864698549634,2002-07-25
15248.344332707413,2002-07-26
15062.529946995464,2002-07-27
15021.161624322813,2002-07-28
14929.122578571054,2002-07-29
15145.00823876681,2002-07-30
,2002-07-31
,2002-08-01
14894.705194588276,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
14990.31223628692,2002-08-06
,2002-08-07
,2002-08-08
14934.64340945873,2002-08-09
15156.711727151089,2002-08-10
15081.282702461387,2002-08-11
14771.99191246432,2002-08-12
14899.273344623763,2002-08-13
14986.685425629745,2002-08-14
14838.70042451533,2002-08-15
15076.826243362992,2002-08-16
,2002-08-17
15188.919555568144,2002-08-18
14969.583827109878,2002-08-19
14662.642672348196,2002-08-20
14959.404012151672,2002-08-21
15006.539422337997,2002-08-22
15098.436942834029,2002-08-23
15033.963907587138,2002-08-24
15181.879514046423,2002-08-25
14882.969678515386,2002-08-26
15213.51461475565,2002-08-27
15063.595729440647,2002-08-28
15074.425456091245,2002-08-29
14960.964162030315,2002-08-30
15121.395332535092,2002-08-31
15133.416131359822,2002-09-01
,2002-09-02
15169.72803756528,2002-09-03
14968.71119611031,2002-09-04
15087.014600493814,2002-09-05
15069.701023126425,2002-09-06
15095.460614844402,2002-09-07
,2002-09-08
,2002-09-09
,2002-09-10
,2002-09-11
,2002-09-12
,2002-09-13
15064.577804705643,2002-09-14
15078.18733796505,2002-09-15
15057.75944693296,2002-09-16
15074.371270936535,2002-09-17
,2002-09-18
14943.314843977836,2002-09-19
14854.478035427464,2002-09-20
15095.764551109472,2002-09-21
15053.330462527347,2002-09-22
15109.339250458017,2002-09-23
15010.016576474787,2002-09-24
15394.895652173913,2002-09-25
15091.719791384696,2002-09-26
15206.543274876909,2002-09-27
15075.281981680264,2002-09-28
14904.587713475797,2002-09-29
15104.325223492579,2002-09-30
15086.015092548192,2002-10-01
15058.945509134262,2002-10-02
15109.52043633751,2002-10-03
,2002-10-04
15151.856889591703,2002-10-05
,2002-10-06
15029.706438503114,2002-10-07
14908.76505383131,2002-10-08
14769.608933374491,2002-10-09
15050.909104274198,2002-10-10
,2002-10-11
15049.354490615264,2002-10-12
14684.306496395095,2002-10-13
,2002-10-14
15072.094442596237,2002-10-15
15017.014424136529,2002-10-16
15060.08364662221,2002-10-17
14983.902051452262,2002-10-18
15154.665646055206,2002-10-19
,2002-10-20
15153.246475140826,2002-10-21
15087.294456748026,2002-10-22
15125.994019456904,2002-10-23
15026.45278261306,2002-10-24
15079.267267120893,2002-10-25
15105.957636073608,2002-10-26
,2002-10-27
