LST_Day_1km,date
14632.846689023472,2002-02-24
15011.670436441706,2002-02-25
14871.006854393781,2002-02-26
14979.993131823976,2002-02-27
14832.86366667341,2002-02-28
14876.071736138494,2002-03-01
,2002-03-02
,2002-03-03
14760.017369458761,2002-03-04
14776.515558712126,2002-03-05
,2002-03-06
,2002-03-07
,2002-03-08
14875.485550277119,2002-03-09
14513.474660742162,2002-03-10
,2002-03-11
,2002-03-12
15079.830696352636,2002-03-13
14832.221729512677,2002-03-14
15103.470124374118,2002-03-15
15066.403898112236,2002-03-16
14959.06808574878,2002-03-17
15067.097602773072,2002-03-18
,2002-03-19
,2002-03-28
15226.558031479763,2002-03-29
14992.10349953283,2002-03-30
15129.315598814675,2002-03-31
15053.986957692608,2002-04-01
15039.065909155666,2002-04-02
15154.705899832936,2002-04-03
,2002-04-04
15213.373371992004,2002-04-05
14948.911046921557,2002-04-06
15099.531281633845,2002-04-07
15056.22591766762,2002-04-08
15061.540834449035,2002-04-09
15125.64259505114,2002-04-10
14904.534616694005,2002-04-11
15140.181150377883,2002-04-12
14845.34325486646,2002-04-13
15141.456708441267,2002-04-14
15093.686637369132,2002-04-16
14877.081310547512,2002-04-17
14826.97532626427,2002-04-18
15001.740777975408,2002-04-19
,2002-04-20
15023.87279495749,2002-04-21
14788.522402398905,2002-04-22
15013.666302086895,2002-04-23
14564.893982808026,2002-04-24
15036.494785319535,2002-04-25
15143.876950489293,2002-04-26
,2002-04-27
15080.758062343608,2002-04-28
14806.28725321767,2002-04-29
15135.222765886649,2002-04-30
14865.954107427015,2002-05-01
14933.725260928424,2002-05-02
15054.59041923483,2002-05-03
14944.474977773261,2002-05-04
15148.530075329478,2002-05-05
,2002-05-06
15226.039062077614,2002-05-07
14883.528095247428,2002-05-08
,2002-05-09
14896.488090480376,2002-05-10
14928.658686866289,2002-05-11
15102.458540036914,2002-05-12
14693.827891424071,2002-05-13
15142.196878948373,2002-05-14
15050.961439588687,2002-05-15
15181.45884019038,2002-05-16
14985.483792996081,2002-05-17
15088.518095386227,2002-05-18
14908.179401681302,2002-05-19
15252.2639847581,2002-05-20
15189.137566297843,2002-05-21
,2002-05-22
15179.671703031754,2002-05-23
14971.516129032254,2002-05-24
15097.230329041484,2002-05-25
,2002-05-26
,2002-05-27
15109.967274466775,2002-05-28
,2002-05-29
15088.856829518516,2002-05-30
15616.106298612172,2002-05-31
14877.847499164529,2002-06-01
14961.297934823795,2002-06-02
,2002-06-03
,2002-06-04
14979.72350053479,2002-06-05
14927.330335122588,2002-06-06
,2002-06-07
15010.682969575175,2002-06-08
,2002-06-09
15214.433649092767,2002-06-10
15047.80184298789,2002-06-11
15002.870551953185,2002-06-12
,2002-06-13
15113.335613805002,2002-06-14
15182.47070552484,2002-06-15
,2002-06-16
15109.744957662144,2002-06-17
14877.381531176006,2002-06-18
15059.763503666683,2002-06-19
,2002-06-20
,2002-06-21
15154.972949120132,2002-06-22
,2002-06-23
15190.167235158708,2002-06-24
15003.316590753093,2002-06-25
15317.28545577924,2002-06-26
,2002-06-27
,2002-06-28
15001.257082925382,2002-06-29
15074.670309760942,2002-06-30
15019.065785353972,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
15037.501321219064,2002-07-16
15062.169539425819,2002-07-17
,2002-07-18
,2002-07-19
,2002-07-20
14945.44748834321,2002-07-21
15004.259631768055,2002-07-22
14923.976667945619,2002-07-23
,2002-07-24
,2002-07-25
,2002-07-26
,2002-07-27
15132.538428289052,2002-07-28
,2002-07-29
,2002-07-30
15017.410133368634,2002-07-31
,2002-08-01
15089.177728353929,2002-08-02
,2002-08-03
,2002-08-04
14965.540465414506,2002-08-05
,2002-08-06
,2002-08-07
,2002-08-08
15056.268226738766,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
,2002-08-17
15135.464700976305,2002-08-18
14598.5,2002-08-19
15262.017727739678,2002-08-20
14585.527586893735,2002-08-21
