date,LST_Day_1km
2002-02-24,
2002-02-25,15076.566320713495
2002-02-26,14937.440515423103
2002-02-27,15072.79577425511
2002-02-28,15017.287633890928
2002-03-01,15035.61216321184
2002-03-02,14790.83333953627
2002-03-03,
2002-03-04,15063.66040490399
2002-03-05,14829.258630980019
2002-03-06,
2002-03-07,14805.309813219154
2002-03-08,
2002-03-09,14856.41107489961
2002-03-10,14919.978502082924
2002-03-11,14701.374599475675
2002-03-12,
2002-03-13,15124.28934137299
2002-03-14,14894.469956831628
2002-03-15,15123.412229555088
2002-03-16,14979.403550384819
2002-03-17,15086.50914918818
2002-03-18,15115.738784342166
2002-03-19,
2002-03-28,
2002-03-29,15282.501344802675
2002-03-30,15020.57778666902
2002-03-31,15250.503409659306
2002-04-01,15163.386272003932
2002-04-02,15178.537518485666
2002-04-03,15248.701822440476
2002-04-04,14920.739786125585
2002-04-05,15287.812423888365
2002-04-06,15018.798903729452
2002-04-07,15305.539458859026
2002-04-08,15111.951296374957
2002-04-09,15170.163295291522
2002-04-10,15189.598141902077
2002-04-11,15028.048163183632
2002-04-12,15301.137458646417
2002-04-13,
2002-04-14,15229.095760944268
2002-04-16,15210.856911866846
2002-04-17,14889.999107847185
2002-04-18,14854.22546846665
2002-04-19,15109.258314996498
2002-04-20,14458.99876119151
2002-04-21,15208.680553779017
2002-04-22,14677.225140614095
2002-04-23,15129.629018021546
2002-04-24,14923.205688390337
2002-04-25,15132.991465327308
2002-04-26,15288.40050330601
2002-04-27,14782.693267944716
2002-04-28,15179.252239859541
2002-04-29,
2002-04-30,15265.375105042183
2002-05-01,14942.492164734498
2002-05-02,15135.951831120565
2002-05-03,15138.813251464653
2002-05-04,15110.953019063303
2002-05-05,15248.49378732424
2002-05-06,14984.27348679943
2002-05-07,15274.642908714111
2002-05-08,14941.365237034284
2002-05-09,14960.273995304511
2002-05-10,
2002-05-11,14920.969092846846
2002-05-12,15184.90505311307
2002-05-13,14944.800509581572
2002-05-14,15186.431783733686
2002-05-15,
2002-05-16,15259.458944042128
2002-05-17,15035.060365361713
2002-05-18,15126.401106732761
2002-05-19,15108.89583975294
2002-05-20,14794.923368081412
2002-05-21,15177.314298534584
2002-05-22,
2002-05-23,15147.435136096085
2002-05-24,15030.79073662666
2002-05-25,
2002-05-26,
2002-05-27,
2002-05-28,15116.459972109795
2002-05-29,
2002-05-30,15016.090805823706
2002-05-31,
2002-06-01,15070.125498520521
2002-06-02,15164.910649939422
2002-06-03,
2002-06-04,
2002-06-05,14718.83407192154
2002-06-06,14764.37168141593
2002-06-07,
2002-06-08,14957.846153846154
2002-06-09,15298.938109709612
