date,LST_Day_1km
2002-02-24,
2002-02-25,14928.588230324029
2002-02-26,
2002-02-27,15084.165994869916
2002-02-28,14855.176808418195
2002-03-01,14988.535018972982
2002-03-02,14783.181012658231
2002-03-03,
2002-03-04,14796.607304972023
2002-03-05,
2002-03-06,
2002-03-07,
2002-03-08,
2002-03-09,
2002-03-10,
2002-03-11,
2002-03-12,14893.1520484246
2002-03-13,14778.382876162055
2002-03-14,
2002-03-15,14936.312895652538
2002-03-16,14986.54977458909
2002-03-17,
2002-03-18,
2002-03-19,
2002-03-28,
2002-03-29,15080.063285426648
2002-03-30,
2002-03-31,15056.811172152267
2002-04-01,
2002-04-02,
2002-04-03,15074.50804577619
2002-04-04,14834.061766183931
2002-04-05,15105.59335636461
2002-04-06,
2002-04-07,15195.11675347978
2002-04-08,14848.079587705532
2002-04-09,15054.926503199651
2002-04-10,15050.675316331453
2002-04-11,15023.926285141708
2002-04-12,14968.706725636728
2002-04-13,14944.410927706624
2002-04-14,15141.071443366922
2002-04-16,
2002-04-17,14967.0
2002-04-18,14988.533784750372
2002-04-19,14875.31688352904
2002-04-20,
2002-04-21,
2002-04-22,
2002-04-23,
2002-04-24,14870.036770335802
2002-04-25,15110.59237478644
2002-04-26,14882.801184555386
2002-04-27,15004.495710977302
2002-04-28,14855.14697539619
2002-04-29,14926.715541645426
2002-04-30,15176.151813666149
2002-05-01,
2002-05-02,
2002-05-03,
2002-05-04,14894.773173391495
2002-05-05,14931.865955290861
2002-05-06,
2002-05-07,14934.685025034136
2002-05-08,
2002-05-09,15011.19543147208
2002-05-10,
2002-05-11,15075.759790060427
2002-05-12,14814.80761365424
2002-05-13,15160.06615192826
2002-05-14,15029.04792118885
2002-05-15,14936.580974041255
2002-05-16,15138.130236883322
2002-05-17,
2002-05-18,15200.16122710485
2002-05-19,14901.209336274576
2002-05-20,15067.66551941083
2002-05-21,14851.067402046074
2002-05-22,14919.254364153707
2002-05-23,
2002-05-24,
2002-05-25,15097.932387115061
2002-05-26,14865.506036967112
2002-05-27,15047.516763077694
2002-05-28,
2002-05-29,
2002-05-30,
2002-05-31,14775.791112574061
2002-06-01,15061.884182779979
2002-06-02,
2002-06-03,15053.863736683506
2002-06-04,14905.77244996254
2002-06-05,
2002-06-06,15024.026463222579
2002-06-07,14970.298946542642
2002-06-08,15027.600462427747
2002-06-09,
2002-06-10,15141.504948745145
2002-06-11,14874.911579097914
2002-06-12,
2002-06-13,15175.277818480732
2002-06-14,
2002-06-15,
2002-06-16,
2002-06-17,
2002-06-18,
2002-06-19,15031.263251825247
2002-06-20,14964.554150132277
2002-06-21,
2002-06-22,14849.767367885317
2002-06-23,14698.045911047346
2002-06-24,
2002-06-25,
2002-06-26,
2002-06-27,
2002-06-28,15028.796391752576
2002-06-29,
2002-06-30,
2002-07-01,
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,
2002-07-06,
2002-07-07,
2002-07-08,15029.122111856828
2002-07-09,14985.972424009855
2002-07-10,15096.45151958796
2002-07-11,
2002-07-12,
2002-07-13,
2002-07-14,
2002-07-15,14951.662563720007
2002-07-16,15030.35787935374
2002-07-17,15090.799593270476
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,15083.336819075916
2002-07-22,15164.137324791676
2002-07-23,
2002-07-24,14994.834731528555
2002-07-25,
2002-07-26,
2002-07-27,
2002-07-28,15161.120801106863
2002-07-29,
2002-07-30,
2002-07-31,
2002-08-01,
2002-08-02,15004.985342552409
2002-08-03,
2002-08-04,
2002-08-05,
2002-08-06,
2002-08-07,14860.057139276985
2002-08-08,
2002-08-09,
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,
2002-08-14,
2002-08-15,
2002-08-16,
2002-08-17,
2002-08-18,15057.542369907716
2002-08-19,15167.264500956493
2002-08-20,
2002-08-21,
