date,LST_Day_1km
2002-02-24,
2002-02-25,15093.670426741039
2002-02-26,14930.333720707085
2002-02-27,15101.111493167915
2002-02-28,15024.308866132826
2002-03-01,15069.117267619586
2002-03-02,14810.064772801463
2002-03-03,
2002-03-04,14967.722837046093
2002-03-05,14738.739301175421
2002-03-06,14662.346153846154
2002-03-07,
2002-03-08,
2002-03-09,14894.618243423036
2002-03-10,15031.836194314346
2002-03-11,14725.005847953213
2002-03-12,
2002-03-13,15054.261002280957
2002-03-14,14989.413553498143
2002-03-15,15114.846486554261
2002-03-16,15059.737033299709
2002-03-17,15158.206791924375
2002-03-18,
2002-03-19,
2002-03-28,
2002-03-29,15224.770199977302
2002-03-30,14998.129491508605
2002-03-31,15169.002551614012
2002-04-01,15097.774144774146
2002-04-02,15150.75425358388
2002-04-03,15202.649618752015
2002-04-04,
2002-04-05,15240.237396698436
2002-04-06,14994.852710256318
2002-04-07,15253.254763240775
2002-04-08,15097.9797446789
2002-04-09,15170.780506457375
2002-04-10,15162.835252829558
2002-04-11,
2002-04-12,15247.547190059458
2002-04-13,
2002-04-14,15194.930425494042
2002-04-16,15261.373886316323
2002-04-17,15177.30605174064
2002-04-18,
2002-04-19,15336.709837094748
2002-04-20,
2002-04-21,
2002-04-22,
2002-04-23,
2002-04-24,15106.495014065747
2002-04-25,15095.32308494008
2002-04-26,15122.533569697514
2002-04-27,14903.661981896143
2002-04-28,15299.855073764033
2002-04-29,
2002-04-30,15258.488412521972
2002-05-01,15029.10180287631
2002-05-02,14822.0
2002-05-03,15012.190368886657
2002-05-04,15023.87475550122
2002-05-05,
2002-05-06,
2002-05-07,15375.271403110572
2002-05-08,15072.580345119164
2002-05-09,15167.19774101177
2002-05-10,
2002-05-11,14976.073682837767
2002-05-12,15262.033152265063
2002-05-13,
2002-05-14,15205.650703020472
2002-05-15,
2002-05-16,15264.506336572367
2002-05-17,15082.881936298832
2002-05-18,15226.193735155348
2002-05-19,15145.802795122587
2002-05-20,
2002-05-21,15178.075716142597
2002-05-22,
2002-05-23,
2002-05-24,
2002-05-25,14844.166507301807
2002-05-26,
2002-05-27,15085.297196246776
2002-05-28,15160.769002674006
2002-05-29,
2002-05-30,
2002-05-31,
2002-06-01,15272.559117103017
2002-06-02,
2002-06-03,15143.824009923457
2002-06-04,15125.46892635605
2002-06-05,
2002-06-06,15216.336539607903
2002-06-07,
2002-06-08,
2002-06-09,
2002-06-10,15166.444388214644
2002-06-11,15064.527264005326
2002-06-12,
2002-06-13,15140.842872293115
2002-06-14,15027.543072014585
2002-06-15,14926.658415841584
2002-06-16,
2002-06-17,15198.836483703137
2002-06-18,
2002-06-19,
2002-06-20,
2002-06-21,
2002-06-22,14962.256701208384
2002-06-23,
2002-06-24,15197.16702080913
2002-06-25,15243.894781263189
2002-06-26,
2002-06-27,
2002-06-28,
2002-06-29,15062.145628820146
2002-06-30,15505.574440124845
2002-07-01,
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,15116.540864745013
2002-07-06,
2002-07-07,
2002-07-08,15044.509501593699
2002-07-09,
2002-07-10,15167.388090892235
2002-07-11,
2002-07-12,
2002-07-13,
2002-07-14,14719.307009760427
2002-07-15,
2002-07-16,15026.301597979367
2002-07-17,15227.202925630527
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,
2002-07-22,15073.375365555814
2002-07-23,14971.201757175133
2002-07-24,
2002-07-25,
2002-07-26,15156.538356910805
2002-07-27,
2002-07-28,15040.497667977992
2002-07-29,14950.125567825437
2002-07-30,
2002-07-31,
2002-08-01,
2002-08-02,15127.229527631078
2002-08-03,
2002-08-04,
2002-08-05,
2002-08-06,
2002-08-07,14960.742257607451
2002-08-08,14667.322580645161
2002-08-09,14870.299488926748
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,
2002-08-14,
2002-08-15,
2002-08-16,
2002-08-17,15266.847814375866
2002-08-18,15062.028830313016
2002-08-19,
2002-08-20,15239.340778090445
2002-08-21,
2002-08-22,15112.57742529286
2002-08-23,15066.44443187689
2002-08-24,15144.312218630961
2002-08-25,15081.852432097681
2002-08-26,
2002-08-27,15154.295663971716
2002-08-28,
2002-08-29,
2002-08-30,
2002-08-31,15119.522258414767
2002-09-01,15112.12125770613
2002-09-02,15006.163220492956
2002-09-03,15142.96903327833
2002-09-04,
2002-09-05,
2002-09-06,
2002-09-07,
2002-09-08,
2002-09-09,15238.829163578912
2002-09-10,
2002-09-11,
2002-09-12,
2002-09-13,
2002-09-14,
2002-09-15,
2002-09-16,
2002-09-17,14810.172860084323
2002-09-18,
2002-09-19,15059.025857115495
2002-09-20,
2002-09-21,15154.363227245316
2002-09-22,14854.32917653616
2002-09-23,15148.615899813072
2002-09-24,15004.706067994206
2002-09-25,14944.811646652408
2002-09-26,15128.017909394883
2002-09-27,
2002-09-28,15188.383320095309
2002-09-29,14963.388055886864
2002-09-30,
2002-10-01,
2002-10-02,14913.912730032253
2002-10-03,14997.1715437444
2002-10-04,14222.6698630137
2002-10-05,15104.769689815512
2002-10-06,
2002-10-07,15170.339759808821
2002-10-08,15004.647771696636
2002-10-09,15113.277432712219
2002-10-10,14993.804721199569
2002-10-11,15066.86726184636
2002-10-12,15162.673750402137
2002-10-13,
2002-10-14,15137.425058468161
2002-10-15,14863.296815429469
2002-10-16,15110.702287048873
2002-10-17,15070.6092212718
2002-10-18,15053.514820723818
2002-10-19,15070.267297850569
2002-10-20,15144.090390625
2002-10-21,
2002-10-22,
2002-10-23,
2002-10-24,14759.54214064116
2002-10-25,15034.758602391252
2002-10-26,15014.472337037232
2002-10-27,14975.380203045685
2002-10-28,15037.839333652923
2002-10-29,
2002-10-30,15028.260201022385
2002-10-31,14849.524525166305
2002-11-01,15036.82573194618
2002-11-02,
2002-11-03,14996.200932104655
2002-11-04,
2002-11-05,
2002-11-06,14992.94421495531
2002-11-07,
2002-11-08,15021.186023280059
2002-11-09,
2002-11-10,
2002-11-11,15024.640400601376
2002-11-12,14967.488505889649
2002-11-13,15003.57577482606
2002-11-14,
2002-11-15,15066.855198989606
2002-11-16,14861.924200977299
2002-11-17,15028.671131531812
2002-11-18,14853.909634793465
2002-11-19,
2002-11-20,15049.433410826969
2002-11-21,14886.581059644668
2002-11-22,14931.926013747534
2002-11-23,
2002-11-24,
2002-11-25,14694.58059267868
2002-11-26,14939.238994627074
2002-11-27,14879.009962580358
2002-11-28,14945.523057055223
2002-11-29,14803.958439380336
2002-11-30,
2002-12-01,14986.637831125836
2002-12-02,14825.24597923207
2002-12-03,14891.096174282678
2002-12-04,
2002-12-05,14985.241410262068
2002-12-06,15030.133156242196
2002-12-07,14917.674961540653
2002-12-08,15014.049782698567
2002-12-09,
2002-12-10,14954.802387682485
2002-12-11,
2002-12-12,14924.881692599949
2002-12-13,14860.794514250685
2002-12-14,14788.882232112288
2002-12-15,14954.287289475647
2002-12-16,
2002-12-17,15012.212796073853
2002-12-18,14680.23878463737
2002-12-19,15004.58410867935
2002-12-20,14887.522045023483
2002-12-21,14925.099783990101
2002-12-22,15006.442544010515
2002-12-23,
2002-12-24,14984.417331447932
2002-12-25,
2002-12-26,14957.849240103806
2002-12-27,14868.106536474492
2002-12-28,14810.41244532242
2002-12-29,14814.264005193112
2002-12-30,14870.966516433526
2002-12-31,15017.977490860807
2003-01-01,
2003-01-02,
2003-01-03,
2003-01-04,
2003-01-05,
2003-01-06,
2003-01-07,14682.137302299885
2003-01-08,
2003-01-09,14788.973448390308
2003-01-10,
2003-01-11,14873.700638138136
2003-01-12,14752.168831083738
2003-01-13,14906.193427342754
2003-01-14,
2003-01-15,14876.956022606852
2003-01-16,14894.016954739067
2003-01-17,
2003-01-18,14636.617834394903
2003-01-19,14799.159318796335
2003-01-20,14985.94818280239
2003-01-21,14788.011048896251
2003-01-22,
2003-01-23,
2003-01-24,14929.661074586264
2003-01-25,15027.399953780845
2003-01-26,
2003-01-27,14928.6381011288
2003-01-28,14727.0
2003-01-29,
2003-01-30,
2003-01-31,
2003-02-01,
2003-02-02,
2003-02-03,14864.091784742093
2003-02-04,14534.5889212828
2003-02-05,14951.74744152838
2003-02-06,14872.182889989608
2003-02-07,
2003-02-08,14885.96589147287
2003-02-09,14805.013216330457
2003-02-10,15038.363302851583
2003-02-11,
2003-02-12,15101.01605166715
2003-02-13,14922.547796577122
2003-02-14,15073.322007872313
2003-02-15,15027.307157097137
2003-02-16,15048.647521820449
2003-02-17,15071.62211864137
2003-02-18,
2003-02-19,14982.433593549385
2003-02-20,14842.999532968634
2003-02-21,15044.33230813247
2003-02-22,14870.371872973332
2003-02-23,14638.112554112557
2003-02-24,14908.13409795695
2003-02-25,15009.930437718027
2003-02-26,15014.832468968674
2003-02-27,
2003-02-28,15385.0
2003-03-01,14906.385140601755
2003-03-02,15090.958697505857
2003-03-03,15062.2060118073
2003-03-04,14987.655833638122
2003-03-05,15242.989622328581
2003-03-06,
2003-03-07,15144.351495443723
2003-03-08,14856.64728205563
2003-03-09,14960.300641025642
2003-03-10,15028.355312431022
2003-03-11,14986.333333333332
2003-03-12,14584.121068032187
2003-03-13,14975.201813742591
2003-03-14,15100.262433297099
2003-03-15,
2003-03-16,15216.732828581571
2003-03-17,14910.897483657356
2003-03-18,14985.533818377788
2003-03-19,15051.818248122605
2003-03-20,15179.767574156836
2003-03-21,15233.555078765625
2003-03-22,
2003-03-23,15264.90608974707
2003-03-24,14969.175966371906
2003-03-25,15085.41312240664
2003-03-26,15168.521070225119
2003-03-27,15087.668709018597
2003-03-28,15130.358514046538
2003-03-29,
2003-03-30,15232.396563361961
2003-03-31,
2003-04-01,15332.055669625423
2003-04-02,14952.92894186312
2003-04-03,15304.201925088206
2003-04-04,15248.120952776391
2003-04-05,15133.30424034636
2003-04-06,15332.780230460698
2003-04-07,
2003-04-08,15351.832885587079
2003-04-09,14916.285316757618
2003-04-10,15356.894008195815
2003-04-11,15170.80903293858
2003-04-12,15283.481121762803
2003-04-13,15456.429853499852
2003-04-14,15263.443944115426
2003-04-15,15397.195225625484
2003-04-16,
2003-04-17,15359.694062290455
2003-04-18,15123.649790088726
2003-04-19,15223.0174903245
2003-04-20,15315.902373202585
2003-04-21,15161.270524037163
2003-04-22,15324.283627094204
2003-04-23,
2003-04-24,15258.79564858603
2003-04-25,15095.813589939555
2003-04-26,
2003-04-27,15115.260238818195
2003-04-28,15168.070573804825
2003-04-29,15092.450797395008
2003-04-30,15069.746507540012
2003-05-01,15428.619979714293
2003-05-02,
2003-05-03,15377.774237762456
2003-05-04,
2003-05-05,15421.819629766673
2003-05-06,15171.161874571466
2003-05-07,
2003-05-08,15147.086372160868
2003-05-09,
2003-05-10,
2003-05-11,
2003-05-12,
2003-05-13,
2003-05-14,15122.863903903903
2003-05-15,
2003-05-16,
2003-05-17,
2003-05-18,
2003-05-19,
2003-05-20,
2003-05-21,
2003-05-22,
2003-05-23,
2003-05-24,
2003-05-25,
2003-05-26,
2003-05-27,
2003-05-28,
2003-05-29,
2003-05-30,
2003-05-31,
2003-06-01,15299.349036069652
2003-06-02,15159.690230226977
2003-06-03,
2003-06-04,15154.015659727174
2003-06-05,15058.882401555958
2003-06-06,15266.59242901343
2003-06-07,15189.34344572032
2003-06-08,15138.535218974057
2003-06-09,15225.728481766851
2003-06-10,
2003-06-11,15306.974040797022
2003-06-12,15088.322922394018
2003-06-13,
2003-06-14,
2003-06-15,
2003-06-16,
2003-06-17,
2003-06-18,14881.205938697318
2003-06-19,
2003-06-20,15144.868328017736
2003-06-21,14841.773800092878
2003-06-22,
2003-06-23,
2003-06-24,
2003-06-25,15148.676791681346
2003-06-26,
2003-06-27,
2003-06-28,
2003-06-29,14782.0
2003-06-30,
2003-07-01,15015.134583246287
2003-07-02,15107.025315650875
2003-07-03,
2003-07-04,
2003-07-05,
2003-07-06,14904.661133253889
2003-07-07,
2003-07-08,
2003-07-09,
2003-07-10,14948.30837789661
2003-07-11,15087.497980802409
2003-07-12,
2003-07-13,15123.591598314862
2003-07-14,14640.920678435446
2003-07-15,15089.681308515557
2003-07-16,
2003-07-17,
2003-07-18,
2003-07-19,
2003-07-20,
2003-07-21,
2003-07-22,
2003-07-23,
2003-07-24,15123.519195166842
2003-07-25,
2003-07-26,
2003-07-27,
2003-07-28,
2003-07-29,15118.157546673912
2003-07-30,
2003-07-31,14912.01524090462
2003-08-01,
2003-08-02,
2003-08-03,14930.19695353248
2003-08-04,15298.550181811672
2003-08-05,
2003-08-06,
2003-08-07,14998.177733332517
2003-08-08,
2003-08-09,
2003-08-10,15056.108353587291
2003-08-11,15082.383485596893
2003-08-12,15088.327350053893
2003-08-13,
2003-08-14,15192.968640414314
2003-08-15,
2003-08-16,
2003-08-17,14283.925340428863
2003-08-18,
2003-08-19,
2003-08-20,
2003-08-21,15051.784749583629
2003-08-22,
2003-08-23,15033.94803410706
2003-08-24,
