date,LST_Day_1km
2002-02-24,
2002-02-25,14930.615660081276
2002-02-26,14762.602018599728
2002-02-27,14923.468401750019
2002-02-28,14837.964280121438
2002-03-01,14859.007185216173
2002-03-02,
2002-03-03,
2002-03-04,14878.273194245607
2002-03-05,
2002-03-06,
2002-03-07,14694.968870906565
2002-03-08,
2002-03-09,
2002-03-10,14817.510724637677
2002-03-11,14755.967824967829
2002-03-12,
2002-03-13,14982.553344355732
2002-03-14,14720.880720263538
2002-03-15,15011.768212667137
2002-03-16,14843.169472412403
2002-03-17,14896.959167606057
2002-03-18,14885.03062963981
2002-03-19,
2002-03-28,
2002-03-29,15040.475390156065
2002-03-30,14903.267131551498
2002-03-31,15082.967250518555
2002-04-01,14982.324067158412
2002-04-02,14990.072055257968
2002-04-03,15042.578999204621
2002-04-04,14893.053870079546
2002-04-05,15127.64727767205
2002-04-06,
2002-04-07,15097.771917970196
2002-04-08,14915.07243371439
2002-04-09,14960.142432053979
2002-04-10,14949.462545999735
2002-04-11,14902.280525986225
2002-04-12,15034.683283658745
2002-04-13,
2002-04-14,14956.982555724768
2002-04-16,15090.180936716984
2002-04-17,14727.833223510805
2002-04-18,
2002-04-19,14941.036403831984
2002-04-20,14772.164219990165
2002-04-21,15045.035852158993
2002-04-22,
2002-04-23,14948.301368933351
2002-04-24,14759.034448710914
2002-04-25,14901.015452044277
2002-04-26,14990.386959598867
2002-04-27,14801.099999999997
2002-04-28,14971.302823658421
2002-04-29,
2002-04-30,15012.011452982017
2002-05-01,14792.4786671091
2002-05-02,14994.775193950962
2002-05-03,14822.188846539619
2002-05-04,14775.817620798323
2002-05-05,15010.086717293254
2002-05-06,14897.581168146751
2002-05-07,15142.27770381486
2002-05-08,
2002-05-09,
2002-05-10,
2002-05-11,14853.978057218692
2002-05-12,14931.31760492445
2002-05-13,14747.382610118342
2002-05-14,14963.108292115216
2002-05-15,
2002-05-16,15137.020446474926
2002-05-17,14833.09914336184
2002-05-18,15101.411069733243
2002-05-19,14943.61460906386
2002-05-20,14751.677624475102
2002-05-21,15052.78621328308
2002-05-22,
2002-05-23,15081.195965725763
2002-05-24,
2002-05-25,15090.330049261083
2002-05-26,
2002-05-27,
2002-05-28,14943.756930227411
2002-05-29,14766.673727248752
2002-05-30,
2002-05-31,
2002-06-01,14981.491648176843
2002-06-02,
2002-06-03,
2002-06-04,
2002-06-05,14912.84494801897
2002-06-06,15013.94627068693
2002-06-07,
2002-06-08,14768.407184340722
2002-06-09,
2002-06-10,15152.79005370925
2002-06-11,14880.911030542735
2002-06-12,14964.36463116756
2002-06-13,14598.270015948965
2002-06-14,14908.048514198012
2002-06-15,15030.817675491415
2002-06-16,
2002-06-17,15050.659564369176
2002-06-18,
2002-06-19,14981.0
2002-06-20,
2002-06-21,
2002-06-22,15009.508020928663
2002-06-23,14857.789901311067
2002-06-24,15036.24996011033
2002-06-25,
2002-06-26,
2002-06-27,
2002-06-28,14773.942665561666
2002-06-29,14848.733540536125
2002-06-30,14888.44537415613
2002-07-01,
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,14921.560494058203
2002-07-06,
2002-07-07,14526.553235908143
2002-07-08,14944.94461715819
2002-07-09,
2002-07-10,14692.811428571427
2002-07-11,
2002-07-12,
2002-07-13,
2002-07-14,
2002-07-15,14992.235292012085
2002-07-16,15115.507536309777
2002-07-17,14946.536479775903
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,14982.047453369632
2002-07-22,14934.19160317344
2002-07-23,14989.482691421883
2002-07-24,14774.789961811237
2002-07-25,
2002-07-26,14978.95083808792
2002-07-27,
2002-07-28,15196.619119033952
2002-07-29,
2002-07-30,
2002-07-31,
2002-08-01,
2002-08-02,15039.930178701448
2002-08-03,
2002-08-04,
2002-08-05,14992.238249513535
2002-08-06,
2002-08-07,
2002-08-08,
2002-08-09,14920.781962615452
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,
2002-08-14,
2002-08-15,
2002-08-16,
2002-08-17,
2002-08-18,15050.0
2002-08-19,
2002-08-20,15131.416661581452
2002-08-21,14747.57910976843
2002-08-22,14982.634164041756
2002-08-23,14978.472698458432
2002-08-24,14978.761865376391
2002-08-25,14944.74206034139
2002-08-26,14823.262341838516
2002-08-27,15052.1973036929
2002-08-28,
2002-08-29,15172.569920814905
2002-08-30,14924.725308556746
2002-08-31,14907.23120412164
2002-09-01,
2002-09-02,14911.02631392205
2002-09-03,15030.140230497635
2002-09-04,
2002-09-05,
2002-09-06,
2002-09-07,
2002-09-08,
2002-09-09,
2002-09-10,14983.578418580375
2002-09-11,
2002-09-12,
2002-09-13,
2002-09-14,
2002-09-15,
2002-09-16,
2002-09-17,
2002-09-18,
2002-09-19,
2002-09-20,
2002-09-21,14933.686021406582
2002-09-22,14844.799122600936
2002-09-23,15038.831789464113
2002-09-24,14844.02032470826
2002-09-25,14993.37760284408
2002-09-26,14955.427509455078
2002-09-27,14835.516751711493
2002-09-28,14999.238446846177
2002-09-29,
2002-09-30,14955.055955746027
2002-10-01,14716.99564902103
2002-10-02,14962.337452257918
2002-10-03,14897.262336627939
2002-10-04,
2002-10-05,14927.267939103604
2002-10-06,
2002-10-07,15048.888270137058
2002-10-08,14703.86986934702
2002-10-09,15041.229339016014
2002-10-10,14741.037918441445
2002-10-11,14783.889202326187
2002-10-12,15008.859349440347
2002-10-13,
2002-10-14,15023.346765457769
2002-10-15,
2002-10-16,15033.686765722188
2002-10-17,14832.182058808556
2002-10-18,14866.685819240367
2002-10-19,14965.833962041092
2002-10-20,14889.243902919503
2002-10-21,
2002-10-22,
2002-10-23,15027.871857742668
2002-10-24,14899.24042001159
2002-10-25,14953.650768234447
2002-10-26,14888.535445393385
2002-10-27,14933.831229208425
2002-10-28,
2002-10-29,
2002-10-30,14975.07540226313
2002-10-31,
2002-11-01,14849.220960735349
2002-11-02,14995.721742320653
2002-11-03,
2002-11-04,
2002-11-05,
2002-11-06,
2002-11-07,
2002-11-08,15041.414143188358
2002-11-09,
2002-11-10,
2002-11-11,
2002-11-12,14814.998515147883
2002-11-13,14907.567205889829
2002-11-14,14479.524565664115
2002-11-15,15005.576053813988
2002-11-16,
