LST_Day_1km,date
14962.226633798387,2002-02-24
15319.536510440941,2002-02-25
15175.085543077812,2002-02-26
15125.302206593407,2002-02-27
15146.444921120887,2002-02-28
14932.686874098496,2002-03-01
15239.639470923028,2002-03-02
,2002-03-03
15190.070887425929,2002-03-04
15281.030921437496,2002-03-05
,2002-03-06
,2002-03-07
14616.861675653256,2002-03-08
15278.10680911434,2002-03-09
,2002-03-10
15310.386231698109,2002-03-11
,2002-03-12
,2002-03-13
15131.426486693683,2002-03-14
15303.996539645857,2002-03-15
15310.27662349367,2002-03-16
15038.256450665098,2002-03-17
15432.863729669469,2002-03-18
14796.0,2002-03-19
,2002-03-28
15333.58004358182,2002-03-29
15443.398969701522,2002-03-30
15344.698935636976,2002-03-31
15534.54298522609,2002-04-01
15232.757356044292,2002-04-02
15597.72443171719,2002-04-03
15132.173012973633,2002-04-04
15483.76644574891,2002-04-05
15374.035424716076,2002-04-06
15403.981798122362,2002-04-07
15476.922663602485,2002-04-08
15287.761209273829,2002-04-09
15430.027137085446,2002-04-10
,2002-04-11
15513.307411425389,2002-04-12
15398.358557556434,2002-04-13
15238.13056819384,2002-04-14
15269.067866234664,2002-04-16
15233.02550426688,2002-04-17
,2002-04-18
15567.135042779371,2002-04-19
15063.365376212534,2002-04-20
15507.38522934898,2002-04-21
14965.963388086293,2002-04-22
,2002-04-23
15197.570628997864,2002-04-24
15369.0,2002-04-25
15494.99145621309,2002-04-26
,2002-04-27
15522.524685320092,2002-04-28
15334.544266395624,2002-04-29
15412.054356879144,2002-04-30
15400.666848710585,2002-05-01
15390.046265184803,2002-05-02
15427.21802842831,2002-05-03
14961.14198353218,2002-05-04
15523.29923536181,2002-05-05
14965.986190548678,2002-05-06
15637.367291147384,2002-05-07
15391.013067470656,2002-05-08
,2002-05-09
15542.172046568669,2002-05-10
15210.621240329323,2002-05-11
15596.080489728989,2002-05-12
,2002-05-13
15742.941191747366,2002-05-14
15089.269638351561,2002-05-15
15478.489261012022,2002-05-16
15229.303381744376,2002-05-17
15294.189259712652,2002-05-18
15517.286707862875,2002-05-19
,2002-05-20
,2002-05-21
,2002-05-22
,2002-05-23
,2002-05-24
15096.549478229581,2002-05-25
,2002-05-26
,2002-05-27
15138.208524925189,2002-05-28
,2002-05-29
15152.896751306946,2002-05-30
,2002-05-31
,2002-06-01
,2002-06-02
15145.717865389553,2002-06-03
14886.0,2002-06-04
,2002-06-05
,2002-06-06
,2002-06-07
15197.571911298839,2002-06-08
15335.816928270364,2002-06-09
15226.481802702338,2002-06-10
15343.522330315282,2002-06-11
15130.03196244971,2002-06-12
15153.105103534826,2002-06-13
,2002-06-14
15449.579751373916,2002-06-15
,2002-06-16
15122.023195768963,2002-06-17
14976.898630726213,2002-06-18
,2002-06-19
,2002-06-20
,2002-06-21
,2002-06-22
14911.71962868078,2002-06-23
15272.178333586848,2002-06-24
15144.918907910991,2002-06-25
15104.20011907912,2002-06-26
,2002-06-27
15121.0,2002-06-28
15043.390910219792,2002-06-29
,2002-06-30
15184.478713951044,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
15136.63835337618,2002-07-17
15049.103469663254,2002-07-18
,2002-07-19
,2002-07-20
,2002-07-21
14946.256034728465,2002-07-22
14808.642857142857,2002-07-23
15320.904401650618,2002-07-24
,2002-07-25
,2002-07-26
,2002-07-27
14994.720799059933,2002-07-28
14874.600530856005,2002-07-29
,2002-07-30
14967.414140320487,2002-07-31
,2002-08-01
14940.847616030409,2002-08-02
,2002-08-03
,2002-08-04
14889.787164906587,2002-08-05
14839.975244498779,2002-08-06
,2002-08-07
,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
,2002-08-17
,2002-08-18
15151.229068551414,2002-08-19
,2002-08-20
,2002-08-21
14937.324745663474,2002-08-22
15142.058289710367,2002-08-23
14814.780222920834,2002-08-24
15253.421653267978,2002-08-25
,2002-08-26
,2002-08-27
15254.0,2002-08-28
15003.95056135514,2002-08-29
14888.75111111111,2002-08-30
14411.0,2002-08-31
14937.270614501384,2002-09-01
,2002-09-02
15290.909936687449,2002-09-03
15092.1983662491,2002-09-04
15146.674515620653,2002-09-05
,2002-09-06
,2002-09-07
,2002-09-08
,2002-09-09
,2002-09-10
,2002-09-11
,2002-09-12
,2002-09-13
,2002-09-14
,2002-09-15
,2002-09-16
14870.288706174371,2002-09-17
,2002-09-18
15311.657824933687,2002-09-19
,2002-09-20
15169.115115629533,2002-09-21
15259.28054469802,2002-09-22
,2002-09-23
15107.625892420223,2002-09-24
15276.974184463737,2002-09-25
15208.914898341414,2002-09-26
15004.221181230012,2002-09-27
14941.823636363637,2002-09-28
15050.60907989543,2002-09-29
,2002-09-30
,2002-10-01
,2002-10-02
15027.812776481951,2002-10-03
,2002-10-04
,2002-10-05
,2002-10-06
15025.441112013978,2002-10-07
15029.09610729634,2002-10-08
,2002-10-09
14987.005089517763,2002-10-10
14925.01783367265,2002-10-11
14856.134453781511,2002-10-12
,2002-10-13
15057.606163655686,2002-10-14
,2002-10-15
,2002-10-16
,2002-10-17
14964.876360157843,2002-10-18
14991.774155164208,2002-10-19
,2002-10-20
15103.60141136391,2002-10-21
,2002-10-22
15146.37284246904,2002-10-23
15150.615272911895,2002-10-24
15078.803081499149,2002-10-25
15064.055898869206,2002-10-26
,2002-10-27
15039.039303079411,2002-10-28
,2002-10-29
,2002-10-30
14830.0,2002-10-31
15048.74463803421,2002-11-01
15084.939400953655,2002-11-02
,2002-11-03
,2002-11-04
,2002-11-05
14896.50209397579,2002-11-06
,2002-11-07
15105.882156123293,2002-11-08
