date,LST_Day_1km
2002-02-24,
2002-02-25,15201.556874403266
2002-02-26,14975.250909890336
2002-02-27,15265.138702564373
2002-02-28,15092.839379326291
2002-03-01,15147.789728879578
2002-03-02,15065.612538511341
2002-03-03,
2002-03-04,14988.197443031733
2002-03-05,
2002-03-06,15124.936863155892
2002-03-07,14859.522181278713
2002-03-08,15012.992219478367
2002-03-09,
2002-03-10,14905.636668710267
2002-03-11,15080.036983795082
2002-03-12,
2002-03-13,15235.530844590412
2002-03-14,14906.527335206458
2002-03-15,15299.394879892452
2002-03-16,15090.317578438051
2002-03-17,14947.542072373202
2002-03-18,15138.11493155808
2002-03-19,15032.67076103045
2002-03-28,
2002-03-29,15301.428430434693
2002-03-30,15034.703557535036
2002-03-31,15342.467548026847
2002-04-01,15246.94692827276
2002-04-02,15225.217120248675
2002-04-03,15279.541536796893
2002-04-04,15001.396193713015
2002-04-05,15372.829468843249
2002-04-06,
2002-04-07,15430.876509701871
2002-04-08,15106.75569139503
2002-04-09,15287.252348287837
2002-04-10,15251.04624511318
2002-04-11,15261.007965587321
2002-04-12,15364.762088423364
2002-04-13,
2002-04-14,15396.799562443504
2002-04-16,15459.965253721424
2002-04-17,15134.706454996222
2002-04-18,15373.104055271855
2002-04-19,15326.111590536364
2002-04-20,15341.463126139795
2002-04-21,15322.802373445436
2002-04-22,
2002-04-23,
2002-04-24,14965.848090965394
2002-04-25,15282.003451751687
2002-04-26,15189.840974551038
2002-04-27,15155.421323547625
2002-04-28,15356.45172963237
2002-04-29,
2002-04-30,15353.5429137501
2002-05-01,14972.822407473735
2002-05-02,15066.88744884038
2002-05-03,15188.813474030496
2002-05-04,15193.02766453238
2002-05-05,15224.63475521362
2002-05-06,15106.087966796777
2002-05-07,15423.088378064387
2002-05-08,
2002-05-09,15307.782218956656
2002-05-10,
2002-05-11,15307.927815261215
2002-05-12,15477.687173066217
2002-05-13,15139.570059350344
2002-05-14,15196.26564909035
2002-05-15,
2002-05-16,15330.252132720358
2002-05-17,15070.284249521863
2002-05-18,15347.67881396716
2002-05-19,15215.803410226015
2002-05-20,15184.97087217359
2002-05-21,15247.106218699171
2002-05-22,15421.733556869323
2002-05-23,
2002-05-24,
2002-05-25,15323.447658319743
2002-05-26,15187.751219417029
2002-05-27,15300.886405806596
2002-05-28,
2002-05-29,
2002-05-30,
2002-05-31,
2002-06-01,15343.096916600583
2002-06-02,15364.620269297973
2002-06-03,15291.775043020452
2002-06-04,15125.603546558841
2002-06-05,14869.905777682492
2002-06-06,15201.645448408928
