LST_Day_1km,date
14908.482754048366,2002-02-24
,2002-02-25
,2002-02-26
14997.910002655683,2002-02-27
14832.764745269948,2002-02-28
15022.32605924295,2002-03-01
14811.369199119525,2002-03-02
15133.884698234706,2002-03-03
14844.903830856372,2002-03-04
15042.603026226016,2002-03-05
14887.302843688747,2002-03-06
,2002-03-07
,2002-03-08
,2002-03-09
15164.78860234658,2002-03-10
14852.962962962964,2002-03-11
14889.930925608754,2002-03-12
14896.928399412629,2002-03-13
,2002-03-14
15085.931501978746,2002-03-15
14861.655667716681,2002-03-16
,2002-03-17
14936.860137075832,2002-03-18
15133.781656145557,2002-03-19
,2002-03-28
15069.453938570296,2002-03-29
,2002-03-30
15073.113051916544,2002-03-31
14816.198171065602,2002-04-01
15089.097830495413,2002-04-02
15042.87509445863,2002-04-03
15022.59469212387,2002-04-04
15100.445028320859,2002-04-05
14857.156303067526,2002-04-06
15148.785412210425,2002-04-07
,2002-04-08
15228.814518339505,2002-04-09
15001.015667448077,2002-04-10
15101.285722433051,2002-04-11
15072.351067214026,2002-04-12
14919.593103448278,2002-04-13
15154.345021962346,2002-04-14
15043.528347806174,2002-04-16
14929.438566486764,2002-04-17
15266.164488810551,2002-04-18
15011.20449041802,2002-04-19
15094.97502286639,2002-04-20
,2002-04-21
,2002-04-22
,2002-04-23
,2002-04-24
,2002-04-25
14848.751717296762,2002-04-26
,2002-04-27
15068.167800696936,2002-04-28
14955.882127001545,2002-04-29
15015.312493042933,2002-04-30
,2002-05-01
,2002-05-02
14973.916739319964,2002-05-03
14884.937081189992,2002-05-04
,2002-05-05
,2002-05-06
14960.77897275361,2002-05-07
14968.418993621546,2002-05-08
14632.568965517241,2002-05-09
,2002-05-10
15050.83547136326,2002-05-11
,2002-05-12
15130.19691143258,2002-05-13
15145.482895946085,2002-05-14
15023.410678657285,2002-05-15
15098.868610122841,2002-05-16
,2002-05-17
15081.388491856353,2002-05-18
15091.337637955221,2002-05-19
15030.97422881209,2002-05-20
,2002-05-21
15086.969204570694,2002-05-22
15016.214599695844,2002-05-23
15008.806512848612,2002-05-24
15098.313008334198,2002-05-25
,2002-05-26
15084.142061828667,2002-05-27
,2002-05-28
,2002-05-29
15019.940049616467,2002-05-30
14991.970729560044,2002-05-31
15120.133621964287,2002-06-01
,2002-06-02
,2002-06-03
15416.766805552461,2002-06-04
15017.998918732494,2002-06-05
15040.022792234051,2002-06-06
15012.510647649406,2002-06-07
15035.012843852071,2002-06-08
14974.971502590672,2002-06-09
15038.566413498866,2002-06-10
,2002-06-11
14793.099815789474,2002-06-12
14964.034066713984,2002-06-13
,2002-06-14
,2002-06-15
,2002-06-16
15007.791749118558,2002-06-17
,2002-06-18
14784.134342728112,2002-06-19
,2002-06-20
14933.99181818182,2002-06-21
15002.215932482504,2002-06-22
,2002-06-23
,2002-06-24
,2002-06-25
14928.695824829078,2002-06-26
,2002-06-27
15008.277815129108,2002-06-28
15202.275652173912,2002-06-29
14966.0,2002-06-30
,2002-07-01
,2002-07-02
14962.611164523496,2002-07-03
,2002-07-04
14983.354195610831,2002-07-05
14976.782848106628,2002-07-06
15040.208756746371,2002-07-07
14843.155181122114,2002-07-08
15037.306268186438,2002-07-09
14867.604541032131,2002-07-10
,2002-07-11
14654.713851482702,2002-07-12
,2002-07-13
15093.133986594066,2002-07-14
15006.69950427314,2002-07-15
14931.156938969027,2002-07-16
14879.091042715247,2002-07-17
,2002-07-18
,2002-07-19
,2002-07-20
15132.448428370688,2002-07-21
14944.85262169584,2002-07-22
14896.679307040056,2002-07-23
14934.072192954956,2002-07-24
14984.321553545446,2002-07-25
,2002-07-26
14951.838452693042,2002-07-27
14972.360370525394,2002-07-28
,2002-07-29
14936.895964125562,2002-07-30
,2002-07-31
15117.40247700274,2002-08-01
