LST_Day_1km,date
14991.55885358228,2002-02-24
14816.559236350657,2002-02-25
,2002-02-26
14988.716269645349,2002-02-27
14816.183876176376,2002-02-28
14993.652108876773,2002-03-01
14839.826736459852,2002-03-02
15094.710458617157,2002-03-03
14894.550960811703,2002-03-04
15135.110295389843,2002-03-05
14910.21094672548,2002-03-06
,2002-03-07
,2002-03-08
,2002-03-09
15062.199657785013,2002-03-10
14899.143749671035,2002-03-11
14976.603479479832,2002-03-12
,2002-03-13
,2002-03-14
15075.917262814637,2002-03-15
14713.77905699943,2002-03-16
,2002-03-17
14968.280798510357,2002-03-18
15081.875665300182,2002-03-19
,2002-03-28
15009.781630907277,2002-03-29
,2002-03-30
,2002-03-31
14762.422831345213,2002-04-01
15042.849412299667,2002-04-02
14923.276711126215,2002-04-03
15061.626059544067,2002-04-04
15074.908356104546,2002-04-05
14911.736712770726,2002-04-06
15093.65458962782,2002-04-07
,2002-04-08
15166.831561037849,2002-04-09
14919.800845599264,2002-04-10
15089.190462372435,2002-04-11
15026.938722788476,2002-04-12
15076.182167102052,2002-04-13
15086.180647463672,2002-04-14
15145.132597851487,2002-04-16
14872.4685018172,2002-04-17
15196.030911041365,2002-04-18
14953.684778363398,2002-04-19
15084.925752831019,2002-04-20
15005.140957304191,2002-04-21
,2002-04-22
,2002-04-23
,2002-04-24
14925.18474404962,2002-04-25
14865.320874786046,2002-04-26
14956.29983258929,2002-04-27
14941.961416808184,2002-04-28
14972.827590211758,2002-04-29
15073.26758702832,2002-04-30
,2002-05-01
15169.534283502579,2002-05-02
,2002-05-03
14938.596297962142,2002-05-04
14796.35536531953,2002-05-05
,2002-05-06
14974.81323035357,2002-05-07
14992.738248022135,2002-05-08
,2002-05-09
,2002-05-10
15083.657675152766,2002-05-11
,2002-05-12
15071.505427820735,2002-05-13
15222.198309935942,2002-05-14
15024.615584954701,2002-05-15
15067.387018294878,2002-05-16
,2002-05-17
15078.243191924095,2002-05-18
15071.614229725661,2002-05-19
15032.738089046574,2002-05-20
,2002-05-21
15032.742548725217,2002-05-22
14703.74335039082,2002-05-23
14940.792269293815,2002-05-24
15081.535583728688,2002-05-25
,2002-05-26
15165.745692034081,2002-05-27
15220.546803631683,2002-05-28
,2002-05-29
14688.016483516481,2002-05-30
14897.908275207858,2002-05-31
15077.127766437909,2002-06-01
,2002-06-02
14975.032406770331,2002-06-03
,2002-06-04
15039.575381371576,2002-06-05
14987.058957836887,2002-06-06
14999.89034827829,2002-06-07
14968.872669316785,2002-06-08
15080.502231636285,2002-06-09
15067.22734294373,2002-06-10
,2002-06-11
14930.913950385953,2002-06-12
