LST_Day_1km,date
14925.882410900955,2002-02-24
14655.0,2002-02-25
,2002-02-26
15127.696080377316,2002-02-27
14903.093021508752,2002-02-28
15089.017535638957,2002-03-01
14885.767504948266,2002-03-02
15093.034941026634,2002-03-03
15049.573449515903,2002-03-04
15081.680841302894,2002-03-05
14879.036626529842,2002-03-06
14947.014262691375,2002-03-07
,2002-03-08
,2002-03-09
15156.949367741929,2002-03-10
15076.29050585861,2002-03-11
14987.033159166378,2002-03-12
14952.665992532671,2002-03-13
,2002-03-14
15146.015669289609,2002-03-15
14890.158912818217,2002-03-16
,2002-03-17
15029.338115435865,2002-03-18
15155.24815775284,2002-03-19
,2002-03-28
15185.466036095042,2002-03-29
,2002-03-30
,2002-03-31
14854.257621072853,2002-04-01
15272.579225296044,2002-04-02
15172.448535512685,2002-04-03
15156.163556767242,2002-04-04
15236.276198580481,2002-04-05
14945.874583452043,2002-04-06
15263.106571175242,2002-04-07
14981.585010680063,2002-04-08
15277.972810684203,2002-04-09
15021.334936567422,2002-04-10
15165.178361553653,2002-04-11
15212.292991606075,2002-04-12
15126.348833804306,2002-04-13
15250.363561868342,2002-04-14
15274.064405172476,2002-04-16
14945.935712583603,2002-04-17
15224.067871852005,2002-04-18
15086.511469499836,2002-04-19
15065.921163880106,2002-04-20
,2002-04-21
,2002-04-22
,2002-04-23
,2002-04-24
,2002-04-25
14916.647018722368,2002-04-26
,2002-04-27
15155.736615919475,2002-04-28
14996.688151235492,2002-04-29
15289.024922927905,2002-04-30
,2002-05-01
,2002-05-02
15124.80322501833,2002-05-03
15133.772504461933,2002-05-04
15104.46655405405,2002-05-05
,2002-05-06
14902.034540293005,2002-05-07
15095.493655694721,2002-05-08
,2002-05-09
,2002-05-10
15070.216523828825,2002-05-11
,2002-05-12
15143.595705689986,2002-05-13
15231.456707317077,2002-05-14
15193.142556699648,2002-05-15
15197.106287841472,2002-05-16
,2002-05-17
15172.706608557466,2002-05-18
15058.698870507042,2002-05-19
15074.67383278428,2002-05-20
14888.965073170732,2002-05-21
15058.66767425135,2002-05-22
15131.382589309424,2002-05-23
14902.150066371674,2002-05-24
15199.93470223665,2002-05-25
15038.363936882937,2002-05-26
15165.480619904236,2002-05-27
15191.346153846154,2002-05-28
,2002-05-29
14945.305400845984,2002-05-30
15065.880317835416,2002-05-31
15170.901921274795,2002-06-01
,2002-06-02
,2002-06-03
15233.931966726082,2002-06-04
15046.295922110685,2002-06-05
15068.440630014811,2002-06-06
15007.890343352821,2002-06-07
15045.584365288241,2002-06-08
15191.252518868276,2002-06-09
15139.467905445294,2002-06-10
,2002-06-11
14859.800099193399,2002-06-12
14812.333851414362,2002-06-13
,2002-06-14
,2002-06-15
,2002-06-16
14867.753298621381,2002-06-17
,2002-06-18
15026.133731896445,2002-06-19
,2002-06-20
14762.157504873294,2002-06-21
14799.657023011485,2002-06-22
,2002-06-23
,2002-06-24
,2002-06-25
14906.372828490212,2002-06-26
,2002-06-27
14980.915095615082,2002-06-28
14703.860640685572,2002-06-29
,2002-06-30
14738.554208065458,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
14875.77486790719,2002-07-05
14846.712245099003,2002-07-06
15057.33213785583,2002-07-07
14954.286084282818,2002-07-08
14999.054893056225,2002-07-09
14970.455700049257,2002-07-10
,2002-07-11
14749.450617542381,2002-07-12
,2002-07-13
15108.392402849182,2002-07-14
14980.386668341474,2002-07-15
14969.944627299134,2002-07-16
14958.570227975268,2002-07-17
,2002-07-18
14941.789550189778,2002-07-19
,2002-07-20
15196.113833100413,2002-07-21
14998.503288515707,2002-07-22
14887.956799380776,2002-07-23
15053.37638218604,2002-07-24
15102.435095654955,2002-07-25
,2002-07-26
15033.97526462334,2002-07-27
14976.649452763406,2002-07-28
,2002-07-29
14775.923099762469,2002-07-30
,2002-07-31
15155.281837253935,2002-08-01
15088.855478090003,2002-08-02
14952.74644607843,2002-08-03
,2002-08-04
,2002-08-05
15084.121030850876,2002-08-06
14852.531721307862,2002-08-07
15102.283235093631,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
15028.085911771448,2002-08-13
,2002-08-14
15168.5143759279,2002-08-15
14800.163166893166,2002-08-16
14878.679838165877,2002-08-17
15044.728662640005,2002-08-18
15184.692110791884,2002-08-19
,2002-08-20
,2002-08-21
15102.817480140384,2002-08-22
14968.553824706565,2002-08-23
15085.482143598685,2002-08-24
15056.549106059043,2002-08-25
14960.975672877848,2002-08-26
14995.212553169207,2002-08-27
15160.167399904836,2002-08-28
,2002-08-29
,2002-08-30
15165.931706473488,2002-08-31
,2002-09-01
15053.978766512677,2002-09-02
15112.75935861115,2002-09-03
,2002-09-04
15008.747148816667,2002-09-05
,2002-09-06
15171.107836023946,2002-09-07
15073.88216420683,2002-09-08
