LST_Day_1km,date
15050.663499879012,2002-02-24
15060.140914084432,2002-02-25
,2002-02-26
15171.089999441303,2002-02-27
14919.919720201236,2002-02-28
15120.648697197004,2002-03-01
14966.857214142832,2002-03-02
15064.581125286228,2002-03-03
15121.382834416394,2002-03-04
,2002-03-05
15138.903922382668,2002-03-06
14900.971094572244,2002-03-07
,2002-03-08
,2002-03-09
15123.087487498025,2002-03-10
15127.859016506909,2002-03-11
14963.54690168928,2002-03-12
14966.084833213343,2002-03-13
,2002-03-14
15119.52118733859,2002-03-15
14891.75859069933,2002-03-16
15100.036931818187,2002-03-17
14967.97684156419,2002-03-18
15195.764054409065,2002-03-19
,2002-03-28
15176.03306778778,2002-03-29
,2002-03-30
15328.054910450694,2002-03-31
14857.11928810312,2002-04-01
15308.733852359404,2002-04-02
15173.093117586992,2002-04-03
15114.968558588436,2002-04-04
15216.908814070694,2002-04-05
14951.269075682374,2002-04-06
15262.815119935889,2002-04-07
14901.859798973293,2002-04-08
15226.114307726055,2002-04-09
15004.151875870359,2002-04-10
15151.867763214064,2002-04-11
15161.13376935557,2002-04-12
15083.38202308991,2002-04-13
15245.223284325466,2002-04-14
15350.108868789219,2002-04-16
15005.998122756851,2002-04-17
15242.846374810726,2002-04-18
15121.830913783378,2002-04-19
15181.981479164066,2002-04-20
15133.898277949158,2002-04-21
15270.070136873986,2002-04-22
14966.0,2002-04-23
,2002-04-24
14947.886709814482,2002-04-25
14891.237671678846,2002-04-26
14980.397529466152,2002-04-27
15187.438511697716,2002-04-28
15078.779078218047,2002-04-29
15337.668050024906,2002-04-30
,2002-05-01
15086.550472255018,2002-05-02
15323.75627883497,2002-05-03
15215.275826456986,2002-05-04
14981.508026647001,2002-05-05
,2002-05-06
15139.390204255656,2002-05-07
15264.93329904331,2002-05-08
,2002-05-09
,2002-05-10
15168.870300717057,2002-05-11
,2002-05-12
15161.518309643227,2002-05-13
15166.625879636395,2002-05-14
15048.701190273352,2002-05-15
15254.707661782966,2002-05-16
,2002-05-17
15096.451031130151,2002-05-18
14956.601856341877,2002-05-19
15067.082579255892,2002-05-20
,2002-05-21
14961.090548238524,2002-05-22
15011.247618176838,2002-05-23
14971.886525278369,2002-05-24
15198.56630675067,2002-05-25
14935.25709799817,2002-05-26
15195.678955361982,2002-05-27
15287.933086380832,2002-05-28
,2002-05-29
