date,LST_Day_1km
2002-02-24,
2002-02-25,14965.21284849946
2002-02-26,
2002-02-27,14878.268614303963
2002-02-28,14816.1763111936
2002-03-01,14951.83321337105
2002-03-02,14887.630796161819
2002-03-03,
2002-03-04,
2002-03-05,
2002-03-06,14584.866253644312
2002-03-07,
2002-03-08,14882.35837694684
2002-03-09,
2002-03-10,
2002-03-11,14414.809638554216
2002-03-12,
2002-03-13,14757.924206250224
2002-03-14,
2002-03-15,14998.382261290179
2002-03-16,14884.91653596951
2002-03-17,14889.439623032318
2002-03-18,14841.808471081367
2002-03-19,
2002-03-28,
2002-03-29,15069.187798693512
2002-03-30,
2002-03-31,14918.203133416078
2002-04-01,
2002-04-02,15048.834465544514
2002-04-03,14969.113346827833
2002-04-04,14939.798925159468
2002-04-05,15042.88866119684
2002-04-06,
2002-04-07,15160.979370363724
2002-04-08,14837.555677736967
2002-04-09,15009.131223334109
2002-04-10,14784.51145562749
2002-04-11,14962.472234414225
2002-04-12,
2002-04-13,
2002-04-14,14954.50732550104
2002-04-16,15065.644197952219
2002-04-17,14815.194651671525
2002-04-18,14951.312137623438
2002-04-19,14561.559295675735
2002-04-20,
2002-04-21,
2002-04-22,
2002-04-23,
2002-04-24,14789.175625562013
2002-04-25,15020.513880628714
2002-04-26,14771.368964042167
2002-04-27,14900.032149638777
2002-04-28,14927.296584131573
2002-04-29,14806.667477915993
2002-04-30,15093.357577007915
2002-05-01,
2002-05-02,
2002-05-03,14640.793400824892
2002-05-04,15009.595615310072
2002-05-05,14937.1792535413
2002-05-06,14838.453614180475
2002-05-07,14894.711594396264
2002-05-08,
2002-05-09,14799.63347220811
2002-05-10,
2002-05-11,15046.719983573728
2002-05-12,
2002-05-13,15072.616738067347
2002-05-14,
2002-05-15,14822.344387864267
2002-05-16,15060.248316879515
2002-05-17,
2002-05-18,15186.755945647485
2002-05-19,14957.889660942948
2002-05-20,14976.74607920415
2002-05-21,14963.99904009568
2002-05-22,14954.295250422454
2002-05-23,
2002-05-24,
2002-05-25,15087.489472071667
2002-05-26,14857.613828552488
2002-05-27,14903.718358726805
2002-05-28,
2002-05-29,
2002-05-30,
2002-05-31,14861.965015328022
2002-06-01,15097.496451316221
2002-06-02,
2002-06-03,15060.4384696756
2002-06-04,15110.903973959043
2002-06-05,15001.986948646092
2002-06-06,15117.942553964678
2002-06-07,15050.301724953053
2002-06-08,15112.9867940411
2002-06-09,
2002-06-10,15192.005241626915
2002-06-11,
2002-06-12,
2002-06-13,14909.549281303722
2002-06-14,
2002-06-15,
2002-06-16,
2002-06-17,
2002-06-18,
2002-06-19,
2002-06-20,14914.572680190948
2002-06-21,14879.062978817215
2002-06-22,14910.462263267542
2002-06-23,14665.373920419495
2002-06-24,
2002-06-25,
2002-06-26,
2002-06-27,
2002-06-28,
2002-06-29,
2002-06-30,
2002-07-01,
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,
2002-07-06,
2002-07-07,
2002-07-08,15062.37669143526
2002-07-09,15147.584557341163
2002-07-10,15137.357696842198
2002-07-11,
2002-07-12,
2002-07-13,
2002-07-14,15195.848925308102
2002-07-15,15045.848456494658
2002-07-16,14995.444138109278
2002-07-17,
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,15124.616239361825
2002-07-22,14938.526307507951
2002-07-23,15113.310083558736
2002-07-24,15050.189493145255
2002-07-25,
2002-07-26,14899.132653061224
2002-07-27,
2002-07-28,15207.066997311924
2002-07-29,
2002-07-30,15120.931300198183
2002-07-31,
2002-08-01,
2002-08-02,15064.57384732017
2002-08-03,14933.384653577064
2002-08-04,
2002-08-05,
2002-08-06,
2002-08-07,14915.261739849671
2002-08-08,14954.312064629044
2002-08-09,
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,
2002-08-14,
2002-08-15,14954.18102632077
2002-08-16,
2002-08-17,
2002-08-18,
2002-08-19,15093.332645437684
2002-08-20,
2002-08-21,
2002-08-22,15125.410642221446
2002-08-23,14907.745567873619
2002-08-24,15004.768726277469
2002-08-25,15020.153070688026
2002-08-26,
2002-08-27,15014.8038084648
2002-08-28,
2002-08-29,14990.845443833468
2002-08-30,
2002-08-31,
2002-09-01,15024.003875079321
2002-09-02,
2002-09-03,14968.980405641829
2002-09-04,
2002-09-05,15034.061167848395
2002-09-06,
2002-09-07,
2002-09-08,
2002-09-09,15052.801362804681
2002-09-10,15016.806081868792
2002-09-11,
2002-09-12,
2002-09-13,
2002-09-14,
2002-09-15,
2002-09-16,
2002-09-17,
2002-09-18,
2002-09-19,
2002-09-20,
2002-09-21,
2002-09-22,
2002-09-23,15151.467284713632
2002-09-24,14737.43103208779
2002-09-25,15064.941707998909
2002-09-26,14826.843627275974
2002-09-27,14921.293707800607
2002-09-28,15117.426249395621
2002-09-29,
2002-09-30,15089.882665809955
2002-10-01,
2002-10-02,15079.08841720551
2002-10-03,14869.27710744311
2002-10-04,14922.496492625038
2002-10-05,14826.050384884535
2002-10-06,14703.0
2002-10-07,15124.59246347836
2002-10-08,
2002-10-09,15176.586121476032
2002-10-10,14786.885714285714
2002-10-11,14980.119013420388
2002-10-12,15029.841464300638
2002-10-13,
2002-10-14,14985.763133478762
2002-10-15,
2002-10-16,15059.081148836449
2002-10-17,14972.942580197445
2002-10-18,15021.985652966421
2002-10-19,14922.769456136004
2002-10-20,
2002-10-21,
2002-10-22,
2002-10-23,
2002-10-24,
2002-10-25,15074.372217946502
2002-10-26,14792.795005643336
2002-10-27,
2002-10-28,
2002-10-29,
2002-10-30,14953.53551347009
2002-10-31,
2002-11-01,14922.425630858845
2002-11-02,14789.192824229063
2002-11-03,15066.16280376212
2002-11-04,
2002-11-05,
2002-11-06,
2002-11-07,
2002-11-08,14858.287267204862
2002-11-09,
2002-11-10,
2002-11-11,
2002-11-12,
2002-11-13,14837.665844027639
2002-11-14,14920.636755393232
2002-11-15,15027.632552351819
2002-11-16,
2002-11-17,15013.425960677267
2002-11-18,
2002-11-19,
2002-11-20,
2002-11-21,14679.33778585915
2002-11-22,
2002-11-23,
2002-11-24,14938.941763348113
2002-11-25,
2002-11-26,14839.684226190477
2002-11-27,14668.0
2002-11-28,
2002-11-29,
2002-11-30,
2002-12-01,14901.386479591836
2002-12-02,
2002-12-03,14889.674641345855
2002-12-04,
2002-12-05,14965.591985532621
2002-12-06,14806.368627038406
2002-12-07,14911.782145062663
2002-12-08,14936.27988748242
2002-12-09,14909.509505452872
2002-12-10,15003.764621862958
2002-12-11,
2002-12-12,14891.476442437921
2002-12-13,14825.195830666033
2002-12-14,
2002-12-15,14717.843812045005
2002-12-16,14812.16694214876
2002-12-17,14948.741836403195
2002-12-18,
2002-12-19,14932.748745020563
2002-12-20,14736.6417022468
2002-12-21,14892.485627011398
2002-12-22,14902.772679590285
2002-12-23,
2002-12-24,
2002-12-25,
2002-12-26,
2002-12-27,
2002-12-28,14959.063721295519
2002-12-29,
2002-12-30,14790.336879432625
2002-12-31,14774.282202662092
2003-01-01,
2003-01-02,14979.306310367025
2003-01-03,
2003-01-04,
2003-01-05,
2003-01-06,
2003-01-07,
2003-01-08,
2003-01-09,14832.758814311837
2003-01-10,
2003-01-11,14927.876960736296
2003-01-12,
2003-01-13,14988.159387390646
2003-01-14,14859.95241207905
2003-01-15,
2003-01-16,
2003-01-17,
2003-01-18,
2003-01-19,
2003-01-20,
2003-01-21,
2003-01-22,14774.52649733459
2003-01-23,
2003-01-24,14741.0
2003-01-25,
2003-01-26,
2003-01-27,14876.0234608579
2003-01-28,
2003-01-29,14822.121124590798
2003-01-30,
2003-01-31,
2003-02-01,
2003-02-02,14664.092380952385
2003-02-03,14843.961992702882
2003-02-04,
2003-02-05,14682.512413616587
2003-02-06,
2003-02-07,
2003-02-08,14639.437221660872
2003-02-09,14936.032377001959
2003-02-10,14861.112302839118
2003-02-11,14779.744231416082
2003-02-12,14945.674630872481
2003-02-13,
2003-02-14,14931.596692563813
