LST_Day_1km,date
14868.115583696197,2002-02-24
14952.535361492428,2002-02-25
,2002-02-26
14969.29427006419,2002-02-27
14799.871280111629,2002-02-28
14973.15988750006,2002-03-01
14852.617159600755,2002-03-02
,2002-03-03
14669.864371609898,2002-03-04
,2002-03-05
,2002-03-06
,2002-03-07
14847.74825808148,2002-03-08
,2002-03-09
,2002-03-10
,2002-03-11
,2002-03-12
14934.903788885344,2002-03-13
,2002-03-14
14983.037899817129,2002-03-15
14797.26368587794,2002-03-16
14779.284261263838,2002-03-17
14806.513139444727,2002-03-18
,2002-03-19
,2002-03-28
15061.710662227986,2002-03-29
,2002-03-30
15084.377132686552,2002-03-31
,2002-04-01
15041.520265313558,2002-04-02
15040.155734934191,2002-04-03
14989.233993003283,2002-04-04
15070.973842519306,2002-04-05
,2002-04-06
15116.11152592369,2002-04-07
14823.994784073193,2002-04-08
15046.213006308586,2002-04-09
14798.430175608899,2002-04-10
14961.87701915666,2002-04-11
14878.744026068065,2002-04-12
,2002-04-13
14990.763876148209,2002-04-14
15093.40508918301,2002-04-16
14910.361452441923,2002-04-17
14941.975222567844,2002-04-18
14786.183355572022,2002-04-19
,2002-04-20
14991.906393500529,2002-04-21
,2002-04-22
14826.462964108521,2002-04-23
14836.105267449444,2002-04-24
15105.854569168318,2002-04-25
14858.235378031384,2002-04-26
14960.690898203155,2002-04-27
14968.097898158328,2002-04-28
14799.243676947248,2002-04-29
15054.965576408113,2002-04-30
,2002-05-01
14965.861348603692,2002-05-02
14798.884104876759,2002-05-03
14960.323159369245,2002-05-04
14854.269343167261,2002-05-05
14917.820764999531,2002-05-06
15031.180145441227,2002-05-07
,2002-05-08
,2002-05-09
,2002-05-10
15031.353736909932,2002-05-11
14865.347825394165,2002-05-12
14911.280830884209,2002-05-13
14861.01456734971,2002-05-14
14875.412171263719,2002-05-15
15153.043078740615,2002-05-16
,2002-05-17
15181.638926874257,2002-05-18
14934.500391095497,2002-05-19
15067.154729286276,2002-05-20
14978.206673694825,2002-05-21
14955.193228775355,2002-05-22
15015.588203978705,2002-05-23
,2002-05-24
15036.859462554716,2002-05-25
14670.609397944201,2002-05-26
15156.659689874139,2002-05-27
,2002-05-28
,2002-05-29
,2002-05-30
,2002-05-31
15111.572189605411,2002-06-01
,2002-06-02
15100.434884193413,2002-06-03
14874.533844305564,2002-06-04
15091.620563711562,2002-06-05
15081.03707526199,2002-06-06
15013.175379859324,2002-06-07
15003.856193739814,2002-06-08
,2002-06-09
15124.831969744586,2002-06-10
14709.376898618024,2002-06-11
,2002-06-12
14867.981966829064,2002-06-13
14975.368754254601,2002-06-14
14807.024472672181,2002-06-15
15089.06867490135,2002-06-16
14907.240740740737,2002-06-17
,2002-06-18
,2002-06-19
14938.226956048047,2002-06-20
14826.637118778483,2002-06-21
14981.053139985757,2002-06-22
14906.606935738704,2002-06-23
14986.205411348728,2002-06-24
,2002-06-25
,2002-06-26
,2002-06-27
,2002-06-28
14948.785272179717,2002-06-29
,2002-06-30
,2002-07-01
14190.900860303153,2002-07-02
,2002-07-03
,2002-07-04
14971.65046418864,2002-07-05
,2002-07-06
,2002-07-07
15067.995190314166,2002-07-08
15123.074251818827,2002-07-09
15100.049228724405,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
15073.566004415014,2002-07-14
15022.324608875138,2002-07-15
15038.476318370242,2002-07-16
15094.596246771529,2002-07-17
,2002-07-18
,2002-07-19
,2002-07-20
15091.415397135901,2002-07-21
14942.221342496388,2002-07-22
15037.511920879395,2002-07-23
14925.43793921113,2002-07-24
,2002-07-25
15025.433707949476,2002-07-26
,2002-07-27
15209.70835177111,2002-07-28
,2002-07-29
,2002-07-30
,2002-07-31
14994.529780095667,2002-08-01
15031.587847423325,2002-08-02
14875.991677739703,2002-08-03
14868.713660518913,2002-08-04
,2002-08-05
,2002-08-06
14889.452582074151,2002-08-07
15105.168318051688,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
14989.256600552635,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
,2002-08-17
15020.093530787222,2002-08-18
15176.576637462524,2002-08-19
15127.524422005852,2002-08-20
,2002-08-21
15180.876871307082,2002-08-22
14923.497557479603,2002-08-23
15054.221788775565,2002-08-24
14969.66646507827,2002-08-25
15059.459491905529,2002-08-26
15028.090339937018,2002-08-27
,2002-08-28
15089.106354209847,2002-08-29
14896.783816441704,2002-08-30
15004.921049528306,2002-08-31
14960.111464617034,2002-09-01
15026.909405488756,2002-09-02
15030.635116268584,2002-09-03
15047.142246778816,2002-09-04
15043.033163707854,2002-09-05
,2002-09-06
,2002-09-07
14881.127253886014,2002-09-08
14970.871615905244,2002-09-09
15074.739130434782,2002-09-10
,2002-09-11
,2002-09-12
,2002-09-13
,2002-09-14
,2002-09-15
,2002-09-16
,2002-09-17
,2002-09-18
,2002-09-19
,2002-09-20
,2002-09-21
,2002-09-22
15149.089789441943,2002-09-23
14907.240017369675,2002-09-24
15044.906708215876,2002-09-25
14902.340003175148,2002-09-26
14978.599747934057,2002-09-27
