date,LST_Day_1km
2002-02-24,
2002-02-25,15366.29455091235
2002-02-26,15173.486447326573
2002-02-27,15268.065314148957
2002-02-28,15275.586589218106
2002-03-01,15121.598146714663
2002-03-02,15208.992857371642
2002-03-03,
2002-03-04,15265.54372991943
2002-03-05,15078.71124458298
2002-03-06,
2002-03-07,
2002-03-08,
2002-03-09,14826.214523281595
2002-03-10,15094.549127754992
2002-03-11,15021.809485602207
2002-03-12,
2002-03-13,15312.789335639547
2002-03-14,15070.951608023946
2002-03-15,15332.817375828625
2002-03-16,15232.488043830295
2002-03-17,15437.880858958777
2002-03-18,15208.227294642604
2002-03-19,
2002-03-28,
2002-03-29,15349.415476537464
2002-03-30,15274.398670119695
2002-03-31,15357.195497787234
2002-04-01,15206.28552902149
2002-04-02,15163.170262717456
2002-04-03,15314.923142637082
2002-04-04,
2002-04-05,15444.629675594353
2002-04-06,15017.168116431605
2002-04-07,15302.680553649832
2002-04-08,15144.625435678703
2002-04-09,15169.815764942095
2002-04-10,15341.982807269673
2002-04-11,15221.63042727168
2002-04-12,15366.73625153275
2002-04-13,
2002-04-14,15327.0531792812
2002-04-16,15356.636065619317
2002-04-17,14923.965778804655
2002-04-18,15254.532909740254
2002-04-19,15150.172322158625
2002-04-20,
2002-04-21,
2002-04-22,
2002-04-23,
2002-04-24,15290.371836614922
2002-04-25,15240.989920477683
2002-04-26,15279.686143503062
2002-04-27,15120.911952709088
2002-04-28,15430.984509345382
2002-04-29,
2002-04-30,15365.044175946006
2002-05-01,15205.25222795906
2002-05-02,15060.662554881872
2002-05-03,15207.640868900773
2002-05-04,15119.614511025926
2002-05-05,15373.170815516729
2002-05-06,
2002-05-07,15550.27929111518
2002-05-08,15041.41733063701
2002-05-09,15390.0186141126
2002-05-10,
2002-05-11,15169.842846248608
2002-05-12,15271.670824459994
2002-05-13,14972.10091250671
2002-05-14,15115.359511906685
2002-05-15,
2002-05-16,15405.345624461492
2002-05-17,15075.099705251614
2002-05-18,15229.853338891196
2002-05-19,15270.124413289255
2002-05-20,15070.21254664179
2002-05-21,15091.07526218384
2002-05-22,
2002-05-23,
2002-05-24,
2002-05-25,
2002-05-26,
2002-05-27,15090.898871889973
2002-05-28,
2002-05-29,
2002-05-30,15042.525075677004
2002-05-31,
2002-06-01,15135.092222758542
2002-06-02,
2002-06-03,15119.075680534872
2002-06-04,15105.780462211116
2002-06-05,
2002-06-06,15119.86349124803
2002-06-07,
2002-06-08,
2002-06-09,
2002-06-10,15231.078131459282
2002-06-11,15130.308586840629
2002-06-12,
2002-06-13,
2002-06-14,15453.098116192543
2002-06-15,
2002-06-16,
2002-06-17,15210.756720520216
2002-06-18,
2002-06-19,
2002-06-20,
2002-06-21,
2002-06-22,
2002-06-23,
2002-06-24,15192.883816986525
2002-06-25,
2002-06-26,
2002-06-27,
2002-06-28,14883.798661283467
2002-06-29,14863.60634791868
2002-06-30,14705.0
2002-07-01,
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,
2002-07-06,
2002-07-07,
2002-07-08,14972.33811448257
2002-07-09,
2002-07-10,15027.18694017093
2002-07-11,
2002-07-12,14772.384382107657
2002-07-13,
2002-07-14,14866.778118296044
2002-07-15,14737.323349504324
2002-07-16,14969.363162038617
2002-07-17,15189.289383433588
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,
2002-07-22,15008.640501450753
2002-07-23,
2002-07-24,14930.413494132985
2002-07-25,
2002-07-26,
2002-07-27,
2002-07-28,15094.974735664902
2002-07-29,15022.47235973975
2002-07-30,14728.294242120504
2002-07-31,
2002-08-01,
2002-08-02,15056.156721013582
2002-08-03,
2002-08-04,
2002-08-05,
2002-08-06,
2002-08-07,15020.299297091893
2002-08-08,14943.57397201243
2002-08-09,
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,
2002-08-14,
2002-08-15,
2002-08-16,
2002-08-17,14879.757137441313
2002-08-18,
2002-08-19,
2002-08-20,14793.587028457974
2002-08-21,15311.003830473546
2002-08-22,15068.835106031574
2002-08-23,14888.734799054379
2002-08-24,15135.761041825363
2002-08-25,14892.601103665746
2002-08-26,
2002-08-27,15141.86226654114
2002-08-28,
2002-08-29,
2002-08-30,
2002-08-31,
2002-09-01,15069.756108001584
2002-09-02,14975.496500785337
2002-09-03,15089.56554428888
2002-09-04,
2002-09-05,
2002-09-06,
2002-09-07,14901.31516337901
2002-09-08,14931.500373710702
2002-09-09,15142.734094616637
2002-09-10,
2002-09-11,
2002-09-12,
2002-09-13,
2002-09-14,
2002-09-15,
2002-09-16,
2002-09-17,
2002-09-18,
2002-09-19,
2002-09-20,
2002-09-21,
2002-09-22,15187.649196074339
2002-09-23,14410.317830882354
2002-09-24,15069.989923588435
2002-09-25,15064.255061035707
2002-09-26,15129.228342368788
2002-09-27,
2002-09-28,15200.598393351807
2002-09-29,
2002-09-30,
2002-10-01,
2002-10-02,
2002-10-03,15065.653885373798
2002-10-04,14614.571081694998
2002-10-05,15158.852884577316
2002-10-06,
2002-10-07,15166.8107959638
2002-10-08,14991.356363856683
2002-10-09,15012.05986703318
2002-10-10,14997.347555177697
2002-10-11,
2002-10-12,14969.059366788275
2002-10-13,
2002-10-14,15132.493425176868
2002-10-15,
2002-10-16,15098.262787423748
2002-10-17,15033.196660097497
2002-10-18,15094.891879335475
2002-10-19,15037.67865095152
2002-10-20,14947.253865865514
2002-10-21,
2002-10-22,
2002-10-23,
2002-10-24,14968.0094046071
2002-10-25,15034.817501793214
2002-10-26,15089.975822518209
2002-10-27,15094.749849158028
2002-10-28,15077.099246473885
2002-10-29,
2002-10-30,15059.038172020899
2002-10-31,14920.080320273944
2002-11-01,15131.153036743985
2002-11-02,
2002-11-03,15058.07271312536
2002-11-04,
2002-11-05,
2002-11-06,15093.479082071291
2002-11-07,
2002-11-08,
2002-11-09,15119.431030337035
2002-11-10,
2002-11-11,15209.21117999399
2002-11-12,
2002-11-13,
2002-11-14,
2002-11-15,15166.114951101501
2002-11-16,14903.748640539316
2002-11-17,15008.99475266254
2002-11-18,15247.851885233591
2002-11-19,14991.961699526897
2002-11-20,
2002-11-21,
2002-11-22,15074.99919257167
2002-11-23,
2002-11-24,
2002-11-25,15078.686754909466
2002-11-26,14861.073850995712
2002-11-27,14502.861267040897
2002-11-28,14896.598038051352
2002-11-29,14935.119763717294
2002-11-30,
2002-12-01,15125.793874612134
2002-12-02,
2002-12-03,
2002-12-04,14835.158425039295
2002-12-05,15084.52383917922
2002-12-06,15168.343083353204
2002-12-07,15010.785755370727
2002-12-08,15134.859872566978
2002-12-09,
2002-12-10,15132.272474013722
2002-12-11,
2002-12-12,14796.440041474216
2002-12-13,14917.694989745087
2002-12-14,14962.48178502951
2002-12-15,15003.678954214836
2002-12-16,
2002-12-17,15124.861213600505
2002-12-18,14888.265369790666
2002-12-19,15194.20899083602
2002-12-20,14974.855833312378
2002-12-21,15072.32415386469
2002-12-22,15177.060288260407
2002-12-23,15077.28
2002-12-24,14850.998431235837
2002-12-25,
2002-12-26,15140.408912440065
2002-12-27,15080.328164758273
2002-12-28,
2002-12-29,15070.19752066779
2002-12-30,
2002-12-31,15014.726414887316
2003-01-01,
2003-01-02,
2003-01-03,
2003-01-04,14734.601892859308
2003-01-05,
2003-01-06,
2003-01-07,
2003-01-08,
2003-01-09,15026.447949301562
2003-01-10,
2003-01-11,14958.956386022715
2003-01-12,14917.273711658838
2003-01-13,15111.301640617856
2003-01-14,14978.340048624388
2003-01-15,14948.568612585295
2003-01-16,15066.95469884665
2003-01-17,
2003-01-18,14862.90959409594
2003-01-19,14949.364558932706
2003-01-20,15103.27861968874
2003-01-21,15009.340018656716
2003-01-22,14650.25286839145
2003-01-23,
2003-01-24,14938.855804616931
2003-01-25,15191.096029315097
2003-01-26,
2003-01-27,15252.028380890068
2003-01-28,
2003-01-29,
2003-01-30,14944.523170089522
2003-01-31,
2003-02-01,
2003-02-02,
2003-02-03,14543.317073170732
2003-02-04,14975.694868258088
2003-02-05,15024.004128317836
2003-02-06,15037.996448575852
2003-02-07,
2003-02-08,15013.833350394105
2003-02-09,14889.504828165298
2003-02-10,15146.12449041475
2003-02-11,
2003-02-12,15278.825975772026
2003-02-13,15064.811733960725
2003-02-14,15164.696633319058
2003-02-15,15079.26437228999
2003-02-16,15016.82608910158
2003-02-17,15214.597581987779
2003-02-18,
2003-02-19,15075.118357731786
2003-02-20,15039.208793229018
2003-02-21,15221.080413201778
2003-02-22,15028.346062115981
2003-02-23,15080.383549328502
2003-02-24,
2003-02-25,14993.733440950475
2003-02-26,15311.030241753984
2003-02-27,
2003-02-28,15350.054916956531
2003-03-01,15243.17234508004
2003-03-02,15134.03254146976
2003-03-03,15425.838523192107
2003-03-04,15011.575282900256
2003-03-05,15410.452594621373
2003-03-06,
2003-03-07,15307.086469989832
2003-03-08,15409.972455590383
2003-03-09,14947.6123521682
2003-03-10,15267.014271822454
2003-03-11,14968.739927426363
2003-03-12,15067.90561005683
2003-03-13,15044.834348565937
2003-03-14,15380.90525964871
2003-03-15,
2003-03-16,15352.506118865775
2003-03-17,15167.05056203428
2003-03-18,15332.649065412292
2003-03-19,15363.332038226907
2003-03-20,15228.809092388652
2003-03-21,15403.52462433253
2003-03-22,
2003-03-23,15483.901020633963
2003-03-24,15246.729737592366
2003-03-25,15409.243103818208
2003-03-26,15348.841004584354
2003-03-27,15268.30455075846
2003-03-28,15410.591147848349
2003-03-29,
2003-03-30,15499.566388892032
2003-03-31,
2003-04-01,15445.485957249875
2003-04-02,15359.42914378451
2003-04-03,15359.943008825016
2003-04-04,15391.45021637437
2003-04-05,15235.91684048678
2003-04-06,15563.65703919857
2003-04-07,
2003-04-08,15663.800658600088
2003-04-09,15145.243899762208
2003-04-10,15559.604625305767
2003-04-11,15364.218443790316
2003-04-12,15402.35774346794
2003-04-13,15648.95519659725
2003-04-14,15119.972090313697
2003-04-15,15636.038282403732
2003-04-16,
2003-04-17,15609.564079177468
2003-04-18,15303.393367952078
2003-04-19,15134.294950221902
2003-04-20,15286.176393340776
2003-04-21,15099.575102724093
2003-04-22,15499.797493761525
2003-04-23,
2003-04-24,15429.490617018422
2003-04-25,
2003-04-26,15338.085077343037
2003-04-27,15002.878147119432
2003-04-28,15166.379049322015
2003-04-29,15281.393752387079
2003-04-30,15192.411591473496
2003-05-01,15433.74660928534
2003-05-02,
2003-05-03,15386.322457767474
2003-05-04,15305.573321226633
2003-05-05,15378.508796337845
2003-05-06,15264.356855248709
2003-05-07,
2003-05-08,15449.845276872964
2003-05-09,
2003-05-10,
2003-05-11,
2003-05-12,
2003-05-13,15449.900216850565
2003-05-14,15128.903348982783
2003-05-15,
2003-05-16,
2003-05-17,
2003-05-18,
2003-05-19,
2003-05-20,
2003-05-21,
2003-05-22,
2003-05-23,
2003-05-24,
2003-05-25,
2003-05-26,
2003-05-27,
2003-05-28,
2003-05-29,
2003-05-30,
2003-05-31,
2003-06-01,15427.45112403881
2003-06-02,15171.528242320826
2003-06-03,
2003-06-04,15253.093747219173
2003-06-05,14972.490527243353
2003-06-06,15206.177947794768
2003-06-07,15047.954549652155
2003-06-08,14987.18677877646
2003-06-09,15219.50416108433
2003-06-10,
2003-06-11,15105.214321183837
2003-06-12,
2003-06-13,
2003-06-14,
2003-06-15,
2003-06-16,
2003-06-17,
2003-06-18,
2003-06-19,
2003-06-20,15150.171267303216
2003-06-21,14883.197286426464
2003-06-22,
2003-06-23,
2003-06-24,15259.948157567867
2003-06-25,15242.480485405054
2003-06-26,
2003-06-27,
2003-06-28,
2003-06-29,15081.763813042084
2003-06-30,14825.82916490038
2003-07-01,14975.63142247294
2003-07-02,15165.57253879453
2003-07-03,
2003-07-04,14957.61876944086
2003-07-05,
2003-07-06,15021.954203884869
2003-07-07,
2003-07-08,
2003-07-09,14881.74393762662
2003-07-10,14963.988348423354
2003-07-11,15070.158606241841
2003-07-12,
2003-07-13,15118.413291466743
2003-07-14,14811.347000467169
2003-07-15,15081.239204562604
2003-07-16,14878.271386248614
2003-07-17,
2003-07-18,
2003-07-19,
2003-07-20,
2003-07-21,
2003-07-22,
2003-07-23,
2003-07-24,15056.481289662233
2003-07-25,
2003-07-26,
2003-07-27,14951.178458765211
2003-07-28,
2003-07-29,15043.653666788588
2003-07-30,
2003-07-31,
2003-08-01,
2003-08-02,
2003-08-03,
2003-08-04,14270.282508335473
2003-08-05,
2003-08-06,
2003-08-07,14973.23750832778
2003-08-08,15370.857142857145
2003-08-09,
2003-08-10,14752.191713335294
2003-08-11,14990.645476857133
2003-08-12,15158.469607019517
2003-08-13,
2003-08-14,15094.956775319912
2003-08-15,
2003-08-16,
2003-08-17,
2003-08-18,
2003-08-19,
2003-08-20,
2003-08-21,15137.39760354972
2003-08-22,
2003-08-23,
2003-08-24,
2003-08-25,14340.31343283582
2003-08-26,
2003-08-27,14994.316696272776
2003-08-28,
2003-08-29,
2003-08-30,14901.619946091643
2003-08-31,
2003-09-01,
2003-09-02,
2003-09-03,
2003-09-04,
2003-09-05,
2003-09-06,
2003-09-07,
2003-09-08,
2003-09-09,14734.658255172313
2003-09-10,15120.927675228275
2003-09-11,
2003-09-12,
2003-09-13,14745.875
2003-09-14,
2003-09-15,15077.718324633483
2003-09-16,14900.349514333657
2003-09-17,15074.167082590608
2003-09-18,
2003-09-19,
2003-09-20,
2003-09-21,
2003-09-22,15004.556944444448
2003-09-23,
2003-09-24,15116.143765133167
2003-09-25,14734.234422345879
2003-09-26,14817.361477572558
2003-09-27,
2003-09-28,
2003-09-29,15125.55040345131
2003-09-30,
2003-10-01,15121.119590580205
2003-10-02,
2003-10-03,14980.240128775686
2003-10-04,15039.49066929013
2003-10-05,
2003-10-06,14963.38308296196
2003-10-07,
2003-10-08,15187.259407939528
2003-10-09,
2003-10-10,15146.279547463037
2003-10-11,
2003-10-12,14907.309958940508
2003-10-13,15073.535995539163
