LST_Day_1km,date
14696.33252851711,2002-02-24
14702.995770697611,2002-02-25
14937.563611831594,2002-02-26
14584.875012306788,2002-02-27
14969.461014330178,2002-02-28
14797.85810810811,2002-03-01
15063.161149712405,2002-03-02
,2002-03-03
14985.003593344027,2002-03-04
14852.354521468415,2002-03-05
14924.646747573792,2002-03-06
,2002-03-07
14606.344359331475,2002-03-08
14555.832337754382,2002-03-09
,2002-03-10
15080.921326486858,2002-03-11
,2002-03-12
,2002-03-13
15089.655268023862,2002-03-14
14880.002883635228,2002-03-15
15115.287611942202,2002-03-16
14981.105536447358,2002-03-17
15070.831577652585,2002-03-18
14865.663926298674,2002-03-19
,2002-03-28
15294.95560700274,2002-03-29
14922.25668991203,2002-03-30
14972.38993547968,2002-03-31
15241.012012092111,2002-04-01
15350.53682266066,2002-04-02
15333.368245462896,2002-04-03
14741.275370517023,2002-04-04
15193.592187926322,2002-04-05
15214.343319844093,2002-04-06
15262.371577365744,2002-04-07
15217.58716681201,2002-04-08
15008.939224807826,2002-04-09
15285.904822603316,2002-04-10
,2002-04-11
15374.282666670792,2002-04-12
14891.857913585989,2002-04-13
15376.838562069222,2002-04-14
15209.18231051478,2002-04-16
15309.842094895077,2002-04-17
15333.125911246378,2002-04-18
15342.67875746014,2002-04-19
,2002-04-20
15506.812909771606,2002-04-21
15348.995338920022,2002-04-22
15107.728612507899,2002-04-23
15410.156341424117,2002-04-24
,2002-04-25
15178.064660934831,2002-04-26
,2002-04-27
15424.691893993388,2002-04-28
14698.911166958043,2002-04-29
15430.902342006742,2002-04-30
15213.546297020099,2002-05-01
15242.95241829678,2002-05-02
15215.252798389363,2002-05-03
,2002-05-04
15386.443742431933,2002-05-05
15121.237973642807,2002-05-06
15371.08216661496,2002-05-07
15375.931742560553,2002-05-08
15341.541301304635,2002-05-09
15336.574499563854,2002-05-10
14969.625710419486,2002-05-11
15411.383618750624,2002-05-12
,2002-05-13
15558.328646563592,2002-05-14
15413.595002778262,2002-05-15
15313.591352055899,2002-05-16
15190.512756618853,2002-05-17
14967.60533063828,2002-05-18
15274.138128719655,2002-05-19
,2002-05-20
,2002-05-21
14979.652564544587,2002-05-22
15288.15309653888,2002-05-23
,2002-05-24
,2002-05-25
15196.70060281313,2002-05-26
14678.477600833456,2002-05-27
,2002-05-28
,2002-05-29
15352.15290834029,2002-05-30
15203.36900755366,2002-05-31
15357.804531245254,2002-06-01
,2002-06-02
15426.899162562515,2002-06-03
15603.40153547085,2002-06-04
15666.90020229265,2002-06-05
15428.82818816061,2002-06-06
,2002-06-07
,2002-06-08
,2002-06-09
15065.651433852436,2002-06-10
