LST_Day_1km,date
15159.470581331152,2002-02-24
15327.115565256945,2002-02-25
15193.386484853594,2002-02-26
15261.479165791037,2002-02-27
15283.08877196322,2002-02-28
,2002-03-01
15334.337088014045,2002-03-02
15139.328440235478,2002-03-03
15245.450826129887,2002-03-04
15249.952771860206,2002-03-05
15282.350779726363,2002-03-06
15179.163956474642,2002-03-07
15006.992765146462,2002-03-08
15183.354736599846,2002-03-09
,2002-03-10
15391.505112406136,2002-03-11
15221.488470418763,2002-03-12
15362.149994150574,2002-03-13
15266.409560772501,2002-03-14
15244.32829600312,2002-03-15
15371.099038213802,2002-03-16
,2002-03-17
15496.799214088407,2002-03-18
15358.470984662656,2002-03-19
,2002-03-28
15320.57105045656,2002-03-29
15355.456444497715,2002-03-30
15272.589529149984,2002-03-31
15419.701256181304,2002-04-01
,2002-04-02
15512.792711570042,2002-04-03
15272.177212788172,2002-04-04
15474.051195513075,2002-04-05
15257.948988902557,2002-04-06
15424.849285766886,2002-04-07
15429.78058287994,2002-04-08
15380.002295866276,2002-04-09
15471.955145445894,2002-04-10
14915.284156580525,2002-04-11
15502.495716675448,2002-04-12
15325.905879866885,2002-04-13
15436.836371908541,2002-04-14
15011.690918633127,2002-04-16
15519.71256887605,2002-04-17
,2002-04-18
15570.34848129574,2002-04-19
15099.362118560412,2002-04-20
15468.223184538849,2002-04-21
15366.818666115953,2002-04-22
15584.270087050409,2002-04-23
15511.706722927584,2002-04-24
15328.380312953173,2002-04-25
15503.81651706054,2002-04-26
15025.542135280637,2002-04-27
15608.145233553836,2002-04-28
15190.140720316242,2002-04-29
15383.096842346717,2002-04-30
15402.118910011977,2002-05-01
15339.29318701406,2002-05-02
15507.3815389395,2002-05-03
,2002-05-04
15644.108994696306,2002-05-05
15156.16040090825,2002-05-06
15472.465384758623,2002-05-07
15132.799368439784,2002-05-08
15262.334240247073,2002-05-09
15355.187866837097,2002-05-10
15092.632472682622,2002-05-11
15528.797070030152,2002-05-12
14832.924585479888,2002-05-13
15410.493803807974,2002-05-14
15282.699865577124,2002-05-15
15378.764938993403,2002-05-16
,2002-05-17
15281.503237696752,2002-05-18
15231.34069072149,2002-05-19
,2002-05-20
,2002-05-21
,2002-05-22
15118.358418750626,2002-05-23
,2002-05-24
,2002-05-25
,2002-05-26
,2002-05-27
,2002-05-28
,2002-05-29
15115.0555220152,2002-05-30
,2002-05-31
15076.378915076144,2002-06-01
,2002-06-02
15161.064470084451,2002-06-03
,2002-06-04
,2002-06-05
,2002-06-06
,2002-06-07
,2002-06-08
,2002-06-09
,2002-06-10
15148.374510311829,2002-06-11
15025.751230585709,2002-06-12
15244.638236283583,2002-06-13
14963.559086914678,2002-06-14
15248.197280544618,2002-06-15
15019.843085572118,2002-06-16
15126.074525069764,2002-06-17
15167.611201610574,2002-06-18
15015.498174108448,2002-06-19
15179.190778910435,2002-06-20
,2002-06-21
15223.243751206948,2002-06-22
14960.10408583044,2002-06-23
15177.236173208119,2002-06-24
15021.91409484941,2002-06-25
15049.120539041007,2002-06-26
15168.032120093298,2002-06-27
14984.028606517857,2002-06-28
15172.73575041291,2002-06-29
14771.946372239749,2002-06-30
15233.619063521872,2002-07-01
14983.918519068298,2002-07-02
,2002-07-03
15035.39049317568,2002-07-04
14847.7807651622,2002-07-05
14623.0,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
14992.039775624682,2002-07-10
,2002-07-11
,2002-07-12
14726.755732801594,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
15057.95029358257,2002-07-17
15044.219146991896,2002-07-18
14620.901865136291,2002-07-19
15163.253795220697,2002-07-20
,2002-07-21
15019.50396660575,2002-07-22
,2002-07-23
,2002-07-24
,2002-07-25
15076.74258893369,2002-07-26
,2002-07-27
14923.954887116399,2002-07-28
15010.667929476904,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
,2002-08-06
,2002-08-07
,2002-08-08
,2002-08-09
15314.839071935585,2002-08-10
15128.514751271914,2002-08-11
15122.656986531983,2002-08-12
15097.796157801255,2002-08-13
15076.26705183025,2002-08-14
14881.663429961485,2002-08-15
15156.824463683239,2002-08-16
14941.934179333426,2002-08-17
15165.666728906413,2002-08-18
15010.161446048047,2002-08-19
,2002-08-20
15041.2957501532,2002-08-21
14910.525598300836,2002-08-22
15047.853887997138,2002-08-23
,2002-08-24
15181.95239671992,2002-08-25
14842.419284356527,2002-08-26
15150.681352363647,2002-08-27
15112.185953578857,2002-08-28
14981.199029024085,2002-08-29
14955.095640230436,2002-08-30
,2002-08-31
15127.823867147516,2002-09-01
14841.78283815481,2002-09-02
15165.171143691015,2002-09-03
14974.339826629883,2002-09-04
15049.021212603522,2002-09-05
14909.115373335682,2002-09-06
,2002-09-07
,2002-09-08
,2002-09-09
,2002-09-10
