LST_Day_1km,date
15143.150477958408,2002-02-24
15289.116657610231,2002-02-25
15198.880104271477,2002-02-26
15219.512031407734,2002-02-27
15273.827246197003,2002-02-28
,2002-03-01
15364.07776681946,2002-03-02
15115.804336638716,2002-03-03
15306.949367809102,2002-03-04
15232.51865665819,2002-03-05
15226.138815600007,2002-03-06
15177.588356758148,2002-03-07
15126.890426648622,2002-03-08
15229.495801161376,2002-03-09
15044.784796238244,2002-03-10
15372.813766353043,2002-03-11
15211.3092544273,2002-03-12
15292.840626028115,2002-03-13
15320.131467274683,2002-03-14
15271.27850892891,2002-03-15
15354.089478150367,2002-03-16
,2002-03-17
15419.03844781615,2002-03-18
15249.641180833269,2002-03-19
,2002-03-28
15365.250399193543,2002-03-29
15359.46300929427,2002-03-30
15282.057796781768,2002-03-31
15357.879165188486,2002-04-01
,2002-04-02
15523.334114350359,2002-04-03
15267.326332550925,2002-04-04
15425.198714399707,2002-04-05
15257.181800528188,2002-04-06
15348.865548492766,2002-04-07
15414.010839628183,2002-04-08
15285.446111292644,2002-04-09
15469.564781690857,2002-04-10
,2002-04-11
15476.073437353121,2002-04-12
15289.53945660094,2002-04-13
15478.362645498297,2002-04-14
15192.555570949009,2002-04-16
15553.12567285007,2002-04-17
,2002-04-18
15462.02350749531,2002-04-19
15242.957217098257,2002-04-20
15477.374103609283,2002-04-21
15345.589660363756,2002-04-22
15421.380628006083,2002-04-23
15422.301007364014,2002-04-24
15412.725409808918,2002-04-25
15452.7335090278,2002-04-26
15051.069868995632,2002-04-27
15598.241856010241,2002-04-28
15241.6816105812,2002-04-29
15428.171930727485,2002-04-30
15429.34154655403,2002-05-01
15352.56263197612,2002-05-02
15484.006167082094,2002-05-03
,2002-05-04
15602.50242646361,2002-05-05
15219.379301316236,2002-05-06
15527.749630684013,2002-05-07
15256.175995300291,2002-05-08
15324.152754049195,2002-05-09
15421.145128802318,2002-05-10
,2002-05-11
15563.536481531775,2002-05-12
,2002-05-13
15408.748206653323,2002-05-14
15253.259335489567,2002-05-15
15467.429389672126,2002-05-16
14917.724415713577,2002-05-17
15098.117125110912,2002-05-18
15596.203744449329,2002-05-19
,2002-05-20
15165.94141638858,2002-05-21
,2002-05-22
15377.983090031139,2002-05-23
,2002-05-24
,2002-05-25
,2002-05-26
15234.72183032828,2002-05-27
,2002-05-28
,2002-05-29
15229.524698605428,2002-05-30
,2002-05-31
,2002-06-01
,2002-06-02
,2002-06-03
,2002-06-04
,2002-06-05
15083.638688524587,2002-06-06
,2002-06-07
,2002-06-08
15114.405468366847,2002-06-09
15226.244460918695,2002-06-10
15150.578285940408,2002-06-11
15035.558124203248,2002-06-12
15261.421818635848,2002-06-13
14989.429621477957,2002-06-14
15182.71528699215,2002-06-15
15062.872246116038,2002-06-16
15229.71374421502,2002-06-17
15185.648144287848,2002-06-18
15067.696542068928,2002-06-19
15137.008198705067,2002-06-20
,2002-06-21
15248.399785923284,2002-06-22
14970.024865565969,2002-06-23
15217.906103386706,2002-06-24
15109.179529790737,2002-06-25
15173.916804008177,2002-06-26
15257.030701625896,2002-06-27
15028.193391995212,2002-06-28
15182.725092067278,2002-06-29
14785.328012694852,2002-06-30
15239.958506320763,2002-07-01
15030.409242342821,2002-07-02
,2002-07-03
14936.411036412866,2002-07-04
15073.671630647808,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
14928.721444955994,2002-07-17
15040.732253083761,2002-07-18
15075.118298957734,2002-07-19
15054.105644789823,2002-07-20
15065.275917247682,2002-07-21
14970.905660377359,2002-07-22
,2002-07-23
,2002-07-24
,2002-07-25
15037.9274810815,2002-07-26
,2002-07-27
15023.492612155513,2002-07-28
14908.46955606511,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
,2002-08-06
,2002-08-07
,2002-08-08
15025.056571328778,2002-08-09
15045.145190184823,2002-08-10
15107.403951612898,2002-08-11
15137.524365091302,2002-08-12
,2002-08-13
15021.023222987944,2002-08-14
,2002-08-15
15123.847197668316,2002-08-16
14971.564268275164,2002-08-17
15178.345305608067,2002-08-18
15051.861206284599,2002-08-19
,2002-08-20
15002.912157117742,2002-08-21
14983.371414286737,2002-08-22
15104.844231176805,2002-08-23
,2002-08-24
15143.652941339542,2002-08-25
14928.050217069047,2002-08-26
15172.098079978325,2002-08-27
15063.572615072704,2002-08-28
15105.518191540881,2002-08-29
15055.965144794229,2002-08-30
,2002-08-31
15131.828130515532,2002-09-01
14864.728192182407,2002-09-02
15187.596367232853,2002-09-03
15010.300582653474,2002-09-04
14999.33179506901,2002-09-05
15020.624651086424,2002-09-06
,2002-09-07
,2002-09-08
,2002-09-09
,2002-09-10
,2002-09-11
,2002-09-12
,2002-09-13
,2002-09-14
15012.601318333293,2002-09-15
,2002-09-16
15029.791582306818,2002-09-17
,2002-09-18
15100.487648856275,2002-09-19
,2002-09-20
15024.448862699852,2002-09-21
15034.708306517907,2002-09-22
15201.205582201377,2002-09-23
15151.137858923837,2002-09-24
,2002-09-25
15125.825979061643,2002-09-26
15432.345054993211,2002-09-27
15205.766983909392,2002-09-28
15091.98772615692,2002-09-29
15073.607925397428,2002-09-30
15107.816856216617,2002-10-01
15063.440766396172,2002-10-02
15136.599551595607,2002-10-03
,2002-10-04
15065.83259165077,2002-10-05
15143.482086925394,2002-10-06
14999.851482715643,2002-10-07
15029.562696785066,2002-10-08
15019.793576537273,2002-10-09
15009.783936668735,2002-10-10
,2002-10-11
15095.356550717515,2002-10-12
14978.649352123488,2002-10-13
15070.37566415474,2002-10-14
15015.997422647524,2002-10-15
15097.238923517683,2002-10-16
15113.168522274293,2002-10-17
14987.40962380423,2002-10-18
15142.178509610794,2002-10-19
14886.799491853333,2002-10-20
15181.773020608089,2002-10-21
15032.055962186647,2002-10-22
15172.225657526207,2002-10-23
15095.330935180367,2002-10-24
14977.442327073377,2002-10-25
15162.882028311908,2002-10-26
,2002-10-27
15221.32372967715,2002-10-28
15268.010715130862,2002-10-29
15193.084633404775,2002-10-30
15174.053393811017,2002-10-31
15207.315227230161,2002-11-01
15119.150929269063,2002-11-02
,2002-11-03
14936.280399513242,2002-11-04
14936.762667821566,2002-11-05
,2002-11-06
15340.767181303254,2002-11-07
15125.610191272342,2002-11-08
,2002-11-09
15399.697848563805,2002-11-10
,2002-11-11
,2002-11-12
15197.978624442387,2002-11-13
14974.429887265436,2002-11-14
15177.826725560783,2002-11-15
15089.077431260588,2002-11-16
15134.194858095125,2002-11-17
15158.420972963419,2002-11-18
15173.78293810799,2002-11-19
15196.59261091727,2002-11-20
14975.47495234295,2002-11-21
15226.615154587782,2002-11-22
15113.346169404407,2002-11-23
14920.305006267718,2002-11-24
15090.823599583737,2002-11-25
15012.06473714808,2002-11-26
15129.270532556442,2002-11-27
,2002-11-28
15194.119126656844,2002-11-29
15013.670713992182,2002-11-30
15168.881709440057,2002-12-01
15130.41338098131,2002-12-02
15095.776076285229,2002-12-03
15131.483377699367,2002-12-04
15134.87376124336,2002-12-05
15208.924080115436,2002-12-06
,2002-12-07
15177.993550338875,2002-12-08
14964.602926497335,2002-12-09
15121.232680482857,2002-12-10
15075.645571534313,2002-12-11
15090.008995875409,2002-12-12
15113.23797148747,2002-12-13
,2002-12-14
14908.44610929237,2002-12-15
14869.425004987112,2002-12-16
15183.115540999523,2002-12-17
14941.898747484178,2002-12-18
15112.689801012162,2002-12-19
15137.677179608732,2002-12-20
15046.406564005987,2002-12-21
15174.655971168035,2002-12-22
14829.355836849507,2002-12-23
15178.583632534908,2002-12-24
15082.27641505499,2002-12-25
15035.955993308708,2002-12-26
14951.899988783787,2002-12-27
14925.283890568822,2002-12-28
15090.244908536328,2002-12-29
,2002-12-30
15079.129715151517,2002-12-31
14964.040838384493,2003-01-01
15103.812718823421,2003-01-02
15016.68015801062,2003-01-03
15047.966063086958,2003-01-04
15052.130156003777,2003-01-05
15022.662973319006,2003-01-06
,2003-01-07
14884.522373304253,2003-01-08
15102.322018545989,2003-01-09
14916.890519877668,2003-01-10
15062.830937783983,2003-01-11
15052.598124429307,2003-01-12
15045.696472012285,2003-01-13
14915.074647972011,2003-01-14
,2003-01-15
15122.91750012333,2003-01-16
14606.681175033382,2003-01-17
14984.226755171727,2003-01-18
14730.552195720207,2003-01-19
14920.945384015437,2003-01-20
15031.744208500299,2003-01-21
14979.810553361303,2003-01-22
14942.617505026577,2003-01-23
,2003-01-24
15049.114032678628,2003-01-25
15026.230565270285,2003-01-26
15152.977421915024,2003-01-27
15080.69754685382,2003-01-28
15123.512197951073,2003-01-29
15123.896064113018,2003-01-30
,2003-01-31
,2003-02-01
15047.366259516286,2003-02-02
15158.307650566525,2003-02-03
15149.476632437088,2003-02-04
15142.78520178084,2003-02-05
15070.886507386504,2003-02-06
15086.32358931313,2003-02-07
14937.70739873514,2003-02-08
14788.452318518275,2003-02-09
15237.417758162248,2003-02-10
15154.292525109826,2003-02-11
15213.828090273515,2003-02-12
15100.3694559215,2003-02-13
15205.43959610762,2003-02-14
15095.446494730224,2003-02-15
,2003-02-16
15245.88043069798,2003-02-17
15062.927648361421,2003-02-18
15183.569277899143,2003-02-19
