date,LST_Day_1km
2002-02-24,
2002-02-25,15245.262884681111
2002-02-26,15032.921944869055
2002-02-27,15219.508158813758
2002-02-28,15120.498730314657
2002-03-01,15185.870810808321
2002-03-02,15133.654331085027
2002-03-03,
2002-03-04,15180.398480186203
2002-03-05,15059.763604491578
2002-03-06,
2002-03-07,
2002-03-08,15394.932329161593
2002-03-09,14946.902738439248
2002-03-10,15104.845125919397
2002-03-11,15336.94034515055
2002-03-12,
2002-03-13,15210.247486737833
2002-03-14,15059.384487694148
2002-03-15,15279.985421512556
2002-03-16,15201.724921415595
2002-03-17,15288.50411619771
2002-03-18,15344.97515998242
2002-03-19,14875.0
2002-03-28,
2002-03-29,15365.201944379998
2002-03-30,15114.955464699467
2002-03-31,15324.22330303724
2002-04-01,15237.364320450335
2002-04-02,15246.059296336174
2002-04-03,15321.750668999837
2002-04-04,14971.0
2002-04-05,15340.140012674083
2002-04-06,14947.809439802799
2002-04-07,15347.527616020185
2002-04-08,15139.927755118399
2002-04-09,15221.235708569144
2002-04-10,15367.613368112776
2002-04-11,15248.62197843355
2002-04-12,15339.453651023077
2002-04-13,
2002-04-14,15398.63177568938
2002-04-16,15319.011552735265
2002-04-17,15244.532603150743
2002-04-18,15264.71980788084
2002-04-19,15427.491011316426
2002-04-20,
2002-04-21,15402.494261448412
2002-04-22,
2002-04-23,
2002-04-24,15141.643399423801
2002-04-25,15257.794029705416
2002-04-26,15205.614566526307
2002-04-27,15202.515142225056
2002-04-28,15406.403525150306
2002-04-29,
2002-04-30,15363.095606174402
2002-05-01,15097.530094158985
2002-05-02,15249.00575512856
2002-05-03,15121.03869965096
2002-05-04,15083.150279826583
2002-05-05,15281.270325995529
2002-05-06,14830.0
2002-05-07,15465.139136629004
2002-05-08,15042.730349019315
2002-05-09,15342.26432727617
2002-05-10,
2002-05-11,15107.244006613397
2002-05-12,15317.833917279044
2002-05-13,15043.215851756713
2002-05-14,15360.524541411613
2002-05-15,
2002-05-16,15326.031809525139
2002-05-17,15124.31096996691
2002-05-18,15311.50899241337
2002-05-19,15266.900675071973
2002-05-20,15038.685754974324
2002-05-21,15277.862011854299
2002-05-22,
2002-05-23,14629.414452709882
2002-05-24,
2002-05-25,15167.52944496707
2002-05-26,
2002-05-27,15147.551253775582
2002-05-28,15039.980780941187
2002-05-29,
2002-05-30,
2002-05-31,
2002-06-01,15346.879858465905
2002-06-02,
2002-06-03,15137.268420391985
2002-06-04,15259.450305194056
2002-06-05,
2002-06-06,15249.408733155326
2002-06-07,15490.0
2002-06-08,
2002-06-09,
2002-06-10,15269.748578713312
2002-06-11,15116.328925301512
2002-06-12,15162.992937341549
2002-06-13,15216.43836113125
2002-06-14,15193.937946869732
2002-06-15,14953.115760314915
2002-06-16,
2002-06-17,15201.470321023813
2002-06-18,
2002-06-19,
2002-06-20,
2002-06-21,
2002-06-22,14826.167996780896
2002-06-23,
2002-06-24,15255.622200006555
2002-06-25,15182.223130297094
2002-06-26,
2002-06-27,
2002-06-28,15011.148444070648
2002-06-29,15066.08329918904
2002-06-30,15080.481128429732
2002-07-01,
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,15080.187667328784
2002-07-06,
2002-07-07,
2002-07-08,15057.085355271682
2002-07-09,14963.046293494706
2002-07-10,15132.495547341749
2002-07-11,
2002-07-12,
2002-07-13,
2002-07-14,14830.71141868512
2002-07-15,
2002-07-16,15002.131049388096
2002-07-17,15227.364111438621
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,14965.63720379147
2002-07-22,15035.77986019493
2002-07-23,14926.50332915616
2002-07-24,14987.893067887277
2002-07-25,
2002-07-26,15111.64333435414
2002-07-27,
2002-07-28,15084.502944499265
2002-07-29,15000.189642182344
2002-07-30,15063.710095278879
2002-07-31,
2002-08-01,
2002-08-02,15091.422981230768
2002-08-03,
2002-08-04,
2002-08-05,
2002-08-06,
2002-08-07,15056.387532950015
