LST_Day_1km,date
14953.048670363323,2002-02-24
14697.413253202594,2002-02-25
14975.734816276943,2002-02-26
15048.86135342441,2002-02-27
15098.35359472071,2002-02-28
14938.88605116539,2002-03-01
15106.515640182673,2002-03-02
14789.540497193262,2002-03-03
15224.12957005832,2002-03-04
14993.069031581546,2002-03-05
14669.171076658671,2002-03-06
,2002-03-07
,2002-03-08
14828.170666713415,2002-03-09
,2002-03-10
15194.463445561445,2002-03-11
,2002-03-12
14602.575352690901,2002-03-13
15148.978091349154,2002-03-14
15084.681221186096,2002-03-15
15232.841746486527,2002-03-16
15047.502416731855,2002-03-17
15202.902267573907,2002-03-18
15170.89514793169,2002-03-19
,2002-03-28
15378.595329487835,2002-03-29
15148.330999211192,2002-03-30
15138.947672654507,2002-03-31
15367.232867778263,2002-04-01
15276.76996955256,2002-04-02
15351.057364168162,2002-04-03
,2002-04-04
15398.792781413182,2002-04-05
15269.019226348631,2002-04-06
15337.317962057858,2002-04-07
15362.567331294316,2002-04-08
15259.022191652442,2002-04-09
15404.668079845342,2002-04-10
,2002-04-11
15458.776384862715,2002-04-12
15182.555823197448,2002-04-13
15541.00659536997,2002-04-14
15230.84472404496,2002-04-16
15499.651272160276,2002-04-17
15024.4979390568,2002-04-18
15540.762971888205,2002-04-19
,2002-04-20
15554.108510966,2002-04-21
15418.016340576158,2002-04-22
15397.848056195011,2002-04-23
15507.749660414715,2002-04-24
,2002-04-25
15323.8623563334,2002-04-26
,2002-04-27
15538.071009335848,2002-04-28
14990.058642091715,2002-04-29
15488.566129153764,2002-04-30
15439.09822920468,2002-05-01
15444.285393368093,2002-05-02
15211.310600396097,2002-05-03
,2002-05-04
15493.88600717538,2002-05-05
15338.885570764778,2002-05-06
15542.478747812083,2002-05-07
15433.384787689496,2002-05-08
15579.020267616008,2002-05-09
15458.147546751297,2002-05-10
15210.100590308608,2002-05-11
15491.453565977787,2002-05-12
,2002-05-13
15576.48785166072,2002-05-14
15004.618641143228,2002-05-15
15433.188630755152,2002-05-16
15199.625696937728,2002-05-17
15058.1692026759,2002-05-18
15369.981908759912,2002-05-19
,2002-05-20
14942.466666666667,2002-05-21
15753.0,2002-05-22
15376.621815182954,2002-05-23
,2002-05-24
14889.665857334223,2002-05-25
15173.594542549266,2002-05-26
15070.437009500203,2002-05-27
15198.093565723664,2002-05-28
,2002-05-29
15390.908711351703,2002-05-30
15141.7597179525,2002-05-31
15251.083748127383,2002-06-01
,2002-06-02
15358.21150679496,2002-06-03
15029.758069548645,2002-06-04
15457.256016523623,2002-06-05
14974.86717585205,2002-06-06
,2002-06-07
,2002-06-08
,2002-06-09
15140.355861305117,2002-06-10
15228.023045633881,2002-06-11
14899.00719330905,2002-06-12
15318.343111629001,2002-06-13
,2002-06-14
15363.26400601634,2002-06-15
15101.605298697676,2002-06-16
15333.021367824957,2002-06-17
15093.369321047172,2002-06-18
15252.713923823896,2002-06-19
15499.440213713866,2002-06-20
,2002-06-21
15365.150441249427,2002-06-22
15082.756780037787,2002-06-23
15357.289066522915,2002-06-24
15191.646785774445,2002-06-25
15218.116272490282,2002-06-26
14873.791343231369,2002-06-27
15362.533089118411,2002-06-28
15411.528765960868,2002-06-29
,2002-06-30
15390.98803255876,2002-07-01
15347.35593220339,2002-07-02
,2002-07-03
15294.18694202891,2002-07-04
15249.984459369094,2002-07-05
14886.330341062589,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
15086.085714285715,2002-07-10
