LST_Day_1km,date
14814.00783466824,2002-02-24
14497.80409245926,2002-02-25
14952.388594096916,2002-02-26
14645.025385475748,2002-02-27
14966.203882477428,2002-02-28
15009.880444429831,2002-03-01
15004.71067241252,2002-03-02
14899.640043120346,2002-03-03
14808.787779659899,2002-03-04
14887.212620984576,2002-03-05
14783.821872288332,2002-03-06
14490.274374460741,2002-03-07
,2002-03-08
14577.81505640965,2002-03-09
,2002-03-10
14988.138757377706,2002-03-11
14616.0,2002-03-12
,2002-03-13
15052.56306245266,2002-03-14
14882.304755896726,2002-03-15
15099.576977170313,2002-03-16
14870.619362338095,2002-03-17
15063.439839147753,2002-03-18
14842.800309591803,2002-03-19
,2002-03-28
15245.079338216745,2002-03-29
15084.734589549318,2002-03-30
15065.396040038553,2002-03-31
15199.258252176389,2002-04-01
15267.921621829424,2002-04-02
15237.514698006333,2002-04-03
14837.033055132546,2002-04-04
15166.508613573733,2002-04-05
15096.911173364822,2002-04-06
15196.14418334704,2002-04-07
15169.484463983124,2002-04-08
15113.50883825649,2002-04-09
15238.974012209199,2002-04-10
,2002-04-11
15334.531600507693,2002-04-12
14928.149361218995,2002-04-13
15302.194436273296,2002-04-14
15118.885785256885,2002-04-16
15334.946920298738,2002-04-17
14741.471983397567,2002-04-18
15277.85714866769,2002-04-19
,2002-04-20
15427.759679106604,2002-04-21
15287.121271919066,2002-04-22
15192.41811447042,2002-04-23
15345.872787664823,2002-04-24
14755.0,2002-04-25
15159.63406664846,2002-04-26
,2002-04-27
15492.453233326574,2002-04-28
14749.573253175507,2002-04-29
15357.146102640363,2002-04-30
15224.101619233299,2002-05-01
15146.513457305648,2002-05-02
15229.90004306157,2002-05-03
,2002-05-04
15264.918164290033,2002-05-05
14918.122722220412,2002-05-06
15266.012891166985,2002-05-07
15187.963470701317,2002-05-08
15285.189016765298,2002-05-09
15269.058459567521,2002-05-10
15110.752605764495,2002-05-11
15350.15823348597,2002-05-12
,2002-05-13
15461.639130163854,2002-05-14
15268.777784044441,2002-05-15
15272.898834997435,2002-05-16
15052.677958259268,2002-05-17
15087.199239885524,2002-05-18
15228.743377678957,2002-05-19
,2002-05-20
,2002-05-21
,2002-05-22
15291.467449910717,2002-05-23
,2002-05-24
,2002-05-25
,2002-05-26
,2002-05-27
,2002-05-28
,2002-05-29
15176.500025824842,2002-05-30
,2002-05-31
15691.114390432096,2002-06-01
,2002-06-02
14797.517825198058,2002-06-03
14993.686274509804,2002-06-04
,2002-06-05
15014.661626215453,2002-06-06
,2002-06-07
,2002-06-08
,2002-06-09
15014.028881077487,2002-06-10
15028.850323063993,2002-06-11
14793.300975658276,2002-06-12
15200.041856507616,2002-06-13
,2002-06-14
15113.697262482869,2002-06-15
14852.868599189986,2002-06-16
15020.951086668967,2002-06-17
14938.182543258948,2002-06-18
15012.862970000768,2002-06-19
15215.523138199518,2002-06-20
,2002-06-21
15179.891404540334,2002-06-22
14859.199573033817,2002-06-23
15162.368911619147,2002-06-24
14963.380769569529,2002-06-25
14904.36394004282,2002-06-26
14886.613159410193,2002-06-27
14755.969482073739,2002-06-28
15186.97281654108,2002-06-29
,2002-06-30
15228.12496936444,2002-07-01
,2002-07-02
,2002-07-03
15111.98631508678,2002-07-04
14982.81520650064,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
14837.169093898176,2002-07-17
14945.682942356783,2002-07-18
14583.863636363636,2002-07-19
,2002-07-20
,2002-07-21
15065.098932006375,2002-07-22
,2002-07-23
,2002-07-24
,2002-07-25
15209.857172243428,2002-07-26
,2002-07-27
14822.179335939438,2002-07-28
14341.28079785035,2002-07-29
14946.0,2002-07-30
,2002-07-31
,2002-08-01
,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
,2002-08-06
,2002-08-07
,2002-08-08
14858.526484018268,2002-08-09
15028.719756480756,2002-08-10
14953.156650685694,2002-08-11
,2002-08-12
,2002-08-13
,2002-08-14
,2002-08-15
15057.047981988298,2002-08-16
,2002-08-17
15152.888325419146,2002-08-18
14790.054054054053,2002-08-19
,2002-08-20
,2002-08-21
14827.104659194516,2002-08-22
14958.723429123169,2002-08-23
14826.237960380064,2002-08-24
15122.383736185066,2002-08-25
,2002-08-26
15124.34696564481,2002-08-27
14982.276428445812,2002-08-28
14993.70877166444,2002-08-29
14801.065330633366,2002-08-30
14881.497242526371,2002-08-31
15049.999933608131,2002-09-01
,2002-09-02
15061.111499684746,2002-09-03
14832.376199249333,2002-09-04
14754.699377608918,2002-09-05
14842.705288829844,2002-09-06
,2002-09-07
,2002-09-08
,2002-09-09
,2002-09-10
,2002-09-11
,2002-09-12
,2002-09-13
,2002-09-14
14987.717358865953,2002-09-15
15064.181332609089,2002-09-16
14848.830518018016,2002-09-17
,2002-09-18
14948.197395476353,2002-09-19
14066.260869565218,2002-09-20
14977.307820583965,2002-09-21
14948.689109205578,2002-09-22
14862.731403943637,2002-09-23
14837.73787555879,2002-09-24
,2002-09-25
14776.0174635807,2002-09-26
14963.3812162389,2002-09-27
14798.413233240224,2002-09-28
14865.237897648685,2002-09-29
15012.028018939665,2002-09-30
14986.609483893462,2002-10-01
14974.79439117031,2002-10-02
14987.053885341864,2002-10-03
,2002-10-04
14952.78125,2002-10-05
,2002-10-06
14920.800414221607,2002-10-07
14697.910891089108,2002-10-08
,2002-10-09
15084.81825468437,2002-10-10
,2002-10-11
14976.223888287726,2002-10-12
,2002-10-13
,2002-10-14
,2002-10-15
14865.144242312563,2002-10-16
14901.323752175174,2002-10-17
14870.664265901034,2002-10-18
15038.981516099948,2002-10-19
,2002-10-20
15045.757489717313,2002-10-21
14890.665890075297,2002-10-22
15056.106460402187,2002-10-23
14926.470672282718,2002-10-24
14910.73653284266,2002-10-25
14919.263141937086,2002-10-26
,2002-10-27
,2002-10-28
,2002-10-29
14723.699780701756,2002-10-30
14843.78176171167,2002-10-31
14855.965573918811,2002-11-01
,2002-11-02
,2002-11-03
,2002-11-04
,2002-11-05
,2002-11-06
14558.28558305557,2002-11-07
14904.139904158541,2002-11-08
,2002-11-09
,2002-11-10
,2002-11-11
15040.292912309684,2002-11-12
14967.39789398156,2002-11-13
14911.441582500753,2002-11-14
14997.495506247738,2002-11-15
14850.778550408742,2002-11-16
,2002-11-17
