LST_Day_1km,date
15134.158384557088,2002-02-24
15258.295839880904,2002-02-25
15195.613598871225,2002-02-26
15189.207084306461,2002-02-27
15298.956888010687,2002-02-28
,2002-03-01
15376.508350750639,2002-03-02
14984.106050519751,2002-03-03
15274.681842413906,2002-03-04
15207.820211273409,2002-03-05
15157.332051901243,2002-03-06
15119.364087011718,2002-03-07
15028.423142958138,2002-03-08
15256.898777123577,2002-03-09
,2002-03-10
15384.853670133401,2002-03-11
15051.546533469946,2002-03-12
15319.632765979875,2002-03-13
15314.44892875905,2002-03-14
15127.848613603092,2002-03-15
15285.983229384778,2002-03-16
,2002-03-17
15432.022100008237,2002-03-18
15209.607231839786,2002-03-19
,2002-03-28
15346.247121179254,2002-03-29
15328.080851438412,2002-03-30
15249.53090816958,2002-03-31
15460.456647621766,2002-04-01
,2002-04-02
15518.040290590212,2002-04-03
15215.802597648779,2002-04-04
15382.444140767842,2002-04-05
15158.688679245284,2002-04-06
15290.875421562225,2002-04-07
15397.864257016776,2002-04-08
15122.89128112691,2002-04-09
15507.270175381012,2002-04-10
,2002-04-11
15530.86392783215,2002-04-12
15327.356125248596,2002-04-13
15457.886846641428,2002-04-14
15110.867210598142,2002-04-16
15570.860375827946,2002-04-17
,2002-04-18
15471.572761718073,2002-04-19
15208.422700504625,2002-04-20
15513.031293909475,2002-04-21
15438.455680061,2002-04-22
15341.1969974019,2002-04-23
15480.998976759027,2002-04-24
15095.12426372791,2002-04-25
15459.098241712458,2002-04-26
,2002-04-27
15496.809289240513,2002-04-28
15303.90636881344,2002-04-29
15499.113795422621,2002-04-30
15475.569961137304,2002-05-01
15316.153760146362,2002-05-02
15531.598412640888,2002-05-03
,2002-05-04
15576.772790480038,2002-05-05
15299.316611457009,2002-05-06
15572.283943460243,2002-05-07
15291.768162240576,2002-05-08
15344.428042974905,2002-05-09
15431.722515971169,2002-05-10
,2002-05-11
15403.083697275846,2002-05-12
,2002-05-13
15333.0557318811,2002-05-14
15189.395577177529,2002-05-15
15444.96209404264,2002-05-16
15232.569847301633,2002-05-17
15293.40221475183,2002-05-18
15537.586606961124,2002-05-19
,2002-05-20
15373.977076007577,2002-05-21
15411.92691830433,2002-05-22
15382.73575485239,2002-05-23
,2002-05-24
,2002-05-25
15049.468526335108,2002-05-26
15233.089992005791,2002-05-27
,2002-05-28
,2002-05-29
15286.532895942526,2002-05-30
14761.65,2002-05-31
,2002-06-01
,2002-06-02
,2002-06-03
,2002-06-04
,2002-06-05
,2002-06-06
,2002-06-07
,2002-06-08
15024.028169014084,2002-06-09
15101.868066999028,2002-06-10
15145.357286040333,2002-06-11
15057.994629435358,2002-06-12
15239.42115433041,2002-06-13
,2002-06-14
15139.878767315617,2002-06-15
15049.109820136815,2002-06-16
15167.216708725475,2002-06-17
15157.624683119191,2002-06-18
14987.968373215932,2002-06-19
15131.425241201778,2002-06-20
,2002-06-21
15262.843148895034,2002-06-22
14927.490740325737,2002-06-23
15174.13612773629,2002-06-24
15069.078703052472,2002-06-25
15123.46823758648,2002-06-26
14910.078371381502,2002-06-27
15184.581211259292,2002-06-28
15197.834859111987,2002-06-29
,2002-06-30
15243.260379080853,2002-07-01
15089.635333353926,2002-07-02
,2002-07-03
14969.077642462284,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
15069.068623761133,2002-07-17
15059.799085256805,2002-07-18
15099.449257800667,2002-07-19
,2002-07-20
,2002-07-21
,2002-07-22
,2002-07-23
,2002-07-24
,2002-07-25
15119.581888246628,2002-07-26
,2002-07-27
,2002-07-28
15031.868740779595,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
,2002-08-06
,2002-08-07
,2002-08-08
15094.109545696774,2002-08-09
15171.460386673747,2002-08-10
15121.198984449376,2002-08-11
,2002-08-12
,2002-08-13
14963.601590519258,2002-08-14
,2002-08-15
15022.070829599283,2002-08-16
,2002-08-17
14540.180208333333,2002-08-18
,2002-08-19
,2002-08-20
14862.943522135416,2002-08-21
14967.817105658387,2002-08-22
15116.443444606199,2002-08-23
,2002-08-24
15154.947164855395,2002-08-25
14910.798464704902,2002-08-26
15163.66147175487,2002-08-27
14973.054746810669,2002-08-28
15078.213606997339,2002-08-29
15073.053292544573,2002-08-30
15210.00935908374,2002-08-31
15164.381272235396,2002-09-01
,2002-09-02
15186.925818134789,2002-09-03
14986.0006224001,2002-09-04
15022.88593248478,2002-09-05
,2002-09-06
,2002-09-07
,2002-09-08
,2002-09-09
,2002-09-10
,2002-09-11
,2002-09-12
,2002-09-13
15180.467890714224,2002-09-14
15009.559516645999,2002-09-15
,2002-09-16
15088.0680132149,2002-09-17
,2002-09-18
15098.213551189414,2002-09-19
,2002-09-20
14845.12188125417,2002-09-21
15030.101584066839,2002-09-22
,2002-09-23
15137.526877322156,2002-09-24
,2002-09-25
15132.466117133163,2002-09-26
15310.15921898403,2002-09-27
15161.272796698211,2002-09-28
15069.97880628346,2002-09-29
14997.01006265989,2002-09-30
15127.392434000927,2002-10-01
15031.550512746322,2002-10-02
15098.482052949003,2002-10-03
,2002-10-04
15075.20490393449,2002-10-05
15095.412419489377,2002-10-06
14850.361662386176,2002-10-07
15032.637068497635,2002-10-08
,2002-10-09
15109.33297919433,2002-10-10
