LST_Day_1km,date
14804.306409566327,2002-02-24
14978.40361922111,2002-02-25
14942.880304180926,2002-02-26
14969.525751895488,2002-02-27
14816.268750853582,2002-02-28
14762.831223628695,2002-03-01
15112.331071628429,2002-03-02
,2002-03-03
14892.251528872826,2002-03-04
15057.01126739766,2002-03-05
14754.701145812496,2002-03-06
14746.976265915055,2002-03-07
14667.819672131147,2002-03-08
15004.062512845996,2002-03-09
,2002-03-10
14992.833493685503,2002-03-11
,2002-03-12
14718.943262411347,2002-03-13
14967.729010610263,2002-03-14
15074.222111268342,2002-03-15
15132.644187627453,2002-03-16
14930.867700120278,2002-03-17
15127.217565731995,2002-03-18
,2002-03-19
,2002-03-28
15259.195892031112,2002-03-29
15189.634728414909,2002-03-30
15103.87268090281,2002-03-31
15220.014641694937,2002-04-01
15091.041056772816,2002-04-02
15324.56206248095,2002-04-03
,2002-04-04
15219.881417534998,2002-04-05
15064.42464676226,2002-04-06
15206.935590707395,2002-04-07
15207.900686997638,2002-04-08
15102.684190960921,2002-04-09
15309.5130759204,2002-04-10
,2002-04-11
15109.168648322293,2002-04-12
15105.444089944425,2002-04-13
14989.503383207852,2002-04-14
15103.708512811812,2002-04-16
15080.782722230831,2002-04-17
,2002-04-18
15254.604378116026,2002-04-19
,2002-04-20
15089.594138071896,2002-04-21
14766.354198613752,2002-04-22
14948.345819921811,2002-04-23
14978.47326114465,2002-04-24
14757.09717551235,2002-04-25
15377.60487075807,2002-04-26
,2002-04-27
15190.950118294673,2002-04-28
15040.365412719548,2002-04-29
15205.239307261563,2002-04-30
15063.176390810668,2002-05-01
,2002-05-02
15186.1745367252,2002-05-03
14961.94802037223,2002-05-04
15249.550237379437,2002-05-05
14939.113402061856,2002-05-06
15262.298414420944,2002-05-07
15061.872490544563,2002-05-08
,2002-05-09
15200.949695702295,2002-05-10
14982.785986174622,2002-05-11
15322.09028271655,2002-05-12
,2002-05-13
15313.982348328092,2002-05-14
14945.272405610853,2002-05-15
15202.466073680169,2002-05-16
15112.455342005156,2002-05-17
15034.973740611864,2002-05-18
