date,LST_Day_1km
2002-02-24,
2002-02-25,15072.123869543819
2002-02-26,14951.810299043904
2002-02-27,15151.120245922932
2002-02-28,14998.631159363094
2002-03-01,15054.656053453562
2002-03-02,14952.68493975903
2002-03-03,15152.257473520502
2002-03-04,15072.438494916825
2002-03-05,
2002-03-06,15030.418725269179
2002-03-07,14870.557612146931
2002-03-08,
2002-03-09,
2002-03-10,15030.820904042761
2002-03-11,15305.534315882098
2002-03-12,14984.78476090614
2002-03-13,15069.56607807579
2002-03-14,
2002-03-15,15129.133976459168
2002-03-16,15049.916904962154
2002-03-17,
2002-03-18,14991.619671251585
2002-03-19,15114.245967930068
2002-03-28,
2002-03-29,15164.288414804478
2002-03-30,15037.064695947693
2002-03-31,15171.947235235071
2002-04-01,14992.372983322824
2002-04-02,15213.460839511265
2002-04-03,15089.94882783847
2002-04-04,15112.165783299586
2002-04-05,15230.765513121425
2002-04-06,
2002-04-07,15218.60593733517
2002-04-08,15055.931386429398
2002-04-09,15215.966801314442
2002-04-10,15089.286480525909
2002-04-11,15161.95651354956
2002-04-12,15175.623078212484
2002-04-13,14999.155366731573
2002-04-14,15224.936510528116
2002-04-16,15236.784071933653
2002-04-17,14997.094070768044
2002-04-18,
2002-04-19,15098.234850825003
2002-04-20,15150.20032120844
2002-04-21,14720.046838407492
2002-04-22,
2002-04-23,
2002-04-24,14905.968107195344
2002-04-25,14899.668474014441
2002-04-26,15022.005782218523
2002-04-27,
2002-04-28,15180.526899960905
2002-04-29,14975.86599657971
2002-04-30,15214.117764292843
2002-05-01,15096.994933663378
2002-05-02,15257.969818052086
2002-05-03,15191.875158072216
2002-05-04,15016.058862039543
2002-05-05,14893.023303109903
2002-05-06,
2002-05-07,15070.879741611343
2002-05-08,
2002-05-09,14891.864600326264
2002-05-10,
2002-05-11,15083.623900887616
2002-05-12,
2002-05-13,15087.327538458687
2002-05-14,15162.386912572061
2002-05-15,15116.548832158744
2002-05-16,15237.96283729796
2002-05-17,14958.13176255196
2002-05-18,15222.069361092545
2002-05-19,15017.718746554778
2002-05-20,15039.581736372991
2002-05-21,15017.028410545176
2002-05-22,15121.189858677495
2002-05-23,15122.237088431548
2002-05-24,
2002-05-25,15090.45026437617
2002-05-26,15020.543183806594
2002-05-27,15137.41130262301
2002-05-28,15091.303813419268
2002-05-29,
2002-05-30,15069.661064809738
2002-05-31,14904.47939532379
2002-06-01,15171.46628710259
2002-06-02,
2002-06-03,15138.598558540034
2002-06-04,14922.694622587062
2002-06-05,15107.398732505942
2002-06-06,15062.121229584021
2002-06-07,15081.341698870292
2002-06-08,15170.882271432672
2002-06-09,
2002-06-10,15188.898035183003
2002-06-11,14697.585385878494
2002-06-12,14977.316059142146
2002-06-13,15246.608787161273
2002-06-14,
2002-06-15,
2002-06-16,
2002-06-17,15054.08287205302
2002-06-18,14688.254941059173
2002-06-19,15073.459739499125
2002-06-20,14940.547979356195
2002-06-21,14961.773187325176
2002-06-22,15008.009955991069
2002-06-23,14904.709238249598
2002-06-24,15135.767946208796
2002-06-25,
2002-06-26,
2002-06-27,15132.826867324668
2002-06-28,15075.90202011941
2002-06-29,
2002-06-30,
2002-07-01,14958.69019494406
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,
2002-07-06,
2002-07-07,
2002-07-08,15077.298999414485
2002-07-09,15007.532049438916
2002-07-10,15131.222711140283
2002-07-11,
2002-07-12,
2002-07-13,
2002-07-14,14938.006844662737
2002-07-15,15073.680666151144
2002-07-16,15015.05965349519
2002-07-17,15087.747320234348
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,15130.38206362495
2002-07-22,14967.064659602514
2002-07-23,14861.0
2002-07-24,15037.599035907533
2002-07-25,14970.156099095082
2002-07-26,
2002-07-27,
2002-07-28,15127.584245730879
2002-07-29,14923.876616194735
2002-07-30,15065.70139313052
2002-07-31,15074.54740798301
2002-08-01,14953.785551489807
2002-08-02,15132.072032697035
2002-08-03,14706.0
2002-08-04,
2002-08-05,
2002-08-06,15032.452090374076
2002-08-07,15120.377747323908
2002-08-08,15033.738189007267
2002-08-09,
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,
2002-08-14,
2002-08-15,
2002-08-16,
2002-08-17,
2002-08-18,15064.304319240668
2002-08-19,15262.942873240003
2002-08-20,15156.706667599525
2002-08-21,
2002-08-22,15212.7280965995
2002-08-23,14923.79594386374
2002-08-24,15152.581566590577
2002-08-25,15031.613721275347
2002-08-26,
2002-08-27,15033.837047977544
2002-08-28,
2002-08-29,15086.88028209228
2002-08-30,
2002-08-31,15205.932266602504
2002-09-01,15042.17484590992
2002-09-02,
2002-09-03,15023.380595931985
2002-09-04,15154.364277980505
2002-09-05,14944.712340917062
2002-09-06,
2002-09-07,
2002-09-08,
2002-09-09,15102.037138902157
2002-09-10,15044.887991477524
2002-09-11,
2002-09-12,14904.395472624019
2002-09-13,
2002-09-14,
2002-09-15,
2002-09-16,15094.868928350994
2002-09-17,
2002-09-18,
2002-09-19,15034.792477289468
2002-09-20,
2002-09-21,14820.32832199187
2002-09-22,15324.739030801375
2002-09-23,15153.434552395827
2002-09-24,15111.362866015617
2002-09-25,15144.814641546724
2002-09-26,
2002-09-27,15154.792453079997
2002-09-28,15177.277445315476
2002-09-29,
2002-09-30,15174.599914562865
2002-10-01,
2002-10-02,15148.758896873607
2002-10-03,15060.185294995956
2002-10-04,15078.776424387459
2002-10-05,15114.974812988028
2002-10-06,14883.31826385717
2002-10-07,15167.849353034842
2002-10-08,
2002-10-09,15156.793789085179
2002-10-10,15056.401055299002
2002-10-11,15010.954372906588
2002-10-12,14890.616856827382
2002-10-13,
2002-10-14,15139.539622795375
2002-10-15,
2002-10-16,15105.820652893655
2002-10-17,15110.995298048418
2002-10-18,15203.772228358326
2002-10-19,14995.852175640775
2002-10-20,
2002-10-21,15060.562367864693
2002-10-22,
2002-10-23,15048.756063185261
2002-10-24,
2002-10-25,15138.576780030886
2002-10-26,14998.623795841744
2002-10-27,
2002-10-28,15107.791884208373
2002-10-29,15203.350342187923
2002-10-30,15137.073918569604
2002-10-31,
2002-11-01,15099.271249560019
2002-11-02,15066.62759493166
2002-11-03,15140.349111036738
2002-11-04,15030.824434474916
2002-11-05,
2002-11-06,15045.33179395649
2002-11-07,
2002-11-08,14938.5592389297
2002-11-09,
2002-11-10,
2002-11-11,15019.709326484579
2002-11-12,
2002-11-13,15059.833198096441
2002-11-14,14994.590994644223
2002-11-15,15120.38572106846
2002-11-16,
2002-11-17,14936.115600327554
2002-11-18,
2002-11-19,15025.281554660081
2002-11-20,15127.74886622202
2002-11-21,
2002-11-22,15072.923852729764
2002-11-23,
2002-11-24,15086.603173110316
2002-11-25,14988.79022552211
2002-11-26,15043.609086192078
2002-11-27,15021.057891014736
2002-11-28,14965.976983129935
