LST_Day_1km,date
14753.35812168829,2002-02-24
14878.556103798006,2002-02-25
,2002-02-26
15027.867928658563,2002-02-27
14912.991097754593,2002-02-28
14980.25907772041,2002-03-01
14735.827491803297,2002-03-02
15143.42195925286,2002-03-03
14957.213308678842,2002-03-04
,2002-03-05
14727.470853519799,2002-03-06
14789.14007790697,2002-03-07
,2002-03-08
,2002-03-09
15070.872648956285,2002-03-10
15065.519709950813,2002-03-11
14810.97405376446,2002-03-12
14832.419357469014,2002-03-13
,2002-03-14
14998.146366911811,2002-03-15
14939.529384048112,2002-03-16
15144.141156082293,2002-03-17
14880.704125672442,2002-03-18
15066.705618716609,2002-03-19
,2002-03-28
15080.969558861187,2002-03-29
14873.404766817994,2002-03-30
15056.403597631544,2002-03-31
14906.165367991052,2002-04-01
15131.310187658097,2002-04-02
15026.684579163402,2002-04-03
15019.124258228361,2002-04-04
15085.863719671846,2002-04-05
,2002-04-06
15034.603374853798,2002-04-07
14902.251751585143,2002-04-08
15059.395496019051,2002-04-09
14934.781832164148,2002-04-10
15013.331939794638,2002-04-11
15012.497455436427,2002-04-12
14925.560921649392,2002-04-13
15064.138766465474,2002-04-14
15131.081900107956,2002-04-16
14891.939104250458,2002-04-17
14858.0,2002-04-18
14970.462361960852,2002-04-19
14933.300980627688,2002-04-20
14906.316751340672,2002-04-21
,2002-04-22
,2002-04-23
14831.916712496988,2002-04-24
14708.794712258272,2002-04-25
14945.354698809686,2002-04-26
,2002-04-27
15028.57537148668,2002-04-28
14902.44189156424,2002-04-29
15090.274310925275,2002-04-30
,2002-05-01
14877.913907284768,2002-05-02
15036.675037290508,2002-05-03
14753.477842975695,2002-05-04
14812.24672655953,2002-05-05
,2002-05-06
14960.33936884897,2002-05-07
,2002-05-08
14924.910564545919,2002-05-09
,2002-05-10
14999.966748435942,2002-05-11
,2002-05-12
14924.180775608875,2002-05-13
14986.134871806307,2002-05-14
15069.975599761578,2002-05-15
14998.96872974481,2002-05-16
14857.383089277282,2002-05-17
15021.232890722915,2002-05-18
14828.456886521044,2002-05-19
14889.989175203982,2002-05-20
14698.17857142857,2002-05-21
14988.170751989106,2002-05-22
14946.13048518981,2002-05-23
,2002-05-24
15038.094795812132,2002-05-25
14913.176397276595,2002-05-26
14970.094630459693,2002-05-27
14913.568133591963,2002-05-28
,2002-05-29
14932.740973627753,2002-05-30
14729.148182159703,2002-05-31
15006.709056279436,2002-06-01
,2002-06-02
14985.560278513203,2002-06-03
14948.239663636807,2002-06-04
14990.064595566138,2002-06-05
14931.39359561152,2002-06-06
14947.67673312522,2002-06-07
14999.947882471295,2002-06-08
,2002-06-09
15000.971683360987,2002-06-10
14684.527562782056,2002-06-11
14890.15275828964,2002-06-12
14855.530918569119,2002-06-13
,2002-06-14
,2002-06-15
15267.479495268139,2002-06-16
14971.374137021005,2002-06-17
,2002-06-18
14948.90829763024,2002-06-19
,2002-06-20
14917.41989050515,2002-06-21
14769.091617744794,2002-06-22
,2002-06-23
14975.033822597614,2002-06-24
,2002-06-25
,2002-06-26
14931.134810126581,2002-06-27
14827.68820765272,2002-06-28
,2002-06-29
,2002-06-30
14819.639975550113,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
14923.28441754917,2002-07-05
,2002-07-06
,2002-07-07
14818.115902290338,2002-07-08
14836.623137590448,2002-07-09
14972.680508376936,2002-07-10
,2002-07-11
14881.144999999999,2002-07-12
,2002-07-13
14859.744446825229,2002-07-14
14936.781953697897,2002-07-15
14823.03262536973,2002-07-16
14926.39942139794,2002-07-17
,2002-07-18
,2002-07-19
,2002-07-20
14889.37478998295,2002-07-21
14805.649813108825,2002-07-22
14811.405659364264,2002-07-23
14845.741763675218,2002-07-24
15075.265987549508,2002-07-25
,2002-07-26
,2002-07-27
14956.752569583414,2002-07-28
14812.457324350582,2002-07-29
14934.884503356643,2002-07-30
14893.291404334283,2002-07-31
14851.825157080713,2002-08-01
14992.64046346519,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
14942.076322254716,2002-08-06
14847.039844111789,2002-08-07
14965.349768821727,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
,2002-08-17
14855.099309674335,2002-08-18
14995.146597009312,2002-08-19
14917.726275304844,2002-08-20
,2002-08-21
15082.408052661427,2002-08-22
14906.791484974796,2002-08-23
14983.719782984408,2002-08-24
14896.72154242296,2002-08-25
,2002-08-26
14851.392601988746,2002-08-27
,2002-08-28
14903.849663536197,2002-08-29
,2002-08-30
14893.336586186597,2002-08-31
14835.43855058186,2002-09-01
15218.493671983362,2002-09-02
14909.421565539433,2002-09-03
15084.204022751628,2002-09-04
14867.173943441634,2002-09-05
,2002-09-06
,2002-09-07
15010.0,2002-09-08
14945.77979636465,2002-09-09
14935.214428786552,2002-09-10
15464.28936973315,2002-09-11
14828.408274643898,2002-09-12
,2002-09-13
,2002-09-14
,2002-09-15
14854.23609185244,2002-09-16
,2002-09-17
,2002-09-18
14533.058823529413,2002-09-19
,2002-09-20
14897.79843646981,2002-09-21
,2002-09-22
15024.740085109965,2002-09-23
14953.630158094851,2002-09-24
14990.269485769464,2002-09-25
,2002-09-26
15014.947709093605,2002-09-27
15024.839902207726,2002-09-28
,2002-09-29
15015.797890501157,2002-09-30
,2002-10-01
14976.962983865766,2002-10-02
14929.489725641279,2002-10-03
14965.407790863446,2002-10-04
14986.557366608591,2002-10-05
14812.351007232182,2002-10-06
15020.124190437942,2002-10-07
,2002-10-08
15015.261285253195,2002-10-09
14688.612194098725,2002-10-10
,2002-10-11
15067.203694095679,2002-10-12
14748.6,2002-10-13
14984.932536433822,2002-10-14
,2002-10-15
14956.869193863837,2002-10-16
14967.9317510083,2002-10-17
15023.825892594725,2002-10-18
14932.932568724875,2002-10-19
,2002-10-20
14885.11018197055,2002-10-21
,2002-10-22
14954.285674981236,2002-10-23
,2002-10-24
15009.839787908417,2002-10-25
14917.168902049267,2002-10-26
14995.549267514112,2002-10-27
14948.506028258094,2002-10-28
14953.39373686318,2002-10-29
15018.304503448418,2002-10-30
,2002-10-31
14917.090304925721,2002-11-01
15044.424702544598,2002-11-02
14983.737007662747,2002-11-03
14835.104720349069,2002-11-04
,2002-11-05
14900.569950427669,2002-11-06
,2002-11-07
14823.936193912681,2002-11-08
,2002-11-09
14915.539835722539,2002-11-10
14902.433085341021,2002-11-11
,2002-11-12
14887.52863635145,2002-11-13
14901.165788196362,2002-11-14
14991.535117329788,2002-11-15
,2002-11-16
14858.666176567222,2002-11-17
14809.727665084163,2002-11-18
14872.239437467999,2002-11-19
15000.018011861779,2002-11-20
,2002-11-21
14847.713015883633,2002-11-22
,2002-11-23
14919.961010665585,2002-11-24
14989.539291217263,2002-11-25
14966.757231173626,2002-11-26
14901.602366552568,2002-11-27
14805.313019576295,2002-11-28
,2002-11-29
14978.984108257006,2002-11-30
14941.259267383197,2002-12-01
,2002-12-02
14937.312237056727,2002-12-03
14837.403131392604,2002-12-04
14921.229512642089,2002-12-05
14885.139598646325,2002-12-06
14881.479542836674,2002-12-07
14943.562761194833,2002-12-08
14879.11692867628,2002-12-09
