LST_Day_1km,date
14852.681585124184,2002-02-24
15078.383237179574,2002-02-25
14913.721851414286,2002-02-26
15121.55938105146,2002-02-27
14945.397797494148,2002-02-28
15012.659643535391,2002-03-01
14934.132225025971,2002-03-02
,2002-03-03
14861.525863202887,2002-03-04
,2002-03-05
14833.0,2002-03-06
,2002-03-07
14771.685672238682,2002-03-08
14909.176777012264,2002-03-09
14932.488734549737,2002-03-10
,2002-03-11
14162.030701754387,2002-03-12
15024.167050535862,2002-03-13
14702.645824151608,2002-03-14
15170.526348377916,2002-03-15
14973.068746765814,2002-03-16
14835.609674234945,2002-03-17
14900.751939077705,2002-03-18
14986.566827992247,2002-03-19
,2002-03-28
15146.343048333685,2002-03-29
14930.559464333626,2002-03-30
15234.558996158961,2002-03-31
,2002-04-01
15128.523081644367,2002-04-02
15132.780213799813,2002-04-03
15000.04949994564,2002-04-04
15195.004735969898,2002-04-05
,2002-04-06
15241.96459444065,2002-04-07
14954.264441526542,2002-04-08
15164.526950339608,2002-04-09
15045.695500823234,2002-04-10
15031.31836310684,2002-04-11
15077.870402824097,2002-04-12
15064.264731270729,2002-04-13
15035.971720158326,2002-04-14
15202.981952118645,2002-04-16
14985.186219923682,2002-04-17
15035.75662114403,2002-04-18
15019.417588511877,2002-04-19
,2002-04-20
14910.555555555555,2002-04-21
,2002-04-22
14832.432279377068,2002-04-23
14696.471262034667,2002-04-24
15157.407293969785,2002-04-25
14902.66471253111,2002-04-26
14997.865442517532,2002-04-27
15105.58406877715,2002-04-28
14824.134488753967,2002-04-29
15182.660394488204,2002-04-30
14855.409567697923,2002-05-01
14932.049076380576,2002-05-02
14936.765274539664,2002-05-03
15091.506428165483,2002-05-04
14944.53411090467,2002-05-05
14982.28658604491,2002-05-06
15206.10792137802,2002-05-07
,2002-05-08
15148.054205625365,2002-05-09
,2002-05-10
15085.343499978288,2002-05-11
14994.108655916163,2002-05-12
15032.976653666386,2002-05-13
15070.07972838941,2002-05-14
14891.94502487386,2002-05-15
