LST_Day_1km,date
15215.672472901993,2002-02-24
15069.73993528648,2002-02-25
,2002-02-26
15243.541424206429,2002-02-27
15086.805299245687,2002-02-28
15193.407665956145,2002-03-01
15153.637980671787,2002-03-02
15211.190517872808,2002-03-03
15268.910381475394,2002-03-04
,2002-03-05
15181.637503681062,2002-03-06
15116.471350002199,2002-03-07
,2002-03-08
,2002-03-09
15319.9797464905,2002-03-10
15140.38885591942,2002-03-11
14906.194938863953,2002-03-12
15106.756818689375,2002-03-13
,2002-03-14
15180.651601557003,2002-03-15
15141.818997076038,2002-03-16
,2002-03-17
15019.767897221578,2002-03-18
15336.435855616279,2002-03-19
,2002-03-28
15346.912591769178,2002-03-29
,2002-03-30
15289.219558930086,2002-03-31
15155.445819188391,2002-04-01
15356.461152003048,2002-04-02
15239.99199854857,2002-04-03
15019.669766397663,2002-04-04
15323.861444360658,2002-04-05
,2002-04-06
15304.96590745584,2002-04-07
15013.406506605495,2002-04-08
15268.938352078554,2002-04-09
15147.835478114497,2002-04-10
15130.699046070185,2002-04-11
15252.410546885149,2002-04-12
15057.221258838375,2002-04-13
15382.358659660036,2002-04-14
15368.779967802051,2002-04-16
15115.231555510214,2002-04-17
15067.90097471394,2002-04-18
15180.87117629992,2002-04-19
15143.80884994241,2002-04-20
15063.820633931968,2002-04-21
,2002-04-22
,2002-04-23
14955.525923583371,2002-04-24
15010.021047854341,2002-04-25
15109.393035574098,2002-04-26
15031.875103476823,2002-04-27
15262.124625527775,2002-04-28
15041.899725999752,2002-04-29
15391.863454370046,2002-04-30
,2002-05-01
15259.101086640501,2002-05-02
15124.582096596565,2002-05-03
15088.966478303972,2002-05-04
15024.233916741634,2002-05-05
,2002-05-06
,2002-05-07
,2002-05-08
15134.1548974943,2002-05-09
,2002-05-10
15097.412436103927,2002-05-11
,2002-05-12
,2002-05-13
15170.536053408587,2002-05-14
15160.690943967933,2002-05-15
15252.755440535246,2002-05-16
,2002-05-17
15228.92438450358,2002-05-18
15027.676699716721,2002-05-19
15065.093052540169,2002-05-20
,2002-05-21
15104.023224389863,2002-05-22
14889.157894736842,2002-05-23
,2002-05-24
15117.536624116843,2002-05-25
15050.54176635391,2002-05-26
15221.01313129205,2002-05-27
15086.658265811324,2002-05-28
,2002-05-29
14975.24761753925,2002-05-30
14970.501219064978,2002-05-31
15220.207237474568,2002-06-01
,2002-06-02
15155.196208102238,2002-06-03
15160.014478072148,2002-06-04
15090.621384469398,2002-06-05
15139.39888640949,2002-06-06
15101.031016042783,2002-06-07
15145.11026300308,2002-06-08
,2002-06-09
15242.636626801606,2002-06-10
14988.373637540977,2002-06-11
,2002-06-12
15059.833283795246,2002-06-13
,2002-06-14
,2002-06-15
15020.011141233053,2002-06-16
15053.264267715838,2002-06-17
,2002-06-18
15046.60912240456,2002-06-19
14912.57067209776,2002-06-20
,2002-06-21
14760.05968852666,2002-06-22
,2002-06-23
14968.67788492865,2002-06-24
,2002-06-25
,2002-06-26
15003.960316836257,2002-06-27
14991.453203321778,2002-06-28
,2002-06-29
,2002-06-30
,2002-07-01
14969.424380718841,2002-07-02
,2002-07-03
,2002-07-04
,2002-07-05
15158.917603310745,2002-07-06
14968.25332282252,2002-07-07
15047.504385210663,2002-07-08
15046.911049719969,2002-07-09
15076.98242072417,2002-07-10
,2002-07-11
15035.348260845507,2002-07-12
,2002-07-13
15119.720958454014,2002-07-14
15052.684145973755,2002-07-15
14955.6704359085,2002-07-16
15136.882400281902,2002-07-17
,2002-07-18
14828.891940451747,2002-07-19
,2002-07-20
15151.692328526657,2002-07-21
15033.484385423993,2002-07-22
,2002-07-23
14997.303222385859,2002-07-24
15101.23364535915,2002-07-25
,2002-07-26
,2002-07-27
15189.54982212307,2002-07-28
14912.189114092325,2002-07-29
14982.20815543379,2002-07-30
15214.111002604168,2002-07-31
15112.687362205588,2002-08-01
15149.438310110054,2002-08-02
14921.569057399796,2002-08-03
,2002-08-04
,2002-08-05
15106.135979936917,2002-08-06
15009.588605121735,2002-08-07
15126.507554551183,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
14775.875,2002-08-13
15287.484728374915,2002-08-14
15061.883124607606,2002-08-15
,2002-08-16
,2002-08-17
14986.990609213104,2002-08-18
15077.33757072526,2002-08-19
14740.196038598271,2002-08-20
,2002-08-21
15164.757614482734,2002-08-22
15030.717895741553,2002-08-23
15070.88609775019,2002-08-24
15030.37949874532,2002-08-25
,2002-08-26
15017.520112988446,2002-08-27
,2002-08-28
,2002-08-29
,2002-08-30
15087.64489307356,2002-08-31
,2002-09-01
15029.626970292627,2002-09-02
15107.104460562034,2002-09-03
15519.955769038326,2002-09-04
15072.930070387802,2002-09-05
,2002-09-06
15113.80137795842,2002-09-07
15048.718086554569,2002-09-08
14908.345308185273,2002-09-09
15080.098048835196,2002-09-10
14923.983580227932,2002-09-11
15023.359302489098,2002-09-12
,2002-09-13
,2002-09-14
14183.84199288256,2002-09-15
15125.57442843689,2002-09-16
,2002-09-17
,2002-09-18
,2002-09-19
,2002-09-20
,2002-09-21
,2002-09-22
15049.647857669232,2002-09-23
15170.854959081795,2002-09-24
15147.437509122125,2002-09-25
15118.062001754846,2002-09-26
15071.915859134418,2002-09-27
15139.871504088938,2002-09-28
,2002-09-29
15010.522439303524,2002-09-30
,2002-10-01
15026.474170915428,2002-10-02
15104.432374790325,2002-10-03
15013.0875005899,2002-10-04
15077.5430713894,2002-10-05
14972.47890439513,2002-10-06
15239.797061168958,2002-10-07
,2002-10-08
15162.516474606897,2002-10-09
15170.255472626692,2002-10-10
15130.3998659158,2002-10-11
15080.440775862073,2002-10-12
,2002-10-13
15194.94503082502,2002-10-14
,2002-10-15
15151.335484690102,2002-10-16
15162.054371079574,2002-10-17
15210.871658062726,2002-10-18
15018.114205378892,2002-10-19
,2002-10-20
15004.512431644178,2002-10-21
14687.5313059034,2002-10-22
15105.794634488548,2002-10-23
,2002-10-24
15194.94567709461,2002-10-25
15134.815970180718,2002-10-26
15157.592905695845,2002-10-27
15109.598211113314,2002-10-28
15126.011254544996,2002-10-29
15184.049780500016,2002-10-30
,2002-10-31
15031.549302116156,2002-11-01
15044.144031001602,2002-11-02
15177.40158199297,2002-11-03
14992.302896730554,2002-11-04
15007.864916337918,2002-11-05
15115.575270220894,2002-11-06
15420.726823730449,2002-11-07
15084.293360341379,2002-11-08
,2002-11-09
14945.056146025878,2002-11-10
15070.962192225506,2002-11-11
14901.065121323036,2002-11-12
15108.496173199068,2002-11-13
14993.857900889805,2002-11-14
15157.396156809495,2002-11-15
,2002-11-16
15142.027933988124,2002-11-17
15232.054285482018,2002-11-18
15087.35171505284,2002-11-19
15081.098638245927,2002-11-20
,2002-11-21
15038.085933195947,2002-11-22
,2002-11-23
15158.974639669168,2002-11-24
,2002-11-25
15164.893819896977,2002-11-26
15108.463772247416,2002-11-27
14906.127045449499,2002-11-28
,2002-11-29
14965.167392529585,2002-11-30
15032.862214158566,2002-12-01
,2002-12-02
15129.760296689501,2002-12-03
15038.578206722077,2002-12-04
15138.148743074029,2002-12-05
15109.186262196123,2002-12-06
15174.389066114705,2002-12-07
15169.385230782367,2002-12-08
14976.963986887606,2002-12-09
15220.53476161392,2002-12-10
,2002-12-11
15026.401667135962,2002-12-12
15133.632211151818,2002-12-13
15179.939081308257,2002-12-14
15056.670405666327,2002-12-15
15112.183681406786,2002-12-16
15094.798619893916,2002-12-17
,2002-12-18
15214.67034215606,2002-12-19
14998.340146044613,2002-12-20
14934.930224959156,2002-12-21
15094.348132139548,2002-12-22
15141.833815559194,2002-12-23
,2002-12-24
15192.691243880425,2002-12-25
15158.573366903262,2002-12-26
,2002-12-27
15182.718843171044,2002-12-28
15253.544258389778,2002-12-29
15189.90948791842,2002-12-30
14975.23718279348,2002-12-31
15060.311167319653,2003-01-01
15183.8723117323,2003-01-02
,2003-01-03
15050.58075571857,2003-01-04
,2003-01-05
,2003-01-06
15096.586882281714,2003-01-07
15219.061020285926,2003-01-08
15220.183726012177,2003-01-09
15408.983233660823,2003-01-10
15143.519374575882,2003-01-11
,2003-01-12
15263.605900987654,2003-01-13
15133.90510320508,2003-01-14
14869.001403296366,2003-01-15
15079.511981186533,2003-01-16
14986.9173288357,2003-01-17
15213.093523887921,2003-01-18
,2003-01-19
14821.706053698075,2003-01-20
15232.152030254787,2003-01-21
15190.837387729976,2003-01-22
14997.140427964892,2003-01-23
15058.483538528342,2003-01-24
15037.51152106057,2003-01-25
15155.146848210086,2003-01-26
15088.470664272336,2003-01-27
,2003-01-28
15257.82931595426,2003-01-29
,2003-01-30
15135.73621829987,2003-01-31
,2003-02-01
,2003-02-02
,2003-02-03
,2003-02-04
15201.583862194018,2003-02-05
15411.263139077584,2003-02-06
15250.10725136096,2003-02-07
14693.34588235294,2003-02-08
15179.674566520847,2003-02-09
,2003-02-10
13924.061362674567,2003-02-11
15263.917113371801,2003-02-12
,2003-02-13
14636.367019336014,2003-02-14
14857.168774581627,2003-02-15
15233.302387186914,2003-02-16
15237.081665679765,2003-02-17
15226.099448765373,2003-02-18
14783.916813846703,2003-02-19
,2003-02-20
15149.317247858002,2003-02-21
15265.588845675924,2003-02-22
,2003-02-23
,2003-02-24
15142.781993279947,2003-02-25
15006.733333333334,2003-02-26
15198.188954129237,2003-02-27
15286.06716076257,2003-02-28
,2003-03-01
15346.356109175615,2003-03-02
15439.003634074068,2003-03-03
15195.327253509684,2003-03-04
15153.811167832695,2003-03-05
15134.573827327178,2003-03-06
15104.094982668905,2003-03-07
,2003-03-08
15272.908344504152,2003-03-09
15146.557732747086,2003-03-10
15227.028779607317,2003-03-11
15214.85645143746,2003-03-12
15190.525608574122,2003-03-13
15162.805207148534,2003-03-14
14814.935985178729,2003-03-15
15053.580819607321,2003-03-16
,2003-03-17
15414.675186910314,2003-03-18
15064.774420005078,2003-03-19
,2003-03-20
15150.416946780555,2003-03-21
,2003-03-22
15223.124255095605,2003-03-23
,2003-03-24
,2003-03-25
15246.190505159997,2003-03-26
15226.14093132917,2003-03-27
15095.359309623433,2003-03-28
15201.68993313681,2003-03-29
15130.385821851689,2003-03-30
15048.485819497468,2003-03-31
15179.491422682806,2003-04-01
,2003-04-02
15265.788720985745,2003-04-03
15012.592576744839,2003-04-04
15135.518433504816,2003-04-05
15194.690669605388,2003-04-06
15085.387285838095,2003-04-07
15280.054724610558,2003-04-08
,2003-04-09
15384.978867762244,2003-04-10
15106.451908415069,2003-04-11
15362.386927854066,2003-04-12
15291.145954606227,2003-04-13
15244.959461580325,2003-04-14
15252.837725123174,2003-04-15
15099.569381685073,2003-04-16
15271.459695193633,2003-04-17
,2003-04-18
15344.304619891243,2003-04-19
15080.288756708562,2003-04-20
15260.492075272747,2003-04-21
15173.71429757223,2003-04-22
14996.588378705306,2003-04-23
15266.72739618384,2003-04-24
,2003-04-25
15158.070411065202,2003-04-26
14954.617570776256,2003-04-27
15273.759305967718,2003-04-28
15074.035094351131,2003-04-29
15033.126741346761,2003-04-30
15184.766121452101,2003-05-01
15061.521603854066,2003-05-02
15231.46032264648,2003-05-03
,2003-05-04
15013.963858453673,2003-05-05
15031.64248359235,2003-05-06
14967.196380267658,2003-05-07
15155.3240491048,2003-05-08
,2003-05-09
15072.61249122144,2003-05-10
,2003-05-11
15112.279069767443,2003-05-12
15190.06615765228,2003-05-13
15072.320413866522,2003-05-14
14937.08759483693,2003-05-15
15060.37623871125,2003-05-16
,2003-05-17
,2003-05-18
,2003-05-19
,2003-05-20
15125.937787630473,2003-05-21
,2003-05-22
15095.572035630534,2003-05-23
14906.10084716259,2003-05-24
15042.97883322569,2003-05-25
15131.333322285556,2003-05-26
,2003-05-27
15166.434321096864,2003-05-28
,2003-05-29
14951.44330916282,2003-05-30
15084.136155528558,2003-05-31
15086.897009908527,2003-06-01
15218.989541030154,2003-06-02
14929.072464900799,2003-06-03
15231.943035552791,2003-06-04
,2003-06-05
15142.51206330376,2003-06-06
15071.63650783873,2003-06-07
15115.234877815865,2003-06-08
14943.02994861172,2003-06-09
14963.087709465897,2003-06-10
15147.174998448947,2003-06-11
,2003-06-12
,2003-06-13
,2003-06-14
,2003-06-15
14928.43208042118,2003-06-16
14991.853364411752,2003-06-17
,2003-06-18
14984.326692190307,2003-06-19
15111.688265620347,2003-06-20
,2003-06-21
14992.663854500268,2003-06-22
15064.693126921027,2003-06-23
15008.009319068766,2003-06-24
15102.465767609352,2003-06-25
14994.004899495145,2003-06-26
15020.85433293955,2003-06-27
,2003-06-28
15101.822633823416,2003-06-29
14931.89952383389,2003-06-30
15011.044663201594,2003-07-01
15057.694615634835,2003-07-02
15011.810822394566,2003-07-03
15067.239601072175,2003-07-04
15388.233027757278,2003-07-05
14928.091222911205,2003-07-06
,2003-07-07
14984.336151415195,2003-07-08
14667.261714160817,2003-07-09
14948.714285714286,2003-07-10
15087.90023471285,2003-07-11
14883.601521500344,2003-07-12
15049.139937168891,2003-07-13
,2003-07-14
