LST_Day_1km,date
14602.109862861194,2002-02-24
15090.551948051954,2002-02-25
14918.13922958787,2002-02-26
14995.19359595534,2002-02-27
15042.337360581312,2002-02-28
15045.386919309854,2002-03-01
14911.56354618723,2002-03-02
,2002-03-03
14853.624792250508,2002-03-04
14928.58141088106,2002-03-05
,2002-03-06
,2002-03-07
14928.456181183421,2002-03-08
14998.603539994196,2002-03-09
14631.400579637097,2002-03-10
,2002-03-11
14587.146493316246,2002-03-12
15090.907030676275,2002-03-13
14967.188809526786,2002-03-14
15146.056574024977,2002-03-15
15159.98754744804,2002-03-16
15071.246195101212,2002-03-17
15215.370132709231,2002-03-18
,2002-03-19
,2002-03-28
15282.878459723997,2002-03-29
15025.140395728798,2002-03-30
15282.411224315607,2002-03-31
15161.273567665306,2002-04-01
15137.095420988922,2002-04-02
15195.193956692321,2002-04-03
,2002-04-04
15274.935233237662,2002-04-05
14987.8204353301,2002-04-06
15236.546064538683,2002-04-07
15104.729893840307,2002-04-08
15083.539704718947,2002-04-09
15231.152442006967,2002-04-10
14990.529558042272,2002-04-11
15135.314790387685,2002-04-12
14847.11993047509,2002-04-13
15148.888277908703,2002-04-14
15311.261674088066,2002-04-16
15033.823721558909,2002-04-17
15008.90574214518,2002-04-18
,2002-04-19
,2002-04-20
15335.559575923384,2002-04-21
14701.35,2002-04-22
14567.998595012294,2002-04-23
,2002-04-24
14977.741790298382,2002-04-25
15278.956700571747,2002-04-26
,2002-04-27
15200.266231690202,2002-04-28
14923.19201028156,2002-04-29
15225.806401213265,2002-04-30
14962.717376278068,2002-05-01
15030.757348592617,2002-05-02
15116.470924773583,2002-05-03
15018.553724332869,2002-05-04
15147.747756995921,2002-05-05
,2002-05-06
15258.923039637437,2002-05-07
15070.76004791239,2002-05-08
15115.818603260059,2002-05-09
15018.777884332801,2002-05-10
14777.634535588892,2002-05-11
15233.715941816756,2002-05-12
14976.438050129076,2002-05-13
15271.267447518823,2002-05-14
14663.339742970336,2002-05-15
15200.662730593747,2002-05-16
15027.603670758535,2002-05-17
15170.235660044644,2002-05-18
15160.68477984866,2002-05-19
,2002-05-20
15271.01095184255,2002-05-21
,2002-05-22
15272.231395230843,2002-05-23
15076.956794989706,2002-05-24
,2002-05-25
,2002-05-26
15144.89113010328,2002-05-27
15061.659737989403,2002-05-28
,2002-05-29
15225.0,2002-05-30
,2002-05-31
14899.13337624258,2002-06-01
,2002-06-02
,2002-06-03
,2002-06-04
14788.16519387318,2002-06-05
,2002-06-06
,2002-06-07
15131.237303361808,2002-06-08
14747.05505952381,2002-06-09
15196.415620297841,2002-06-10
15114.889006562013,2002-06-11
15013.16173093327,2002-06-12
15002.730349642723,2002-06-13
15010.646427718759,2002-06-14
15240.768686432843,2002-06-15
,2002-06-16
15075.758515505844,2002-06-17
,2002-06-18
,2002-06-19
,2002-06-20
,2002-06-21
,2002-06-22
,2002-06-23
15161.083063314854,2002-06-24
14852.098884493264,2002-06-25
,2002-06-26
,2002-06-27
,2002-06-28
15034.439544824601,2002-06-29
15063.02557299053,2002-06-30
,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
15004.959154812412,2002-07-15
14881.826505463214,2002-07-16
15066.315296275621,2002-07-17
,2002-07-18
,2002-07-19
,2002-07-20
,2002-07-21
14781.229945895086,2002-07-22
14906.845748172547,2002-07-23
14995.287299879632,2002-07-24
,2002-07-25
,2002-07-26
,2002-07-27
15083.244414012337,2002-07-28
,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
15090.521389156078,2002-08-02
,2002-08-03
,2002-08-04
15000.113282890474,2002-08-05
,2002-08-06
,2002-08-07
,2002-08-08
14996.818124341415,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
,2002-08-17
15120.918632875517,2002-08-18
,2002-08-19
15032.282146160956,2002-08-20
,2002-08-21
15055.62270242284,2002-08-22
15033.923255374542,2002-08-23
14887.650061124696,2002-08-24
15028.991973234117,2002-08-25
,2002-08-26
15091.562423331692,2002-08-27
,2002-08-28
,2002-08-29
14974.30771941838,2002-08-30
,2002-08-31
14821.460686560788,2002-09-01
