date,LST_Day_1km
2002-02-24,
2002-02-25,15225.41069661828
2002-02-26,14979.582482281887
2002-02-27,15210.86418178004
2002-02-28,15153.829283871733
2002-03-01,15121.685695475255
2002-03-02,15029.07337086728
2002-03-03,
2002-03-04,15161.53070886461
2002-03-05,14754.016120368045
2002-03-06,
2002-03-07,14864.851429090471
2002-03-08,14892.835662544818
2002-03-09,15055.767522492864
2002-03-10,15031.854613713014
2002-03-11,
2002-03-12,
2002-03-13,15293.009640376564
2002-03-14,14952.530932798654
2002-03-15,15353.81920982451
2002-03-16,15018.554113730785
2002-03-17,15235.369098049754
2002-03-18,15088.089072792956
2002-03-19,14927.507480959006
2002-03-28,
2002-03-29,15393.215897893353
2002-03-30,15165.262635775858
2002-03-31,15331.666097125708
2002-04-01,15271.649949701863
2002-04-02,15286.923526532499
2002-04-03,15483.136599611324
2002-04-04,15114.875769928589
2002-04-05,15510.235591407787
2002-04-06,14977.743548196817
2002-04-07,15453.23313529956
2002-04-08,15174.533525653147
2002-04-09,15429.858958281242
2002-04-10,15081.52917013125
2002-04-11,15025.136463899946
2002-04-12,15422.041745760398
2002-04-13,
2002-04-14,15417.645130539187
2002-04-16,15399.15728797776
2002-04-17,15202.570055163513
2002-04-18,
2002-04-19,15403.552633293266
2002-04-20,
2002-04-21,15513.417202301172
2002-04-22,14946.144228340489
2002-04-23,15121.278634727565
2002-04-24,
2002-04-25,15359.87434465712
2002-04-26,15397.749326271796
2002-04-27,15134.548168462894
2002-04-28,15513.82432207848
2002-04-29,
2002-04-30,15479.515816618745
2002-05-01,15005.439376863658
2002-05-02,15341.702438403736
2002-05-03,15212.92214022866
2002-05-04,15177.29228206677
2002-05-05,15364.439336992073
2002-05-06,15007.175140114716
2002-05-07,15630.487613954105
2002-05-08,15414.318702494382
2002-05-09,15393.400314685927
2002-05-10,
2002-05-11,15275.36597922081
2002-05-12,15330.8961020699
2002-05-13,15163.733650431419
2002-05-14,15451.657319216767
2002-05-15,
2002-05-16,15515.515413362458
2002-05-17,15158.329161886688
2002-05-18,15364.08236360837
2002-05-19,15222.342509753531
2002-05-20,15194.45228232619
2002-05-21,15407.246336544631
2002-05-22,
2002-05-23,15242.052264374262
2002-05-24,15275.381565181
2002-05-25,15074.935491383325
2002-05-26,
2002-05-27,15242.264354880645
2002-05-28,15324.791846302116
2002-05-29,
2002-05-30,15236.658045682685
2002-05-31,
2002-06-01,15402.58675392987
2002-06-02,15023.069389953072
2002-06-03,15262.343324667383
2002-06-04,15179.11942114054
2002-06-05,15016.876413303624
