LST_Day_1km,date
15159.666862414055,2002-02-24
15424.982123735224,2002-02-25
15393.418481766317,2002-02-26
15325.542478413265,2002-02-27
15469.648974134943,2002-02-28
14968.0,2002-03-01
15369.959199159475,2002-03-02
,2002-03-03
15520.844410059752,2002-03-04
15368.904632820031,2002-03-05
,2002-03-06
15145.431536658853,2002-03-07
,2002-03-08
15544.330973398679,2002-03-09
,2002-03-10
15557.149377439135,2002-03-11
,2002-03-12
,2002-03-13
15443.414366756819,2002-03-14
15415.835300918208,2002-03-15
15564.668866709593,2002-03-16
15190.687296010638,2002-03-17
15738.741397940754,2002-03-18
,2002-03-19
,2002-03-28
15321.692504804616,2002-03-29
15623.076915446421,2002-03-30
15754.48135670351,2002-03-31
15867.73050945652,2002-04-01
15541.934713932103,2002-04-02
15846.102557159178,2002-04-03
15198.756122210996,2002-04-04
15681.799857750751,2002-04-05
15476.055625117386,2002-04-06
15626.882439787407,2002-04-07
15653.401694731803,2002-04-08
15480.883923630328,2002-04-09
15777.266210209407,2002-04-10
,2002-04-11
15724.297556943562,2002-04-12
15450.551032169673,2002-04-13
15601.102329467465,2002-04-14
15436.391815852623,2002-04-16
15562.25389694911,2002-04-17
,2002-04-18
15732.382453695147,2002-04-19
14989.2882932926,2002-04-20
15653.270282811516,2002-04-21
15014.056019878026,2002-04-22
,2002-04-23
15510.176852981776,2002-04-24
15125.762489486966,2002-04-25
15673.18716535433,2002-04-26
,2002-04-27
15752.574398049383,2002-04-28
15528.621624718335,2002-04-29
15713.900753013328,2002-04-30
15483.45225525423,2002-05-01
,2002-05-02
15689.094994487328,2002-05-03
15282.872264693502,2002-05-04
15830.426395812565,2002-05-05
15065.379365624645,2002-05-06
15729.960167267798,2002-05-07
15405.56658183935,2002-05-08
,2002-05-09
15665.228556539867,2002-05-10
15419.622332773919,2002-05-11
15792.827033729358,2002-05-12
,2002-05-13
15806.594561158514,2002-05-14
15282.862591537834,2002-05-15
15695.061659412322,2002-05-16
15530.326539934647,2002-05-17
15507.560037068091,2002-05-18
15734.296430504246,2002-05-19
,2002-05-20
,2002-05-21
,2002-05-22
