date,LST_Day_1km
2002-02-24,
2002-02-25,15045.400261497356
2002-02-26,14832.517981906753
2002-02-27,15139.727760482026
2002-02-28,14957.858520913042
2002-03-01,15066.536796552115
2002-03-02,14901.255579039425
2002-03-03,15116.921170519694
2002-03-04,15037.845185404609
2002-03-05,
2002-03-06,
2002-03-07,14808.669121221654
2002-03-08,
2002-03-09,
2002-03-10,
2002-03-11,14720.728037697743
2002-03-12,
2002-03-13,15124.920677574062
2002-03-14,14773.176517571877
2002-03-15,15162.163995330493
2002-03-16,15047.647570375562
2002-03-17,
2002-03-18,15113.749351304266
2002-03-19,15138.888811107225
2002-03-28,
2002-03-29,15203.348882351485
2002-03-30,14931.739615168335
2002-03-31,15292.395996797446
2002-04-01,15017.99099694557
2002-04-02,15157.538665032904
2002-04-03,15160.025501264878
2002-04-04,15067.771208769851
2002-04-05,15256.533468081734
2002-04-06,
2002-04-07,15274.186918329455
2002-04-08,15117.590117735484
2002-04-09,15242.372998815208
2002-04-10,15151.536833219398
2002-04-11,15185.148974404327
2002-04-12,15232.014032864672
2002-04-13,
2002-04-14,15305.187751022773
2002-04-16,15172.239442595437
2002-04-17,14603.833333333334
2002-04-18,15134.335832833434
2002-04-19,15144.299591272358
2002-04-20,14903.0
2002-04-21,15082.228948858276
2002-04-22,
2002-04-23,
2002-04-24,14919.693727735215
2002-04-25,14884.445187785655
2002-04-26,15097.34495308621
2002-04-27,15104.559585492229
2002-04-28,15178.24805891623
2002-04-29,
2002-04-30,15208.657982042638
2002-05-01,14946.382558614034
2002-05-02,15282.692307692309
2002-05-03,15193.185991804528
2002-05-04,14931.423036303628
2002-05-05,14884.945348016927
2002-05-06,
2002-05-07,15318.059994313338
2002-05-08,
2002-05-09,
2002-05-10,
2002-05-11,15142.755344495581
2002-05-12,
2002-05-13,15183.944210292811
2002-05-14,15234.259269962151
2002-05-15,
2002-05-16,15261.943226393205
2002-05-17,14936.35030721319
2002-05-18,15237.646208160435
2002-05-19,14994.271100062146
2002-05-20,15109.436485336482
2002-05-21,15023.64167916042
2002-05-22,15124.017261058136
2002-05-23,15190.058372713227
2002-05-24,
2002-05-25,15080.405113025236
2002-05-26,15253.013680628099
2002-05-27,15292.821833063674
2002-05-28,15246.358864072137
2002-05-29,
2002-05-30,15077.263090818418
2002-05-31,
2002-06-01,15256.889324000831
2002-06-02,
2002-06-03,15225.183347749085
2002-06-04,14990.505522886202
2002-06-05,
2002-06-06,15069.20308575529
2002-06-07,15208.053474786402
2002-06-08,15263.463384624658
2002-06-09,
2002-06-10,15183.759427074627
2002-06-11,15030.374081084652
2002-06-12,
2002-06-13,14956.965474938661
2002-06-14,
2002-06-15,
2002-06-16,
2002-06-17,15104.341412742386
2002-06-18,
2002-06-19,15083.437876474083
2002-06-20,15062.924258782492
2002-06-21,15070.327266230172
2002-06-22,15051.984311957533
2002-06-23,14841.480324996015
2002-06-24,15127.537985126915
2002-06-25,
2002-06-26,
2002-06-27,15003.06850961539
2002-06-28,15100.994140345858
2002-06-29,14914.630653266331
2002-06-30,
2002-07-01,15039.011988670049
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,
2002-07-06,
2002-07-07,
2002-07-08,15090.163555647332
2002-07-09,15023.82328293573
2002-07-10,15130.950200928675
2002-07-11,
2002-07-12,
2002-07-13,
2002-07-14,15170.417188674519
2002-07-15,15101.164269600378
2002-07-16,15039.452221036807
2002-07-17,15181.509949734907
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,15105.377722542606
2002-07-22,14986.347290878733
2002-07-23,14922.858687106918
2002-07-24,15085.90598039722
2002-07-25,
2002-07-26,
2002-07-27,
2002-07-28,15155.390451066547
2002-07-29,14952.883885706537
2002-07-30,15047.570001929758
2002-07-31,15019.907763237026
2002-08-01,15027.597375441634
2002-08-02,15104.816067663021
2002-08-03,
2002-08-04,
2002-08-05,
2002-08-06,15142.463855667169
2002-08-07,15120.249578657458
2002-08-08,14928.824956798986
2002-08-09,
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,
2002-08-14,
2002-08-15,
2002-08-16,
2002-08-17,
2002-08-18,15077.142737104286
2002-08-19,
2002-08-20,15176.663377725929
2002-08-21,
2002-08-22,15231.554331150612
2002-08-23,14988.192015895957
2002-08-24,15167.494839937317
2002-08-25,15050.923421429501
2002-08-26,15028.720451527224
2002-08-27,14976.043451643469
2002-08-28,
2002-08-29,15139.28973761977
2002-08-30,
2002-08-31,
2002-09-01,14873.962234461053
2002-09-02,15160.321588946463
2002-09-03,15079.722404962899
2002-09-04,
2002-09-05,14872.822253551674
2002-09-06,
2002-09-07,
2002-09-08,
2002-09-09,15165.850851425163
2002-09-10,14985.536468651111
2002-09-11,
2002-09-12,
2002-09-13,
2002-09-14,
2002-09-15,
2002-09-16,15113.496415569869
2002-09-17,
2002-09-18,
2002-09-19,15060.358559755146
2002-09-20,
2002-09-21,
2002-09-22,15356.0
2002-09-23,15238.006179885855
2002-09-24,15136.085193249863
2002-09-25,15124.509487352103
2002-09-26,
2002-09-27,15184.031649445678
2002-09-28,15212.321684079669
2002-09-29,
2002-09-30,
2002-10-01,
2002-10-02,15163.873130363716
