date,LST_Day_1km
2002-02-24,
2002-02-25,15068.899825363784
2002-02-26,
2002-02-27,15155.180704092552
2002-02-28,15017.224045049583
2002-03-01,15096.147872885329
2002-03-02,14848.38170593095
2002-03-03,
2002-03-04,15004.122600358703
2002-03-05,
2002-03-06,14959.333333333334
2002-03-07,14989.699472167613
2002-03-08,
2002-03-09,
2002-03-10,
2002-03-11,
2002-03-12,14980.78999119714
2002-03-13,15055.9935572358
2002-03-14,
2002-03-15,15142.144819671801
2002-03-16,15057.943682974967
2002-03-17,15080.062597945322
2002-03-18,15032.034247792672
2002-03-19,15270.24513355849
2002-03-28,
2002-03-29,15186.21772792686
2002-03-30,
2002-03-31,15187.68340087272
2002-04-01,15047.493084356829
2002-04-02,15320.696793431593
2002-04-03,15130.875246203239
2002-04-04,15101.021386735012
2002-04-05,15232.227686159118
2002-04-06,
2002-04-07,15267.984176227978
2002-04-08,15025.372127183726
2002-04-09,15342.643400861183
2002-04-10,15124.271106555967
2002-04-11,15233.599506666893
2002-04-12,15300.914226715682
2002-04-13,15097.29308669905
2002-04-14,15297.398292047174
2002-04-16,15490.13034928568
2002-04-17,15003.141646562994
2002-04-18,15134.471379418208
2002-04-19,15249.197946349197
2002-04-20,15275.477046429241
2002-04-21,
2002-04-22,
2002-04-23,
2002-04-24,14903.203843022153
2002-04-25,15071.28179964447
2002-04-26,14916.01256290366
2002-04-27,14907.025419538719
2002-04-28,15164.574061119667
2002-04-29,15011.1437957508
2002-04-30,15322.899584107545
2002-05-01,
2002-05-02,15332.358267716536
2002-05-03,15164.227332922985
2002-05-04,15206.19379515058
2002-05-05,15021.019470335323
2002-05-06,
2002-05-07,15326.012514721244
2002-05-08,
2002-05-09,15116.697352204765
2002-05-10,
2002-05-11,15127.66810797778
2002-05-12,
2002-05-13,15116.83770960219
2002-05-14,15328.334349108212
2002-05-15,15085.309441720878
2002-05-16,15276.945751914094
2002-05-17,
2002-05-18,15322.920313552064
2002-05-19,15117.091871117389
2002-05-20,15167.094494632458
2002-05-21,15111.984027560295
2002-05-22,15157.544083729783
2002-05-23,15210.515750706187
2002-05-24,
2002-05-25,15302.095575882036
2002-05-26,15161.520973303068
2002-05-27,15226.863516475036
2002-05-28,
2002-05-29,
2002-05-30,15156.55913640648
2002-05-31,14972.666494528637
2002-06-01,15258.58767673339
2002-06-02,
2002-06-03,15206.47575739852
2002-06-04,14976.454066859698
2002-06-05,
2002-06-06,
2002-06-07,15144.26040334481
2002-06-08,15232.318680351014
2002-06-09,
2002-06-10,15186.41712761526
2002-06-11,14932.907815978224
2002-06-12,
2002-06-13,15242.399542270621
2002-06-14,
2002-06-15,
2002-06-16,
2002-06-17,15140.10493119266
2002-06-18,
2002-06-19,15133.756895084261
2002-06-20,15036.719876236546
2002-06-21,15099.241396156765
2002-06-22,15002.61720868816
2002-06-23,14942.823921070156
2002-06-24,15075.107791843398
2002-06-25,
2002-06-26,
2002-06-27,
2002-06-28,15097.07169262116
2002-06-29,
2002-06-30,
2002-07-01,14952.065968586387
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,14988.035170137127
2002-07-06,15251.232493119564
2002-07-07,14986.9463981825
2002-07-08,15175.965111816202
2002-07-09,15123.970646328717
2002-07-10,15205.135851238296
2002-07-11,
2002-07-12,
2002-07-13,
2002-07-14,15157.09703770799
2002-07-15,15147.805639990647
2002-07-16,15117.572298752928
2002-07-17,
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,15176.731143480747
2002-07-22,14955.942486991988
2002-07-23,14913.394688522845
2002-07-24,15126.596837435818
2002-07-25,15555.997674118104
2002-07-26,
2002-07-27,
2002-07-28,15227.96245618209
2002-07-29,15026.490441214786
2002-07-30,15001.442769659707
2002-07-31,15337.448275862069
2002-08-01,15038.644890482345
2002-08-02,15178.122113227255
2002-08-03,15204.358210027292
2002-08-04,
2002-08-05,
2002-08-06,14879.144955925565
2002-08-07,15078.464850427734
2002-08-08,15085.097090965939
2002-08-09,
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,
2002-08-14,
2002-08-15,
2002-08-16,
2002-08-17,
2002-08-18,15151.355680722425
2002-08-19,15211.487047160788
2002-08-20,15243.202292969489
2002-08-21,
2002-08-22,15237.956675409661
2002-08-23,15020.973955234971
2002-08-24,15185.221566357459
2002-08-25,15071.204876757274
2002-08-26,15100.727985467067
2002-08-27,15126.73156541199
2002-08-28,
2002-08-29,15165.164582482646
2002-08-30,
2002-08-31,15207.917527107751
2002-09-01,15077.140217013357
2002-09-02,15088.644287807942
2002-09-03,15109.967936476025
2002-09-04,15089.519109890913
2002-09-05,15083.256471292267
2002-09-06,
2002-09-07,15275.983606557376
2002-09-08,
2002-09-09,15182.006507724325
2002-09-10,15093.525106764951
2002-09-11,
2002-09-12,
2002-09-13,
2002-09-14,
2002-09-15,
2002-09-16,15034.55691619771
2002-09-17,
2002-09-18,
2002-09-19,15048.029487571534
2002-09-20,
2002-09-21,
2002-09-22,
2002-09-23,15217.991351096613
2002-09-24,15268.885826503198
2002-09-25,15188.671285257768
2002-09-26,
2002-09-27,15110.576530534008
2002-09-28,15194.639073919327
2002-09-29,
2002-09-30,15170.584388494468
2002-10-01,
2002-10-02,15169.052964270144
2002-10-03,15043.121891925153
2002-10-04,15121.455309454344
2002-10-05,15144.280858050053
2002-10-06,14991.405955433103
2002-10-07,15191.248217618073
2002-10-08,
2002-10-09,15228.28910610852
2002-10-10,15104.182094777638
2002-10-11,15162.146291313958
2002-10-12,15103.360458001915
2002-10-13,15186.634220758184
2002-10-14,15166.711693050256
2002-10-15,
2002-10-16,15187.346971365643
2002-10-17,15211.659275794716
2002-10-18,15209.519468668022
2002-10-19,15103.038677593217
2002-10-20,
2002-10-21,14933.53982300885
2002-10-22,
2002-10-23,14947.308940341387
2002-10-24,
2002-10-25,15136.25787886176
2002-10-26,15032.613132784818
2002-10-27,15134.475323430763
2002-10-28,15085.336617984722
2002-10-29,15105.522946452249
2002-10-30,15127.375727724675
2002-10-31,
2002-11-01,15176.935735786414
2002-11-02,14924.92834053283
2002-11-03,15142.761397323207
2002-11-04,15010.529709721406
2002-11-05,
2002-11-06,15126.67390542089
2002-11-07,
2002-11-08,15018.174902107743
2002-11-09,
2002-11-10,
2002-11-11,15021.651281128658
2002-11-12,
2002-11-13,14976.537612468312
2002-11-14,15040.683121015894
2002-11-15,15108.19244368333
2002-11-16,
2002-11-17,15035.526106806328
2002-11-18,
2002-11-19,15158.142857142857
2002-11-20,15111.992246240608
2002-11-21,
2002-11-22,
2002-11-23,
2002-11-24,15147.489929845393
2002-11-25,
2002-11-26,15171.613865678171
2002-11-27,15027.560700461783
2002-11-28,
2002-11-29,
2002-11-30,14852.357848799895
2002-12-01,
2002-12-02,
2002-12-03,14979.397125585003
2002-12-04,14898.270249212641
2002-12-05,15065.052632625044
2002-12-06,15024.619247142877
2002-12-07,15141.725224065423
2002-12-08,15072.711371816886
2002-12-09,14900.182503693895
2002-12-10,15137.899943418126
2002-12-11,
2002-12-12,15066.441394031192
2002-12-13,
2002-12-14,15154.0545391823
2002-12-15,15082.097985985018
2002-12-16,15025.905044624371
2002-12-17,15104.194590780673
2002-12-18,
2002-12-19,15178.27479091034
2002-12-20,15014.326897118868
2002-12-21,15113.72123265217
2002-12-22,14981.339295105165
2002-12-23,
2002-12-24,
2002-12-25,15051.347125693657
2002-12-26,15076.187229667432
2002-12-27,
2002-12-28,15026.107702126668
2002-12-29,15072.439024390244
2002-12-30,14935.38786279684
2002-12-31,14953.411237935967
2003-01-01,
2003-01-02,14990.154482324591
2003-01-03,
2003-01-04,
2003-01-05,15017.785926984694
2003-01-06,
2003-01-07,
2003-01-08,15019.505066051044
2003-01-09,15012.495963008776
2003-01-10,
2003-01-11,15035.940224299698
2003-01-12,
2003-01-13,15122.712658661376
2003-01-14,14976.466486627465
2003-01-15,15006.08381122497
2003-01-16,14914.191305616567
2003-01-17,14868.381693795705
2003-01-18,15046.831854576942
2003-01-19,
2003-01-20,
2003-01-21,
2003-01-22,14977.916228348602
2003-01-23,14346.0
2003-01-24,15081.390797005724
2003-01-25,14901.0374965281
2003-01-26,15028.84691709302
2003-01-27,14679.017079419302
2003-01-28,
2003-01-29,14781.453646477134
2003-01-30,14925.953846504835
2003-01-31,
2003-02-01,
2003-02-02,
2003-02-03,15014.41352525127
2003-02-04,
2003-02-05,
2003-02-06,
2003-02-07,
2003-02-08,14961.654850725266
2003-02-09,15030.786594643352
2003-02-10,
2003-02-11,15014.161246360649
2003-02-12,15180.74456465372
2003-02-13,
2003-02-14,15258.557274444618
2003-02-15,14885.740253943059
2003-02-16,14985.98504777563
2003-02-17,15144.650392768703
2003-02-18,15148.76266376502
2003-02-19,14933.359508484493
2003-02-20,
2003-02-21,15283.012572369164
2003-02-22,14971.7183205639
2003-02-23,15143.723259575341
2003-02-24,
2003-02-25,15058.128997862585
2003-02-26,
2003-02-27,14933.7956823647
2003-02-28,15011.299263450044
2003-03-01,
2003-03-02,15269.88128905172
2003-03-03,15310.12712071116
2003-03-04,15193.432331173153
2003-03-05,15184.90175061456
2003-03-06,15147.646751195061
2003-03-07,15223.742608524522
2003-03-08,
2003-03-09,15136.598746903685
2003-03-10,15012.87188509126
2003-03-11,15072.781992591421
2003-03-12,
2003-03-13,15245.305734704547
2003-03-14,15201.313527652137
2003-03-15,
2003-03-16,14948.011104171737
2003-03-17,
2003-03-18,15288.697527606586
2003-03-19,15174.600574435231
2003-03-20,
2003-03-21,15242.6306197169
2003-03-22,15275.042788408566
2003-03-23,15304.196601047619
2003-03-24,
2003-03-25,15181.775757575757
2003-03-26,15050.767898693817
2003-03-27,
2003-03-28,15299.0
2003-03-29,15148.747856881886
2003-03-30,15162.862994193305
2003-03-31,15010.111167054087
2003-04-01,15256.230436339445
2003-04-02,
2003-04-03,15314.56625456079
2003-04-04,15113.879591288554
2003-04-05,15296.917863143115
2003-04-06,15242.447032200569
2003-04-07,15176.31474400718
2003-04-08,15296.248470507317
2003-04-09,
2003-04-10,15398.074937838843
2003-04-11,15060.22733912223
2003-04-12,15369.478675130997
2003-04-13,15319.005423760334
2003-04-14,15257.553114544644
2003-04-15,15379.325208273085
2003-04-16,15254.648048847312
2003-04-17,15186.166666666666
2003-04-18,
2003-04-19,15246.618967498363
2003-04-20,14841.690939779373
2003-04-21,15370.69106146232
2003-04-22,15196.274361879705
2003-04-23,15058.748254373448
2003-04-24,15237.35216279631
2003-04-25,
2003-04-26,15374.401534012335
2003-04-27,15062.441033396353
2003-04-28,15356.310456064492
2003-04-29,15092.771104883901
2003-04-30,15088.421722846455
2003-05-01,15198.304358950492
2003-05-02,
2003-05-03,15200.294963297854
2003-05-04,
2003-05-05,15375.563876598664
2003-05-06,15101.491647670351
2003-05-07,15315.872404453807
2003-05-08,15292.117396369009
2003-05-09,15189.093749999998
2003-05-10,
2003-05-11,
2003-05-12,14953.05103042198
2003-05-13,
2003-05-14,
2003-05-15,15085.039092374303
2003-05-16,
2003-05-17,
2003-05-18,
2003-05-19,
2003-05-20,
2003-05-21,15241.636788076956
2003-05-22,15075.82752093426
2003-05-23,15268.177370618007
2003-05-24,15092.416434770343
2003-05-25,15202.754502549842
2003-05-26,
2003-05-27,
2003-05-28,15200.826525998493
2003-05-29,15613.354514030092
2003-05-30,
2003-05-31,
2003-06-01,14997.199850381507
2003-06-02,15218.769612722848
2003-06-03,15266.802321410732
2003-06-04,15327.170379700037
2003-06-05,
2003-06-06,15195.731794042415
2003-06-07,15203.176458511323
2003-06-08,15246.845961714329
2003-06-09,15206.73832124535
2003-06-10,15232.24290880111
2003-06-11,15208.193355107029
2003-06-12,
2003-06-13,
2003-06-14,
2003-06-15,
2003-06-16,
2003-06-17,14886.311254369888
2003-06-18,
2003-06-19,15048.07042048891
2003-06-20,15082.597039690569
2003-06-21,
2003-06-22,
2003-06-23,15117.18561740672
2003-06-24,15062.916696465505
2003-06-25,15069.689299223495
2003-06-26,14970.881846333623
2003-06-27,
2003-06-28,
2003-06-29,14982.71721750573
2003-06-30,14703.914020807502
2003-07-01,15095.642882106238
2003-07-02,15007.015481667171
2003-07-03,15044.846755929666
2003-07-04,15006.7597626964
2003-07-05,15066.916065468267
2003-07-06,15052.274600659906
2003-07-07,
2003-07-08,
2003-07-09,15119.861678104113
2003-07-10,14969.055305495405
2003-07-11,15038.336351209733
2003-07-12,14934.913883290144
2003-07-13,15119.932384057618
2003-07-14,
2003-07-15,15109.382535795019
2003-07-16,
