LST_Day_1km,date
14826.936731584288,2002-02-24
15006.913868787278,2002-02-25
14868.07361512919,2002-02-26
14947.345083637932,2002-02-27
14895.075986450613,2002-02-28
14460.54611903933,2002-03-01
15007.334737077494,2002-03-02
14601.327851410508,2002-03-03
14904.586357632697,2002-03-04
14836.750353111896,2002-03-05
14953.766554810836,2002-03-06
14778.225599717784,2002-03-07
14967.748997803621,2002-03-08
14833.465709171867,2002-03-09
,2002-03-10
15040.97399767637,2002-03-11
15034.060991580918,2002-03-12
14816.486486486487,2002-03-13
15058.559758964171,2002-03-14
15062.37729049615,2002-03-15
15056.068511047599,2002-03-16
14692.327691726481,2002-03-17
15118.312477819445,2002-03-18
14933.96267637778,2002-03-19
,2002-03-28
15171.332574410488,2002-03-29
14965.959335394242,2002-03-30
15086.889560984619,2002-03-31
15182.427274171105,2002-04-01
15241.819212715154,2002-04-02
15223.2797176469,2002-04-03
14967.065923139126,2002-04-04
15195.665933753466,2002-04-05
14924.939773086182,2002-04-06
15148.929108773207,2002-04-07
15071.095509889557,2002-04-08
15077.147693936195,2002-04-09
15182.839749597184,2002-04-10
,2002-04-11
15271.66470097977,2002-04-12
14976.247969625594,2002-04-13
15281.104565406637,2002-04-14
15060.052557676676,2002-04-16
15237.954288518893,2002-04-17
14792.174546160568,2002-04-18
15195.235620913038,2002-04-19
14730.851477134762,2002-04-20
15367.698492820904,2002-04-21
15217.376069120082,2002-04-22
15210.410324639626,2002-04-23
15264.31342581447,2002-04-24
,2002-04-25
15141.926848519935,2002-04-26
,2002-04-27
15223.341498658228,2002-04-28
14891.803929736245,2002-04-29
15247.195715940166,2002-04-30
15112.117847790327,2002-05-01
15171.029112445973,2002-05-02
15057.734503478818,2002-05-03
,2002-05-04
15274.355365639129,2002-05-05
14952.794070929982,2002-05-06
15203.710076413332,2002-05-07
14959.130805973567,2002-05-08
15235.670879989017,2002-05-09
15155.677382462382,2002-05-10
15045.810187689534,2002-05-11
15169.482491463295,2002-05-12
,2002-05-13
15302.786426524428,2002-05-14
14855.218125304009,2002-05-15
15212.12779923791,2002-05-16
15076.639233509397,2002-05-17
14953.695635365528,2002-05-18
15086.924477612913,2002-05-19
,2002-05-20
,2002-05-21
14480.412156110046,2002-05-22
15167.588520022182,2002-05-23
,2002-05-24
,2002-05-25
,2002-05-26
15000.21692301439,2002-05-27
,2002-05-28
,2002-05-29
15179.355892770473,2002-05-30
,2002-05-31
15175.765993265994,2002-06-01
,2002-06-02
,2002-06-03
15609.0,2002-06-04
,2002-06-05
15113.594583157002,2002-06-06
,2002-06-07
,2002-06-08
,2002-06-09
14993.945187855816,2002-06-10
14957.863533963024,2002-06-11
14775.262980552669,2002-06-12
15073.086770481237,2002-06-13
,2002-06-14
15093.8832670132,2002-06-15
14772.852909640786,2002-06-16
14944.048847857192,2002-06-17
14833.140131918815,2002-06-18
14943.683436341174,2002-06-19
14978.851045105794,2002-06-20
,2002-06-21
15124.994869432418,2002-06-22
14750.078980430717,2002-06-23
15043.140146431873,2002-06-24
14930.341876761091,2002-06-25
14912.515663757873,2002-06-26
14845.688469881528,2002-06-27
14796.674531755883,2002-06-28
15049.419722826884,2002-06-29
,2002-06-30
15085.412201699395,2002-07-01
14743.619831231885,2002-07-02
,2002-07-03
14790.384918282665,2002-07-04
14926.99003882365,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
14842.303220659458,2002-07-17
14872.66014396446,2002-07-18
14749.836104258286,2002-07-19
,2002-07-20
,2002-07-21
14978.698128532269,2002-07-22
13813.0,2002-07-23
14642.440358744396,2002-07-24
,2002-07-25
15084.251931647177,2002-07-26
,2002-07-27
14874.799708041148,2002-07-28
14651.896941097159,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
,2002-08-06
,2002-08-07
,2002-08-08
14862.231213328507,2002-08-09
15148.243357233236,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
14888.911026439024,2002-08-14
,2002-08-15
15092.24406996815,2002-08-16
,2002-08-17
15071.144165557456,2002-08-18
,2002-08-19
14982.5375,2002-08-20
,2002-08-21
14867.554572354202,2002-08-22
14885.486274245737,2002-08-23
14780.94845793832,2002-08-24
15013.812587246346,2002-08-25
14762.135411090625,2002-08-26
15042.655618214296,2002-08-27
14853.956034746874,2002-08-28
14974.483204431368,2002-08-29
14779.86554848175,2002-08-30
14581.155716832187,2002-08-31
14946.564433354137,2002-09-01
,2002-09-02
14963.456078359839,2002-09-03
14777.470154976998,2002-09-04
14743.080952696373,2002-09-05
14705.903263550123,2002-09-06
,2002-09-07
,2002-09-08
,2002-09-09
,2002-09-10
,2002-09-11
,2002-09-12
,2002-09-13
,2002-09-14
15130.50053028112,2002-09-15
,2002-09-16
14906.701322447589,2002-09-17
,2002-09-18
14997.967606226339,2002-09-19
,2002-09-20
14832.13650560729,2002-09-21
14875.832786222914,2002-09-22
,2002-09-23
14822.060097937374,2002-09-24
,2002-09-25
14858.669156247626,2002-09-26
14863.488860795518,2002-09-27
15080.118085651706,2002-09-28
14765.82862800335,2002-09-29
14873.233278382613,2002-09-30
14915.863432259652,2002-10-01
15018.626981300082,2002-10-02
14869.202813745023,2002-10-03
,2002-10-04
,2002-10-05
,2002-10-06
14854.185808309714,2002-10-07
14515.863636363636,2002-10-08
,2002-10-09
14900.70359225127,2002-10-10
,2002-10-11
14867.108257866463,2002-10-12
14618.537077178698,2002-10-13
14709.393985675166,2002-10-14
14634.72602739726,2002-10-15
14911.85394700128,2002-10-16
14828.25386230465,2002-10-17
14883.845762959825,2002-10-18
14987.861607545343,2002-10-19
,2002-10-20
14988.05258963846,2002-10-21
14831.66826150501,2002-10-22
14984.746435418785,2002-10-23
14825.639109262036,2002-10-24
14945.247207966711,2002-10-25
14828.727152178932,2002-10-26
,2002-10-27
,2002-10-28
,2002-10-29
15058.976384074635,2002-10-30
14807.16246910155,2002-10-31
14951.255984531097,2002-11-01
,2002-11-02
,2002-11-03
14721.685196910214,2002-11-04
,2002-11-05
,2002-11-06
14571.580428938549,2002-11-07
14864.393174776626,2002-11-08
,2002-11-09
,2002-11-10
,2002-11-11
14972.378822694553,2002-11-12
14915.090992133035,2002-11-13
14779.448426156841,2002-11-14
14958.789820545948,2002-11-15
14836.868676404836,2002-11-16
14928.176612462079,2002-11-17
14840.702145482057,2002-11-18
15138.077277179234,2002-11-19
14837.355281555863,2002-11-20
,2002-11-21
14809.95476140722,2002-11-22
,2002-11-23
14532.177583225905,2002-11-24
14455.334679694692,2002-11-25
14925.1107026386,2002-11-26
14668.870601448283,2002-11-27
,2002-11-28
14859.772400991322,2002-11-29
14728.09090884961,2002-11-30
14806.151436828863,2002-12-01
14721.380460083099,2002-12-02
14828.147372733336,2002-12-03
14860.975384276286,2002-12-04
14952.325760746771,2002-12-05
14925.728826929782,2002-12-06
,2002-12-07
14930.373979960386,2002-12-08
14680.092061506042,2002-12-09
14843.911211694747,2002-12-10
14680.065711490884,2002-12-11
14835.357574866932,2002-12-12
14763.010694156208,2002-12-13
,2002-12-14
,2002-12-15
14588.62714124111,2002-12-16
14893.025501310422,2002-12-17
14808.43015135263,2002-12-18
14854.009401657702,2002-12-19
14891.497282981145,2002-12-20
14867.10518024302,2002-12-21
14803.149533473375,2002-12-22
,2002-12-23
14623.21376811594,2002-12-24
14741.852715163932,2002-12-25
14849.278871775743,2002-12-26
14703.184747345651,2002-12-27
,2002-12-28
14745.611923616381,2002-12-29
,2002-12-30
14756.845381942338,2002-12-31
14617.77009683917,2003-01-01
14702.788040800955,2003-01-02
14624.009249255263,2003-01-03
14776.345623556808,2003-01-04
14673.877707269965,2003-01-05
14760.899996896238,2003-01-06
,2003-01-07
,2003-01-08
14760.13357026071,2003-01-09
14687.417409071204,2003-01-10
14800.503259103969,2003-01-11
14700.805535626641,2003-01-12
14799.315589503582,2003-01-13
14627.072606431493,2003-01-14
,2003-01-15
14743.274678348589,2003-01-16
14403.640827862877,2003-01-17
14581.911231047558,2003-01-18
14532.039465450214,2003-01-19
,2003-01-20
14561.958384193618,2003-01-21
14641.371493974862,2003-01-22
14613.609328220748,2003-01-23
,2003-01-24
14622.912251301897,2003-01-25
14731.18450269326,2003-01-26
14910.34477859167,2003-01-27
14701.602365930237,2003-01-28
14825.91228931264,2003-01-29
14719.634188481676,2003-01-30
14538.0,2003-01-31
,2003-02-01
14660.511893903524,2003-02-02
14824.138503123497,2003-02-03
,2003-02-04
14863.228599151002,2003-02-05
14626.991657197252,2003-02-06
14937.594052733553,2003-02-07
,2003-02-08
,2003-02-09
15023.20731761526,2003-02-10
14914.164869520135,2003-02-11
14964.182257105595,2003-02-12
14727.9733802443,2003-02-13
14940.447447799635,2003-02-14
14761.913179267744,2003-02-15
14949.553874685515,2003-02-16
14961.385452248503,2003-02-17
14795.86163294708,2003-02-18
14962.261801407465,2003-02-19
14702.585691359573,2003-02-20
14910.400691166038,2003-02-21
14851.575801572651,2003-02-22
14966.810204522402,2003-02-23
14921.970999214194,2003-02-24
,2003-02-25
14983.641281632383,2003-02-26
14871.09874351525,2003-02-27
15041.79963525476,2003-02-28
14916.329718677234,2003-03-01
15056.663596926634,2003-03-02
15046.484262439104,2003-03-03
14895.882815944968,2003-03-04
15038.184702278642,2003-03-05
14913.194109835906,2003-03-06
15110.445235867044,2003-03-07
14827.976042064194,2003-03-08
14952.31156129074,2003-03-09
14842.5179218724,2003-03-10
15032.899017408943,2003-03-11
14930.487682995496,2003-03-12
,2003-03-13
15008.293647412995,2003-03-14
14728.383302135539,2003-03-15
15043.84695949835,2003-03-16
15039.282011192503,2003-03-17
15130.966137968802,2003-03-18
14978.543340803162,2003-03-19
,2003-03-20
15011.748214051568,2003-03-21
14865.86506440274,2003-03-22
15107.830612777054,2003-03-23
14770.89523831232,2003-03-24
15032.675855627027,2003-03-25
14908.210333410463,2003-03-26
15040.802017855127,2003-03-27
15023.730947907517,2003-03-28
,2003-03-29
15089.476742029927,2003-03-30
14886.29543168281,2003-03-31
15130.83213459194,2003-04-01
15060.495746547518,2003-04-02
15113.455434899482,2003-04-03
15090.185948035569,2003-04-04
14542.0,2003-04-05
15062.903986345915,2003-04-06
14922.946881519394,2003-04-07
15180.372518155546,2003-04-08
14985.911110152156,2003-04-09
15135.070625594848,2003-04-10
15063.116353092511,2003-04-11
15115.12458760332,2003-04-12
15195.220599379452,2003-04-13
,2003-04-14
15164.123711498847,2003-04-15
15030.196150714668,2003-04-16
15194.675966703766,2003-04-17
15128.94076144243,2003-04-18
15153.453312797086,2003-04-19
15124.241057289037,2003-04-20
,2003-04-21
15017.10325740234,2003-04-22
14945.362817644416,2003-04-23
15169.014930572834,2003-04-24
15019.563569106076,2003-04-25
15125.106705570319,2003-04-26
15069.848047114467,2003-04-27
,2003-04-28
15120.978718504384,2003-04-29
,2003-04-30
15122.000503188352,2003-05-01
14860.67252548056,2003-05-02
15029.98429846522,2003-05-03
,2003-05-04
14944.149701897632,2003-05-05
15053.30017402459,2003-05-06
14916.212900650164,2003-05-07
15113.890448403337,2003-05-08
15014.190935196984,2003-05-09
15049.251515999616,2003-05-10
14791.508615136874,2003-05-11
15042.308829763193,2003-05-12
15007.354046778675,2003-05-13
,2003-05-14
15082.389633479776,2003-05-15
,2003-05-16
15115.29782672694,2003-05-17
14882.98887924316,2003-05-18
15052.769726609753,2003-05-19
14857.569077095348,2003-05-20
15046.45541669694,2003-05-21
14957.485764200384,2003-05-22
,2003-05-23
14980.096692406225,2003-05-24
,2003-05-25
,2003-05-26
,2003-05-27
,2003-05-28
14677.290340147452,2003-05-29
,2003-05-30
,2003-05-31
,2003-06-01
,2003-06-02
,2003-06-03
,2003-06-04
14717.915492957747,2003-06-05
14824.333317568357,2003-06-06
,2003-06-07
,2003-06-08
14873.022977150327,2003-06-09
15010.472840746814,2003-06-10
15124.46058841593,2003-06-11
,2003-06-12
14733.9,2003-06-13
14919.215954274925,2003-06-14
15029.587135027597,2003-06-15
,2003-06-16
,2003-06-17
,2003-06-18
,2003-06-19
14790.928112232637,2003-06-20
14896.965423039479,2003-06-21
14979.712123218804,2003-06-22
15079.67445906171,2003-06-23
14737.783524853377,2003-06-24
15003.802193661815,2003-06-25
,2003-06-26
15050.640036292667,2003-06-27
,2003-06-28
15012.049552067814,2003-06-29
14949.95132391259,2003-06-30
14968.230607460167,2003-07-01
15021.21660966553,2003-07-02
,2003-07-03
15177.672993700351,2003-07-04
14868.203590745563,2003-07-05
14998.919681322048,2003-07-06
,2003-07-07
,2003-07-08
15067.410904187655,2003-07-09
,2003-07-10
14934.07674645199,2003-07-11
14814.462632331139,2003-07-12
15125.361429370652,2003-07-13
14935.200290044035,2003-07-14
15031.46469068688,2003-07-15
14978.121411033231,2003-07-16
14658.141975308641,2003-07-17
,2003-07-18
,2003-07-19
15284.250222374272,2003-07-20
14853.474827919335,2003-07-21
,2003-07-22
,2003-07-23
14996.929733657704,2003-07-24
14948.250085892043,2003-07-25
,2003-07-26
14900.837536517809,2003-07-27
14779.213322078125,2003-07-28
14944.843489308427,2003-07-29
14757.967572077632,2003-07-30
,2003-07-31
14864.543826092236,2003-08-01
,2003-08-02
,2003-08-03
,2003-08-04
,2003-08-05
,2003-08-06
,2003-08-07
,2003-08-08
,2003-08-09
,2003-08-10
,2003-08-11
15015.789290303608,2003-08-12
14800.547341658568,2003-08-13
15015.412549098673,2003-08-14
,2003-08-15
14924.67441860465,2003-08-16
,2003-08-17
,2003-08-18
,2003-08-19
,2003-08-20
15136.724172037653,2003-08-21
,2003-08-22
,2003-08-23
,2003-08-24
,2003-08-25
14864.84339676159,2003-08-26
14928.318181818182,2003-08-27
14929.913649317532,2003-08-28
,2003-08-29
,2003-08-30
,2003-08-31
,2003-09-01
,2003-09-02
,2003-09-03
,2003-09-04
,2003-09-05
14970.3144456447,2003-09-06
14866.061775195538,2003-09-07
14912.12191103789,2003-09-08
14696.999824325116,2003-09-09
14826.222222222223,2003-09-10
14873.127615543803,2003-09-11
,2003-09-12
,2003-09-13
,2003-09-14
15035.032070322604,2003-09-15
,2003-09-16
,2003-09-17
,2003-09-18
,2003-09-19
,2003-09-20
,2003-09-21
15003.674831081082,2003-09-22
,2003-09-23
,2003-09-24
14814.210490170832,2003-09-25
15042.037831959704,2003-09-26
14821.13787174219,2003-09-27
,2003-09-28
14908.608173878263,2003-09-29
14740.484363709684,2003-09-30
14975.30851252519,2003-10-01
14819.643228108203,2003-10-02
14929.30453021982,2003-10-03
14856.711780096593,2003-10-04
,2003-10-05
14802.761931287827,2003-10-06
,2003-10-07
,2003-10-08
,2003-10-09
14892.45274037531,2003-10-10
14828.59755528459,2003-10-11
14815.381377818558,2003-10-12
14900.234748405397,2003-10-13
,2003-10-14
14927.498854663689,2003-10-15
,2003-10-16
,2003-10-17
14700.334526062565,2003-10-18
14705.994395875365,2003-10-19
,2003-10-20
,2003-10-21
14627.0,2003-10-22
,2003-10-23
14761.944945438107,2003-10-24
14711.401171344023,2003-10-25
14855.868327968377,2003-10-26
14798.223288051466,2003-10-27
14840.621966829922,2003-10-28
14714.971705874597,2003-10-29
,2003-10-30
14812.977649006625,2003-10-31
,2003-11-01
14971.45388694698,2003-11-02
14750.035848867845,2003-11-03
14894.878449831669,2003-11-04
14928.494578380814,2003-11-05
15152.197874080131,2003-11-06
14976.134897465743,2003-11-07
,2003-11-08
14926.324470876336,2003-11-09
14716.31553380085,2003-11-10
14950.182485729398,2003-11-11
14763.362900728414,2003-11-12
,2003-11-13
,2003-11-14
,2003-11-15
15072.26430678466,2003-11-16
,2003-11-17
14939.690504616088,2003-11-18
14806.438722988141,2003-11-19
14957.783922228235,2003-11-20
14882.295065541386,2003-11-21
14863.866268210684,2003-11-22
14782.126421579618,2003-11-23
,2003-11-24
14850.391260511407,2003-11-25
14656.254730378852,2003-11-26
14863.424494153793,2003-11-27
,2003-11-28
,2003-11-29
14284.532239482678,2003-11-30
14503.0,2003-12-01
14735.127705800707,2003-12-02
14662.912132368236,2003-12-03
14749.733193960017,2003-12-04
14713.380337992035,2003-12-05
14845.809609995556,2003-12-06
14740.396932190417,2003-12-07
,2003-12-08
14765.098544430095,2003-12-09
,2003-12-10
14812.773952711857,2003-12-11
14598.150771832048,2003-12-12
14977.063684210527,2003-12-13
14529.0,2003-12-14
14783.321765670038,2003-12-15
14635.224937361832,2003-12-16
,2003-12-24
14593.761741890656,2003-12-25
,2003-12-26
14754.695646140504,2003-12-27
14560.038065147732,2003-12-28
14767.69248844556,2003-12-29
14524.62524558357,2003-12-30
14797.073039647566,2003-12-31
14731.537527440463,2004-01-01
14275.954165956718,2004-01-02
14753.83764242896,2004-01-03
14687.094587999245,2004-01-04
14868.468697681128,2004-01-05
14760.064133920127,2004-01-06
14838.042875447903,2004-01-07
14737.940428129457,2004-01-08
14943.378618804343,2004-01-09
14770.745335506455,2004-01-10
,2004-01-11
14723.08037283901,2004-01-12
14776.436680438297,2004-01-13
14923.677778143405,2004-01-14
14651.14955357143,2004-01-15
14884.535407709222,2004-01-16
14630.950675318756,2004-01-17
,2004-01-18
14830.852364148092,2004-01-19
14682.551169585116,2004-01-20
14763.904472642189,2004-01-21
14618.980488433452,2004-01-22
14812.480970049704,2004-01-23
14751.394399874636,2004-01-24
,2004-01-25
14579.733134807007,2004-01-26
,2004-01-27
14879.765760883376,2004-01-28
14730.93793338421,2004-01-29
14887.878854633655,2004-01-30
14719.822761702499,2004-01-31
14858.281366243114,2004-02-01
14849.537072384857,2004-02-02
14769.470980228054,2004-02-03
14848.473997268635,2004-02-04
14723.681254417374,2004-02-05
14897.701997062499,2004-02-06
14730.901709054155,2004-02-07
,2004-02-08
14656.952215537955,2004-02-09
,2004-02-10
14710.59884020997,2004-02-11
,2004-02-12
14801.814967360891,2004-02-13
14720.574099039319,2004-02-14
14849.227489862213,2004-02-15
14666.321759828008,2004-02-16
14816.292577435797,2004-02-17
14712.048030851292,2004-02-18
,2004-02-19
14764.532637636805,2004-02-20
14661.470979104964,2004-02-21
15097.177424827374,2004-02-22
14675.751983677172,2004-02-23
,2004-02-24
14744.901452358927,2004-02-25
14857.679544431747,2004-02-26
14827.198873395148,2004-02-27
,2004-02-28
15017.49506602709,2004-02-29
14833.649863190818,2004-03-01
15034.966345873438,2004-03-02
14805.609125664534,2004-03-03
14900.933022489604,2004-03-04
14839.166511543306,2004-03-05
14858.311004954001,2004-03-06
14846.827833049034,2004-03-07
,2004-03-08
14933.410674541876,2004-03-09
14900.24329832589,2004-03-10
15080.622122657336,2004-03-11
15003.45974848593,2004-03-12
14998.313895212777,2004-03-13
15038.295941186341,2004-03-14
,2004-03-15
14992.977860927833,2004-03-16
14888.99611369556,2004-03-17
15035.42976681642,2004-03-18
14908.811094489645,2004-03-19
14967.438810362932,2004-03-20
15055.370515555987,2004-03-21
,2004-03-22
14996.521340054338,2004-03-23
14816.07049789703,2004-03-24
14966.442237719206,2004-03-25
14945.864599126733,2004-03-26
14967.161178838085,2004-03-27
14976.073539646442,2004-03-28
14969.161112556007,2004-03-29
15016.921411886991,2004-03-30
,2004-03-31
15075.031852583774,2004-04-01
14915.71345379878,2004-04-02
15049.164850629088,2004-04-03
