date,LST_Day_1km
2002-02-24,
2002-02-25,15321.899302201991
2002-02-26,15134.002624867573
2002-02-27,15294.360655476177
2002-02-28,15251.067204855075
2002-03-01,15271.935172138956
2002-03-02,15266.931002043566
2002-03-03,
2002-03-04,15273.131763036967
2002-03-05,15042.220021493984
2002-03-06,15274.955405168748
2002-03-07,
2002-03-08,
2002-03-09,15140.620959615535
2002-03-10,15158.77554152365
2002-03-11,15356.30894925345
2002-03-12,
2002-03-13,15372.324812906207
2002-03-14,15037.194085260431
2002-03-15,15319.289146958325
2002-03-16,15220.122536818635
2002-03-17,15219.20052049447
2002-03-18,15245.276892854505
2002-03-19,15008.405432748244
2002-03-28,
2002-03-29,15425.181820355949
2002-03-30,15264.3200465096
2002-03-31,15409.266489538188
2002-04-01,15204.407016932697
2002-04-02,15285.414358390939
2002-04-03,15437.787031926608
2002-04-04,15141.810229289
2002-04-05,15477.674297056321
2002-04-06,15030.999407309293
2002-04-07,15364.67271655502
2002-04-08,15191.154494297678
2002-04-09,15237.018217501083
2002-04-10,15231.245311390952
2002-04-11,15288.997818875494
2002-04-12,15404.722800819354
2002-04-13,
2002-04-14,15454.629901684682
2002-04-16,15400.410636975099
2002-04-17,15212.00572589664
2002-04-18,15460.758469620743
2002-04-19,15373.439820168658
2002-04-20,15172.754183540927
2002-04-21,15220.693156498675
2002-04-22,
2002-04-23,
2002-04-24,15085.927066219596
2002-04-25,15277.878409143646
2002-04-26,15232.870991669772
2002-04-27,15283.384915214625
2002-04-28,15426.972564821996
2002-04-29,
2002-04-30,15445.019604552941
2002-05-01,15106.006373281585
2002-05-02,15181.207333575365
2002-05-03,15124.940626145111
2002-05-04,15203.570930036776
2002-05-05,15395.98720576676
2002-05-06,14811.585496741818
2002-05-07,15501.538753842176
2002-05-08,15031.161926151797
2002-05-09,15336.335255598102
2002-05-10,
2002-05-11,15194.969434658236
2002-05-12,15431.895621058859
2002-05-13,15211.30208485869
2002-05-14,15309.074143335001
2002-05-15,
2002-05-16,15321.414401479587
2002-05-17,15142.692943044985
2002-05-18,15328.947318541173
2002-05-19,15144.912243134588
2002-05-20,15145.033175835828
