date,LST_Day_1km
2002-02-24,
2002-02-25,15237.549011824198
2002-02-26,15087.989428101871
2002-02-27,15254.713822005731
2002-02-28,15189.61826532872
2002-03-01,15200.824528303658
2002-03-02,15156.203381468877
2002-03-03,15122.563525159854
2002-03-04,15091.75151088226
2002-03-05,14924.363844013786
2002-03-06,14755.242744063324
2002-03-07,14797.981828495793
2002-03-08,
2002-03-09,
2002-03-10,15327.923659729551
2002-03-11,15269.409829882687
2002-03-12,
2002-03-13,15346.732417103734
2002-03-14,14984.604224469484
2002-03-15,15294.129139725897
2002-03-16,15225.07256768251
2002-03-17,15238.586572640754
2002-03-18,15207.642393328744
2002-03-19,15078.487429745803
2002-03-28,
2002-03-29,15347.354428127515
2002-03-30,15267.819491900851
2002-03-31,15411.364844485997
2002-04-01,15218.83992350094
2002-04-02,15308.549597754327
2002-04-03,15454.712291959822
2002-04-04,15198.117387911283
2002-04-05,15475.081069156387
2002-04-06,14965.111411870856
2002-04-07,15436.847654662215
2002-04-08,15193.387974011705
2002-04-09,15267.038187946138
2002-04-10,15241.01878437107
2002-04-11,15326.58274204624
2002-04-12,15405.807574445602
2002-04-13,
2002-04-14,15482.09185066089
2002-04-16,15415.839047042295
2002-04-17,15275.54191881335
2002-04-18,15393.272300167708
2002-04-19,15404.766438367407
2002-04-20,15302.051958529022
2002-04-21,15486.371512481646
2002-04-22,
2002-04-23,
2002-04-24,15019.001902016631
2002-04-25,15242.79895783877
2002-04-26,15185.58660477321
2002-04-27,15164.285101131745
2002-04-28,15383.857746099084
2002-04-29,
2002-04-30,15410.121325309537
2002-05-01,15043.03281760342
2002-05-02,15336.197003467063
2002-05-03,15256.233030780058
2002-05-04,15208.157030451623
2002-05-05,15315.536139066007
2002-05-06,15019.842298181944
2002-05-07,15478.852235817107
2002-05-08,
2002-05-09,15394.39312838329
2002-05-10,
2002-05-11,15299.822561428675
2002-05-12,
2002-05-13,15078.969183988382
2002-05-14,15294.344932038832
2002-05-15,
2002-05-16,15289.380658222364
2002-05-17,15017.187758250222
2002-05-18,15336.632069095838
2002-05-19,15159.868916084664
2002-05-20,15127.78218111478
2002-05-21,15215.541720436875
2002-05-22,15091.69135471452
2002-05-23,
2002-05-24,
2002-05-25,15291.693220591105
2002-05-26,15084.755524536378
2002-05-27,15234.017894493107
2002-05-28,15258.30707140735
2002-05-29,
2002-05-30,15188.378031228194
2002-05-31,
2002-06-01,15238.299488829267
2002-06-02,15327.773483659748
2002-06-03,15221.731433762268
2002-06-04,15185.75536399375
2002-06-05,15239.55279462597
2002-06-06,15340.229509108616
2002-06-07,15197.557687735109
2002-06-08,15280.094845611067
2002-06-09,
2002-06-10,15265.104820471455
2002-06-11,15072.67281414288
2002-06-12,15163.617021276596
2002-06-13,15150.713336445262
2002-06-14,15125.796353240024
2002-06-15,15087.498548368367
2002-06-16,
2002-06-17,15138.522867737947
2002-06-18,
2002-06-19,15019.986359230013
2002-06-20,
2002-06-21,14923.036051286876
2002-06-22,15082.695637667362
2002-06-23,14890.146426066116
