LST_Day_1km,date
15236.430101430105,2002-02-24
15183.837179810158,2002-02-25
,2002-02-26
15292.157259175545,2002-02-27
15136.685498156392,2002-02-28
15271.066591361034,2002-03-01
15120.516673148,2002-03-02
15436.785349515165,2002-03-03
15294.39961575656,2002-03-04
,2002-03-05
15215.486666001423,2002-03-06
15121.161817479791,2002-03-07
,2002-03-08
,2002-03-09
15397.310945697347,2002-03-10
15099.381176010174,2002-03-11
14994.39548872181,2002-03-12
14926.867495024999,2002-03-13
,2002-03-14
15208.91556184066,2002-03-15
15132.175872436368,2002-03-16
,2002-03-17
15101.35385761942,2002-03-18
15292.596620788927,2002-03-19
,2002-03-28
15342.076646006155,2002-03-29
,2002-03-30
15379.360145513338,2002-03-31
15229.025323030295,2002-04-01
15380.161849771326,2002-04-02
15291.29307252781,2002-04-03
15044.842435412926,2002-04-04
15282.566483979997,2002-04-05
,2002-04-06
15357.98547598842,2002-04-07
15051.786868153453,2002-04-08
15281.349385701895,2002-04-09
15121.751618673785,2002-04-10
15193.898167829055,2002-04-11
15279.301083731632,2002-04-12
15026.679127974176,2002-04-13
15361.015493576135,2002-04-14
15434.156547886718,2002-04-16
15197.70395090111,2002-04-17
15504.576792556103,2002-04-18
15257.90025145627,2002-04-19
15159.871330291466,2002-04-20
15189.86725663717,2002-04-21
,2002-04-22
,2002-04-23
14885.605048764888,2002-04-24
15042.982968015862,2002-04-25
15170.033079647254,2002-04-26
,2002-04-27
15288.490128684496,2002-04-28
15095.702550976946,2002-04-29
15364.284568978817,2002-04-30
,2002-05-01
15402.549300403793,2002-05-02
15202.889294959643,2002-05-03
15025.826495051657,2002-05-04
14987.106504861691,2002-05-05
,2002-05-06
15027.5,2002-05-07
,2002-05-08
15158.020898650531,2002-05-09
,2002-05-10
15144.140190714597,2002-05-11
,2002-05-12
15084.640131071705,2002-05-13
15076.851574191778,2002-05-14
15212.46362516374,2002-05-15
15239.591383338646,2002-05-16
,2002-05-17
15200.189147478233,2002-05-18
15021.316911764705,2002-05-19
15075.241098524672,2002-05-20
,2002-05-21
15140.94734268014,2002-05-22
14976.229885057472,2002-05-23
,2002-05-24
15100.073751984628,2002-05-25
15024.156056262776,2002-05-26
15225.823870686736,2002-05-27
15163.436028065336,2002-05-28
,2002-05-29
14993.23033506215,2002-05-30
15010.323710673338,2002-05-31
15216.27772321144,2002-06-01
,2002-06-02
15238.028125595125,2002-06-03
15211.462258846683,2002-06-04
15027.526877784314,2002-06-05
15145.67288045125,2002-06-06
15103.598351394385,2002-06-07
15136.63020618062,2002-06-08
,2002-06-09
15223.364671332765,2002-06-10
14904.740272036855,2002-06-11
15094.286770251925,2002-06-12
15147.945580421834,2002-06-13
,2002-06-14
,2002-06-15
15262.773374537963,2002-06-16
,2002-06-17
,2002-06-18
15004.7016788839,2002-06-19
14935.321971683274,2002-06-20
,2002-06-21
14863.957209232607,2002-06-22
,2002-06-23
15045.029403777304,2002-06-24
,2002-06-25
,2002-06-26
15006.43263793286,2002-06-27
15024.746726408897,2002-06-28
,2002-06-29
,2002-06-30
,2002-07-01
14773.776358223766,2002-07-02
,2002-07-03
,2002-07-04
14843.507335937351,2002-07-05
15144.054978279753,2002-07-06
14832.380562833181,2002-07-07
15024.558735590315,2002-07-08
15061.041655983332,2002-07-09
15077.899040324215,2002-07-10
,2002-07-11
15086.036376734033,2002-07-12
,2002-07-13
15068.180623798004,2002-07-14
15065.242683365232,2002-07-15
14953.386353183092,2002-07-16
15130.320512448909,2002-07-17
,2002-07-18
,2002-07-19
,2002-07-20
15140.883742979253,2002-07-21
15060.561168450857,2002-07-22
,2002-07-23
14990.24491236936,2002-07-24
14947.379926615316,2002-07-25
,2002-07-26
,2002-07-27
15226.982637632584,2002-07-28
14927.166722203436,2002-07-29
15041.068452086838,2002-07-30
,2002-07-31
15134.267872108516,2002-08-01
15163.606414685108,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
15093.918386271345,2002-08-06
15137.882938119212,2002-08-07
15120.403371636046,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
14978.382978723404,2002-08-13
,2002-08-14
,2002-08-15
14822.053595390325,2002-08-16
14909.888888888889,2002-08-17
14958.318308522954,2002-08-18
15075.259507915871,2002-08-19
14733.628667840378,2002-08-20
,2002-08-21
15165.47800777043,2002-08-22
15085.78273565527,2002-08-23
15169.487217011456,2002-08-24
15054.301032519144,2002-08-25
,2002-08-26
14948.986452524356,2002-08-27
,2002-08-28
15014.729602510459,2002-08-29
,2002-08-30
15061.03129619034,2002-08-31
,2002-09-01
15006.232147444132,2002-09-02
15031.11702252693,2002-09-03
15579.716513505988,2002-09-04
15031.2421347236,2002-09-05
,2002-09-06
15131.627774244438,2002-09-07
15171.509338336695,2002-09-08
14914.9650775705,2002-09-09
15067.495188960567,2002-09-10
14896.360574927348,2002-09-11
15017.985171807424,2002-09-12
,2002-09-13
,2002-09-14
14763.113521600897,2002-09-15
14978.591309475547,2002-09-16
,2002-09-17
,2002-09-18
,2002-09-19
,2002-09-20
,2002-09-21
,2002-09-22
15110.672685714286,2002-09-23
15278.281137134725,2002-09-24
15181.13027508876,2002-09-25
15176.429199648195,2002-09-26
15139.10098548889,2002-09-27
15139.985488957416,2002-09-28
,2002-09-29
,2002-09-30
,2002-10-01
15025.171422610623,2002-10-02
15121.660403570957,2002-10-03
15107.806480983762,2002-10-04
15093.684456466277,2002-10-05
14985.471604766222,2002-10-06
15226.477242907391,2002-10-07
,2002-10-08
15208.123425482334,2002-10-09
14991.650156427753,2002-10-10
15168.96697659506,2002-10-11
14985.967741935483,2002-10-12
,2002-10-13
15183.839640677148,2002-10-14
,2002-10-15
15225.577773775118,2002-10-16
15157.969445193137,2002-10-17
15230.906856147922,2002-10-18
15084.484111995389,2002-10-19
,2002-10-20
15123.082686122225,2002-10-21
14699.273666092942,2002-10-22
15059.581983304053,2002-10-23
,2002-10-24
15178.681413438688,2002-10-25
15165.570925985927,2002-10-26
15256.685996079575,2002-10-27
15171.985833012652,2002-10-28
15156.514380718776,2002-10-29
15167.181701061065,2002-10-30
,2002-10-31
15067.283458975198,2002-11-01
15045.569310155564,2002-11-02
15155.851189629893,2002-11-03
15049.116305216721,2002-11-04
15009.10447761194,2002-11-05
15130.724593858464,2002-11-06
15443.874034026696,2002-11-07
14965.587315900208,2002-11-08
,2002-11-09
14992.061562490779,2002-11-10
15132.246694747295,2002-11-11
,2002-11-12
15063.897001134328,2002-11-13
15057.203665140416,2002-11-14
15162.92290259312,2002-11-15
,2002-11-16
15082.952121126242,2002-11-17
15254.172668810292,2002-11-18
15048.604283880552,2002-11-19
14994.98745511703,2002-11-20
,2002-11-21
15048.863278225259,2002-11-22
,2002-11-23
15131.17649574977,2002-11-24
,2002-11-25
15066.280077110214,2002-11-26
15156.333800707975,2002-11-27
14875.615384615385,2002-11-28
,2002-11-29
14951.06896551724,2002-11-30
14890.980925202763,2002-12-01
,2002-12-02
15154.223965213385,2002-12-03
14977.192323230169,2002-12-04
15134.332108300865,2002-12-05
15100.880821298646,2002-12-06
15111.67602839809,2002-12-07
15192.706753620289,2002-12-08
14994.990427192324,2002-12-09
15176.591301780669,2002-12-10
,2002-12-11
15096.392899792243,2002-12-12
15266.009825872949,2002-12-13
15254.397074759227,2002-12-14
15098.909493494735,2002-12-15
15171.242484375543,2002-12-16
15110.832372809851,2002-12-17
,2002-12-18
15185.212788197816,2002-12-19
15001.313519698293,2002-12-20
15187.869747423269,2002-12-21
15137.471008244316,2002-12-22
15071.019893794086,2002-12-23
,2002-12-24
15138.457581414637,2002-12-25
15182.12711601443,2002-12-26
,2002-12-27
15205.05328808378,2002-12-28
15165.814053686843,2002-12-29
15195.304774248632,2002-12-30
14997.742868250956,2002-12-31
15104.835568568187,2003-01-01
15141.552296469541,2003-01-02
,2003-01-03
15119.071441806038,2003-01-04
14783.366013549741,2003-01-05
,2003-01-06
15189.3880130584,2003-01-07
15286.143290687285,2003-01-08
15217.408932007764,2003-01-09
,2003-01-10
15171.367056183395,2003-01-11
,2003-01-12
15278.276326703388,2003-01-13
15169.381701505983,2003-01-14
,2003-01-15
15168.090422561427,2003-01-16
,2003-01-17
15239.769094814625,2003-01-18
,2003-01-19
14896.0,2003-01-20
15244.511363876021,2003-01-21
15307.519509547014,2003-01-22
14843.701971090668,2003-01-23
15214.1337463698,2003-01-24
14879.95102252136,2003-01-25
15013.019801278273,2003-01-26
15164.913320721485,2003-01-27
,2003-01-28
15224.923021254372,2003-01-29
,2003-01-30
15198.08697175038,2003-01-31
,2003-02-01
,2003-02-02
,2003-02-03
,2003-02-04
15273.975757575758,2003-02-05
,2003-02-06
15295.057243234265,2003-02-07
,2003-02-08
15187.396963955973,2003-02-09
,2003-02-10
13960.352595083003,2003-02-11
15237.764918268842,2003-02-12
,2003-02-13
14669.5,2003-02-14
14931.087627378281,2003-02-15
15275.67395076184,2003-02-16
15244.133351120543,2003-02-17
15220.600853261836,2003-02-18
,2003-02-19
,2003-02-20
15151.844566003861,2003-02-21
15253.71226602947,2003-02-22
15296.113402061856,2003-02-23
,2003-02-24
15196.09667089353,2003-02-25
,2003-02-26
15278.166200278363,2003-02-27
15366.35937281333,2003-02-28
,2003-03-01
15459.178984542232,2003-03-02
15596.475709508004,2003-03-03
15208.120180582864,2003-03-04
15135.567899698772,2003-03-05
15209.921331949115,2003-03-06
15102.519610591113,2003-03-07
,2003-03-08
15212.74264723184,2003-03-09
15161.410579730356,2003-03-10
15296.809455975552,2003-03-11
15029.241719512216,2003-03-12
15231.577277662705,2003-03-13
15140.135744694076,2003-03-14
14768.744721169465,2003-03-15
15107.851180402482,2003-03-16
,2003-03-17
15422.558744501523,2003-03-18
15142.325456012915,2003-03-19
,2003-03-20
15237.239467700445,2003-03-21
,2003-03-22
15201.72092822145,2003-03-23
,2003-03-24
15347.833333333334,2003-03-25
15266.389749385862,2003-03-26
15244.045331353253,2003-03-27
15184.345902709762,2003-03-28
15272.52529860152,2003-03-29
15174.321478349193,2003-03-30
15115.411409396727,2003-03-31
15231.782952438474,2003-04-01
,2003-04-02
15288.424784048406,2003-04-03
15089.364921910365,2003-04-04
15211.68214897874,2003-04-05
15172.987093206277,2003-04-06
15209.18383632713,2003-04-07
15267.692926680345,2003-04-08
,2003-04-09
15381.180028834964,2003-04-10
15094.218785891544,2003-04-11
15382.572792427089,2003-04-12
15300.123098591777,2003-04-13
15353.537111852045,2003-04-14
15305.821656560955,2003-04-15
15075.970175136035,2003-04-16
15272.915698443843,2003-04-17
,2003-04-18
15307.703909035994,2003-04-19
15060.125049892697,2003-04-20
15286.815310981723,2003-04-21
15211.483799217722,2003-04-22
15035.12271739632,2003-04-23
15275.125439267598,2003-04-24
,2003-04-25
15173.69898949406,2003-04-26
15086.238153409091,2003-04-27
15307.860515620067,2003-04-28
15095.277994255906,2003-04-29
15077.026113175907,2003-04-30
15195.741675552967,2003-05-01
15038.404060509552,2003-05-02
15183.589122155083,2003-05-03
,2003-05-04
15115.738415439231,2003-05-05
14978.381553563324,2003-05-06
14703.0,2003-05-07
15122.902781188845,2003-05-08
,2003-05-09
15099.338030510098,2003-05-10
,2003-05-11
15048.452631578948,2003-05-12
15265.569612074534,2003-05-13
14998.980956082396,2003-05-14
,2003-05-15
15000.68374060151,2003-05-16
,2003-05-17
,2003-05-18
,2003-05-19
,2003-05-20
15162.79247069576,2003-05-21
,2003-05-22
15086.291331270897,2003-05-23
14837.615105008086,2003-05-24
15140.403100606045,2003-05-25
14954.391973023798,2003-05-26
,2003-05-27
15058.788331071912,2003-05-28
,2003-05-29
14886.742730358668,2003-05-30
13905.601398601395,2003-05-31
15080.844823632591,2003-06-01
15180.187582707546,2003-06-02
14990.058116210848,2003-06-03
15223.625874020932,2003-06-04
,2003-06-05
15186.01798464405,2003-06-06
15095.775511299445,2003-06-07
15141.767350949523,2003-06-08
15029.151213349991,2003-06-09
,2003-06-10
15101.361440992594,2003-06-11
,2003-06-12
,2003-06-13
