LST_Day_1km,date
14855.237660609015,2002-02-24
14959.973452168744,2002-02-25
14673.79367596306,2002-02-26
14995.228317869296,2002-02-27
14608.630735052639,2002-02-28
15002.389912550927,2002-03-01
14584.4,2002-03-02
,2002-03-03
14805.371239527796,2002-03-04
,2002-03-05
,2002-03-06
,2002-03-07
,2002-03-08
14841.0,2002-03-09
14710.147569881645,2002-03-10
,2002-03-11
,2002-03-12
14961.68513458592,2002-03-13
14634.569210951488,2002-03-14
15071.117825886133,2002-03-15
14877.847053234915,2002-03-16
14839.202823067633,2002-03-17
14885.834904776257,2002-03-18
14896.780533626454,2002-03-19
,2002-03-28
15146.869989141747,2002-03-29
14901.172652225665,2002-03-30
15161.714028893623,2002-03-31
14757.099232821878,2002-04-01
14973.022970166288,2002-04-02
15088.61947496147,2002-04-03
14915.219182233972,2002-04-04
15120.907191775967,2002-04-05
,2002-04-06
15177.12899552844,2002-04-07
14894.384179287463,2002-04-08
14987.755911165823,2002-04-09
,2002-04-10
14872.258996618375,2002-04-11
14980.748752394333,2002-04-12
,2002-04-13
15036.385327253223,2002-04-14
15065.689621488566,2002-04-16
14820.076538832087,2002-04-17
14906.264147688065,2002-04-18
15007.521368326812,2002-04-19
,2002-04-20
,2002-04-21
,2002-04-22
14652.481766917295,2002-04-23
,2002-04-24
15083.218807744926,2002-04-25
14966.9157109903,2002-04-26
14928.196102900542,2002-04-27
14991.598692002286,2002-04-28
14782.890470575361,2002-04-29
15080.011934953278,2002-04-30
14722.37601222183,2002-05-01
14981.154949453947,2002-05-02
14894.705660412314,2002-05-03
14915.3449325246,2002-05-04
15021.73906368373,2002-05-05
14923.054782949508,2002-05-06
15110.473172682445,2002-05-07
,2002-05-08
14992.739454681277,2002-05-09
,2002-05-10
15002.581998312653,2002-05-11
14917.804172028278,2002-05-12
14799.197878520015,2002-05-13
14990.303838615617,2002-05-14
14901.006389825003,2002-05-15
15246.95998847315,2002-05-16
14838.780804456452,2002-05-17
15182.579545385262,2002-05-18
14983.555693683562,2002-05-19
14877.433848741663,2002-05-20
15061.498930302716,2002-05-21
,2002-05-22
14952.089950127374,2002-05-23
,2002-05-24
