LST_Day_1km,date
15065.386244546335,2002-02-24
15253.352689732654,2002-02-25
15207.43112192566,2002-02-26
15118.392372285723,2002-02-27
15229.620340872614,2002-02-28
15153.222572752788,2002-03-01
15354.810024500712,2002-03-02
,2002-03-03
15272.603551232325,2002-03-04
15204.911848854736,2002-03-05
15129.968999212651,2002-03-06
15131.637441884577,2002-03-07
,2002-03-08
15160.013421334714,2002-03-09
,2002-03-10
15369.388900279528,2002-03-11
14718.46204620462,2002-03-12
,2002-03-13
15322.087650051351,2002-03-14
15252.258861892577,2002-03-15
15428.579513184426,2002-03-16
15232.817075779865,2002-03-17
15375.506510960877,2002-03-18
15269.89495486668,2002-03-19
,2002-03-28
15475.752040396877,2002-03-29
15302.84939517579,2002-03-30
15365.64975483591,2002-03-31
15536.576073320732,2002-04-01
15377.803139630909,2002-04-02
15542.99252998601,2002-04-03
15222.191425761615,2002-04-04
15467.874481452332,2002-04-05
15193.00959731773,2002-04-06
15459.81917547089,2002-04-07
15429.345381429743,2002-04-08
15310.415772707027,2002-04-09
15499.45920918223,2002-04-10
,2002-04-11
15528.982743491337,2002-04-12
15334.341009459951,2002-04-13
15494.527765521281,2002-04-14
15338.859066766212,2002-04-16
15577.185378361895,2002-04-17
,2002-04-18
15557.355121672626,2002-04-19
15037.45291541408,2002-04-20
15530.196264246968,2002-04-21
15528.783001645214,2002-04-22
15402.584971172686,2002-04-23
15539.501026000487,2002-04-24
,2002-04-25
15192.50095541402,2002-04-26
,2002-04-27
15483.917647791686,2002-04-28
15309.62099254941,2002-04-29
15581.265976312883,2002-04-30
15443.530586216939,2002-05-01
15399.166389864646,2002-05-02
15463.112528103875,2002-05-03
,2002-05-04
15653.039354411796,2002-05-05
15335.53742408986,2002-05-06
15663.395277691381,2002-05-07
15372.01193855532,2002-05-08
15510.009448788427,2002-05-09
15431.823559522529,2002-05-10
15244.567631435048,2002-05-11
15471.269447699211,2002-05-12
,2002-05-13
15544.843496093039,2002-05-14
,2002-05-15
15360.781700696132,2002-05-16
15460.123490455786,2002-05-17
15182.688809956591,2002-05-18
15369.275088538809,2002-05-19
,2002-05-20
15494.476785342491,2002-05-21
,2002-05-22
15190.70570657449,2002-05-23
,2002-05-24
,2002-05-25
,2002-05-26
15154.48365166396,2002-05-27
,2002-05-28
,2002-05-29
15204.62099782909,2002-05-30
,2002-05-31
