LST_Day_1km,date
14913.032780140478,2002-02-24
15133.446537918038,2002-02-25
14877.630547507932,2002-02-26
14861.860130580171,2002-02-27
14960.402038802673,2002-02-28
14942.564741641336,2002-03-01
15085.739329820475,2002-03-02
,2002-03-03
15000.239880310653,2002-03-04
14873.681502401423,2002-03-05
14997.460217733153,2002-03-06
14806.389879436229,2002-03-07
15104.762241054614,2002-03-08
14860.19028927664,2002-03-09
,2002-03-10
15055.221303319408,2002-03-11
,2002-03-12
,2002-03-13
15113.344282778471,2002-03-14
15139.468954593793,2002-03-15
15134.239798154102,2002-03-16
15066.743319543828,2002-03-17
15079.273618711864,2002-03-18
14931.995448256786,2002-03-19
,2002-03-28
15298.321444134039,2002-03-29
15086.715248759716,2002-03-30
15147.865604667399,2002-03-31
15250.188403259519,2002-04-01
15251.700463542258,2002-04-02
15311.026271627983,2002-04-03
15078.620278644008,2002-04-04
15205.076431102907,2002-04-05
15186.437688224494,2002-04-06
15221.516655862219,2002-04-07
15172.93172733125,2002-04-08
15144.596053444562,2002-04-09
15235.091424476808,2002-04-10
,2002-04-11
15314.908834392187,2002-04-12
15091.151566374563,2002-04-13
15345.423411709446,2002-04-14
15174.790449311366,2002-04-16
15278.744424609797,2002-04-17
15285.189154125585,2002-04-18
15296.406241708586,2002-04-19
,2002-04-20
15436.482608958087,2002-04-21
15273.283341720691,2002-04-22
15245.720854807394,2002-04-23
15304.244430757626,2002-04-24
,2002-04-25
15188.280980449472,2002-04-26
,2002-04-27
15379.294545396304,2002-04-28
14956.022705137559,2002-04-29
15356.694591750593,2002-04-30
15193.132078599352,2002-05-01
15255.12694285549,2002-05-02
15257.495161391962,2002-05-03
,2002-05-04
15324.43360569068,2002-05-05
15132.805743326755,2002-05-06
15311.44425551441,2002-05-07
15174.277669671645,2002-05-08
15294.301659455552,2002-05-09
15311.712363112947,2002-05-10
15117.226036251615,2002-05-11
15346.758011011725,2002-05-12
,2002-05-13
15474.245703434739,2002-05-14
15207.265440931398,2002-05-15
15248.940064007042,2002-05-16
15163.843003821321,2002-05-17
15231.756291827885,2002-05-18
15217.515687399451,2002-05-19
,2002-05-20
14840.307692307691,2002-05-21
15792.709693496132,2002-05-22
15285.397399774896,2002-05-23
14730.867295597483,2002-05-24
,2002-05-25
15222.812521820082,2002-05-26
15204.13617886179,2002-05-27
,2002-05-28
,2002-05-29
15301.143587626811,2002-05-30
15143.174008222542,2002-05-31
15206.707154324145,2002-06-01
,2002-06-02
15656.404834320472,2002-06-03
,2002-06-04
15125.044480294993,2002-06-05
15342.350767751073,2002-06-06
,2002-06-07
,2002-06-08
,2002-06-09
15227.20496170337,2002-06-10
15163.03994606922,2002-06-11
14879.146820327507,2002-06-12
15236.170909816177,2002-06-13
,2002-06-14
15300.380122711915,2002-06-15
14799.047264216295,2002-06-16
15192.327978361845,2002-06-17
14920.142149916437,2002-06-18
15015.917912619007,2002-06-19
15056.362844191246,2002-06-20
,2002-06-21
15228.607245320101,2002-06-22
14952.301514336155,2002-06-23
15185.17153220749,2002-06-24
15136.361015540411,2002-06-25
15083.132243385082,2002-06-26
14949.521453187424,2002-06-27
14992.57708228651,2002-06-28
15127.422077474226,2002-06-29
,2002-06-30
15183.644215744593,2002-07-01
,2002-07-02
14884.894736842105,2002-07-03
14977.046080945198,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
15152.113561614105,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
15047.070053973584,2002-07-17
14852.501613716746,2002-07-18
14853.512557385904,2002-07-19
,2002-07-20
,2002-07-21
14880.903682719549,2002-07-22
14749.324986880576,2002-07-23
15009.286066976038,2002-07-24
,2002-07-25
14881.7875,2002-07-26
14725.714285714286,2002-07-27
14968.873815813444,2002-07-28
14926.11024372441,2002-07-29
15038.807692307691,2002-07-30
14868.567619047617,2002-07-31
,2002-08-01
14937.923076923076,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
,2002-08-06
14911.523699536076,2002-08-07
,2002-08-08
,2002-08-09
,2002-08-10
15049.32720758973,2002-08-11
,2002-08-12
,2002-08-13
14892.484590860782,2002-08-14
,2002-08-15
14476.0,2002-08-16
,2002-08-17
,2002-08-18
14924.533972883586,2002-08-19
,2002-08-20
14748.131953385491,2002-08-21
14956.070804434496,2002-08-22
15061.207281947129,2002-08-23
14887.885022086708,2002-08-24
15103.737266056047,2002-08-25
14901.680800049495,2002-08-26
15085.560301587664,2002-08-27
14955.277986744142,2002-08-28
15045.247149981471,2002-08-29
14878.34730951756,2002-08-30
,2002-08-31
15082.47278038835,2002-09-01
,2002-09-02
15082.518266168321,2002-09-03
14950.030041910257,2002-09-04
14988.38483611239,2002-09-05
14990.148575435018,2002-09-06
,2002-09-07
,2002-09-08
,2002-09-09
,2002-09-10
,2002-09-11
,2002-09-12
,2002-09-13
,2002-09-14
14866.029762115584,2002-09-15
15100.012197619802,2002-09-16
14983.258859341795,2002-09-17
,2002-09-18
14903.929930237562,2002-09-19
14640.870607229066,2002-09-20
14986.116768617583,2002-09-21
15011.753724585895,2002-09-22
,2002-09-23
14945.423949812417,2002-09-24
,2002-09-25
14973.826992909155,2002-09-26
14908.649769705464,2002-09-27
15083.223958565884,2002-09-28
14936.153452603252,2002-09-29
14691.531589072723,2002-09-30
14910.157015707555,2002-10-01
14610.654963680387,2002-10-02
14907.31484576812,2002-10-03
,2002-10-04
14935.763942184703,2002-10-05
,2002-10-06
14052.0,2002-10-07
14790.487423167851,2002-10-08
,2002-10-09
15005.360722121377,2002-10-10
14925.807338260072,2002-10-11
15021.605369643397,2002-10-12
,2002-10-13
14929.372156078294,2002-10-14
,2002-10-15
14884.451895190232,2002-10-16
14997.039509692126,2002-10-17
14771.215102161677,2002-10-18
15044.755311319253,2002-10-19
,2002-10-20
14980.245737089044,2002-10-21
14800.044658364648,2002-10-22
15041.380484285886,2002-10-23
14963.427320532317,2002-10-24
15010.547589539292,2002-10-25
14956.957189156876,2002-10-26
,2002-10-27
14839.637176123319,2002-10-28
,2002-10-29
,2002-10-30
,2002-10-31
14991.872382087515,2002-11-01
,2002-11-02
,2002-11-03
,2002-11-04
,2002-11-05
,2002-11-06
,2002-11-07
14973.537320675423,2002-11-08
,2002-11-09
,2002-11-10
,2002-11-11
14985.840037788748,2002-11-12
15045.45772997561,2002-11-13
14889.784742656593,2002-11-14
14994.594364247634,2002-11-15
14905.910943956058,2002-11-16
14636.467543138866,2002-11-17
14859.158738139755,2002-11-18
15036.281836955452,2002-11-19
15015.567957661777,2002-11-20
,2002-11-21
14902.27837385108,2002-11-22
,2002-11-23
14786.95778083958,2002-11-24
,2002-11-25
,2002-11-26
14715.714427659876,2002-11-27
14687.032258064519,2002-11-28
14945.770621389041,2002-11-29
14715.244285283334,2002-11-30
14930.863126042324,2002-12-01
14620.548187899733,2002-12-02
14939.883714520338,2002-12-03
14807.795698876882,2002-12-04
14962.967737238187,2002-12-05
14922.920021898033,2002-12-06
,2002-12-07
14972.318315768596,2002-12-08
14821.899122100507,2002-12-09
14885.323020216685,2002-12-10
14594.036246334304,2002-12-11
14854.442390089363,2002-12-12
14862.445256225568,2002-12-13
14701.650296902586,2002-12-14
,2002-12-15
14751.110093799878,2002-12-16
14960.73688745907,2002-12-17
14589.111475409833,2002-12-18
14913.240853589106,2002-12-19
14934.081023700503,2002-12-20
14923.419228268891,2002-12-21
14837.223453192117,2002-12-22
,2002-12-23
14554.918624552669,2002-12-24
15265.0,2002-12-25
15062.859054903029,2002-12-26
14640.42313471841,2002-12-27
14882.000181278268,2002-12-28
14702.24827716417,2002-12-29
14702.304525762154,2002-12-30
14895.50569062876,2002-12-31
14730.81380664188,2003-01-01
14814.196546116922,2003-01-02
14731.4676346343,2003-01-03
14776.108165569605,2003-01-04
14794.070597682194,2003-01-05
,2003-01-06
14755.559633027522,2003-01-07
,2003-01-08
14929.161430860553,2003-01-09
14855.631346925134,2003-01-10
14795.681162635903,2003-01-11
14770.388269577054,2003-01-12
,2003-01-13
14679.621048340205,2003-01-14
,2003-01-15
14850.734138972814,2003-01-16
14691.158598189848,2003-01-17
14829.576740562963,2003-01-18
14556.475200193352,2003-01-19
