LST_Day_1km,date
15016.766605476587,2002-02-24
15172.926626797547,2002-02-25
15081.99030163789,2002-02-26
15167.06557476151,2002-02-27
15137.05891936707,2002-02-28
15209.568770851785,2002-03-01
15257.293045855564,2002-03-02
,2002-03-03
15225.556021461345,2002-03-04
15104.327027998503,2002-03-05
15139.328376092797,2002-03-06
15006.050511648158,2002-03-07
15009.873242926655,2002-03-08
15198.81432605424,2002-03-09
,2002-03-10
15334.265739499371,2002-03-11
15106.73088745591,2002-03-12
15345.0699611974,2002-03-13
15149.925573122835,2002-03-14
15345.10297343263,2002-03-15
15313.273719189017,2002-03-16
15263.46334825625,2002-03-17
15368.420365385502,2002-03-18
14909.107595217989,2002-03-19
,2002-03-28
15454.19182933521,2002-03-29
15282.580962729866,2002-03-30
15404.98562306866,2002-03-31
15418.765848518526,2002-04-01
15322.515880032835,2002-04-02
15501.050163609463,2002-04-03
15014.328382966747,2002-04-04
15401.97342161099,2002-04-05
15222.266683194899,2002-04-06
15368.065697066022,2002-04-07
15307.394447272007,2002-04-08
15243.497931741327,2002-04-09
15427.445187090805,2002-04-10
,2002-04-11
15379.392465108547,2002-04-12
15203.594612786075,2002-04-13
15455.299958198877,2002-04-14
15235.8195738291,2002-04-16
15352.286720700102,2002-04-17
14873.511306308976,2002-04-18
15282.960208786846,2002-04-19
14889.65090469279,2002-04-20
15550.587976621207,2002-04-21
15179.928799005223,2002-04-22
15007.197643429217,2002-04-23
15207.546340529152,2002-04-24
15099.15708966671,2002-04-25
15393.862644284713,2002-04-26
,2002-04-27
15438.47766862678,2002-04-28
15148.649874728493,2002-04-29
15414.756525003862,2002-04-30
15281.066012100493,2002-05-01
14985.500205150094,2002-05-02
15410.582406139325,2002-05-03
15214.3837576522,2002-05-04
15431.771362590804,2002-05-05
15163.37243280047,2002-05-06
15498.119453668387,2002-05-07
15331.910194525306,2002-05-08
15250.482572745857,2002-05-09
15210.979667510323,2002-05-10
15073.388896978939,2002-05-11
15261.154836452743,2002-05-12
,2002-05-13
15302.295542115633,2002-05-14
15088.320608777438,2002-05-15
15248.463244389908,2002-05-16
15138.08491605375,2002-05-17
15112.590022901692,2002-05-18
15253.192536422828,2002-05-19
,2002-05-20
15268.178071148952,2002-05-21
,2002-05-22
15171.414575044128,2002-05-23
15085.210682492581,2002-05-24
15109.57240761242,2002-05-25
,2002-05-26
15054.817727148706,2002-05-27
15202.463643318222,2002-05-28
,2002-05-29
15011.18315797982,2002-05-30
14893.005402062972,2002-05-31
15137.458015267177,2002-06-01
,2002-06-02
14975.607286948725,2002-06-03
15123.609374840467,2002-06-04
,2002-06-05
15134.98510790794,2002-06-06
,2002-06-07
15094.880446383433,2002-06-08
15031.923034384965,2002-06-09
15192.121122014734,2002-06-10
15138.218869589158,2002-06-11
15074.3279816013,2002-06-12
15226.11270544021,2002-06-13
,2002-06-14
15172.881942363745,2002-06-15
,2002-06-16
14987.983767620672,2002-06-17
14923.8370995588,2002-06-18
,2002-06-19
,2002-06-20
,2002-06-21
,2002-06-22
14852.439459580271,2002-06-23
15151.096864422852,2002-06-24
15000.27803972019,2002-06-25
,2002-06-26
14916.065679243007,2002-06-27
15204.754314126943,2002-06-28
14988.172532023425,2002-06-29
,2002-06-30
15063.38765324494,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
15108.443436993517,2002-07-17
14954.023657267813,2002-07-18
,2002-07-19
,2002-07-20
,2002-07-21
14782.529443739812,2002-07-22
14087.335704757668,2002-07-23
,2002-07-24
,2002-07-25
,2002-07-26
,2002-07-27
14949.52709926064,2002-07-28
14912.525564850668,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
15012.664335968026,2002-08-02
,2002-08-03
,2002-08-04
14875.276558844307,2002-08-05
14744.008405408696,2002-08-06
,2002-08-07
,2002-08-08
15017.253036241353,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
,2002-08-17
14953.189675516223,2002-08-18
14982.393412277594,2002-08-19
15110.135135135139,2002-08-20
,2002-08-21
15040.580003034192,2002-08-22
15073.731195937633,2002-08-23
14802.16993012363,2002-08-24
15053.424705757432,2002-08-25
,2002-08-26
15084.475861988962,2002-08-27
14838.796343178627,2002-08-28
14764.782608695652,2002-08-29
14902.019689416491,2002-08-30
15007.293116753663,2002-08-31
14992.707282811074,2002-09-01
,2002-09-02
15115.045096045838,2002-09-03
14782.922572801295,2002-09-04
,2002-09-05
,2002-09-06
,2002-09-07
,2002-09-08
14868.316249320687,2002-09-09
,2002-09-10
,2002-09-11
15043.660478128179,2002-09-12
,2002-09-13
,2002-09-14
14951.689840130504,2002-09-15
14712.436642521576,2002-09-16
,2002-09-17
,2002-09-18
14871.910626112995,2002-09-19
,2002-09-20
14921.697250370029,2002-09-21
,2002-09-22
,2002-09-23
15055.264923573748,2002-09-24
14935.849245602732,2002-09-25
15099.233205133518,2002-09-26
14880.73925704002,2002-09-27
15052.857032398506,2002-09-28
14964.383235155636,2002-09-29
14985.191191268672,2002-09-30
,2002-10-01
,2002-10-02
14893.593741873246,2002-10-03
,2002-10-04
15092.902367194225,2002-10-05
14924.61985752449,2002-10-06
15076.659029678685,2002-10-07
14995.540018697415,2002-10-08
15011.751426655852,2002-10-09
15009.109327178863,2002-10-10
14847.034593330594,2002-10-11
14987.000982938402,2002-10-12
14959.989747560787,2002-10-13
14914.821653120694,2002-10-14
,2002-10-15
14895.435885608855,2002-10-16
14984.600436194301,2002-10-17
14890.046060248833,2002-10-18
14965.149399640082,2002-10-19
,2002-10-20
14971.752979936999,2002-10-21
15001.464282267092,2002-10-22
14928.696586950486,2002-10-23
14988.55764638116,2002-10-24
15042.863782545814,2002-10-25
15048.473201827954,2002-10-26
14951.939393939394,2002-10-27
14965.141444757352,2002-10-28
,2002-10-29
14930.766671722535,2002-10-30
15044.421719815287,2002-10-31
14989.275351605267,2002-11-01
15081.94655419174,2002-11-02
,2002-11-03
14980.543122248275,2002-11-04
,2002-11-05
15015.205519124553,2002-11-06
15059.367138902711,2002-11-07
15051.51287895648,2002-11-08
14983.069706080607,2002-11-09
,2002-11-10
15098.770831915606,2002-11-11
15288.380718534807,2002-11-12
15034.067888138872,2002-11-13
14818.483438570142,2002-11-14
15113.272163012723,2002-11-15
14958.326680989268,2002-11-16
15090.779592750909,2002-11-17
15052.918099573608,2002-11-18
15169.332433896372,2002-11-19
15078.37613684178,2002-11-20
,2002-11-21
15012.43202415467,2002-11-22
,2002-11-23
14904.558989128718,2002-11-24
14905.8672985782,2002-11-25
