LST_Day_1km,date
14875.291742228226,2002-02-24
15055.870465980115,2002-02-25
14942.641681779714,2002-02-26
14931.169473619435,2002-02-27
14810.883242425743,2002-02-28
14980.118459174288,2002-03-01
15133.730457332671,2002-03-02
,2002-03-03
15100.242007018102,2002-03-04
15002.890553026064,2002-03-05
14840.558104180642,2002-03-06
14835.996100788705,2002-03-07
14718.550686498857,2002-03-08
15000.554571868835,2002-03-09
,2002-03-10
15208.41528169437,2002-03-11
14591.973491928633,2002-03-12
15116.167485247226,2002-03-13
14979.910785498989,2002-03-14
15106.879674045975,2002-03-15
15095.794809103927,2002-03-16
14967.976830358108,2002-03-17
15119.909641852828,2002-03-18
,2002-03-19
,2002-03-28
15251.683657053449,2002-03-29
15083.174931023521,2002-03-30
15162.567594869457,2002-03-31
15156.262161581175,2002-04-01
15061.062242369593,2002-04-02
15300.67874416582,2002-04-03
,2002-04-04
15202.173728124328,2002-04-05
15047.864326321042,2002-04-06
15163.3306619817,2002-04-07
15093.27697995117,2002-04-08
15049.041261286076,2002-04-09
15206.925579661645,2002-04-10
,2002-04-11
15141.671875138565,2002-04-12
14962.314686437285,2002-04-13
15340.015159510678,2002-04-14
15047.025862037968,2002-04-16
15138.027663027677,2002-04-17
14944.876443949812,2002-04-18
15167.79636129188,2002-04-19
,2002-04-20
15255.40350877193,2002-04-21
14876.488408401612,2002-04-22
14760.849004104803,2002-04-23
14826.182257552304,2002-04-24
14901.203980695507,2002-04-25
15111.630613110707,2002-04-26
,2002-04-27
15196.074487715927,2002-04-28
14899.518570028253,2002-04-29
15207.34693871343,2002-04-30
15036.91824818709,2002-05-01
14971.946427887739,2002-05-02
15171.366578801044,2002-05-03
14970.475276965244,2002-05-04
15184.81429706917,2002-05-05
,2002-05-06
15243.528393304421,2002-05-07
15057.798855433415,2002-05-08
15109.14568764569,2002-05-09
14925.140835732813,2002-05-10
14963.911006706177,2002-05-11
15083.132358537725,2002-05-12
,2002-05-13
15206.603315146414,2002-05-14
14933.19126853818,2002-05-15
15221.278812633242,2002-05-16
15044.88996133987,2002-05-17
15094.964846333083,2002-05-18
15192.436447839751,2002-05-19
14997.228096676736,2002-05-20
15253.052905438735,2002-05-21
,2002-05-22
15146.033860654574,2002-05-23
15121.593230309953,2002-05-24
15181.671590146514,2002-05-25
,2002-05-26
15113.950670503926,2002-05-27
15187.285490230446,2002-05-28
,2002-05-29
14894.386032321034,2002-05-30
15025.385028378587,2002-05-31
15145.117166107122,2002-06-01
15150.1009206979,2002-06-02
,2002-06-03
,2002-06-04
,2002-06-05
14977.6,2002-06-06
,2002-06-07
15082.146785796407,2002-06-08
15006.815224374233,2002-06-09
15160.706594349818,2002-06-10
15105.492650495387,2002-06-11
15129.082061776382,2002-06-12
15146.73920833422,2002-06-13
,2002-06-14
15189.572913166277,2002-06-15
15093.085678984615,2002-06-16
15064.598457530761,2002-06-17
14936.984653291098,2002-06-18
,2002-06-19
,2002-06-20
,2002-06-21
14953.359110334715,2002-06-22
,2002-06-23
15201.894356487936,2002-06-24
15004.52967143241,2002-06-25
14982.713339640493,2002-06-26
,2002-06-27
,2002-06-28
14991.893020302074,2002-06-29
,2002-06-30
15137.900257390742,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
14847.305133539772,2002-07-15
,2002-07-16
15029.135667887977,2002-07-17
,2002-07-18
,2002-07-19
,2002-07-20
,2002-07-21
14682.23158253752,2002-07-22
14958.451506361458,2002-07-23
,2002-07-24
,2002-07-25
,2002-07-26
,2002-07-27
15063.891649245616,2002-07-28
14759.788690476187,2002-07-29
,2002-07-30
14737.1875,2002-07-31
,2002-08-01
15034.095662048603,2002-08-02
,2002-08-03
,2002-08-04
15021.721276512664,2002-08-05
,2002-08-06
,2002-08-07
,2002-08-08
14860.292882147023,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
,2002-08-17
,2002-08-18
15189.46269367865,2002-08-19
15154.0090626926,2002-08-20
,2002-08-21
15042.78879483856,2002-08-22
15086.18876342329,2002-08-23
14909.831473096147,2002-08-24
15169.72163152771,2002-08-25
,2002-08-26
15144.508951502014,2002-08-27
15068.947992156196,2002-08-28
,2002-08-29
14997.93037840963,2002-08-30
15138.045117996759,2002-08-31
14939.0922606129,2002-09-01
,2002-09-02
15174.396444926482,2002-09-03
14991.224462878763,2002-09-04
15013.326637113518,2002-09-05
,2002-09-06
,2002-09-07
,2002-09-08
15455.295910801477,2002-09-09
,2002-09-10
,2002-09-11
