LST_Day_1km,date
14967.67055561716,2002-02-24
15098.213440409105,2002-02-25
15032.597602625203,2002-02-26
14964.411902100916,2002-02-27
15106.964496336404,2002-02-28
14957.086608453094,2002-03-01
15117.148631134842,2002-03-02
14942.453085025558,2002-03-03
15089.124699667127,2002-03-04
14991.390527656557,2002-03-05
14924.513843111397,2002-03-06
14908.455934226327,2002-03-07
14940.761213325144,2002-03-08
15080.973459726702,2002-03-09
14929.531586501715,2002-03-10
15193.850468227733,2002-03-11
14973.621106903562,2002-03-12
15148.656278208857,2002-03-13
15104.412732280343,2002-03-14
15075.311703703957,2002-03-15
15161.159287942595,2002-03-16
15095.009799819427,2002-03-17
15191.34199159738,2002-03-18
14974.615980745122,2002-03-19
,2002-03-28
15193.74454694075,2002-03-29
15161.802755488865,2002-03-30
15086.382051246886,2002-03-31
15229.626808983741,2002-04-01
15103.133243874565,2002-04-02
15317.13068585517,2002-04-03
15064.213787705821,2002-04-04
15216.282897391415,2002-04-05
15168.137770175656,2002-04-06
15213.81904737855,2002-04-07
15208.46587480913,2002-04-08
15033.866075145826,2002-04-09
15230.342277049564,2002-04-10
14849.513154884462,2002-04-11
15276.399687482257,2002-04-12
15034.857925339487,2002-04-13
15187.78488925148,2002-04-14
15079.425421948872,2002-04-16
15232.88591603597,2002-04-17
15025.970595025712,2002-04-18
15106.635933806147,2002-04-19
14989.888440571362,2002-04-20
15223.744453118288,2002-04-21
15109.93875163885,2002-04-22
,2002-04-23
15091.200238635014,2002-04-24
14932.409688214735,2002-04-25
15156.706735787804,2002-04-26
14884.643168934395,2002-04-27
15259.667082017026,2002-04-28
15046.911954105799,2002-04-29
15166.910691873149,2002-04-30
15117.692094108766,2002-05-01
15020.079905384857,2002-05-02
15193.469818871428,2002-05-03
14958.664242271117,2002-05-04
15130.628036966707,2002-05-05
14919.151989449909,2002-05-06
15141.818020729283,2002-05-07
15027.286717639476,2002-05-08
15118.535160426782,2002-05-09
15092.585478036559,2002-05-10
,2002-05-11
15072.78024317345,2002-05-12
14812.48916684484,2002-05-13
15225.583474398862,2002-05-14
15042.998970713841,2002-05-15
15138.140549491058,2002-05-16
15085.881413277484,2002-05-17
14999.655218435308,2002-05-18
15134.736844912562,2002-05-19
,2002-05-20
15139.333545159921,2002-05-21
14982.407925920175,2002-05-22
15139.254995478608,2002-05-23
15018.593229732895,2002-05-24
15037.088260259201,2002-05-25
,2002-05-26
14880.587761455501,2002-05-27
15133.485960164548,2002-05-28
14622.109005730537,2002-05-29
15089.586325198428,2002-05-30
14755.293517844137,2002-05-31
15081.56567623776,2002-06-01
15040.269835329342,2002-06-02
15056.23340685783,2002-06-03
14925.465042463764,2002-06-04
,2002-06-05
15111.752773805696,2002-06-06
14953.348938826468,2002-06-07
14771.7784738041,2002-06-08
14944.45251920322,2002-06-09
15085.478232201727,2002-06-10
15137.3753601533,2002-06-11
15295.67848601435,2002-06-12
14791.20037545697,2002-06-13
