LST_Day_1km,date
15070.233233846202,2002-02-24
14996.414941966159,2002-02-25
15183.397855604566,2002-02-26
15006.89492518736,2002-02-27
15184.193827798837,2002-02-28
,2002-03-01
15466.371013100215,2002-03-02
,2002-03-03
15361.103956128312,2002-03-04
15278.715001472156,2002-03-05
14839.721118823447,2002-03-06
14812.3147299509,2002-03-07
,2002-03-08
15348.922318164003,2002-03-09
,2002-03-10
15466.984130440876,2002-03-11
,2002-03-12
,2002-03-13
15379.876947841854,2002-03-14
15116.908351226128,2002-03-15
15473.683674208067,2002-03-16
14947.433336613203,2002-03-17
15460.78779442049,2002-03-18
14911.613231552154,2002-03-19
,2002-03-28
15636.209482304535,2002-03-29
15427.692989489473,2002-03-30
15521.016775997632,2002-03-31
15670.846865700072,2002-04-01
15404.523889592376,2002-04-02
15704.446024897548,2002-04-03
15329.409761567129,2002-04-04
15519.416557535973,2002-04-05
15327.141927083336,2002-04-06
15522.552024065253,2002-04-07
15590.03982878569,2002-04-08
15199.687843342424,2002-04-09
15571.729423118204,2002-04-10
,2002-04-11
15605.20769100815,2002-04-12
15341.862386727022,2002-04-13
15618.100335069345,2002-04-14
,2002-04-16
15137.127585255997,2002-04-17
,2002-04-18
15598.23651879399,2002-04-19
15099.653949620933,2002-04-20
15518.030284962384,2002-04-21
15596.968357922467,2002-04-22
15339.0,2002-04-23
15630.85475948712,2002-04-24
15256.347680268305,2002-04-25
15442.266020919264,2002-04-26
,2002-04-27
15220.0,2002-04-28
15370.634075217637,2002-04-29
15615.920339412653,2002-04-30
15432.377247774048,2002-05-01
15399.028853454824,2002-05-02
14836.472395833334,2002-05-03
,2002-05-04
15703.163170640522,2002-05-05
14790.82948169282,2002-05-06
15657.64746206721,2002-05-07
15469.963393611626,2002-05-08
15589.609092396582,2002-05-09
15632.30687736411,2002-05-10
15210.248303934874,2002-05-11
15573.811683869071,2002-05-12
,2002-05-13
15664.187890787829,2002-05-14
15207.415384615384,2002-05-15
15509.323120800296,2002-05-16
15404.517938352703,2002-05-17
15222.096153846154,2002-05-18
15454.884135607621,2002-05-19
,2002-05-20
,2002-05-21
,2002-05-22
15477.659913928837,2002-05-23
,2002-05-24
,2002-05-25
,2002-05-26
15100.81,2002-05-27
,2002-05-28
,2002-05-29
15303.547826086957,2002-05-30
,2002-05-31
,2002-06-01
,2002-06-02
,2002-06-03
,2002-06-04
,2002-06-05
15287.132803468206,2002-06-06
,2002-06-07
,2002-06-08
15376.685477122866,2002-06-09
15315.012870716528,2002-06-10
15326.741834153825,2002-06-11
,2002-06-12
,2002-06-13
,2002-06-14
15353.519845476347,2002-06-15
,2002-06-16
15243.826218780023,2002-06-17
15240.618512638908,2002-06-18
15222.74258750739,2002-06-19
,2002-06-20
,2002-06-21
15077.273745873812,2002-06-22
14997.276980127406,2002-06-23
15340.83229142829,2002-06-24
15186.640665808702,2002-06-25
15166.447306930104,2002-06-26
,2002-06-27
15537.229756627159,2002-06-28
15413.545252314767,2002-06-29
,2002-06-30
15251.511005677841,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
15120.803933682157,2002-07-17
15093.319886445148,2002-07-18
15202.0,2002-07-19
,2002-07-20
,2002-07-21
,2002-07-22
,2002-07-23
,2002-07-24
,2002-07-25
,2002-07-26
,2002-07-27
,2002-07-28
15038.343699236413,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
,2002-08-06
,2002-08-07
,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
,2002-08-17
,2002-08-18
15160.702759376636,2002-08-19
,2002-08-20
,2002-08-21
15084.032808872404,2002-08-22
15215.645767659418,2002-08-23
14840.025569108342,2002-08-24
15213.644975245752,2002-08-25
