LST_Day_1km,date
15262.292104029044,2002-02-24
15398.259298423622,2002-02-25
15347.332998526708,2002-02-26
15253.727276169411,2002-02-27
15384.45995004229,2002-02-28
15218.238305383938,2002-03-01
15535.075545189948,2002-03-02
15204.0,2002-03-03
15443.43329975348,2002-03-04
15331.331121786538,2002-03-05
15270.984900325226,2002-03-06
15206.243974366973,2002-03-07
15099.726266711601,2002-03-08
15296.66611890525,2002-03-09
14850.150462851938,2002-03-10
15569.50227255392,2002-03-11
15086.207264735769,2002-03-12
15352.865659681273,2002-03-13
15489.599259841889,2002-03-14
15307.112954081997,2002-03-15
15533.153689437588,2002-03-16
,2002-03-17
15684.796307761639,2002-03-18
15483.601954621172,2002-03-19
,2002-03-28
15570.608694852615,2002-03-29
15447.0365294882,2002-03-30
15375.001291589388,2002-03-31
15696.80517669609,2002-04-01
,2002-04-02
15670.409071588529,2002-04-03
15351.296389614501,2002-04-04
15522.428879696827,2002-04-05
15180.010193770804,2002-04-06
15472.705577182594,2002-04-07
15556.610983497912,2002-04-08
15346.19356144679,2002-04-09
15697.732130708777,2002-04-10
15182.346143379209,2002-04-11
15668.550579717377,2002-04-12
15479.231416608898,2002-04-13
15643.834440241635,2002-04-14
15309.731268296004,2002-04-16
15771.146404040739,2002-04-17
,2002-04-18
15621.852942755158,2002-04-19
15263.63907392177,2002-04-20
15652.588223493005,2002-04-21
15672.099373899298,2002-04-22
15465.072453484545,2002-04-23
15780.752963719324,2002-04-24
15216.803472722904,2002-04-25
15577.7694635077,2002-04-26
15259.99639026154,2002-04-27
15631.934256596838,2002-04-28
15463.869672238037,2002-04-29
15639.617230159096,2002-04-30
15577.298780516612,2002-05-01
15381.9084552512,2002-05-02
15672.004557761617,2002-05-03
,2002-05-04
15825.125664872898,2002-05-05
15386.981774388065,2002-05-06
15626.201465464155,2002-05-07
15381.86648106759,2002-05-08
15439.780762342089,2002-05-09
15519.16039742163,2002-05-10
,2002-05-11
15527.412462833401,2002-05-12
15021.842134213424,2002-05-13
15568.56059943694,2002-05-14
15286.431835996389,2002-05-15
15516.031620913227,2002-05-16
15504.113547472843,2002-05-17
15286.649562860921,2002-05-18
15617.71591219233,2002-05-19
,2002-05-20
15297.979685390439,2002-05-21
15323.641822897858,2002-05-22
15303.611561829233,2002-05-23
,2002-05-24
