LST_Day_1km,date
14631.62421478156,2002-02-24
15062.148321550272,2002-02-25
14942.273898882857,2002-02-26
15055.028207465937,2002-02-27
14999.291608816096,2002-02-28
15036.394611781363,2002-03-01
14878.955292707713,2002-03-02
,2002-03-03
14920.216115945217,2002-03-04
14925.569997459568,2002-03-05
14789.743983261927,2002-03-06
14650.358777261348,2002-03-07
14654.0,2002-03-08
14953.766634050886,2002-03-09
14897.321599887136,2002-03-10
15022.106231900205,2002-03-11
,2002-03-12
15091.806845850168,2002-03-13
14950.6061549512,2002-03-14
15056.590912746711,2002-03-15
15099.678582576631,2002-03-16
15094.20221624611,2002-03-17
15122.288035608573,2002-03-18
,2002-03-19
,2002-03-28
15291.602133067101,2002-03-29
15012.847285933245,2002-03-30
15190.522550735519,2002-03-31
15124.391442692317,2002-04-01
15094.40074515485,2002-04-02
15205.660658778164,2002-04-03
,2002-04-04
15277.082541314268,2002-04-05
15001.961587079435,2002-04-06
15186.34537490778,2002-04-07
15094.707212474594,2002-04-08
15099.885230392569,2002-04-09
15198.549466001099,2002-04-10
15019.23247073112,2002-04-11
15114.36820555844,2002-04-12
14959.346488393585,2002-04-13
15152.817644648414,2002-04-14
15199.309170102571,2002-04-16
15034.278563516209,2002-04-17
14884.394308447156,2002-04-18
15131.593424281788,2002-04-19
,2002-04-20
15312.297404547731,2002-04-21
14762.189735507221,2002-04-22
15102.153586267736,2002-04-23
14933.08567414938,2002-04-24
14963.848365597367,2002-04-25
15255.61757468679,2002-04-26
14880.619659256676,2002-04-27
15215.650999451353,2002-04-28
14928.936676629815,2002-04-29
15256.346820939974,2002-04-30
15006.863037362973,2002-05-01
15012.723081046266,2002-05-02
15169.805973869066,2002-05-03
15052.47509512582,2002-05-04
15244.201887641511,2002-05-05
,2002-05-06
15263.823682419415,2002-05-07
14916.79896409723,2002-05-08
15067.0,2002-05-09
15017.899931570259,2002-05-10
14970.625696709023,2002-05-11
15204.223548290496,2002-05-12
14970.127716206262,2002-05-13
15220.5039307638,2002-05-14
14841.311105894174,2002-05-15
15217.592583418831,2002-05-16
15036.251788737829,2002-05-17
15098.397241641902,2002-05-18
15081.808463792942,2002-05-19
15308.442480111122,2002-05-20
15219.882949085391,2002-05-21
,2002-05-22
15208.415802871483,2002-05-23
14994.767202127317,2002-05-24
15127.806300682525,2002-05-25
14999.021566383779,2002-05-26
15062.7750158602,2002-05-27
15153.692039850866,2002-05-28
,2002-05-29
15097.657268945575,2002-05-30
15214.357971227848,2002-05-31
15093.317326386927,2002-06-01
14775.771191698155,2002-06-02
15144.86519877873,2002-06-03
14864.957604045121,2002-06-04
15115.069869310937,2002-06-05
15046.392780086155,2002-06-06
,2002-06-07
15163.398721721484,2002-06-08
15094.338698683834,2002-06-09
15209.447803940668,2002-06-10
15058.23771020754,2002-06-11
15055.583998641532,2002-06-12
14852.851161900273,2002-06-13
15127.056688283137,2002-06-14
15208.842996744037,2002-06-15
15342.06075687231,2002-06-16
15116.11540595885,2002-06-17
14866.019137806858,2002-06-18
14976.840968854083,2002-06-19
,2002-06-20
,2002-06-21
15032.732127137158,2002-06-22
,2002-06-23
15163.680621713416,2002-06-24
14953.505618791924,2002-06-25
15081.378810730019,2002-06-26
14848.30357142857,2002-06-27
14906.144029244511,2002-06-28
14986.794141491715,2002-06-29
15227.503879165917,2002-06-30
15077.321915114891,2002-07-01
15198.442833524097,2002-07-02
14952.560716771051,2002-07-03
,2002-07-04
14731.893524636587,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
14486.11605543509,2002-07-11
14895.453984026748,2002-07-12
,2002-07-13
,2002-07-14
14879.635030586545,2002-07-15
14929.083541571383,2002-07-16
15099.634531689422,2002-07-17
15047.438553805081,2002-07-18
15031.813380723024,2002-07-19
,2002-07-20
14847.158160375577,2002-07-21
14960.874469541926,2002-07-22
14919.764999635838,2002-07-23
14991.254103975538,2002-07-24
,2002-07-25
15049.096397273612,2002-07-26
14903.592843237231,2002-07-27
15037.051125832693,2002-07-28
15046.889244302285,2002-07-29
15078.708848366163,2002-07-30
15011.831033472161,2002-07-31
,2002-08-01
15061.637042993234,2002-08-02
,2002-08-03
,2002-08-04
15013.64073819053,2002-08-05
14920.506936049502,2002-08-06
14991.314003545203,2002-08-07
,2002-08-08
15000.906341155001,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
,2002-08-17
15115.132574536385,2002-08-18
15137.602645579722,2002-08-19
15195.445371150707,2002-08-20
,2002-08-21
14999.374619557833,2002-08-22
15024.692713444063,2002-08-23
14909.445017821667,2002-08-24
15101.749115743123,2002-08-25
,2002-08-26
15039.415319653246,2002-08-27
14917.015791480228,2002-08-28
14984.179761500674,2002-08-29
15014.444283829205,2002-08-30
15032.496041678258,2002-08-31
14855.24625620869,2002-09-01
14935.791978272133,2002-09-02
15167.900522741442,2002-09-03
14978.849969006349,2002-09-04
15177.589309764935,2002-09-05
,2002-09-06
,2002-09-07
,2002-09-08
15178.75627228459,2002-09-09
14907.0,2002-09-10
,2002-09-11
15142.523698801646,2002-09-12
,2002-09-13
,2002-09-14
14965.34304020061,2002-09-15
15076.318390367827,2002-09-16
14941.199568653597,2002-09-17
,2002-09-18
15101.637938060954,2002-09-19
15046.753645976656,2002-09-20
15036.014783521052,2002-09-21
14890.422281948886,2002-09-22
14993.419265195334,2002-09-23
14985.114545194732,2002-09-24
14908.778641548688,2002-09-25
15086.157600809633,2002-09-26
,2002-09-27
15142.07327539107,2002-09-28
14933.629106797747,2002-09-29
15021.258725341424,2002-09-30
14937.069069970534,2002-10-01
14463.915060982874,2002-10-02
15023.357630304057,2002-10-03
,2002-10-04
15081.740566916658,2002-10-05
,2002-10-06
15055.038701370773,2002-10-07
14934.637694338284,2002-10-08
14973.10005315555,2002-10-09
14938.79857707554,2002-10-10
14877.63278263991,2002-10-11
15064.910955786923,2002-10-12
,2002-10-13
15064.48415459085,2002-10-14
,2002-10-15
14936.108901332302,2002-10-16
14955.212545866325,2002-10-17
14924.492031807618,2002-10-18
14980.31484794276,2002-10-19
14873.663467003156,2002-10-20
14907.263027616862,2002-10-21
14881.674661351435,2002-10-22
15020.644620167608,2002-10-23
15013.729590352856,2002-10-24
15072.300050864902,2002-10-25
14991.39523920366,2002-10-26
14966.858323681161,2002-10-27
15032.4973901871,2002-10-28
,2002-10-29
15006.275636877534,2002-10-30
14896.480383308653,2002-10-31
14975.389317658508,2002-11-01
14958.348943553528,2002-11-02
15041.0,2002-11-03
14840.039446304174,2002-11-04
,2002-11-05
14780.597044996644,2002-11-06
,2002-11-07
15012.892976194986,2002-11-08
14862.672531576802,2002-11-09
,2002-11-10
15013.455936083115,2002-11-11
14935.776128189305,2002-11-12
15021.81045364769,2002-11-13
,2002-11-14
14995.11200118891,2002-11-15
14851.993366525736,2002-11-16
15037.612725387387,2002-11-17
14875.534184496057,2002-11-18
15029.151161729047,2002-11-19
14994.86184096123,2002-11-20
15013.504548714443,2002-11-21
14976.640404156738,2002-11-22
,2002-11-23
14877.746022170011,2002-11-24
14724.634735927513,2002-11-25
14979.654659675238,2002-11-26
,2002-11-27
14858.846896265039,2002-11-28
15015.242425343406,2002-11-29
,2002-11-30
14897.0680711212,2002-12-01
14917.331853220696,2002-12-02
14870.031881211931,2002-12-03
14950.574715124432,2002-12-04
14806.614885163288,2002-12-05
14992.169993443778,2002-12-06
14896.45642737093,2002-12-07
14984.15207901106,2002-12-08
14804.057331327129,2002-12-09
14821.351229302558,2002-12-10
14755.274580640626,2002-12-11
14943.123856856324,2002-12-12
14946.722610503472,2002-12-13
14745.702715788551,2002-12-14
14946.855645357095,2002-12-15
,2002-12-16
14944.48084376864,2002-12-17
14794.930736328037,2002-12-18
15007.032415396638,2002-12-19
14914.908563959994,2002-12-20
14945.036279191163,2002-12-21
15031.27432301795,2002-12-22
14820.285830635792,2002-12-23
14958.87376060383,2002-12-24
14803.82569042983,2002-12-25
14980.95081751889,2002-12-26
14819.856511012276,2002-12-27
14785.580015849047,2002-12-28
14877.840300537984,2002-12-29
14843.223801291686,2002-12-30
15021.927864991923,2002-12-31
,2003-01-01
14943.631235748115,2003-01-02
14800.573306836555,2003-01-03
14846.543799742234,2003-01-04
14864.96588544614,2003-01-05
,2003-01-06
14869.152263013055,2003-01-07
,2003-01-08
14964.351410136747,2003-01-09
14704.740494928226,2003-01-10
14964.08220393592,2003-01-11
14693.0651405343,2003-01-12
14733.414774596908,2003-01-13
14972.769229875925,2003-01-14
14972.01823963747,2003-01-15
14866.77589124602,2003-01-16
,2003-01-17
14933.267554606908,2003-01-18
14821.64515099618,2003-01-19
14952.424676619354,2003-01-20
14807.283149424142,2003-01-21
14836.997033277334,2003-01-22
14831.84397597022,2003-01-23
14839.767913076914,2003-01-24
14972.477391996803,2003-01-25
14901.412209650232,2003-01-26
15014.327554068319,2003-01-27
14793.000567433,2003-01-28
14928.684319311922,2003-01-29
14757.057343086604,2003-01-30
15006.300880384671,2003-01-31
,2003-02-01
,2003-02-02
15015.265820463197,2003-02-03
14856.30258008214,2003-02-04
14981.788350748167,2003-02-05
14749.618924532286,2003-02-06
14857.094481887118,2003-02-07
15012.682686268874,2003-02-08
14939.97512422418,2003-02-09
15103.435037189573,2003-02-10
14772.96595974243,2003-02-11
15072.435344624837,2003-02-12
14928.83800314531,2003-02-13
15004.553762387017,2003-02-14
15031.729409994241,2003-02-15
15042.854783125214,2003-02-16
15088.476189209992,2003-02-17
,2003-02-18
15101.447064976235,2003-02-19
14891.419094526645,2003-02-20
15167.332903799155,2003-02-21
14842.278445354703,2003-02-22
15011.252202517888,2003-02-23
14995.099058794227,2003-02-24
14944.082089328089,2003-02-25
14941.623118022871,2003-02-26
14930.321537023827,2003-02-27
15194.010757051357,2003-02-28
15032.022136139432,2003-03-01
15102.54069565858,2003-03-02
15083.190321172327,2003-03-03
14911.124938391129,2003-03-04
15176.7905358996,2003-03-05
,2003-03-06
15189.044573165615,2003-03-07
14940.789941640467,2003-03-08
15008.943529575416,2003-03-09
14974.052368566297,2003-03-10
14911.332232228291,2003-03-11
15155.658681690715,2003-03-12
14854.0,2003-03-13
15060.205549601038,2003-03-14
14832.723767199484,2003-03-15
15171.703173837344,2003-03-16
15011.966719629429,2003-03-17
14903.718734080489,2003-03-18
15005.284011760283,2003-03-19
14924.16267576841,2003-03-20
15243.424790073686,2003-03-21
,2003-03-22
15287.429976347545,2003-03-23
14972.191844680536,2003-03-24
15246.18246461367,2003-03-25
15070.395088323998,2003-03-26
15058.205235619864,2003-03-27
15136.519811428716,2003-03-28
15029.424189611482,2003-03-29
15242.426892502592,2003-03-30
14768.179237815406,2003-03-31
15016.77139748866,2003-04-01
15029.507936169817,2003-04-02
15116.967928998307,2003-04-03
15156.26301476614,2003-04-04
14991.175819722786,2003-04-05
15367.224363423837,2003-04-06
,2003-04-07
15382.703469549406,2003-04-08
14999.294504869791,2003-04-09
15279.591221120854,2003-04-10
15124.761545010793,2003-04-11
15090.161133110487,2003-04-12
15209.993445354852,2003-04-13
15145.891222792427,2003-04-14
15277.254206567215,2003-04-15
14851.037750285626,2003-04-16
15306.413097093513,2003-04-17
15030.919203612091,2003-04-18
15209.93298703783,2003-04-19
15037.972974445085,2003-04-20
15202.983811250531,2003-04-21
15019.792416395434,2003-04-22
,2003-04-23
15374.463065466633,2003-04-24
15038.94354900606,2003-04-25
15232.269994279424,2003-04-26
15150.363197298622,2003-04-27
15187.922717763055,2003-04-28
15215.21967237414,2003-04-29
15046.822548651695,2003-04-30
15286.736466000446,2003-05-01
14817.98944652909,2003-05-02
15327.632952939035,2003-05-03
14864.247113187026,2003-05-04
15197.979494152021,2003-05-05
15030.049304110637,2003-05-06
14873.003177798506,2003-05-07
15277.511725369082,2003-05-08
,2003-05-09
15372.854170607152,2003-05-10
,2003-05-11
15276.672542093971,2003-05-12
14989.92496440302,2003-05-13
14991.105004605462,2003-05-14
14973.674170051898,2003-05-15
15027.273809220418,2003-05-16
15088.061496794751,2003-05-17
14951.365821172103,2003-05-18
15140.526886020143,2003-05-19
14936.0,2003-05-20
15082.451855868007,2003-05-21
15201.542966949663,2003-05-22
15167.25661577235,2003-05-23
15145.564894005664,2003-05-24
,2003-05-25
,2003-05-26
,2003-05-27
,2003-05-28
,2003-05-29
14851.213057671379,2003-05-30
14972.517869575307,2003-05-31
15342.734630235618,2003-06-01
15051.849114173228,2003-06-02
,2003-06-03
15119.34427955202,2003-06-04
14931.219201081618,2003-06-05
15007.894519900554,2003-06-06
15194.684854721676,2003-06-07
,2003-06-08
15190.780467837314,2003-06-09
,2003-06-10
15190.097459036395,2003-06-11
15038.459369399858,2003-06-12
14954.884497559766,2003-06-13
15009.584212574353,2003-06-14
,2003-06-15
,2003-06-16
,2003-06-17
15079.268996731209,2003-06-18
,2003-06-19
