LST_Day_1km,date
14764.692579674136,2002-02-24
,2002-02-25
14832.761641683008,2002-02-26
,2002-02-27
14912.747179798762,2002-02-28
14702.956258724986,2002-03-01
14972.116292699264,2002-03-02
,2002-03-03
14857.239553856407,2002-03-04
14826.959904905827,2002-03-05
14530.024719812001,2002-03-06
,2002-03-07
,2002-03-08
14707.679283717847,2002-03-09
,2002-03-10
15105.63995149377,2002-03-11
,2002-03-12
,2002-03-13
15024.759866917568,2002-03-14
15120.126144203026,2002-03-15
15110.683146764035,2002-03-16
14997.902538437258,2002-03-17
15042.91054022181,2002-03-18
14803.328569384605,2002-03-19
,2002-03-28
15253.835410649623,2002-03-29
14980.12199740431,2002-03-30
15016.13751995338,2002-03-31
15213.478167221225,2002-04-01
15164.585394102758,2002-04-02
15198.181235473363,2002-04-03
14755.521739130432,2002-04-04
15233.678804806503,2002-04-05
15162.264289594345,2002-04-06
15223.06953514292,2002-04-07
15167.493146637964,2002-04-08
15147.714347466908,2002-04-09
15219.34579619328,2002-04-10
,2002-04-11
15244.178151193357,2002-04-12
14897.009561384084,2002-04-13
15336.507840334889,2002-04-14
15109.029943658852,2002-04-16
15196.919402969239,2002-04-17
14895.747045441118,2002-04-18
15352.655688241164,2002-04-19
,2002-04-20
15337.578609373038,2002-04-21
15217.04798762003,2002-04-22
15188.785192939891,2002-04-23
15262.929276261319,2002-04-24
,2002-04-25
15158.481687959737,2002-04-26
,2002-04-27
15096.99396120716,2002-04-28
14822.11495888076,2002-04-29
15290.800026545512,2002-04-30
15257.53898188946,2002-05-01
15409.435476218712,2002-05-02
15240.146623703762,2002-05-03
,2002-05-04
15274.341082097506,2002-05-05
14704.59790953658,2002-05-06
15346.317783483632,2002-05-07
15228.608072733921,2002-05-08
15289.043280696878,2002-05-09
15240.370406876578,2002-05-10
15219.715766122821,2002-05-11
15333.409728426519,2002-05-12
,2002-05-13
15445.280054548815,2002-05-14
15103.724872766148,2002-05-15
15251.21232186725,2002-05-16
15205.385774139075,2002-05-17
15092.619299674263,2002-05-18
15164.186084371708,2002-05-19
,2002-05-20
14994.438935175775,2002-05-21
,2002-05-22
15287.55589326902,2002-05-23
,2002-05-24
,2002-05-25
,2002-05-26
14982.19,2002-05-27
15146.69952839513,2002-05-28
,2002-05-29
15307.922206203464,2002-05-30
15090.510752688173,2002-05-31
15100.55015706373,2002-06-01
,2002-06-02
14988.220553188414,2002-06-03
14596.631474103582,2002-06-04
15421.077707108068,2002-06-05
