LST_Day_1km,date
14846.314782473713,2002-02-24
15065.804939003723,2002-02-25
14946.700318758447,2002-02-26
14984.546518571591,2002-02-27
15121.309933147799,2002-02-28
14548.0,2002-03-01
,2002-03-02
,2002-03-03
15094.470553952075,2002-03-04
15052.483719168822,2002-03-05
14691.795534097768,2002-03-06
14696.314680710997,2002-03-07
,2002-03-08
15085.733663159286,2002-03-09
,2002-03-10
15211.601577144334,2002-03-11
14710.259579203987,2002-03-12
14812.475,2002-03-13
15043.088551215154,2002-03-14
15150.927859453315,2002-03-15
15171.520408240796,2002-03-16
15012.028991979734,2002-03-17
15265.076451432866,2002-03-18
,2002-03-19
,2002-03-28
15203.90981811837,2002-03-29
15302.394952100267,2002-03-30
15308.3441349724,2002-03-31
15377.205920556857,2002-04-01
15261.19407910869,2002-04-02
15434.018887430959,2002-04-03
15208.300282260983,2002-04-04
15356.17207051311,2002-04-05
15041.212752432648,2002-04-06
15307.742900532046,2002-04-07
15277.345010564743,2002-04-08
15172.383812180942,2002-04-09
15360.442488783081,2002-04-10
,2002-04-11
15429.019061219267,2002-04-12
15200.193368219967,2002-04-13
15132.088888888891,2002-04-14
15126.132875810661,2002-04-16
15194.57345956532,2002-04-17
,2002-04-18
15405.523623517654,2002-04-19
14888.131818181817,2002-04-20
15426.964114246977,2002-04-21
14861.767410940396,2002-04-22
14805.891940976164,2002-04-23
15168.774455628436,2002-04-24
14975.607692307676,2002-04-25
15343.211350293544,2002-04-26
,2002-04-27
15425.364442533408,2002-04-28
15200.211903293899,2002-04-29
15377.226246453974,2002-04-30
15232.90574769844,2002-05-01
14883.861750596632,2002-05-02
15313.11283261299,2002-05-03
14884.331955320591,2002-05-04
15442.737952379413,2002-05-05
15028.0,2002-05-06
15345.280597307534,2002-05-07
15180.02386265535,2002-05-08
,2002-05-09
15289.83710880565,2002-05-10
15179.24199501755,2002-05-11
15432.38160098924,2002-05-12
,2002-05-13
15534.1165056395,2002-05-14
15033.742595147285,2002-05-15
15425.182413728651,2002-05-16
15335.916882696049,2002-05-17
15140.91812105896,2002-05-18
15205.383632625644,2002-05-19
,2002-05-20
15517.513433515482,2002-05-21
,2002-05-22
15129.891267842146,2002-05-23
14935.929518664048,2002-05-24
15170.847551161194,2002-05-25
,2002-05-26
,2002-05-27
15245.537551200128,2002-05-28
,2002-05-29
15113.451593011303,2002-05-30
15370.952206090053,2002-05-31
,2002-06-01
,2002-06-02
15289.410641131957,2002-06-03
15244.319027769629,2002-06-04
,2002-06-05
,2002-06-06
,2002-06-07
14948.145281737949,2002-06-08
15296.831136432573,2002-06-09
15225.791383664233,2002-06-10
15190.89996751847,2002-06-11
,2002-06-12
,2002-06-13
,2002-06-14
15285.59021741969,2002-06-15
,2002-06-16
15222.787873618126,2002-06-17
14736.846153846156,2002-06-18
,2002-06-19
,2002-06-20
,2002-06-21
,2002-06-22
14995.258823529413,2002-06-23
15212.077163526643,2002-06-24
15033.047194257308,2002-06-25
15065.321845006742,2002-06-26
,2002-06-27
15418.204732802731,2002-06-28
15099.16760360832,2002-06-29
,2002-06-30
15069.855472460034,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
,2002-07-15
,2002-07-16
15073.53050529982,2002-07-17
,2002-07-18
15021.543209375888,2002-07-19
,2002-07-20
,2002-07-21
,2002-07-22
,2002-07-23
,2002-07-24
,2002-07-25
,2002-07-26
,2002-07-27
15021.328172749081,2002-07-28
14949.799970105756,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
14917.05746879036,2002-08-02
,2002-08-03
,2002-08-04
15075.284659627438,2002-08-05
,2002-08-06
,2002-08-07
,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
,2002-08-17
,2002-08-18
15036.08697963101,2002-08-19
15042.521054628223,2002-08-20
,2002-08-21
14922.977188008594,2002-08-22
15114.861849590769,2002-08-23
14880.488981958762,2002-08-24
15108.407946973895,2002-08-25
,2002-08-26
15139.530975075708,2002-08-27
15071.273815333245,2002-08-28
14970.58343362832,2002-08-29
15020.10246067985,2002-08-30
,2002-08-31
14926.030547124752,2002-09-01
,2002-09-02
15161.101117969767,2002-09-03
14975.694390084782,2002-09-04
15074.677092589305,2002-09-05
,2002-09-06
,2002-09-07
,2002-09-08
15372.816103171841,2002-09-09
,2002-09-10
,2002-09-11
14948.891304347826,2002-09-12
,2002-09-13
,2002-09-14
,2002-09-15
14889.705758426966,2002-09-16
15031.706020328378,2002-09-17
,2002-09-18
15154.167657508704,2002-09-19
,2002-09-20
15086.389369083321,2002-09-21
14973.497783123783,2002-09-22
,2002-09-23
15093.32016811995,2002-09-24
,2002-09-25
15078.86683006536,2002-09-26
,2002-09-27
,2002-09-28
,2002-09-29
,2002-09-30
,2002-10-01
,2002-10-02
14909.345162969908,2002-10-03
,2002-10-04
,2002-10-05
,2002-10-06
15051.397232425983,2002-10-07
15010.004437301775,2002-10-08
14769.339331306988,2002-10-09
14935.12514101694,2002-10-10
14928.00664237009,2002-10-11
15093.15630209647,2002-10-12
,2002-10-13
15126.604719764004,2002-10-14
,2002-10-15
,2002-10-16
,2002-10-17
,2002-10-18
14968.363636363636,2002-10-19
,2002-10-20
15044.103321452943,2002-10-21
14921.566006678275,2002-10-22
15030.886463245495,2002-10-23
14906.03796631462,2002-10-24
15118.1999839784,2002-10-25
14999.365537156847,2002-10-26
,2002-10-27
15043.33850956697,2002-10-28
,2002-10-29
,2002-10-30
,2002-10-31
14995.307200810581,2002-11-01
14962.435342005127,2002-11-02
,2002-11-03
,2002-11-04
,2002-11-05
,2002-11-06
,2002-11-07
14993.34197863472,2002-11-08
14992.780054721885,2002-11-09
,2002-11-10
14982.397024817277,2002-11-11
,2002-11-12
,2002-11-13
14940.839319884888,2002-11-14
15043.421733815423,2002-11-15
14900.33206282524,2002-11-16
14996.745994265471,2002-11-17
14773.078831818653,2002-11-18
,2002-11-19
,2002-11-20
,2002-11-21
,2002-11-22
,2002-11-23
14983.515395388924,2002-11-24
,2002-11-25
14670.573637702508,2002-11-26
,2002-11-27
,2002-11-28
15016.185518211014,2002-11-29
14982.247669773635,2002-11-30
15292.039181746653,2002-12-01
,2002-12-02
,2002-12-03
15010.418971849678,2002-12-04
15258.63206459054,2002-12-05
15007.820905978417,2002-12-06
,2002-12-07
15093.159622142688,2002-12-08
14974.169930583239,2002-12-09
14731.055590650662,2002-12-10
14684.741203551466,2002-12-11
14720.359073359074,2002-12-12
14829.183425776828,2002-12-13
,2002-12-14
14862.602858299346,2002-12-15
,2002-12-16
14926.207896998723,2002-12-17
14546.280085998387,2002-12-18
14927.680432245943,2002-12-19
14979.949130470162,2002-12-20
15011.112452940266,2002-12-21
14988.470944474326,2002-12-22
,2002-12-23
,2002-12-24
14749.212036149527,2002-12-25
14936.801581180101,2002-12-26
14775.030597119894,2002-12-27
14870.275321543413,2002-12-28
14812.521620056339,2002-12-29
14857.76689148988,2002-12-30
15081.040510241626,2002-12-31
14962.908279323938,2003-01-01
14954.97898385205,2003-01-02
14764.343183904846,2003-01-03
14899.173482874288,2003-01-04
14742.423645894001,2003-01-05
,2003-01-06
14856.898801128347,2003-01-07
,2003-01-08
14973.835132650374,2003-01-09
14865.976584109616,2003-01-10
,2003-01-11
14539.59090909091,2003-01-12
14958.9375,2003-01-13
14475.111111111111,2003-01-14
,2003-01-15
14867.922354311226,2003-01-16
,2003-01-17
15064.191051029311,2003-01-18
,2003-01-19
14930.467596081387,2003-01-20
14764.002750065254,2003-01-21
14816.400509204863,2003-01-22
14847.076724508806,2003-01-23
,2003-01-24
14857.126969330799,2003-01-25
14953.850879267859,2003-01-26
15147.394418496564,2003-01-27
15012.806341280133,2003-01-28
14767.900909341424,2003-01-29
14958.643530425888,2003-01-30
14987.30914058128,2003-01-31
,2003-02-01
,2003-02-02
14963.893892215574,2003-02-03
14696.49325662804,2003-02-04
14734.570022497188,2003-02-05
14949.163313462492,2003-02-06
14905.008059404152,2003-02-07
14830.044,2003-02-08
,2003-02-09
15206.447826499607,2003-02-10
14786.819669746126,2003-02-11
15050.912174651552,2003-02-12
14948.115450317542,2003-02-13
15091.772782385171,2003-02-14
15039.347500773538,2003-02-15
15069.190842376449,2003-02-16
15120.015399296391,2003-02-17
15046.644457687724,2003-02-18
15225.925862465996,2003-02-19
15101.873751107029,2003-02-20
14740.303883101069,2003-02-21
15065.396113525487,2003-02-22
15127.483370488982,2003-02-23
15104.259682557427,2003-02-24
,2003-02-25
15201.432189331867,2003-02-26
14869.835096315188,2003-02-27
15286.781574209963,2003-02-28
15144.094405594404,2003-03-01
15052.253419761304,2003-03-02
15240.569427926344,2003-03-03
15044.518103172044,2003-03-04
15262.604976289298,2003-03-05
15155.052195043576,2003-03-06
